year,age,sex,value
1921,0,male,0.076533
1921,1,male,0.014339
1921,2,male,0.006047
1921,3,male,0.004197
1921,4,male,0.003254
1921,5,male,0.002509
1921,6,male,0.002218
1921,7,male,0.001924
1921,8,male,0.001914
1921,9,male,0.001419
1921,10,male,0.001508
1921,11,male,0.002104
1921,12,male,0.001639
1921,13,male,0.001547
1921,14,male,0.001809
1921,15,male,0.001463
1921,16,male,0.002022
1921,17,male,0.002518
1921,18,male,0.002569
1921,19,male,0.002415
1921,20,male,0.002496
1921,21,male,0.003257
1921,22,male,0.003347
1921,23,male,0.003237
1921,24,male,0.003657
1921,25,male,0.003353
1921,26,male,0.003732
1921,27,male,0.003538
1921,28,male,0.003843
1921,29,male,0.004152
1921,30,male,0.003937
1921,31,male,0.004561
1921,32,male,0.004419
1921,33,male,0.004674
1921,34,male,0.004462
1921,35,male,0.005844
1921,36,male,0.005132
1921,37,male,0.005375
1921,38,male,0.00601
1921,39,male,0.006875
1921,40,male,0.00756
1921,41,male,0.005746
1921,42,male,0.007597
1921,43,male,0.00818
1921,44,male,0.00755
1921,45,male,0.010374
1921,46,male,0.008482
1921,47,male,0.010283
1921,48,male,0.010962
1921,49,male,0.009569
1921,50,male,0.013126
1921,51,male,0.010885
1921,52,male,0.012355
1921,53,male,0.014068
1921,54,male,0.014818
1921,55,male,0.015164
1921,56,male,0.019173
1921,57,male,0.017732
1921,58,male,0.021793
1921,59,male,0.021268
1921,60,male,0.03069
1921,61,male,0.023448
1921,62,male,0.027916
1921,63,male,0.031561
1921,64,male,0.030786
1921,65,male,0.042766
1921,66,male,0.035789
1921,67,male,0.04063
1921,68,male,0.044034
1921,69,male,0.048087
1921,70,male,0.055899
1921,71,male,0.047977
1921,72,male,0.064259
1921,73,male,0.072018
1921,74,male,0.076507
1921,75,male,0.088678
1921,76,male,0.091504
1921,77,male,0.098187
1921,78,male,0.11639
1921,79,male,0.116911
1921,80,male,0.135815
1921,81,male,0.118966
1921,82,male,0.13804
1921,83,male,0.134109
1921,84,male,0.166914
1921,85,male,0.220511
1921,86,male,0.193973
1921,87,male,0.215223
1921,88,male,0.230596
1921,89,male,0.236604
1921,90,male,0.263691
1921,91,male,0.188524
1921,92,male,0.240553
1921,93,male,0.24259
1921,94,male,0.240541
1921,95,male,0.248814
1921,96,male,0.322823
1921,97,male,0.265827
1921,98,male,0.471224
1921,99,male,0.060338
1921,100,male,0.414553
1921,101,male,0.351395
1921,102,male,0.166297
1921,103,male,0.404313
1921,104,male,0.436999
1921,105,male,0.0
1921,106,male,0.0
1921,107,male,0.0
1921,108,male,0.0
1921,109,male,0.0
1921,110,male,0.0
1922,0,male,0.063533
1922,1,male,0.010796
1922,2,male,0.004713
1922,3,male,0.003181
1922,4,male,0.002312
1922,5,male,0.002227
1922,6,male,0.00182
1922,7,male,0.001714
1922,8,male,0.001775
1922,9,male,0.001542
1922,10,male,0.001433
1922,11,male,0.001346
1922,12,male,0.001322
1922,13,male,0.001673
1922,14,male,0.001734
1922,15,male,0.001746
1922,16,male,0.00201
1922,17,male,0.002158
1922,18,male,0.001935
1922,19,male,0.003318
1922,20,male,0.002667
1922,21,male,0.002722
1922,22,male,0.003113
1922,23,male,0.002742
1922,24,male,0.003152
1922,25,male,0.003129
1922,26,male,0.003996
1922,27,male,0.003541
1922,28,male,0.003724
1922,29,male,0.003614
1922,30,male,0.003775
1922,31,male,0.003064
1922,32,male,0.003885
1922,33,male,0.004109
1922,34,male,0.004287
1922,35,male,0.004569
1922,36,male,0.00408
1922,37,male,0.004955
1922,38,male,0.006306
1922,39,male,0.005455
1922,40,male,0.005779
1922,41,male,0.004983
1922,42,male,0.007563
1922,43,male,0.006679
1922,44,male,0.007208
1922,45,male,0.010334
1922,46,male,0.008195
1922,47,male,0.009794
1922,48,male,0.009918
1922,49,male,0.009987
1922,50,male,0.013658
1922,51,male,0.009452
1922,52,male,0.01286
1922,53,male,0.012108
1922,54,male,0.014528
1922,55,male,0.015916
1922,56,male,0.016748
1922,57,male,0.017567
1922,58,male,0.019747
1922,59,male,0.020538
1922,60,male,0.025468
1922,61,male,0.019903
1922,62,male,0.029257
1922,63,male,0.029879
1922,64,male,0.036016
1922,65,male,0.039531
1922,66,male,0.034065
1922,67,male,0.041306
1922,68,male,0.050601
1922,69,male,0.044292
1922,70,male,0.058424
1922,71,male,0.048759
1922,72,male,0.066991
1922,73,male,0.069026
1922,74,male,0.074005
1922,75,male,0.089234
1922,76,male,0.088655
1922,77,male,0.095496
1922,78,male,0.122683
1922,79,male,0.120864
1922,80,male,0.118392
1922,81,male,0.109174
1922,82,male,0.152739
1922,83,male,0.145472
1922,84,male,0.180945
1922,85,male,0.217844
1922,86,male,0.228763
1922,87,male,0.19895
1922,88,male,0.225568
1922,89,male,0.252873
1922,90,male,0.278053
1922,91,male,0.245182
1922,92,male,0.29315
1922,93,male,0.295904
1922,94,male,0.311281
1922,95,male,0.265147
1922,96,male,0.291838
1922,97,male,0.299755
1922,98,male,0.331233
1922,99,male,0.540607
1922,100,male,0.640085
1922,101,male,0.098977
1922,102,male,0.861532
1922,103,male,0.0
1922,104,male,0.587084
1922,105,male,0.643777
1922,106,male,0.0
1922,107,male,0.0
1922,108,male,1.345291
1922,109,male,0.0
1922,110,male,0.80429
1923,0,male,0.069387
1923,1,male,0.01246
1923,2,male,0.005021
1923,3,male,0.003338
1923,4,male,0.00256
1923,5,male,0.002046
1923,6,male,0.001829
1923,7,male,0.002016
1923,8,male,0.001649
1923,9,male,0.001172
1923,10,male,0.001455
1923,11,male,0.001103
1923,12,male,0.001396
1923,13,male,0.001573
1923,14,male,0.001799
1923,15,male,0.001785
1923,16,male,0.001795
1923,17,male,0.002648
1923,18,male,0.002533
1923,19,male,0.002685
1923,20,male,0.002414
1923,21,male,0.002945
1923,22,male,0.003345
1923,23,male,0.003149
1923,24,male,0.003165
1923,25,male,0.003028
1923,26,male,0.003456
1923,27,male,0.003332
1923,28,male,0.004043
1923,29,male,0.003587
1923,30,male,0.00385
1923,31,male,0.003709
1923,32,male,0.003606
1923,33,male,0.004183
1923,34,male,0.00387
1923,35,male,0.004687
1923,36,male,0.005185
1923,37,male,0.004618
1923,38,male,0.005878
1923,39,male,0.005402
1923,40,male,0.007113
1923,41,male,0.006302
1923,42,male,0.007742
1923,43,male,0.007722
1923,44,male,0.006852
1923,45,male,0.009175
1923,46,male,0.008531
1923,47,male,0.009907
1923,48,male,0.009939
1923,49,male,0.009669
1923,50,male,0.013799
1923,51,male,0.010069
1923,52,male,0.01206
1923,53,male,0.01449
