year,age,sex,value
1947,0,male,0.099404
1947,1,male,0.00845
1947,2,male,0.004694
1947,3,male,0.003403
1947,4,male,0.002704
1947,5,male,0.001949
1947,6,male,0.001524
1947,7,male,0.001688
1947,8,male,0.001491
1947,9,male,0.000997
1947,10,male,0.001342
1947,11,male,0.001635
1947,12,male,0.001042
1947,13,male,0.001088
1947,14,male,0.001463
1947,15,male,0.001702
1947,16,male,0.001604
1947,17,male,0.002342
1947,18,male,0.002551
1947,19,male,0.003191
1947,20,male,0.003245
1947,21,male,0.003131
1947,22,male,0.003793
1947,23,male,0.003837
1947,24,male,0.003537
1947,25,male,0.003371
1947,26,male,0.003366
1947,27,male,0.003675
1947,28,male,0.003156
1947,29,male,0.003108
1947,30,male,0.00377
1947,31,male,0.003377
1947,32,male,0.003833
1947,33,male,0.003341
1947,34,male,0.004089
1947,35,male,0.003335
1947,36,male,0.004348
1947,37,male,0.004459
1947,38,male,0.005133
1947,39,male,0.004899
1947,40,male,0.005067
1947,41,male,0.005033
1947,42,male,0.00583
1947,43,male,0.006057
1947,44,male,0.006397
1947,45,male,0.007249
1947,46,male,0.008036
1947,47,male,0.008349
1947,48,male,0.009645
1947,49,male,0.00946
1947,50,male,0.011385
1947,51,male,0.011529
1947,52,male,0.013668
1947,53,male,0.01321
1947,54,male,0.013115
1947,55,male,0.01631
1947,56,male,0.018546
1947,57,male,0.018274
1947,58,male,0.019361
1947,59,male,0.021038
1947,60,male,0.023518
1947,61,male,0.025018
1947,62,male,0.027661
1947,63,male,0.028966
1947,64,male,0.032777
1947,65,male,0.035726
1947,66,male,0.038399
1947,67,male,0.040721
1947,68,male,0.047332
1947,69,male,0.051635
1947,70,male,0.054796
1947,71,male,0.058138
1947,72,male,0.064993
1947,73,male,0.075077
1947,74,male,0.074113
1947,75,male,0.090543
1947,76,male,0.097708
1947,77,male,0.108661
1947,78,male,0.117421
1947,79,male,0.132315
1947,80,male,0.146128
1947,81,male,0.150402
1947,82,male,0.177196
1947,83,male,0.19085
1947,84,male,0.201917
1947,85,male,0.236942
1947,86,male,0.251406
1947,87,male,0.286033
1947,88,male,0.303052
1947,89,male,0.324923
1947,90,male,0.373141
1947,91,male,0.423404
1947,92,male,0.317312
1947,93,male,0.467747
1947,94,male,0.627771
1947,95,male,0.316456
1947,96,male,0.313831
1947,97,male,0.478632
1947,98,male,0.4158
1947,99,male,0.664452
1947,100,male,0.0
1947,101,male,1.027397
1947,102,male,0.0
1947,103,male,0.0
1947,104,male,0.0
1947,105,male,0.0
1947,106,male,0.0
1947,107,male,0.0
1947,108,male,0.0
1947,109,male,0.0
1947,110,male,0.0
1948,0,male,0.094209
1948,1,male,0.006705
1948,2,male,0.003622
1948,3,male,0.002625
1948,4,male,0.002087
1948,5,male,0.00166
1948,6,male,0.001341
1948,7,male,0.001235
1948,8,male,0.001237
1948,9,male,0.00094
1948,10,male,0.000916
1948,11,male,0.001144
1948,12,male,0.001006
1948,13,male,0.000669
1948,14,male,0.00101
1948,15,male,0.001336
1948,16,male,0.001642
1948,17,male,0.002107
1948,18,male,0.002143
1948,19,male,0.002701
1948,20,male,0.002679
1948,21,male,0.002726
1948,22,male,0.00295
1948,23,male,0.003196
1948,24,male,0.003341
1948,25,male,0.003336
1948,26,male,0.003273
1948,27,male,0.002447
1948,28,male,0.002949
1948,29,male,0.002519
1948,30,male,0.004083
1948,31,male,0.003459
1948,32,male,0.003542
1948,33,male,0.003743
1948,34,male,0.003698
1948,35,male,0.003479
1948,36,male,0.003892
1948,37,male,0.003532
1948,38,male,0.004122
1948,39,male,0.00444
1948,40,male,0.005005
1948,41,male,0.004867
1948,42,male,0.004972
1948,43,male,0.005912
1948,44,male,0.006238
1948,45,male,0.006234
1948,46,male,0.007194
1948,47,male,0.008561
1948,48,male,0.008755
1948,49,male,0.009259
1948,50,male,0.009898
1948,51,male,0.01092
1948,52,male,0.012438
1948,53,male,0.014019
1948,54,male,0.013538
1948,55,male,0.016395
1948,56,male,0.017387
1948,57,male,0.016959
1948,58,male,0.018885
