year,age,sex,value
1841,0,male,0.186518
1841,1,male,0.074129
1841,2,male,0.039831
1841,3,male,0.02333
1841,4,male,0.01707
1841,5,male,0.012404
1841,6,male,0.010196
1841,7,male,0.008001
1841,8,male,0.00701
1841,9,male,0.006961
1841,10,male,0.006028
1841,11,male,0.005194
1841,12,male,0.004902
1841,13,male,0.004954
1841,14,male,0.0051
1841,15,male,0.005387
1841,16,male,0.005898
1841,17,male,0.006636
1841,18,male,0.007573
1841,19,male,0.008631
1841,20,male,0.00994
1841,21,male,0.011203
1841,22,male,0.012029
1841,23,male,0.012756
1841,24,male,0.011434
1841,25,male,0.010307
1841,26,male,0.010157
1841,27,male,0.009331
1841,28,male,0.009126
1841,29,male,0.008814
1841,30,male,0.008506
1841,31,male,0.009096
1841,32,male,0.009568
1841,33,male,0.009389
1841,34,male,0.008429
1841,35,male,0.008338
1841,36,male,0.009216
1841,37,male,0.009327
1841,38,male,0.009717
1841,39,male,0.009563
1841,40,male,0.009504
1841,41,male,0.010666
1841,42,male,0.011809
1841,43,male,0.011847
1841,44,male,0.010718
1841,45,male,0.010888
1841,46,male,0.013027
1841,47,male,0.013704
1841,48,male,0.014466
1841,49,male,0.014993
1841,50,male,0.015587
1841,51,male,0.017586
1841,52,male,0.019731
1841,53,male,0.020852
1841,54,male,0.018576
1841,55,male,0.018702
1841,56,male,0.022937
1841,57,male,0.024489
1841,58,male,0.02596
1841,59,male,0.027241
1841,60,male,0.028176
1841,61,male,0.031705
1841,62,male,0.037295
1841,63,male,0.041134
1841,64,male,0.04011
1841,65,male,0.043317
1841,66,male,0.052222
1841,67,male,0.054616
1841,68,male,0.057636
1841,69,male,0.058502
1841,70,male,0.05998
1841,71,male,0.066803
1841,72,male,0.073767
1841,73,male,0.079961
1841,74,male,0.081392
1841,75,male,0.086909
1841,76,male,0.102332
1841,77,male,0.111169
1841,78,male,0.12026
1841,79,male,0.128458
1841,80,male,0.150158
1841,81,male,0.165917
1841,82,male,0.182136
1841,83,male,0.19787
1841,84,male,0.211271
1841,85,male,0.220595
1841,86,male,0.228929
1841,87,male,0.238513
1841,88,male,0.250701
1841,89,male,0.265948
1841,90,male,0.285388
1841,91,male,0.303699
1841,92,male,0.316754
1841,93,male,0.322586
1841,94,male,0.326202
1841,95,male,0.3306
1841,96,male,0.312732
1841,97,male,0.310345
1841,98,male,0.378838
1841,99,male,0.404603
1841,100,male,0.552756
1841,101,male,0.707022
1841,102,male,1.068
1841,103,male,6.0
1841,104,male,0.0
1841,105,male,0.0
1841,106,male,0.0
1841,107,male,0.0
1841,108,male,0.0
1841,109,male,0.0
1841,110,male,0.0
1842,0,male,0.191811
1842,1,male,0.080682
1842,2,male,0.042162
1842,3,male,0.028904
1842,4,male,0.019395
1842,5,male,0.015009
1842,6,male,0.01254
1842,7,male,0.010257
1842,8,male,0.008976
1842,9,male,0.007778
1842,10,male,0.006474
