year,age,sex,value
1947,0,male,0.156238
1947,1,male,0.03146
1947,2,male,0.013274
1947,3,male,0.006166
1947,4,male,0.004684
1947,5,male,0.004333
1947,6,male,0.003016
1947,7,male,0.002831
1947,8,male,0.002417
1947,9,male,0.002463
1947,10,male,0.002147
1947,11,male,0.001879
1947,12,male,0.001796
1947,13,male,0.001925
1947,14,male,0.002004
1947,15,male,0.002596
1947,16,male,0.003247
1947,17,male,0.003582
1947,18,male,0.004179
1947,19,male,0.004794
1947,20,male,0.005045
1947,21,male,0.005612
1947,22,male,0.005669
1947,23,male,0.004843
1947,24,male,0.005072
1947,25,male,0.005051
1947,26,male,0.00463
1947,27,male,0.004593
1947,28,male,0.004207
1947,29,male,0.00405
1947,30,male,0.004846
1947,31,male,0.004417
1947,32,male,0.00451
1947,33,male,0.004359
1947,34,male,0.004681
1947,35,male,0.004811
1947,36,male,0.004791
1947,37,male,0.004601
1947,38,male,0.00495
1947,39,male,0.005427
1947,40,male,0.00604
1947,41,male,0.005837
1947,42,male,0.006149
1947,43,male,0.006682
1947,44,male,0.006454
1947,45,male,0.008877
1947,46,male,0.0082
1947,47,male,0.008581
1947,48,male,0.009205
1947,49,male,0.008754
1947,50,male,0.011
1947,51,male,0.011254
1947,52,male,0.013577
1947,53,male,0.014109
1947,54,male,0.014789
1947,55,male,0.018232
1947,56,male,0.01749
1947,57,male,0.021024
1947,58,male,0.021193
1947,59,male,0.021485
1947,60,male,0.025713
1947,61,male,0.023128
1947,62,male,0.027469
1947,63,male,0.028874
1947,64,male,0.030653
1947,65,male,0.035675
1947,66,male,0.03732
1947,67,male,0.042792
1947,68,male,0.04472
1947,69,male,0.04792
1947,70,male,0.060861
1947,71,male,0.059535
1947,72,male,0.069995
1947,73,male,0.068415
1947,74,male,0.076505
1947,75,male,0.086095
1947,76,male,0.08793
1947,77,male,0.108166
1947,78,male,0.098845
1947,79,male,0.117701
1947,80,male,0.136732
1947,81,male,0.128526
1947,82,male,0.144357
1947,83,male,0.149887
1947,84,male,0.160697
1947,85,male,0.187886
1947,86,male,0.163728
1947,87,male,0.202292
1947,88,male,0.224865
1947,89,male,0.199531
1947,90,male,0.257387
1947,91,male,0.236515
1947,92,male,0.23731
1947,93,male,0.229781
1947,94,male,0.259804
1947,95,male,0.235893
1947,96,male,0.264316
1947,97,male,0.311232
1947,98,male,0.315485
1947,99,male,0.225774
1947,100,male,0.313376
1947,101,male,0.319588
1947,102,male,0.324837
1947,103,male,0.328748
1947,104,male,0.333017
1947,105,male,0.332758
1947,106,male,0.340627
1947,107,male,0.361117
1947,108,male,0.374875
1947,109,male,0.38633
1947,110,male,0.470103
1948,0,male,0.139706
1948,1,male,0.027619
1948,2,male,0.012852
1948,3,male,0.006883
1948,4,male,0.004423
1948,5,male,0.0035
1948,6,male,0.002936
1948,7,male,0.002976
1948,8,male,0.002419
1948,9,male,0.001829
1948,10,male,0.001698
1948,11,male,0.001745
1948,12,male,0.001723
1948,13,male,0.00177
1948,14,male,0.002288
1948,15,male,0.002048
1948,16,male,0.002912
1948,17,male,0.003621
1948,18,male,0.003281
1948,19,male,0.004315
1948,20,male,0.004862
1948,21,male,0.005946
1948,22,male,0.005455
1948,23,male,0.00444
1948,24,male,0.004925
1948,25,male,0.004548
1948,26,male,0.00462
1948,27,male,0.004175
1948,28,male,0.004319
1948,29,male,0.003605
1948,30,male,0.004398
1948,31,male,0.003461
1948,32,male,0.004717
1948,33,male,0.004305
1948,34,male,0.003239
1948,35,male,0.004507
1948,36,male,0.004521
1948,37,male,0.004263
1948,38,male,0.004776
1948,39,male,0.004814
1948,40,male,0.005778
1948,41,male,0.005577
1948,42,male,0.004932
1948,43,male,0.006096
1948,44,male,0.006526
1948,45,male,0.006736
1948,46,male,0.006986
1948,47,male,0.007875
1948,48,male,0.008227
1948,49,male,0.009375
1948,50,male,0.010783
1948,51,male,0.010922
1948,52,male,0.011189
1948,53,male,0.012341
1948,54,male,0.013246
1948,55,male,0.01618
1948,56,male,0.015782
1948,57,male,0.015934
1948,58,male,0.019876
1948,59,male,0.020452
1948,60,male,0.026427
1948,61,male,0.023129
1948,62,male,0.028304
1948,63,male,0.026558
1948,64,male,0.028499
1948,65,male,0.03306
1948,66,male,0.034839
1948,67,male,0.038751
1948,68,male,0.043446
1948,69,male,0.045212
1948,70,male,0.061343
1948,71,male,0.054797
1948,72,male,0.06618
1948,73,male,0.069564
1948,74,male,0.071799
1948,75,male,0.086547
1948,76,male,0.099784
1948,77,male,0.0816
1948,78,male,0.119457
1948,79,male,0.106608
1948,80,male,0.13446
1948,81,male,0.131701
1948,82,male,0.150737
1948,83,male,0.139721
1948,84,male,0.16227
1948,85,male,0.18528
1948,86,male,0.180164
1948,87,male,0.176374
1948,88,male,0.197213
1948,89,male,0.207242
1948,90,male,0.216439
1948,91,male,0.192009
1948,92,male,0.258895
1948,93,male,0.22639
1948,94,male,0.222684
1948,95,male,0.25874
1948,96,male,0.292477
1948,97,male,0.298512
1948,98,male,0.372392
1948,99,male,0.333681
1948,100,male,0.348856
1948,101,male,0.370229
1948,102,male,0.39154
1948,103,male,0.413336
1948,104,male,0.436979
1948,105,male,0.46321
1948,106,male,0.483202
1948,107,male,0.528011
1948,108,male,0.612868
1948,109,male,0.692948
1948,110,male,1.132653
1949,0,male,0.136442
1949,1,male,0.021678
1949,2,male,0.009138
1949,3,male,0.004986
1949,4,male,0.003913
1949,5,male,0.002586
1949,6,male,0.002306
1949,7,male,0.002187
1949,8,male,0.001913
1949,9,male,0.001767
1949,10,male,0.001654
1949,11,male,0.001546
1949,12,male,0.001556
1949,13,male,0.001786
1949,14,male,0.001702
1949,15,male,0.001972
1949,16,male,0.001897
1949,17,male,0.002922
1949,18,male,0.003049
1949,19,male,0.003924
1949,20,male,0.004614
1949,21,male,0.00535
1949,22,male,0.004553
1949,23,male,0.004255
1949,24,male,0.003796
1949,25,male,0.003794
1949,26,male,0.00388
1949,27,male,0.004046
1949,28,male,0.003633
1949,29,male,0.003306
1949,30,male,0.003106
1949,31,male,0.003428
1949,32,male,0.003217
1949,33,male,0.003917
1949,34,male,0.003481
1949,35,male,0.003882
1949,36,male,0.004045
1949,37,male,0.003585
1949,38,male,0.004167
1949,39,male,0.003681
1949,40,male,0.005024
1949,41,male,0.004225
1949,42,male,0.005008
1949,43,male,0.004894
1949,44,male,0.005095
1949,45,male,0.006668
1949,46,male,0.006908
1949,47,male,0.006761
1949,48,male,0.00726
1949,49,male,0.007811
1949,50,male,0.009789
1949,51,male,0.010101
1949,52,male,0.009733
1949,53,male,0.012701
1949,54,male,0.012281
1949,55,male,0.014019
1949,56,male,0.014667
1949,57,male,0.014523
1949,58,male,0.016179
1949,59,male,0.019367
1949,60,male,0.024803
1949,61,male,0.024886
1949,62,male,0.027347
1949,63,male,0.028348
1949,64,male,0.028813
1949,65,male,0.030893
1949,66,male,0.031859
1949,67,male,0.036352
1949,68,male,0.037526
1949,69,male,0.047376
1949,70,male,0.055091
1949,71,male,0.052871
1949,72,male,0.065108
1949,73,male,0.067076
1949,74,male,0.076406
1949,75,male,0.085549
1949,76,male,0.09005
1949,77,male,0.093561
1949,78,male,0.105206
1949,79,male,0.122559
1949,80,male,0.129855
1949,81,male,0.112087
1949,82,male,0.151706
1949,83,male,0.150011
1949,84,male,0.162394
1949,85,male,0.187783
1949,86,male,0.16808
1949,87,male,0.173468
1949,88,male,0.169225
1949,89,male,0.193315
1949,90,male,0.248931
1949,91,male,0.219273
1949,92,male,0.235339
1949,93,male,0.189911
1949,94,male,0.266963
1949,95,male,0.242109
1949,96,male,0.316338
1949,97,male,0.288356
1949,98,male,0.341238
1949,99,male,0.365401
1949,100,male,0.330164
1949,101,male,0.349132
1949,102,male,0.367614
1949,103,male,0.385571
1949,104,male,0.402703
1949,105,male,0.421066
1949,106,male,0.44129
1949,107,male,0.450232
1949,108,male,0.496082
1949,109,male,0.60969
1949,110,male,0.842246
1950,0,male,0.112341
1950,1,male,0.016752
1950,2,male,0.007305
1950,3,male,0.004312
1950,4,male,0.00263
1950,5,male,0.001996
1950,6,male,0.001631
1950,7,male,0.00158
1950,8,male,0.001584
1950,9,male,0.00151
1950,10,male,0.001434
1950,11,male,0.001264
1950,12,male,0.001116
1950,13,male,0.001276
1950,14,male,0.001652
1950,15,male,0.001527
1950,16,male,0.001859
1950,17,male,0.003042
1950,18,male,0.003166
1950,19,male,0.003126
1950,20,male,0.003744
1950,21,male,0.004007
1950,22,male,0.004302
1950,23,male,0.003388
1950,24,male,0.003704
1950,25,male,0.00346
1950,26,male,0.003828
1950,27,male,0.003189
1950,28,male,0.003315
1950,29,male,0.003083
1950,30,male,0.003462
1950,31,male,0.003099
1950,32,male,0.002862
1950,33,male,0.002785
1950,34,male,0.003296
1950,35,male,0.003466
1950,36,male,0.002959
1950,37,male,0.003658
1950,38,male,0.003926
1950,39,male,0.003776
1950,40,male,0.004231
