year,age,sex,value
1959,0,male,0.054142
1959,1,male,0.006267
1959,2,male,0.001988
1959,3,male,0.001539
1959,4,male,0.00117
1959,5,male,0.000973
1959,6,male,0.001024
1959,7,male,0.0011
1959,8,male,0.00092
1959,9,male,0.000965
1959,10,male,0.0012
1959,11,male,0.000863
1959,12,male,0.001063
1959,13,male,0.00085
1959,14,male,0.001195
1959,15,male,0.000979
1959,16,male,0.001006
1959,17,male,0.001136
1959,18,male,0.001534
1959,19,male,0.001595
1959,20,male,0.001865
1959,21,male,0.001672
1959,22,male,0.002396
1959,23,male,0.002541
1959,24,male,0.002134
1959,25,male,0.002358
1959,26,male,0.002541
1959,27,male,0.002163
1959,28,male,0.002339
1959,29,male,0.002525
1959,30,male,0.003391
1959,31,male,0.002463
1959,32,male,0.003696
1959,33,male,0.003512
1959,34,male,0.00359
1959,35,male,0.00414
1959,36,male,0.0037
1959,37,male,0.003741
1959,38,male,0.004596
1959,39,male,0.004605
1959,40,male,0.005753
1959,41,male,0.003632
1959,42,male,0.004825
1959,43,male,0.004494
1959,44,male,0.005365
1959,45,male,0.006534
1959,46,male,0.005492
1959,47,male,0.006649
1959,48,male,0.007404
1959,49,male,0.008199
1959,50,male,0.010023
1959,51,male,0.007399
1959,52,male,0.011752
1959,53,male,0.010614
1959,54,male,0.012502
1959,55,male,0.012894
1959,56,male,0.013519
1959,57,male,0.015319
1959,58,male,0.017008
1959,59,male,0.017026
1959,60,male,0.025042
1959,61,male,0.016221
1959,62,male,0.027383
1959,63,male,0.025849
1959,64,male,0.027839
1959,65,male,0.028743
1959,66,male,0.027306
1959,67,male,0.036067
1959,68,male,0.036734
1959,69,male,0.035529
1959,70,male,0.046875
1959,71,male,0.039573
1959,72,male,0.058062
1959,73,male,0.055864
1959,74,male,0.059612
1959,75,male,0.071738
1959,76,male,0.060589
1959,77,male,0.073784
1959,78,male,0.093672
1959,79,male,0.079945
1959,80,male,0.134663
1959,81,male,0.090759
1959,82,male,0.136609
1959,83,male,0.114575
1959,84,male,0.145398
1959,85,male,0.15896
1959,86,male,0.174087
1959,87,male,0.17505
1959,88,male,0.197922
1959,89,male,0.204935
1959,90,male,0.265648
1959,91,male,0.135076
1959,92,male,0.197534
1959,93,male,0.185313
1959,94,male,0.215418
1959,95,male,0.255938
1959,96,male,0.275332
1959,97,male,0.289824
1959,98,male,0.310257
1959,99,male,0.306914
1959,100,male,0.318784
1959,101,male,0.331633
1959,102,male,0.347508
