year,age,sex,value
1921,0,male,0.13825
1921,1,male,0.017806
1921,2,male,0.008521
1921,3,male,0.006111
1921,4,male,0.004745
1921,5,male,0.003828
1921,6,male,0.00363
1921,7,male,0.003177
1921,8,male,0.002615
1921,9,male,0.002448
1921,10,male,0.002141
1921,11,male,0.002222
1921,12,male,0.0021
1921,13,male,0.00217
1921,14,male,0.002082
1921,15,male,0.002516
1921,16,male,0.002739
1921,17,male,0.00358
1921,18,male,0.003506
1921,19,male,0.003594
1921,20,male,0.003675
1921,21,male,0.004173
1921,22,male,0.003808
1921,23,male,0.004207
1921,24,male,0.003715
1921,25,male,0.003965
1921,26,male,0.004001
1921,27,male,0.004155
1921,28,male,0.004395
1921,29,male,0.003938
1921,30,male,0.003998
1921,31,male,0.00358
1921,32,male,0.004154
1921,33,male,0.004044
1921,34,male,0.003848
1921,35,male,0.005068
1921,36,male,0.004526
1921,37,male,0.004293
1921,38,male,0.005923
1921,39,male,0.004662
1921,40,male,0.006477
1921,41,male,0.005301
1921,42,male,0.006729
1921,43,male,0.005546
1921,44,male,0.005699
1921,45,male,0.007659
1921,46,male,0.006996
1921,47,male,0.007137
1921,48,male,0.008593
1921,49,male,0.008204
1921,50,male,0.010745
1921,51,male,0.008146
1921,52,male,0.011263
1921,53,male,0.01079
1921,54,male,0.011833
1921,55,male,0.013786
1921,56,male,0.015219
1921,57,male,0.014418
1921,58,male,0.017792
1921,59,male,0.017828
1921,60,male,0.021338
1921,61,male,0.018696
1921,62,male,0.023705
1921,63,male,0.025059
1921,64,male,0.025327
1921,65,male,0.033642
1921,66,male,0.029237
1921,67,male,0.035491
1921,68,male,0.041003
1921,69,male,0.039466
1921,70,male,0.051449
1921,71,male,0.043999
1921,72,male,0.058517
1921,73,male,0.061086
1921,74,male,0.066054
1921,75,male,0.075359
1921,76,male,0.083294
1921,77,male,0.085539
1921,78,male,0.10339
1921,79,male,0.101682
1921,80,male,0.122428
1921,81,male,0.099032
1921,82,male,0.121048
1921,83,male,0.147494
1921,84,male,0.163607
1921,85,male,0.174081
1921,86,male,0.189831
1921,87,male,0.218679
1921,88,male,0.249132
1921,89,male,0.221716
1921,90,male,0.230559
1921,91,male,0.236601
1921,92,male,0.251572
1921,93,male,0.236252
1921,94,male,0.262681
1921,95,male,0.300505
1921,96,male,0.26245
1921,97,male,0.32834
1921,98,male,0.425392
1921,99,male,0.245864
1921,100,male,0.455005
1921,101,male,0.495335
1921,102,male,0.54318
1921,103,male,0.608307
1921,104,male,0.681026
1921,105,male,0.773649
1921,106,male,0.888046
1921,107,male,1.016129
1921,108,male,2.145078
1921,109,male,0.0
1921,110,male,0.0
1922,0,male,0.139035
1922,1,male,0.018111
1922,2,male,0.008333
1922,3,male,0.005405
1922,4,male,0.004314
1922,5,male,0.003441
1922,6,male,0.003047
1922,7,male,0.002883
1922,8,male,0.002623
1922,9,male,0.002423
1922,10,male,0.002164
1922,11,male,0.001913
1922,12,male,0.002188
1922,13,male,0.002107
1922,14,male,0.002321
1922,15,male,0.002278
1922,16,male,0.002723
1922,17,male,0.003124
1922,18,male,0.003283
1922,19,male,0.003587
1922,20,male,0.003575
1922,21,male,0.003848
1922,22,male,0.004067
1922,23,male,0.004194
1922,24,male,0.003527
1922,25,male,0.003906
1922,26,male,0.00389
1922,27,male,0.004114
1922,28,male,0.003569
1922,29,male,0.004303
1922,30,male,0.004377
1922,31,male,0.003469
1922,32,male,0.004265
1922,33,male,0.004
1922,34,male,0.00383
1922,35,male,0.004931
1922,36,male,0.004588
1922,37,male,0.004497
1922,38,male,0.004948
1922,39,male,0.004782
1922,40,male,0.006398
1922,41,male,0.004465
1922,42,male,0.006861
1922,43,male,0.005966
1922,44,male,0.005974
1922,45,male,0.007975
1922,46,male,0.006634
1922,47,male,0.007034
1922,48,male,0.008155
1922,49,male,0.007999
1922,50,male,0.010279
1922,51,male,0.008277
1922,52,male,0.011226
1922,53,male,0.010926
1922,54,male,0.011123
1922,55,male,0.01516
1922,56,male,0.015
1922,57,male,0.01658
1922,58,male,0.017766
1922,59,male,0.017825
1922,60,male,0.021561
1922,61,male,0.018739
1922,62,male,0.02317
1922,63,male,0.024612
1922,64,male,0.026173
1922,65,male,0.034468
1922,66,male,0.03205
1922,67,male,0.037152
1922,68,male,0.043699
1922,69,male,0.04272
1922,70,male,0.051248
1922,71,male,0.045976
1922,72,male,0.062117
1922,73,male,0.067261
1922,74,male,0.069097
1922,75,male,0.077889
1922,76,male,0.082443
1922,77,male,0.089831
1922,78,male,0.10909
1922,79,male,0.104799
1922,80,male,0.121825
1922,81,male,0.107743
1922,82,male,0.143942
1922,83,male,0.145846
1922,84,male,0.169655
1922,85,male,0.194957
1922,86,male,0.217927
1922,87,male,0.221101
1922,88,male,0.21965
1922,89,male,0.211323
1922,90,male,0.278153
1922,91,male,0.207967
1922,92,male,0.281947
1922,93,male,0.257273
1922,94,male,0.287037
1922,95,male,0.359091
1922,96,male,0.351628
1922,97,male,0.288492
1922,98,male,0.375419
1922,99,male,0.310192
1922,100,male,0.523715
1922,101,male,0.586386
1922,102,male,0.66097
1922,103,male,0.761251
1922,104,male,0.92905
1922,105,male,1.157038
1922,106,male,1.558442
1922,107,male,2.360294
1922,108,male,4.158416
1922,109,male,0.0
1922,110,male,0.0
1923,0,male,0.135017
1923,1,male,0.020317
1923,2,male,0.00842
1923,3,male,0.005819
1923,4,male,0.004072
1923,5,male,0.00334
1923,6,male,0.003115
1923,7,male,0.002565
1923,8,male,0.002433
1923,9,male,0.002085
1923,10,male,0.001956
1923,11,male,0.002096
1923,12,male,0.002135
1923,13,male,0.001972
1923,14,male,0.002413
1923,15,male,0.002554
1923,16,male,0.002942
1923,17,male,0.002976
1923,18,male,0.003637
1923,19,male,0.003612
1923,20,male,0.003461
1923,21,male,0.00405
1923,22,male,0.003725
1923,23,male,0.003974
1923,24,male,0.00339
1923,25,male,0.003641
1923,26,male,0.003827
1923,27,male,0.003774
1923,28,male,0.004657
1923,29,male,0.004196
1923,30,male,0.00433
1923,31,male,0.003511
1923,32,male,0.004557
1923,33,male,0.003724
1923,34,male,0.003995
1923,35,male,0.005154
1923,36,male,0.004155
1923,37,male,0.004495
1923,38,male,0.005451
1923,39,male,0.005194
1923,40,male,0.006245
1923,41,male,0.004837
1923,42,male,0.006661
1923,43,male,0.006629
1923,44,male,0.005913
1923,45,male,0.007211
1923,46,male,0.006388
1923,47,male,0.006712
1923,48,male,0.008183
1923,49,male,0.008633
1923,50,male,0.009207
1923,51,male,0.008583
1923,52,male,0.010605
1923,53,male,0.011757
1923,54,male,0.012026
1923,55,male,0.014863
1923,56,male,0.015312
1923,57,male,0.015929
1923,58,male,0.019292
1923,59,male,0.018725
1923,60,male,0.022764
1923,61,male,0.019331
1923,62,male,0.024295
1923,63,male,0.027229
1923,64,male,0.027174
1923,65,male,0.033251
1923,66,male,0.034324
1923,67,male,0.037922
1923,68,male,0.043666
1923,69,male,0.046871
1923,70,male,0.049993
1923,71,male,0.045055
1923,72,male,0.063616
1923,73,male,0.072322
1923,74,male,0.069925
1923,75,male,0.081771
1923,76,male,0.086032
1923,77,male,0.090662
1923,78,male,0.109186
1923,79,male,0.108921
1923,80,male,0.133
1923,81,male,0.108845
1923,82,male,0.145921
1923,83,male,0.171209
1923,84,male,0.175419
1923,85,male,0.195553
1923,86,male,0.231675
1923,87,male,0.231302
1923,88,male,0.239829
1923,89,male,0.251216
1923,90,male,0.286474
1923,91,male,0.225305
1923,92,male,0.326717
1923,93,male,0.256488
1923,94,male,0.343419
1923,95,male,0.329538
1923,96,male,0.285483
1923,97,male,0.351851
1923,98,male,0.456702
1923,99,male,0.36584
1923,100,male,0.430424
1923,101,male,0.466026
1923,102,male,0.51742
1923,103,male,0.5864
1923,104,male,0.702644
1923,105,male,0.992857
1923,106,male,1.771812
1923,107,male,6.0
1923,108,male,0.0
1923,109,male,0.0
1923,110,male,0.0
1924,0,male,0.121907
1924,1,male,0.016601
1924,2,male,0.007343
1924,3,male,0.005243
1924,4,male,0.004086
1924,5,male,0.003107
1924,6,male,0.002431
1924,7,male,0.002525
1924,8,male,0.002225
1924,9,male,0.002188
1924,10,male,0.002049
1924,11,male,0.001986
1924,12,male,0.002051
1924,13,male,0.001983
1924,14,male,0.002052
1924,15,male,0.002334
1924,16,male,0.002586
1924,17,male,0.002792
1924,18,male,0.003214
1924,19,male,0.003414
1924,20,male,0.003523
1924,21,male,0.003356
1924,22,male,0.003367
1924,23,male,0.003927
1924,24,male,0.003799
1924,25,male,0.003477
1924,26,male,0.003289
1924,27,male,0.003347
1924,28,male,0.003927
1924,29,male,0.003422
1924,30,male,0.004099
1924,31,male,0.00331
1924,32,male,0.003783
1924,33,male,0.003355
1924,34,male,0.003928
1924,35,male,0.004862
1924,36,male,0.004035
1924,37,male,0.003915
1924,38,male,0.004929
1924,39,male,0.004865
1924,40,male,0.006059
1924,41,male,0.00464
1924,42,male,0.006227
1924,43,male,0.005784
1924,44,male,0.005689
1924,45,male,0.006968
1924,46,male,0.006511
1924,47,male,0.006555
1924,48,male,0.00813
1924,49,male,0.008122
1924,50,male,0.009328
1924,51,male,0.007293
1924,52,male,0.010668
1924,53,male,0.010742
1924,54,male,0.011658
1924,55,male,0.012913
1924,56,male,0.014248
1924,57,male,0.01424
1924,58,male,0.016581
1924,59,male,0.016851
1924,60,male,0.021481
1924,61,male,0.017444
1924,62,male,0.02292
1924,63,male,0.024867
1924,64,male,0.027588
1924,65,male,0.03246
1924,66,male,0.03292
1924,67,male,0.035406
1924,68,male,0.041671
1924,69,male,0.043736
1924,70,male,0.049694
1924,71,male,0.045386
1924,72,male,0.056154
1924,73,male,0.060285
1924,74,male,0.071767
1924,75,male,0.079937
1924,76,male,0.087604
1924,77,male,0.080388
1924,78,male,0.103431
1924,79,male,0.100094
1924,80,male,0.12082
1924,81,male,0.111265
1924,82,male,0.141124
1924,83,male,0.150578
1924,84,male,0.175148
1924,85,male,0.17047
1924,86,male,0.197787
1924,87,male,0.202173
1924,88,male,0.219081
1924,89,male,0.233913
1924,90,male,0.291475
1924,91,male,0.203568
1924,92,male,0.2996
1924,93,male,0.284851
1924,94,male,0.290282
1924,95,male,0.341654
1924,96,male,0.296405
1924,97,male,0.413028
1924,98,male,0.44293
1924,99,male,0.224884
1924,100,male,0.378333
1924,101,male,0.390383
1924,102,male,0.414817
1924,103,male,0.455803
1924,104,male,0.520392
1924,105,male,0.668108
1924,106,male,1.430769
1924,107,male,0.0
1924,108,male,0.0
1924,109,male,0.0
1924,110,male,0.0
1925,0,male,0.119227
1925,1,male,0.01479
1925,2,male,0.006812
1925,3,male,0.004631
1925,4,male,0.003624
1925,5,male,0.002953
1925,6,male,0.002786
1925,7,male,0.002387
1925,8,male,0.002139
1925,9,male,0.002191
1925,10,male,0.001971
1925,11,male,0.001932
1925,12,male,0.00197
1925,13,male,0.002016
1925,14,male,0.002263
1925,15,male,0.002214
1925,16,male,0.002592
1925,17,male,0.00268
1925,18,male,0.003292
1925,19,male,0.003145
1925,20,male,0.003287
1925,21,male,0.003712
1925,22,male,0.003785
1925,23,male,0.003473
1925,24,male,0.003733
1925,25,male,0.003525
1925,26,male,0.003537
1925,27,male,0.003534
1925,28,male,0.003947
1925,29,male,0.003382
1925,30,male,0.003364
1925,31,male,0.003092
1925,32,male,0.00406
1925,33,male,0.003642
1925,34,male,0.003694
1925,35,male,0.004305
1925,36,male,0.004
1925,37,male,0.00425
1925,38,male,0.00462
1925,39,male,0.004457
1925,40,male,0.005733
1925,41,male,0.004384
1925,42,male,0.006567
1925,43,male,0.005277
1925,44,male,0.005767
1925,45,male,0.0071
1925,46,male,0.005835
1925,47,male,0.006872
1925,48,male,0.007682
1925,49,male,0.007846
1925,50,male,0.00977
1925,51,male,0.008091
1925,52,male,0.009407
1925,53,male,0.011348
1925,54,male,0.010571
1925,55,male,0.013443
1925,56,male,0.014046
1925,57,male,0.015295
1925,58,male,0.017332
1925,59,male,0.015936
1925,60,male,0.020683
1925,61,male,0.017607
1925,62,male,0.022284
1925,63,male,0.023521
1925,64,male,0.028434
1925,65,male,0.0336
1925,66,male,0.032367
1925,67,male,0.035451
1925,68,male,0.040665
1925,69,male,0.043934
1925,70,male,0.051423
1925,71,male,0.041429
1925,72,male,0.057561
1925,73,male,0.064711
1925,74,male,0.070059
1925,75,male,0.082548
1925,76,male,0.086555
1925,77,male,0.089667
1925,78,male,0.104707
1925,79,male,0.098445
1925,80,male,0.126754
1925,81,male,0.105721
1925,82,male,0.134831
1925,83,male,0.14327
1925,84,male,0.168484
1925,85,male,0.201617
1925,86,male,0.199
1925,87,male,0.193532
1925,88,male,0.225941
1925,89,male,0.225965
1925,90,male,0.267594
1925,91,male,0.252243
1925,92,male,0.272261
1925,93,male,0.288347
1925,94,male,0.331847
1925,95,male,0.337231
1925,96,male,0.330407
1925,97,male,0.362095
1925,98,male,0.20394
1925,99,male,0.21847
1925,100,male,0.399087
1925,101,male,0.411561
1925,102,male,0.419554
1925,103,male,0.447832
1925,104,male,0.507081
1925,105,male,0.621818
1925,106,male,1.0
1925,107,male,0.0
1925,108,male,0.0
1925,109,male,0.0
1925,110,male,0.0
1926,0,male,0.127091
1926,1,male,0.018506
1926,2,male,0.007756
1926,3,male,0.005066
1926,4,male,0.003672
1926,5,male,0.003382
1926,6,male,0.002697
1926,7,male,0.002514
1926,8,male,0.001971
1926,9,male,0.002109
1926,10,male,0.001988
1926,11,male,0.001996
1926,12,male,0.002011
1926,13,male,0.002026
1926,14,male,0.002254
1926,15,male,0.002866
