year,age,sex,value
1876,0,male,0.280796
1876,1,male,0.035824
1876,2,male,0.019696
1876,3,male,0.012623
1876,4,male,0.009499
1876,5,male,0.00743
1876,6,male,0.006915
1876,7,male,0.005493
1876,8,male,0.004054
1876,9,male,0.005155
1876,10,male,0.004044
1876,11,male,0.003734
1876,12,male,0.003233
1876,13,male,0.003156
1876,14,male,0.003445
1876,15,male,0.004148
1876,16,male,0.004836
1876,17,male,0.004559
1876,18,male,0.007733
1876,19,male,0.008925
1876,20,male,0.007325
1876,21,male,0.007644
1876,22,male,0.007596
1876,23,male,0.008633
1876,24,male,0.009767
1876,25,male,0.010282
1876,26,male,0.009147
1876,27,male,0.010627
1876,28,male,0.009171
1876,29,male,0.009209
1876,30,male,0.010692
1876,31,male,0.011877
1876,32,male,0.010572
1876,33,male,0.011401
1876,34,male,0.010585
1876,35,male,0.011794
1876,36,male,0.013414
1876,37,male,0.012421
1876,38,male,0.014721
1876,39,male,0.013688
1876,40,male,0.013356
1876,41,male,0.015599
1876,42,male,0.015287
1876,43,male,0.014825
1876,44,male,0.018443
1876,45,male,0.01652
1876,46,male,0.018747
1876,47,male,0.020571
1876,48,male,0.02006
1876,49,male,0.022935
1876,50,male,0.024228
1876,51,male,0.024617
1876,52,male,0.02651
1876,53,male,0.027085
1876,54,male,0.027986
1876,55,male,0.032525
1876,56,male,0.036953
1876,57,male,0.039617
1876,58,male,0.028578
1876,59,male,0.040266
1876,60,male,0.040674
1876,61,male,0.049616
1876,62,male,0.050077
1876,63,male,0.050635
1876,64,male,0.059788
1876,65,male,0.05957
1876,66,male,0.063585
1876,67,male,0.068919
1876,68,male,0.075006
1876,69,male,0.078823
1876,70,male,0.092621
1876,71,male,0.094639
1876,72,male,0.11854
1876,73,male,0.123844
1876,74,male,0.141592
1876,75,male,0.136349
1876,76,male,0.141327
1876,77,male,0.153748
1876,78,male,0.159278
1876,79,male,0.180914
1876,80,male,0.208599
1876,81,male,0.194378
1876,82,male,0.228927
1876,83,male,0.239561
1876,84,male,0.248602
1876,85,male,0.268781
1876,86,male,0.331675
1876,87,male,0.371182
1876,88,male,0.395379
1876,89,male,0.460238
1876,90,male,0.505154
1876,91,male,0.455235
1876,92,male,0.335927
1876,93,male,0.433644
1876,94,male,0.273764
1876,95,male,0.591716
1876,96,male,1.061947
1876,97,male,0.672646
1876,98,male,1.617251
1876,99,male,4.195804
1876,100,male,0.0
1876,101,male,0.0
1876,102,male,0.0
1876,103,male,0.0
1876,104,male,0.0
1876,105,male,0.0
1876,106,male,0.0
1876,107,male,0.0
1876,108,male,0.0
1876,109,male,0.0
1876,110,male,0.0
1877,0,male,0.270573
1877,1,male,0.047251
1877,2,male,0.023718
1877,3,male,0.016905
1877,4,male,0.01442
1877,5,male,0.010449
1877,6,male,0.008337
1877,7,male,0.008283
1877,8,male,0.005748
1877,9,male,0.004946
1877,10,male,0.004729
1877,11,male,0.004045
1877,12,male,0.0041
1877,13,male,0.004371
1877,14,male,0.003741
1877,15,male,0.004541
1877,16,male,0.004575
1877,17,male,0.006082
1877,18,male,0.00679
1877,19,male,0.007023
1877,20,male,0.007458
1877,21,male,0.007825
1877,22,male,0.007508
1877,23,male,0.007886
1877,24,male,0.008642
1877,25,male,0.008588
1877,26,male,0.008982
1877,27,male,0.008774
1877,28,male,0.009585
1877,29,male,0.009915
1877,30,male,0.010072
1877,31,male,0.010492
1877,32,male,0.010442
1877,33,male,0.010391
1877,34,male,0.010912
1877,35,male,0.012764
1877,36,male,0.011556
1877,37,male,0.013185
1877,38,male,0.010329
1877,39,male,0.011649
1877,40,male,0.01269
1877,41,male,0.013289
1877,42,male,0.014102
1877,43,male,0.016131
1877,44,male,0.014612
1877,45,male,0.015236
1877,46,male,0.017065
1877,47,male,0.017144
1877,48,male,0.018853
1877,49,male,0.018991
1877,50,male,0.018974
1877,51,male,0.021806
1877,52,male,0.022663
1877,53,male,0.025196
1877,54,male,0.024039
1877,55,male,0.02967
1877,56,male,0.02884
1877,57,male,0.031321
1877,58,male,0.035093
1877,59,male,0.027461
1877,60,male,0.036174
1877,61,male,0.0414
1877,62,male,0.042414
1877,63,male,0.05113
1877,64,male,0.048813
1877,65,male,0.0532
1877,66,male,0.05918
1877,67,male,0.062662
1877,68,male,0.074324
1877,69,male,0.074206
1877,70,male,0.085265
1877,71,male,0.095084
1877,72,male,0.092689
1877,73,male,0.107589
1877,74,male,0.123953
1877,75,male,0.126508
1877,76,male,0.125215
1877,77,male,0.134085
1877,78,male,0.152058
1877,79,male,0.180853
1877,80,male,0.160151
1877,81,male,0.184663
1877,82,male,0.198615
1877,83,male,0.215928
1877,84,male,0.249118
1877,85,male,0.275798
1877,86,male,0.312814
1877,87,male,0.297905
1877,88,male,0.319913
1877,89,male,0.405219
1877,90,male,0.456155
1877,91,male,0.411476
1877,92,male,0.297062
1877,93,male,0.227946
1877,94,male,0.688765
1877,95,male,0.35468
1877,96,male,0.0
1877,97,male,0.393443
1877,98,male,1.013514
1877,99,male,0.0
1877,100,male,0.0
1877,101,male,0.0
1877,102,male,0.0
1877,103,male,0.0
1877,104,male,0.0
1877,105,male,0.0
1877,106,male,0.0
1877,107,male,0.0
1877,108,male,0.0
1877,109,male,0.0
1877,110,male,0.0
1878,0,male,0.264135
1878,1,male,0.041894
1878,2,male,0.023233
1878,3,male,0.016228
1878,4,male,0.013628
1878,5,male,0.009136
1878,6,male,0.007857
1878,7,male,0.006835
1878,8,male,0.005867
1878,9,male,0.004075
1878,10,male,0.004299
1878,11,male,0.003486
1878,12,male,0.003899
1878,13,male,0.003429
1878,14,male,0.00422
1878,15,male,0.003543
1878,16,male,0.004501
1878,17,male,0.005405
1878,18,male,0.006261
1878,19,male,0.00695
1878,20,male,0.00668
1878,21,male,0.007598
1878,22,male,0.007515
1878,23,male,0.008412
1878,24,male,0.007404
1878,25,male,0.008701
1878,26,male,0.008082
1878,27,male,0.009683
1878,28,male,0.010287
1878,29,male,0.009045
1878,30,male,0.008693
1878,31,male,0.009066
1878,32,male,0.010813
1878,33,male,0.011891
1878,34,male,0.010527
1878,35,male,0.011217
1878,36,male,0.011457
1878,37,male,0.011643
1878,38,male,0.011386
1878,39,male,0.011121
1878,40,male,0.012127
1878,41,male,0.012961
1878,42,male,0.014615
1878,43,male,0.014728
1878,44,male,0.013259
1878,45,male,0.015739
1878,46,male,0.015158
1878,47,male,0.017229
1878,48,male,0.018006
1878,49,male,0.018592
1878,50,male,0.022855
1878,51,male,0.024652
1878,52,male,0.019657
1878,53,male,0.025977
1878,54,male,0.02476
1878,55,male,0.028064
1878,56,male,0.028667
1878,57,male,0.035291
1878,58,male,0.037148
1878,59,male,0.03512
1878,60,male,0.031094
1878,61,male,0.037848
1878,62,male,0.046149
1878,63,male,0.050837
1878,64,male,0.054236
1878,65,male,0.058748
1878,66,male,0.057412
1878,67,male,0.063254
1878,68,male,0.066812
1878,69,male,0.078682
1878,70,male,0.091699
1878,71,male,0.084988
1878,72,male,0.096731
1878,73,male,0.108126
1878,74,male,0.137433
1878,75,male,0.137857
1878,76,male,0.138634
1878,77,male,0.121539
1878,78,male,0.168053
1878,79,male,0.168586
1878,80,male,0.204891
1878,81,male,0.227345
1878,82,male,0.217808
1878,83,male,0.248309
1878,84,male,0.244974
1878,85,male,0.281648
1878,86,male,0.280332
1878,87,male,0.32698
1878,88,male,0.297828
1878,89,male,0.390318
1878,90,male,0.397421
1878,91,male,0.439705
1878,92,male,0.36981
1878,93,male,0.6423
1878,94,male,0.743699
1878,95,male,0.589826
1878,96,male,1.043478
1878,97,male,0.0
1878,98,male,0.0
1878,99,male,2.054795
1878,100,male,0.0
1878,101,male,0.0
1878,102,male,0.0
1878,103,male,0.0
1878,104,male,0.0
1878,105,male,0.0
1878,106,male,0.0
1878,107,male,0.0
1878,108,male,0.0
1878,109,male,0.0
1878,110,male,0.0
1879,0,male,0.255968
1879,1,male,0.034424
1879,2,male,0.018288
1879,3,male,0.01382
1879,4,male,0.009626
1879,5,male,0.008808
1879,6,male,0.006396
1879,7,male,0.004906
1879,8,male,0.004907
1879,9,male,0.004579
1879,10,male,0.003438
1879,11,male,0.003495
1879,12,male,0.003333
1879,13,male,0.003824
1879,14,male,0.003046
1879,15,male,0.003878
1879,16,male,0.004672
1879,17,male,0.00473
1879,18,male,0.006209
1879,19,male,0.007465
1879,20,male,0.007113
1879,21,male,0.007991
1879,22,male,0.007204
1879,23,male,0.007613
1879,24,male,0.007275
1879,25,male,0.008539
1879,26,male,0.009115
1879,27,male,0.008277
1879,28,male,0.009578
1879,29,male,0.010127
1879,30,male,0.010367
1879,31,male,0.007664
1879,32,male,0.009045
1879,33,male,0.01098
1879,34,male,0.012731
1879,35,male,0.011043
1879,36,male,0.012795
1879,37,male,0.010996
1879,38,male,0.012906
1879,39,male,0.014634
1879,40,male,0.014334
1879,41,male,0.011631
1879,42,male,0.014071
1879,43,male,0.014015
1879,44,male,0.016314
1879,45,male,0.015643
1879,46,male,0.015852
1879,47,male,0.016817
1879,48,male,0.019376
1879,49,male,0.021389
1879,50,male,0.0232
1879,51,male,0.021527
1879,52,male,0.022553
1879,53,male,0.022954
1879,54,male,0.023746
1879,55,male,0.027266
1879,56,male,0.027267
1879,57,male,0.033257
1879,58,male,0.036092
1879,59,male,0.040851
1879,60,male,0.044065
1879,61,male,0.033835
1879,62,male,0.041045
1879,63,male,0.055037
1879,64,male,0.054153
1879,65,male,0.059659
1879,66,male,0.058422
1879,67,male,0.067019
1879,68,male,0.073297
1879,69,male,0.082037
1879,70,male,0.092427
1879,71,male,0.100062
1879,72,male,0.090088
1879,73,male,0.125821
1879,74,male,0.132311
1879,75,male,0.144188
1879,76,male,0.149099
1879,77,male,0.160112
1879,78,male,0.175572
1879,79,male,0.178701
1879,80,male,0.205497
1879,81,male,0.204255
1879,82,male,0.238839
1879,83,male,0.217234
1879,84,male,0.286137
