year,age,sex,value
1992,0,male,0.016239
1992,1,male,0.001563
1992,2,male,0.000927
1992,3,male,0.000738
1992,4,male,0.000313
1992,5,male,0.000259
1992,6,male,0.000241
1992,7,male,0.000335
1992,8,male,0.000334
1992,9,male,0.000279
1992,10,male,0.00028
1992,11,male,0.000384
1992,12,male,0.000298
1992,13,male,0.000383
1992,14,male,0.000487
1992,15,male,0.000525
1992,16,male,0.000774
1992,17,male,0.000855
1992,18,male,0.000996
1992,19,male,0.001212
1992,20,male,0.001346
1992,21,male,0.001671
1992,22,male,0.001632
1992,23,male,0.001579
1992,24,male,0.001543
1992,25,male,0.001791
1992,26,male,0.001688
1992,27,male,0.001612
1992,28,male,0.0017
1992,29,male,0.001658
1992,30,male,0.001892
1992,31,male,0.001909
1992,32,male,0.002004
1992,33,male,0.001872
1992,34,male,0.002084
1992,35,male,0.002457
1992,36,male,0.002088
1992,37,male,0.00237
1992,38,male,0.002418
1992,39,male,0.002431
1992,40,male,0.002744
1992,41,male,0.003165
1992,42,male,0.003455
1992,43,male,0.003313
1992,44,male,0.00369
1992,45,male,0.004694
1992,46,male,0.004678
1992,47,male,0.004208
1992,48,male,0.004812
1992,49,male,0.005637
1992,50,male,0.006842
1992,51,male,0.00672
1992,52,male,0.006924
1992,53,male,0.006657
1992,54,male,0.008717
1992,55,male,0.01041
1992,56,male,0.010255
1992,57,male,0.010538
1992,58,male,0.012874
1992,59,male,0.013768
1992,60,male,0.015779
1992,61,male,0.018519
1992,62,male,0.019378
1992,63,male,0.019651
1992,64,male,0.022258
1992,65,male,0.021277
1992,66,male,0.023839
1992,67,male,0.029937
1992,68,male,0.032356
1992,69,male,0.036283
1992,70,male,0.040784
1992,71,male,0.044224
1992,72,male,0.045274
1992,73,male,0.04842
1992,74,male,0.055732
1992,75,male,0.060275
1992,76,male,0.068463
1992,77,male,0.071012
1992,78,male,0.079061
1992,79,male,0.087845
1992,80,male,0.087868
1992,81,male,0.100729
1992,82,male,0.111625
1992,83,male,0.119739
1992,84,male,0.137553
1992,85,male,0.141493
1992,86,male,0.163097
1992,87,male,0.167762
1992,88,male,0.187605
1992,89,male,0.187566
1992,90,male,0.186515
1992,91,male,0.24035
1992,92,male,0.243345
1992,93,male,0.233699
1992,94,male,0.334198
1992,95,male,0.257681
1992,96,male,0.301071
1992,97,male,0.291898
1992,98,male,0.305848
1992,99,male,0.443771
1992,100,male,0.464114
1992,101,male,0.466724
1992,102,male,0.523952
1992,103,male,0.438116
1992,104,male,0.676819
1992,105,male,0.0
1992,106,male,0.3245
1992,107,male,0.0
1992,108,male,0.0
1992,109,male,0.0
1992,110,male,0.0
1993,0,male,0.01506
1993,1,male,0.001372
1993,2,male,0.000599
1993,3,male,0.000469
1993,4,male,0.000379
1993,5,male,0.000282
1993,6,male,0.000359
1993,7,male,0.000341
1993,8,male,0.000359
1993,9,male,0.000269
1993,10,male,0.000318
1993,11,male,0.000302
1993,12,male,0.000329
1993,13,male,0.000371
