year,age,sex,value
1950,0,male,0.075592
1950,1,male,0.005086
1950,2,male,0.00256
1950,3,male,0.001774
1950,4,male,0.001553
1950,5,male,0.000824
1950,6,male,0.000994
1950,7,male,0.00097
1950,8,male,0.000834
1950,9,male,0.000763
1950,10,male,0.000924
1950,11,male,0.000995
1950,12,male,0.000756
1950,13,male,0.001018
1950,14,male,0.001127
1950,15,male,0.001113
1950,16,male,0.001451
1950,17,male,0.001586
1950,18,male,0.001976
1950,19,male,0.002352
1950,20,male,0.002296
1950,21,male,0.002567
1950,22,male,0.001889
1950,23,male,0.002266
1950,24,male,0.002184
1950,25,male,0.002379
1950,26,male,0.002646
1950,27,male,0.002715
1950,28,male,0.002717
1950,29,male,0.002685
1950,30,male,0.00239
1950,31,male,0.002665
1950,32,male,0.002614
1950,33,male,0.002789
1950,34,male,0.003078
1950,35,male,0.003348
1950,36,male,0.00296
1950,37,male,0.003204
1950,38,male,0.003091
1950,39,male,0.00354
1950,40,male,0.004143
1950,41,male,0.00419
1950,42,male,0.00483
1950,43,male,0.005317
1950,44,male,0.005528
1950,45,male,0.005945
1950,46,male,0.006229
1950,47,male,0.006999
1950,48,male,0.007651
1950,49,male,0.00895
1950,50,male,0.010319
1950,51,male,0.01042
1950,52,male,0.012019
1950,53,male,0.013742
1950,54,male,0.01474
1950,55,male,0.016552
1950,56,male,0.017697
1950,57,male,0.018088
1950,58,male,0.020178
1950,59,male,0.022046
1950,60,male,0.025806
1950,61,male,0.027667
1950,62,male,0.029316
1950,63,male,0.033369
1950,64,male,0.033944
1950,65,male,0.03815
1950,66,male,0.041314
1950,67,male,0.043632
1950,68,male,0.050762
1950,69,male,0.049814
1950,70,male,0.058264
1950,71,male,0.066252
1950,72,male,0.070187
1950,73,male,0.074224
1950,74,male,0.087606
1950,75,male,0.090368
1950,76,male,0.100328
1950,77,male,0.104524
1950,78,male,0.110355
1950,79,male,0.129168
1950,80,male,0.145035
1950,81,male,0.146567
1950,82,male,0.177466
1950,83,male,0.190801
1950,84,male,0.219295
1950,85,male,0.212551
1950,86,male,0.259422
1950,87,male,0.274101
1950,88,male,0.269658
1950,89,male,0.33583
1950,90,male,0.314455
1950,91,male,0.384964
1950,92,male,0.418005
1950,93,male,0.36164
1950,94,male,0.542819
1950,95,male,0.40985
1950,96,male,0.603079
1950,97,male,0.190678
1950,98,male,1.244579
1950,99,male,0.250209
1950,100,male,1.0
1950,101,male,0.793462
1950,102,male,4.230769
1950,103,male,0.0
1950,104,male,0.0
1950,105,male,0.0
1950,106,male,0.0
1950,107,male,0.0
1950,108,male,0.0
1950,109,male,0.0
1950,110,male,0.0
1951,0,male,0.065325
1951,1,male,0.005413
1951,2,male,0.002445
1951,3,male,0.001649
1951,4,male,0.001275
1951,5,male,0.000866
1951,6,male,0.000849
1951,7,male,0.000917
1951,8,male,0.000862
1951,9,male,0.000833
1951,10,male,0.000671
1951,11,male,0.000842
1951,12,male,0.000593
1951,13,male,0.000718
1951,14,male,0.0012
1951,15,male,0.000885
1951,16,male,0.001288
1951,17,male,0.001601
1951,18,male,0.001746
1951,19,male,0.001919
1951,20,male,0.002156
1951,21,male,0.001928
1951,22,male,0.002188
1951,23,male,0.002363
1951,24,male,0.002205
1951,25,male,0.002256
1951,26,male,0.002062
1951,27,male,0.002286
1951,28,male,0.002495
1951,29,male,0.002047
1951,30,male,0.00274
1951,31,male,0.00263
1951,32,male,0.002153
1951,33,male,0.003018
1951,34,male,0.002774
1951,35,male,0.003185
1951,36,male,0.002835
1951,37,male,0.002816
1951,38,male,0.002909
1951,39,male,0.003412
1951,40,male,0.003502
1951,41,male,0.004192
1951,42,male,0.004474
1951,43,male,0.004579
1951,44,male,0.00535
1951,45,male,0.005537
1951,46,male,0.006228
1951,47,male,0.006771
1951,48,male,0.008373
1951,49,male,0.009199
1951,50,male,0.010052
1951,51,male,0.010539
1951,52,male,0.012503
1951,53,male,0.013722
1951,54,male,0.014746
1951,55,male,0.017445
1951,56,male,0.01737
1951,57,male,0.018661
1951,58,male,0.020268
1951,59,male,0.023406
1951,60,male,0.025795
1951,61,male,0.028286
1951,62,male,0.028851
1951,63,male,0.032054
1951,64,male,0.036294
1951,65,male,0.038148
1951,66,male,0.042435
1951,67,male,0.044693
1951,68,male,0.047873
1951,69,male,0.052376
1951,70,male,0.057607
1951,71,male,0.063008
1951,72,male,0.072132
1951,73,male,0.077336
1951,74,male,0.080468
1951,75,male,0.093617
1951,76,male,0.097132
1951,77,male,0.108171
1951,78,male,0.121121
1951,79,male,0.13144
1951,80,male,0.140996
1951,81,male,0.160349
1951,82,male,0.175969
1951,83,male,0.201864
1951,84,male,0.212507
1951,85,male,0.243588
1951,86,male,0.241826
1951,87,male,0.275484
1951,88,male,0.323219
1951,89,male,0.341417
1951,90,male,0.3493
1951,91,male,0.33999
1951,92,male,0.397147
1951,93,male,0.425567
1951,94,male,0.422354
1951,95,male,0.462637
1951,96,male,0.391751
1951,97,male,0.610169
1951,98,male,0.517241
1951,99,male,0.428113
1951,100,male,0.46332
1951,101,male,1.2
1951,102,male,0.0
1951,103,male,0.0
1951,104,male,0.0
1951,105,male,0.0
1951,106,male,0.0
1951,107,male,0.0
1951,108,male,0.0
1951,109,male,0.0
1951,110,male,0.0
1952,0,male,0.051723
1952,1,male,0.003987
1952,2,male,0.001979
1952,3,male,0.001315
1952,4,male,0.000969
1952,5,male,0.000903
1952,6,male,0.001043
1952,7,male,0.000748
1952,8,male,0.000497
1952,9,male,0.0007
1952,10,male,0.000716
1952,11,male,0.000426
1952,12,male,0.000743
1952,13,male,0.000696
1952,14,male,0.00068
1952,15,male,0.000736
1952,16,male,0.001177
1952,17,male,0.00141
