year,age,sex,value
1956,0,male,0.052821
1956,1,male,0.004429
1956,2,male,0.002173
1956,3,male,0.001323
1956,4,male,0.001038
1956,5,male,0.000982
1956,6,male,0.000741
1956,7,male,0.000629
1956,8,male,0.000637
1956,9,male,0.000642
1956,10,male,0.00054
1956,11,male,0.000644
1956,12,male,0.000562
1956,13,male,0.000566
1956,14,male,0.00066
1956,15,male,0.000772
1956,16,male,0.000906
1956,17,male,0.000935
1956,18,male,0.001449
1956,19,male,0.001489
1956,20,male,0.001637
1956,21,male,0.00161
1956,22,male,0.001608
1956,23,male,0.001762
1956,24,male,0.001735
1956,25,male,0.001905
1956,26,male,0.001758
1956,27,male,0.001461
1956,28,male,0.001793
1956,29,male,0.001852
1956,30,male,0.001383
1956,31,male,0.001561
1956,32,male,0.001713
1956,33,male,0.001778
1956,34,male,0.00188
1956,35,male,0.002236
1956,36,male,0.002196
1956,37,male,0.001897
1956,38,male,0.00241
1956,39,male,0.002315
1956,40,male,0.002811
1956,41,male,0.003696
1956,42,male,0.002919
1956,43,male,0.00377
1956,44,male,0.00383
1956,45,male,0.00399
1956,46,male,0.00446
1956,47,male,0.00506
1956,48,male,0.005553
1956,49,male,0.006002
1956,50,male,0.007167
1956,51,male,0.007786
1956,52,male,0.008555
1956,53,male,0.009268
1956,54,male,0.011046
1956,55,male,0.011927
1956,56,male,0.013493
1956,57,male,0.014864
1956,58,male,0.015979
1956,59,male,0.018094
1956,60,male,0.018882
1956,61,male,0.021238
1956,62,male,0.022745
1956,63,male,0.025181
1956,64,male,0.027201
1956,65,male,0.030269
1956,66,male,0.031592
1956,67,male,0.036869
1956,68,male,0.040054
1956,69,male,0.043083
1956,70,male,0.04678
1956,71,male,0.051578
1956,72,male,0.056939
1956,73,male,0.061406
1956,74,male,0.067976
1956,75,male,0.077917
1956,76,male,0.084144
1956,77,male,0.096303
1956,78,male,0.105636
1956,79,male,0.115379
1956,80,male,0.129907
1956,81,male,0.143642
1956,82,male,0.158994
1956,83,male,0.172301
1956,84,male,0.185847
1956,85,male,0.20591
1956,86,male,0.234338
1956,87,male,0.267141
1956,88,male,0.275362
1956,89,male,0.305107
1956,90,male,0.332201
1956,91,male,0.35622
1956,92,male,0.381512
1956,93,male,0.460448
1956,94,male,0.339203
1956,95,male,0.452692
1956,96,male,0.537777
1956,97,male,0.435122
1956,98,male,0.641454
1956,99,male,0.411899
1956,100,male,0.246103
1956,101,male,0.0
1956,102,male,0.0
1956,103,male,0.0
1956,104,male,0.0
1956,105,male,0.0
1956,106,male,0.0
1956,107,male,0.0
1956,108,male,0.0
1956,109,male,0.0
1956,110,male,0.0
1957,0,male,0.05204
1957,1,male,0.004412
1957,2,male,0.001953
1957,3,male,0.001551
1957,4,male,0.001127
1957,5,male,0.000995
1957,6,male,0.000878
1957,7,male,0.000915
1957,8,male,0.000711
1957,9,male,0.000699
1957,10,male,0.000598
1957,11,male,0.000458
1957,12,male,0.00053
1957,13,male,0.000681
1957,14,male,0.000778
1957,15,male,0.000888
1957,16,male,0.001013
1957,17,male,0.001149
1957,18,male,0.001434
1957,19,male,0.001724
1957,20,male,0.001691
1957,21,male,0.001753
1957,22,male,0.001637
1957,23,male,0.001713
1957,24,male,0.001743
1957,25,male,0.001525
1957,26,male,0.001911
1957,27,male,0.001703
1957,28,male,0.001565
1957,29,male,0.001741
1957,30,male,0.001637
1957,31,male,0.001759
1957,32,male,0.001821
1957,33,male,0.001816
1957,34,male,0.002118
1957,35,male,0.00213
1957,36,male,0.00228
1957,37,male,0.00272
1957,38,male,0.002288
1957,39,male,0.00273
1957,40,male,0.00275
1957,41,male,0.002988
1957,42,male,0.003596
1957,43,male,0.003605
1957,44,male,0.00372
1957,45,male,0.004371
1957,46,male,0.00481
1957,47,male,0.005262
1957,48,male,0.005091
1957,49,male,0.006749
1957,50,male,0.006846
1957,51,male,0.0082
1957,52,male,0.008778
1957,53,male,0.010053
1957,54,male,0.010849
1957,55,male,0.013098
1957,56,male,0.013757
1957,57,male,0.015641
1957,58,male,0.018084
1957,59,male,0.019587
1957,60,male,0.020915
1957,61,male,0.022376
1957,62,male,0.024966
1957,63,male,0.027491
1957,64,male,0.029471
1957,65,male,0.031956
1957,66,male,0.036448
1957,67,male,0.037798
1957,68,male,0.04226
1957,69,male,0.048006
1957,70,male,0.049743
1957,71,male,0.055718
1957,72,male,0.063381
1957,73,male,0.06817
1957,74,male,0.075279
1957,75,male,0.080898
1957,76,male,0.091383
1957,77,male,0.097483
1957,78,male,0.106457
1957,79,male,0.120011
1957,80,male,0.133047
1957,81,male,0.146979
1957,82,male,0.157539
1957,83,male,0.181403
1957,84,male,0.187842
1957,85,male,0.220372
1957,86,male,0.231519
1957,87,male,0.255303
1957,88,male,0.283142
1957,89,male,0.315357
1957,90,male,0.357367
1957,91,male,0.343293
1957,92,male,0.410646
1957,93,male,0.451651
1957,94,male,0.459876
1957,95,male,0.427189
1957,96,male,0.62833
1957,97,male,0.630694
1957,98,male,0.513015
1957,99,male,0.472162
1957,100,male,0.766553
1957,101,male,0.817627
1957,102,male,1.225
1957,103,male,0.0
1957,104,male,0.0
1957,105,male,0.0
1957,106,male,0.0
1957,107,male,0.0
