year,age,sex,value
1990,0,male,0.008085
1990,1,male,0.000676
1990,2,male,0.000462
1990,3,male,0.000426
1990,4,male,0.000303
1990,5,male,0.000295
1990,6,male,0.000217
1990,7,male,0.000266
1990,8,male,0.000258
1990,9,male,0.000182
1990,10,male,0.00021
1990,11,male,0.000237
1990,12,male,0.000185
1990,13,male,0.000249
1990,14,male,0.000351
1990,15,male,0.000392
1990,16,male,0.000564
1990,17,male,0.000684
1990,18,male,0.001138
1990,19,male,0.001144
1990,20,male,0.001101
1990,21,male,0.001205
1990,22,male,0.001113
1990,23,male,0.001096
1990,24,male,0.000978
1990,25,male,0.001115
1990,26,male,0.001077
1990,27,male,0.001078
1990,28,male,0.001136
1990,29,male,0.001261
1990,30,male,0.001356
1990,31,male,0.001263
1990,32,male,0.001465
1990,33,male,0.001633
1990,34,male,0.001654
1990,35,male,0.001807
1990,36,male,0.001792
1990,37,male,0.002108
1990,38,male,0.002144
1990,39,male,0.002312
1990,40,male,0.002453
1990,41,male,0.002522
1990,42,male,0.00292
1990,43,male,0.003168
1990,44,male,0.003256
1990,45,male,0.003928
1990,46,male,0.004416
1990,47,male,0.004546
1990,48,male,0.005157
1990,49,male,0.005465
1990,50,male,0.006414
1990,51,male,0.006779
1990,52,male,0.007286
1990,53,male,0.008482
1990,54,male,0.009207
1990,55,male,0.010777
1990,56,male,0.011125
1990,57,male,0.012417
1990,58,male,0.013686
1990,59,male,0.015476
1990,60,male,0.017003
1990,61,male,0.018529
1990,62,male,0.019418
1990,63,male,0.021235
1990,64,male,0.022892
1990,65,male,0.025691
1990,66,male,0.028059
1990,67,male,0.030386
1990,68,male,0.033676
1990,69,male,0.037054
1990,70,male,0.045213
1990,71,male,0.041158
1990,72,male,0.047645
1990,73,male,0.05399
1990,74,male,0.055466
1990,75,male,0.066582
1990,76,male,0.071255
1990,77,male,0.080223
1990,78,male,0.088665
1990,79,male,0.098003
1990,80,male,0.110402
1990,81,male,0.121252
1990,82,male,0.132377
1990,83,male,0.149039
1990,84,male,0.161113
1990,85,male,0.178681
1990,86,male,0.195221
1990,87,male,0.213231
1990,88,male,0.230125
1990,89,male,0.247313
1990,90,male,0.276776
1990,91,male,0.288668
1990,92,male,0.313404
1990,93,male,0.346531
1990,94,male,0.374532
1990,95,male,0.402871
1990,96,male,0.427282
1990,97,male,0.440316
1990,98,male,0.435461
1990,99,male,0.505502
1990,100,male,0.736994
1990,101,male,0.666667
1990,102,male,0.71618
1990,103,male,0.707692
1990,104,male,0.550459
1990,105,male,0.734694
1990,106,male,0.193548
1990,107,male,0.375
1990,108,male,1.2
1990,109,male,2.307692
1990,110,male,6.0
1991,0,male,0.007275
1991,1,male,0.000676
1991,2,male,0.000452
1991,3,male,0.000371
1991,4,male,0.000298
1991,5,male,0.000263
1991,6,male,0.000214
1991,7,male,0.000208
1991,8,male,0.000238
