year,age,sex,value
1956,0,male,0.045558
1956,1,male,0.003064
1956,2,male,0.001502
1956,3,male,0.001229
1956,4,male,0.000983
1956,5,male,0.000875
1956,6,male,0.000853
1956,7,male,0.000632
1956,8,male,0.000541
1956,9,male,0.000537
1956,10,male,0.000434
1956,11,male,0.000543
1956,12,male,0.00049
1956,13,male,0.000535
1956,14,male,0.000666
1956,15,male,0.000756
1956,16,male,0.000952
1956,17,male,0.001112
1956,18,male,0.001429
1956,19,male,0.00177
1956,20,male,0.001918
1956,21,male,0.002044
1956,22,male,0.00193
1956,23,male,0.001877
1956,24,male,0.001885
1956,25,male,0.001739
1956,26,male,0.001752
1956,27,male,0.001938
1956,28,male,0.001792
1956,29,male,0.001899
1956,30,male,0.001746
1956,31,male,0.001846
1956,32,male,0.002061
1956,33,male,0.001872
1956,34,male,0.002169
1956,35,male,0.002149
1956,36,male,0.002655
1956,37,male,0.002199
1956,38,male,0.002481
1956,39,male,0.002886
1956,40,male,0.002905
1956,41,male,0.003508
1956,42,male,0.003482
1956,43,male,0.003795
1956,44,male,0.004273
1956,45,male,0.004602
1956,46,male,0.005285
1956,47,male,0.00578
1956,48,male,0.006294
1956,49,male,0.006973
1956,50,male,0.007647
1956,51,male,0.008698
1956,52,male,0.009904
1956,53,male,0.01094
1956,54,male,0.012206
1956,55,male,0.013597
1956,56,male,0.015407
1956,57,male,0.017128
1956,58,male,0.018236
1956,59,male,0.020291
1956,60,male,0.022069
1956,61,male,0.023632
1956,62,male,0.025819
1956,63,male,0.027704
1956,64,male,0.029953
1956,65,male,0.033877
1956,66,male,0.036155
1956,67,male,0.038884
1956,68,male,0.04358
1956,69,male,0.04749
1956,70,male,0.052338
1956,71,male,0.056979
1956,72,male,0.06496
1956,73,male,0.070099
1956,74,male,0.077936
1956,75,male,0.083691
1956,76,male,0.096868
1956,77,male,0.107087
1956,78,male,0.116475
1956,79,male,0.127376
1956,80,male,0.137157
1956,81,male,0.150138
1956,82,male,0.165936
1956,83,male,0.183667
1956,84,male,0.196279
1956,85,male,0.224507
1956,86,male,0.250769
1956,87,male,0.262923
1956,88,male,0.286889
1956,89,male,0.310782
1956,90,male,0.331468
1956,91,male,0.363397
1956,92,male,0.40482
1956,93,male,0.39161
1956,94,male,0.432398
1956,95,male,0.463288
1956,96,male,0.4821
1956,97,male,0.500451
1956,98,male,0.501197
1956,99,male,0.548328
1956,100,male,0.614518
1956,101,male,0.506187
1956,102,male,1.084974
1956,103,male,1.581395
1956,104,male,4.263158
1956,105,male,0.0
1956,106,male,0.0
1956,107,male,0.0
1956,108,male,0.0
1956,109,male,0.0
1956,110,male,0.0
1957,0,male,0.043366
1957,1,male,0.002815
1957,2,male,0.001525
1957,3,male,0.001124
1957,4,male,0.000909
1957,5,male,0.000844
1957,6,male,0.000778
1957,7,male,0.000779
1957,8,male,0.000614
1957,9,male,0.000574
1957,10,male,0.00057
1957,11,male,0.000517
1957,12,male,0.000524
1957,13,male,0.000517
1957,14,male,0.000673
1957,15,male,0.000914
1957,16,male,0.001082
1957,17,male,0.00122
1957,18,male,0.001591
1957,19,male,0.001815
1957,20,male,0.002087
1957,21,male,0.00224
1957,22,male,0.002102
1957,23,male,0.002067
1957,24,male,0.001911
1957,25,male,0.001822
1957,26,male,0.0019
1957,27,male,0.001817
1957,28,male,0.001847
1957,29,male,0.001761
1957,30,male,0.001798
1957,31,male,0.001969
1957,32,male,0.002071
1957,33,male,0.002075
1957,34,male,0.002013
1957,35,male,0.002371
1957,36,male,0.002243
1957,37,male,0.002514
1957,38,male,0.002414
1957,39,male,0.002973
1957,40,male,0.002964
1957,41,male,0.003102
1957,42,male,0.003689
1957,43,male,0.003676
1957,44,male,0.004115
1957,45,male,0.004841
1957,46,male,0.005083
1957,47,male,0.00582
1957,48,male,0.006547
1957,49,male,0.006875
1957,50,male,0.008279
1957,51,male,0.008901
1957,52,male,0.009809
1957,53,male,0.010971
1957,54,male,0.012541
1957,55,male,0.014388
1957,56,male,0.015321
1957,57,male,0.017494
1957,58,male,0.019296
1957,59,male,0.021133
1957,60,male,0.023369
1957,61,male,0.024494
1957,62,male,0.027236
1957,63,male,0.028845
1957,64,male,0.031515
1957,65,male,0.036027
1957,66,male,0.038983
1957,67,male,0.041104
1957,68,male,0.044943
1957,69,male,0.048389
1957,70,male,0.05494
1957,71,male,0.061216
1957,72,male,0.065862
1957,73,male,0.071427
1957,74,male,0.07718
1957,75,male,0.087652
1957,76,male,0.093395
1957,77,male,0.103524
1957,78,male,0.115988
1957,79,male,0.123837
1957,80,male,0.135843
1957,81,male,0.145055
1957,82,male,0.162224
1957,83,male,0.175157
1957,84,male,0.189367
1957,85,male,0.208866
1957,86,male,0.234281
1957,87,male,0.268174
1957,88,male,0.272588
1957,89,male,0.308648
1957,90,male,0.335018
1957,91,male,0.337265
1957,92,male,0.378976
1957,93,male,0.435024
1957,94,male,0.37449
1957,95,male,0.444868
1957,96,male,0.460071
1957,97,male,0.542205
1957,98,male,0.519493
1957,99,male,0.483092
1957,100,male,0.776288
1957,101,male,0.920481
1957,102,male,0.907819
1957,103,male,1.247136
1957,104,male,6.0
1957,105,male,0.0
1957,106,male,0.0
1957,107,male,0.0
1957,108,male,0.0
1957,109,male,0.0
1957,110,male,0.0
1958,0,male,0.041538
1958,1,male,0.002746
1958,2,male,0.001467
1958,3,male,0.001023
1958,4,male,0.000943
1958,5,male,0.000745
1958,6,male,0.000676
1958,7,male,0.000611
1958,8,male,0.000638
1958,9,male,0.00051
1958,10,male,0.000447
1958,11,male,0.00046
1958,12,male,0.000491
1958,13,male,0.000472
1958,14,male,0.000641
1958,15,male,0.000754
1958,16,male,0.000937
1958,17,male,0.001028
1958,18,male,0.001507
1958,19,male,0.001842
1958,20,male,0.001804
1958,21,male,0.001941
1958,22,male,0.001863
1958,23,male,0.001753
1958,24,male,0.001763
1958,25,male,0.001825
1958,26,male,0.001715
1958,27,male,0.00169
1958,28,male,0.00173
1958,29,male,0.001688
1958,30,male,0.00182
1958,31,male,0.001838
1958,32,male,0.001841
1958,33,male,0.00186
1958,34,male,0.002042
1958,35,male,0.00212
1958,36,male,0.002305
1958,37,male,0.002275
1958,38,male,0.002811
1958,39,male,0.002736
1958,40,male,0.002701
1958,41,male,0.003241
1958,42,male,0.003248
1958,43,male,0.00374
1958,44,male,0.003839
1958,45,male,0.004169
1958,46,male,0.004802
1958,47,male,0.005245
1958,48,male,0.005801
1958,49,male,0.006745
1958,50,male,0.007488
1958,51,male,0.008477
1958,52,male,0.00916
1958,53,male,0.010166
1958,54,male,0.011953
1958,55,male,0.013001
1958,56,male,0.014551
