year,age,sex,value
1835,0,male,0.236826
1835,1,male,0.061262
1835,2,male,0.045729
1835,3,male,0.028845
1835,4,male,0.017906
1835,5,male,0.015085
1835,6,male,0.013928
1835,7,male,0.012572
1835,8,male,0.011096
1835,9,male,0.009671
1835,10,male,0.00833
1835,11,male,0.007274
1835,12,male,0.006519
1835,13,male,0.006017
1835,14,male,0.005779
1835,15,male,0.005768
1835,16,male,0.005853
1835,17,male,0.006019
1835,18,male,0.006326
1835,19,male,0.006863
1835,20,male,0.007624
1835,21,male,0.008289
1835,22,male,0.008662
1835,23,male,0.008796
1835,24,male,0.00876
1835,25,male,0.008773
1835,26,male,0.008804
1835,27,male,0.008714
1835,28,male,0.008693
1835,29,male,0.008777
1835,30,male,0.008803
1835,31,male,0.008976
1835,32,male,0.009461
1835,33,male,0.010042
1835,34,male,0.010763
1835,35,male,0.011834
1835,36,male,0.012871
1835,37,male,0.013448
1835,38,male,0.013814
1835,39,male,0.014071
1835,40,male,0.01407
1835,41,male,0.014156
1835,42,male,0.014603
1835,43,male,0.015304
1835,44,male,0.016372
1835,45,male,0.01801
1835,46,male,0.019555
1835,47,male,0.02048
1835,48,male,0.021161
1835,49,male,0.021547
1835,50,male,0.021598
1835,51,male,0.021891
1835,52,male,0.022681
1835,53,male,0.023797
1835,54,male,0.025261
1835,55,male,0.027131
1835,56,male,0.028961
1835,57,male,0.030569
1835,58,male,0.032234
1835,59,male,0.034263
1835,60,male,0.036672
1835,61,male,0.039273
1835,62,male,0.042036
1835,63,male,0.045149
1835,64,male,0.048484
1835,65,male,0.051982
1835,66,male,0.055483
1835,67,male,0.059094
1835,68,male,0.063065
1835,69,male,0.067575
1835,70,male,0.072681
1835,71,male,0.078089
1835,72,male,0.083375
1835,73,male,0.087752
1835,74,male,0.091705
1835,75,male,0.096004
1835,76,male,0.100974
1835,77,male,0.107543
1835,78,male,0.116587
1835,79,male,0.129042
1835,80,male,0.145715
1835,81,male,0.165489
1835,82,male,0.187592
1835,83,male,0.210473
1835,84,male,0.231726
1835,85,male,0.248417
1835,86,male,0.261842
1835,87,male,0.272541
1835,88,male,0.280677
1835,89,male,0.284283
1835,90,male,0.279193
1835,91,male,0.263821
1835,92,male,0.237216
1835,93,male,0.200241
1835,94,male,0.179669
1835,95,male,0.219651
1835,96,male,0.278033
1835,97,male,0.347799
1835,98,male,0.459713
1835,99,male,0.574521
1835,100,male,0.591781
1835,101,male,0.338521
1835,102,male,0.0
1835,103,male,0.0
1835,104,male,0.0
1835,105,male,0.0
1835,106,male,0.0
1835,107,male,0.0
1835,108,male,0.0
1835,109,male,0.0
1835,110,male,0.0
1836,0,male,0.233871
1836,1,male,0.049919
1836,2,male,0.037559
1836,3,male,0.021411
1836,4,male,0.011338
1836,5,male,0.009928
1836,6,male,0.010059
1836,7,male,0.00987
1836,8,male,0.009267
1836,9,male,0.008314
1836,10,male,0.007225
1836,11,male,0.006314
1836,12,male,0.005652
1836,13,male,0.005213
1836,14,male,0.004963
1836,15,male,0.004902
1836,16,male,0.004995
1836,17,male,0.005232
1836,18,male,0.005633
1836,19,male,0.006261
1836,20,male,0.007168
1836,21,male,0.008157
1836,22,male,0.008954
1836,23,male,0.00936
1836,24,male,0.009428
1836,25,male,0.009281
1836,26,male,0.009311
1836,27,male,0.009378
1836,28,male,0.009284
1836,29,male,0.009235
1836,30,male,0.009279
1836,31,male,0.009313
1836,32,male,0.009599
1836,33,male,0.010331
1836,34,male,0.011291
1836,35,male,0.012452
1836,36,male,0.013741
1836,37,male,0.014744
1836,38,male,0.014979
1836,39,male,0.014718
1836,40,male,0.014204
1836,41,male,0.013801
1836,42,male,0.013809
1836,43,male,0.014462
1836,44,male,0.015685
1836,45,male,0.01751
1836,46,male,0.019699
1836,47,male,0.021565
1836,48,male,0.022533
1836,49,male,0.022998
1836,50,male,0.023019
1836,51,male,0.022954
1836,52,male,0.023266
1836,53,male,0.024154
1836,54,male,0.025436
1836,55,male,0.02705
1836,56,male,0.028786
1836,57,male,0.03046
1836,58,male,0.031983
1836,59,male,0.033665
1836,60,male,0.035914
1836,61,male,0.039001
1836,62,male,0.042455
1836,63,male,0.046147
1836,64,male,0.050282
1836,65,male,0.054526
1836,66,male,0.058169
1836,67,male,0.061227
1836,68,male,0.063858
1836,69,male,0.066228
1836,70,male,0.068643
1836,71,male,0.072231
1836,72,male,0.077233
1836,73,male,0.083555
1836,74,male,0.090814
1836,75,male,0.099688
1836,76,male,0.109894
1836,77,male,0.120114
1836,78,male,0.130724
1836,79,male,0.142163
1836,80,male,0.154699
1836,81,male,0.16939
1836,82,male,0.187051
1836,83,male,0.207162
1836,84,male,0.227518
1836,85,male,0.246015
1836,86,male,0.262712
1836,87,male,0.276245
1836,88,male,0.285127
1836,89,male,0.289196
1836,90,male,0.286768
