year,age,sex,value
1908,0,male,0.18925
1908,1,male,0.086348
1908,2,male,0.045458
1908,3,male,0.025782
1908,4,male,0.016578
1908,5,male,0.01084
1908,6,male,0.00871
1908,7,male,0.005734
1908,8,male,0.004681
1908,9,male,0.003865
1908,10,male,0.003294
1908,11,male,0.003105
1908,12,male,0.003364
1908,13,male,0.003533
1908,14,male,0.003898
1908,15,male,0.003659
1908,16,male,0.004325
1908,17,male,0.006337
1908,18,male,0.007735
1908,19,male,0.006952
1908,20,male,0.00665
1908,21,male,0.006717
1908,22,male,0.007965
1908,23,male,0.007957
1908,24,male,0.008333
1908,25,male,0.007871
1908,26,male,0.008003
1908,27,male,0.006303
1908,28,male,0.007841
1908,29,male,0.007109
1908,30,male,0.009533
1908,31,male,0.005751
1908,32,male,0.007986
1908,33,male,0.008276
1908,34,male,0.00848
1908,35,male,0.009748
1908,36,male,0.009792
1908,37,male,0.005894
1908,38,male,0.008556
1908,39,male,0.00837
1908,40,male,0.017032
1908,41,male,0.007959
1908,42,male,0.0121
1908,43,male,0.00921
1908,44,male,0.013002
1908,45,male,0.01567
1908,46,male,0.013919
1908,47,male,0.009519
1908,48,male,0.013993
1908,49,male,0.013208
1908,50,male,0.029158
1908,51,male,0.012557
1908,52,male,0.018714
1908,53,male,0.015451
1908,54,male,0.02319
1908,55,male,0.024482
1908,56,male,0.027699
1908,57,male,0.015663
1908,58,male,0.021907
1908,59,male,0.025391
1908,60,male,0.060436
1908,61,male,0.025146
1908,62,male,0.039944
1908,63,male,0.034162
1908,64,male,0.051424
1908,65,male,0.059993
1908,66,male,0.062552
1908,67,male,0.040103
1908,68,male,0.054682
1908,69,male,0.052251
1908,70,male,0.152819
1908,71,male,0.055314
1908,72,male,0.090782
1908,73,male,0.080704
1908,74,male,0.113978
1908,75,male,0.137775
1908,76,male,0.136578
1908,77,male,0.107382
1908,78,male,0.147453
1908,79,male,0.129896
1908,80,male,0.264977
1908,81,male,0.089355
1908,82,male,0.176653
1908,83,male,0.151016
1908,84,male,0.237431
1908,85,male,0.224229
1908,86,male,0.237885
1908,87,male,0.211403
1908,88,male,0.295865
1908,89,male,0.213956
1908,90,male,0.388721
1908,91,male,0.161243
1908,92,male,0.227947
1908,93,male,0.246617
1908,94,male,0.226654
1908,95,male,0.281734
1908,96,male,0.406683
1908,97,male,0.323611
1908,98,male,0.449428
1908,99,male,0.324216
1908,100,male,0.151971
1908,101,male,0.580395
1908,102,male,0.639205
1908,103,male,0.783966
1908,104,male,1.008212
1908,105,male,1.404624
1908,106,male,2.445378
1908,107,male,6.0
1908,108,male,0.0
1908,109,male,0.0
1908,110,male,0.0
1909,0,male,0.195791
1909,1,male,0.082058
1909,2,male,0.043256
1909,3,male,0.024846
1909,4,male,0.016483
1909,5,male,0.010876
1909,6,male,0.008547
1909,7,male,0.006196
1909,8,male,0.00438
1909,9,male,0.003698
1909,10,male,0.003416
1909,11,male,0.003093
1909,12,male,0.003326
1909,13,male,0.003307
1909,14,male,0.00397
1909,15,male,0.004058
1909,16,male,0.004391
1909,17,male,0.005884
1909,18,male,0.007666
1909,19,male,0.007545
1909,20,male,0.007849
1909,21,male,0.006486
1909,22,male,0.008739
1909,23,male,0.008375
1909,24,male,0.00819
1909,25,male,0.008212
1909,26,male,0.007413
1909,27,male,0.007608
1909,28,male,0.007516
1909,29,male,0.006107
1909,30,male,0.011209
1909,31,male,0.006137
1909,32,male,0.009447
1909,33,male,0.008708
1909,34,male,0.008265
1909,35,male,0.010484
1909,36,male,0.009723
1909,37,male,0.0089
1909,38,male,0.008388
1909,39,male,0.00692
1909,40,male,0.019461
1909,41,male,0.007911
1909,42,male,0.014316
1909,43,male,0.009603
1909,44,male,0.011479
1909,45,male,0.018368
1909,46,male,0.014924
1909,47,male,0.013444
1909,48,male,0.013414
1909,49,male,0.010998
1909,50,male,0.03134
1909,51,male,0.014315
1909,52,male,0.023309
1909,53,male,0.016248
1909,54,male,0.021351
1909,55,male,0.028094
1909,56,male,0.029095
1909,57,male,0.023025
1909,58,male,0.021533
1909,59,male,0.019148
1909,60,male,0.068588
1909,61,male,0.027916
1909,62,male,0.04591
1909,63,male,0.038235
1909,64,male,0.048996
1909,65,male,0.062281
1909,66,male,0.062433
1909,67,male,0.058371
1909,68,male,0.055552
1909,69,male,0.038345
1909,70,male,0.174244
1909,71,male,0.063712
1909,72,male,0.113424
1909,73,male,0.085761
1909,74,male,0.111195
1909,75,male,0.158765
1909,76,male,0.141735
1909,77,male,0.145084
1909,78,male,0.160356
1909,79,male,0.101828
1909,80,male,0.268278
1909,81,male,0.102965
1909,82,male,0.182365
1909,83,male,0.151426
1909,84,male,0.241177
1909,85,male,0.246762
1909,86,male,0.25005
1909,87,male,0.240621
1909,88,male,0.294127
1909,89,male,0.247004
1909,90,male,0.444531
1909,91,male,0.166389
1909,92,male,0.222656
1909,93,male,0.216748
1909,94,male,0.247481
1909,95,male,0.361656
1909,96,male,0.355832
1909,97,male,0.3785
1909,98,male,0.423506
1909,99,male,0.485711
1909,100,male,0.915378
1909,101,male,0.304685
1909,102,male,0.308676
1909,103,male,0.332034
1909,104,male,0.433526
1909,105,male,0.662577
1909,106,male,0.0
1909,107,male,0.0
1909,108,male,0.0
1909,109,male,0.0
1909,110,male,0.0
1910,0,male,0.217088
1910,1,male,0.085135
1910,2,male,0.04217
1910,3,male,0.023706
1910,4,male,0.014979
1910,5,male,0.010683
1910,6,male,0.008117
1910,7,male,0.005778
1910,8,male,0.004485
1910,9,male,0.003562
1910,10,male,0.003643
1910,11,male,0.002973
1910,12,male,0.003185
1910,13,male,0.002743
1910,14,male,0.003501
1910,15,male,0.00394
1910,16,male,0.004521
1910,17,male,0.005566
1910,18,male,0.007109
1910,19,male,0.007023
1910,20,male,0.007461
1910,21,male,0.006918
1910,22,male,0.007499
1910,23,male,0.008005
1910,24,male,0.00739
1910,25,male,0.007408
1910,26,male,0.007754
1910,27,male,0.006865
1910,28,male,0.008393
1910,29,male,0.005287
1910,30,male,0.008792
1910,31,male,0.006307
1910,32,male,0.0082
1910,33,male,0.008711
1910,34,male,0.008588
1910,35,male,0.008964
1910,36,male,0.0099
1910,37,male,0.008711
1910,38,male,0.011339
1910,39,male,0.006016
1910,40,male,0.013309
1910,41,male,0.009135
1910,42,male,0.014068
1910,43,male,0.010406
1910,44,male,0.01125
1910,45,male,0.01506
1910,46,male,0.014777
1910,47,male,0.012333
1910,48,male,0.017065
1910,49,male,0.010132
1910,50,male,0.020859
1910,51,male,0.013891
1910,52,male,0.02186
1910,53,male,0.018094
1910,54,male,0.021541
1910,55,male,0.024014
1910,56,male,0.027974
1910,57,male,0.023364
1910,58,male,0.030896
1910,59,male,0.016394
1910,60,male,0.046407
1910,61,male,0.030061
1910,62,male,0.045306
1910,63,male,0.041176
1910,64,male,0.047982
1910,65,male,0.057811
1910,66,male,0.061496
1910,67,male,0.056496
1910,68,male,0.074812
1910,69,male,0.038411
1910,70,male,0.110475
1910,71,male,0.069672
1910,72,male,0.119791
1910,73,male,0.108362
1910,74,male,0.114956
1910,75,male,0.142733
1910,76,male,0.157721
1910,77,male,0.144584
1910,78,male,0.209756
1910,79,male,0.0939
1910,80,male,0.263644
1910,81,male,0.105949
1910,82,male,0.181556
1910,83,male,0.158202
1910,84,male,0.242605
1910,85,male,0.248215
1910,86,male,0.267353
1910,87,male,0.218096
1910,88,male,0.304104
1910,89,male,0.214152
1910,90,male,0.424578
1910,91,male,0.167998
1910,92,male,0.246658
1910,93,male,0.229477
1910,94,male,0.246332
1910,95,male,0.32812
1910,96,male,0.406629
1910,97,male,0.451284
1910,98,male,0.6836
1910,99,male,0.457959
1910,100,male,0.237712
1910,101,male,0.528097
1910,102,male,0.542244
1910,103,male,0.568989
1910,104,male,0.643939
1910,105,male,1.064177
1910,106,male,2.478873
1910,107,male,6.0
1910,108,male,0.0
1910,109,male,0.0
1910,110,male,0.0
1911,0,male,0.213643
1911,1,male,0.109121
1911,2,male,0.048791
1911,3,male,0.024457
1911,4,male,0.016204
1911,5,male,0.010887
1911,6,male,0.008037
1911,7,male,0.005589
1911,8,male,0.004546
1911,9,male,0.00403
1911,10,male,0.003507
1911,11,male,0.002994
1911,12,male,0.003215
1911,13,male,0.003046
1911,14,male,0.003552
1911,15,male,0.004137
1911,16,male,0.004841
1911,17,male,0.005908
1911,18,male,0.00665
1911,19,male,0.006501
1911,20,male,0.007488
1911,21,male,0.006959
1911,22,male,0.008002
1911,23,male,0.007721
1911,24,male,0.007321
1911,25,male,0.00713
1911,26,male,0.007009
1911,27,male,0.007668
1911,28,male,0.007402
1911,29,male,0.005765
1911,30,male,0.007829
1911,31,male,0.005072
1911,32,male,0.009007
1911,33,male,0.008097
1911,34,male,0.008287
1911,35,male,0.008793
1911,36,male,0.00874
1911,37,male,0.007934
1911,38,male,0.010006
1911,39,male,0.008623
1911,40,male,0.011937
1911,41,male,0.005624
1911,42,male,0.013914
1911,43,male,0.009632
1911,44,male,0.012923
1911,45,male,0.014498
1911,46,male,0.011712
1911,47,male,0.01169
1911,48,male,0.015983
1911,49,male,0.011482
1911,50,male,0.018194
1911,51,male,0.010099
1911,52,male,0.022843
1911,53,male,0.017563
1911,54,male,0.022582
1911,55,male,0.021935
1911,56,male,0.024094
1911,57,male,0.023449
1911,58,male,0.030914
1911,59,male,0.024596
1911,60,male,0.039923
1911,61,male,0.01948
1911,62,male,0.049002
