year,age,sex,value
1959,0,male,0.034721
1959,1,male,0.002796
1959,2,male,0.00167
1959,3,male,0.001221
1959,4,male,0.000896
1959,5,male,0.001121
1959,6,male,0.001339
1959,7,male,0.000815
1959,8,male,0.000415
1959,9,male,0.001135
1959,10,male,0.00051
1959,11,male,0.00074
1959,12,male,0.000664
1959,13,male,0.001351
1959,14,male,0.001102
1959,15,male,0.001814
1959,16,male,0.001415
1959,17,male,0.001204
1959,18,male,0.002422
1959,19,male,0.002147
1959,20,male,0.003081
1959,21,male,0.003544
1959,22,male,0.002795
1959,23,male,0.003397
1959,24,male,0.003121
1959,25,male,0.003941
1959,26,male,0.003024
1959,27,male,0.00311
1959,28,male,0.002996
1959,29,male,0.002527
1959,30,male,0.003886
1959,31,male,0.005018
1959,32,male,0.00223
1959,33,male,0.003521
1959,34,male,0.003924
1959,35,male,0.004607
1959,36,male,0.003459
1959,37,male,0.004404
1959,38,male,0.00431
1959,39,male,0.005272
1959,40,male,0.004377
1959,41,male,0.005874
1959,42,male,0.005766
1959,43,male,0.003717
1959,44,male,0.006172
1959,45,male,0.007208
1959,46,male,0.004998
1959,47,male,0.006725
1959,48,male,0.006825
1959,49,male,0.010342
1959,50,male,0.011327
1959,51,male,0.008242
1959,52,male,0.011923
1959,53,male,0.012475
1959,54,male,0.014113
1959,55,male,0.016586
1959,56,male,0.016977
1959,57,male,0.017599
1959,58,male,0.020065
1959,59,male,0.021667
1959,60,male,0.018383
1959,61,male,0.024713
1959,62,male,0.024809
1959,63,male,0.031638
1959,64,male,0.033682
1959,65,male,0.036277
1959,66,male,0.037962
1959,67,male,0.043148
1959,68,male,0.047275
1959,69,male,0.053616
1959,70,male,0.053349
1959,71,male,0.06059
1959,72,male,0.066333
1959,73,male,0.071544
1959,74,male,0.088766
1959,75,male,0.079225
1959,76,male,0.095265
1959,77,male,0.112666
1959,78,male,0.125699
1959,79,male,0.126912
1959,80,male,0.146533
1959,81,male,0.141218
1959,82,male,0.151355
1959,83,male,0.166088
1959,84,male,0.199995
1959,85,male,0.22811
1959,86,male,0.201451
1959,87,male,0.277881
1959,88,male,0.236141
1959,89,male,0.248333
1959,90,male,0.209488
1959,91,male,0.292113
1959,92,male,0.523874
1959,93,male,0.20219
1959,94,male,0.264026
1959,95,male,0.800971
1959,96,male,0.913242
1959,97,male,0.389864
1959,98,male,0.0
1959,99,male,0.464756
1959,100,male,0.761421
1959,101,male,0.0
1959,102,male,0.0
1959,103,male,0.0
1959,104,male,0.0
1959,105,male,0.0
1959,106,male,0.0
1959,107,male,0.0
1959,108,male,0.0
1959,109,male,0.0
1959,110,male,0.0
1960,0,male,0.037112
1960,1,male,0.002871
1960,2,male,0.001965
1960,3,male,0.001562
1960,4,male,0.001218
1960,5,male,0.000696
1960,6,male,0.000917
1960,7,male,0.000823
1960,8,male,0.000815
1960,9,male,0.001233
1960,10,male,0.000409
1960,11,male,0.000402
1960,12,male,0.000629
1960,13,male,0.000769
1960,14,male,0.000732
1960,15,male,0.001096
