year,age,sex,value
1878,0,male,0.210539
1878,1,male,0.082672
1878,2,male,0.044617
1878,3,male,0.028042
1878,4,male,0.019451
1878,5,male,0.014799
1878,6,male,0.012
1878,7,male,0.009763
1878,8,male,0.007237
1878,9,male,0.006716
1878,10,male,0.005925
1878,11,male,0.005149
1878,12,male,0.004896
1878,13,male,0.003868
1878,14,male,0.004088
1878,15,male,0.004894
1878,16,male,0.004677
1878,17,male,0.0048
1878,18,male,0.006353
1878,19,male,0.006349
1878,20,male,0.007076
1878,21,male,0.006637
1878,22,male,0.008092
1878,23,male,0.006675
1878,24,male,0.008317
1878,25,male,0.007321
1878,26,male,0.00923
1878,27,male,0.008008
1878,28,male,0.007751
1878,29,male,0.007713
1878,30,male,0.009005
1878,31,male,0.007976
1878,32,male,0.007619
1878,33,male,0.007896
1878,34,male,0.007573
1878,35,male,0.010348
1878,36,male,0.008107
1878,37,male,0.010068
1878,38,male,0.010363
1878,39,male,0.010144
1878,40,male,0.012272
1878,41,male,0.012937
1878,42,male,0.012675
1878,43,male,0.01309
1878,44,male,0.012505
1878,45,male,0.011556
1878,46,male,0.01355
1878,47,male,0.015487
1878,48,male,0.017686
1878,49,male,0.017365
1878,50,male,0.01776
1878,51,male,0.021714
1878,52,male,0.02049
1878,53,male,0.022833
1878,54,male,0.020642
1878,55,male,0.022187
1878,56,male,0.026124
1878,57,male,0.029347
1878,58,male,0.031264
1878,59,male,0.033045
1878,60,male,0.038349
1878,61,male,0.046481
1878,62,male,0.049118
1878,63,male,0.041575
1878,64,male,0.046925
1878,65,male,0.055951
1878,66,male,0.054752
1878,67,male,0.070896
1878,68,male,0.064534
1878,69,male,0.061358
1878,70,male,0.075501
1878,71,male,0.085552
1878,72,male,0.105786
1878,73,male,0.111102
1878,74,male,0.10583
1878,75,male,0.109795
1878,76,male,0.109658
1878,77,male,0.164369
1878,78,male,0.16317
1878,79,male,0.129252
1878,80,male,0.208928
1878,81,male,0.196838
1878,82,male,0.25617
1878,83,male,0.225748
1878,84,male,0.238348
1878,85,male,0.322055
1878,86,male,0.267633
1878,87,male,0.310219
1878,88,male,0.511557
1878,89,male,0.284435
1878,90,male,0.328459
1878,91,male,0.399334
1878,92,male,0.797115
1878,93,male,0.528634
1878,94,male,0.0
1878,95,male,0.0
1878,96,male,0.0
1878,97,male,0.809717
1878,98,male,0.0
1878,99,male,0.0
1878,100,male,0.0
1878,101,male,0.0
1878,102,male,0.0
1878,103,male,0.0
1878,104,male,0.0
1878,105,male,0.0
1878,106,male,0.0
1878,107,male,0.0
1878,108,male,0.0
1878,109,male,0.0
1878,110,male,0.0
1879,0,male,0.169856
1879,1,male,0.053193
1879,2,male,0.031555
1879,3,male,0.022427
1879,4,male,0.015529
1879,5,male,0.01054
1879,6,male,0.00723
1879,7,male,0.006631
1879,8,male,0.005613
1879,9,male,0.004503
1879,10,male,0.00432
1879,11,male,0.004416
1879,12,male,0.004704
1879,13,male,0.003779
1879,14,male,0.004163
1879,15,male,0.004869
1879,16,male,0.004105
1879,17,male,0.004327
1879,18,male,0.005197
1879,19,male,0.006056
1879,20,male,0.007319
1879,21,male,0.006361
1879,22,male,0.007245
1879,23,male,0.00655
1879,24,male,0.0071
1879,25,male,0.007444
1879,26,male,0.008029
1879,27,male,0.006644
1879,28,male,0.007589
1879,29,male,0.008448
1879,30,male,0.008682
1879,31,male,0.008018
1879,32,male,0.006722
1879,33,male,0.00736
1879,34,male,0.009
1879,35,male,0.008832
1879,36,male,0.009269
1879,37,male,0.008596
1879,38,male,0.010858
1879,39,male,0.010272
1879,40,male,0.010218
1879,41,male,0.008961
1879,42,male,0.010641
1879,43,male,0.009819
1879,44,male,0.012085
1879,45,male,0.011556
1879,46,male,0.012583
1879,47,male,0.010072
1879,48,male,0.014298
1879,49,male,0.015464
1879,50,male,0.016753
1879,51,male,0.017771
1879,52,male,0.016792
1879,53,male,0.018158
1879,54,male,0.018784
1879,55,male,0.018574
1879,56,male,0.026309
1879,57,male,0.024989
1879,58,male,0.026457
1879,59,male,0.023737
1879,60,male,0.037933
1879,61,male,0.032941
1879,62,male,0.036279
1879,63,male,0.039869
1879,64,male,0.04414
1879,65,male,0.042595
1879,66,male,0.054252
1879,67,male,0.043865
1879,68,male,0.057816
1879,69,male,0.067031
1879,70,male,0.06611
1879,71,male,0.076521
1879,72,male,0.088966
1879,73,male,0.1052
1879,74,male,0.120688
1879,75,male,0.108604
1879,76,male,0.113569
1879,77,male,0.121744
1879,78,male,0.160078
1879,79,male,0.1499
1879,80,male,0.171545
1879,81,male,0.192512
1879,82,male,0.189866
1879,83,male,0.218985
1879,84,male,0.282384
1879,85,male,0.257624
1879,86,male,0.247318
1879,87,male,0.220496
1879,88,male,0.27821
1879,89,male,0.213808
1879,90,male,0.293563
1879,91,male,0.640038
1879,92,male,0.469484
1879,93,male,0.398539
1879,94,male,0.0
1879,95,male,0.362976
1879,96,male,0.332226
1879,97,male,0.0
1879,98,male,0.0
1879,99,male,0.0
1879,100,male,0.0
1879,101,male,0.0
1879,102,male,0.0
1879,103,male,0.0
1879,104,male,0.0
1879,105,male,0.0
1879,106,male,0.0
1879,107,male,0.0
1879,108,male,0.0
1879,109,male,0.0
1879,110,male,0.0
1880,0,male,0.202669
1880,1,male,0.072124
1880,2,male,0.044031
1880,3,male,0.027791
1880,4,male,0.022156
1880,5,male,0.014713
1880,6,male,0.010977
1880,7,male,0.009567
1880,8,male,0.007953
1880,9,male,0.008589
1880,10,male,0.007301
1880,11,male,0.006463
1880,12,male,0.005328
1880,13,male,0.005422
1880,14,male,0.004917
1880,15,male,0.004916
1880,16,male,0.005751
1880,17,male,0.004858
1880,18,male,0.006083
1880,19,male,0.006575
1880,20,male,0.008868
1880,21,male,0.009203
1880,22,male,0.007794
1880,23,male,0.008283
1880,24,male,0.008916
1880,25,male,0.008915
1880,26,male,0.008357
1880,27,male,0.008161
1880,28,male,0.006337
1880,29,male,0.007729
1880,30,male,0.008263
1880,31,male,0.008722
1880,32,male,0.008189
1880,33,male,0.007892
1880,34,male,0.008607
1880,35,male,0.010709
1880,36,male,0.009666
1880,37,male,0.00931
1880,38,male,0.010231
1880,39,male,0.011004
1880,40,male,0.013452
1880,41,male,0.011801
1880,42,male,0.011406
1880,43,male,0.014316
1880,44,male,0.014894
1880,45,male,0.019579
1880,46,male,0.01638
1880,47,male,0.015671
