year,age,sex,value
1816,0,male,0.222931
1816,1,male,0.04667
1816,2,male,0.034306
1816,3,male,0.023155
1816,4,male,0.016075
1816,5,male,0.013635
1816,6,male,0.011632
1816,7,male,0.009908
1816,8,male,0.008379
1816,9,male,0.007105
1816,10,male,0.006012
1816,11,male,0.005206
1816,12,male,0.004646
1816,13,male,0.004427
1816,14,male,0.004549
1816,15,male,0.004965
1816,16,male,0.005607
1816,17,male,0.006451
1816,18,male,0.007522
1816,19,male,0.008842
1816,20,male,0.010293
1816,21,male,0.011572
1816,22,male,0.012514
1816,23,male,0.012917
1816,24,male,0.012702
1816,25,male,0.012094
1816,26,male,0.011233
1816,27,male,0.010448
1816,28,male,0.009886
1816,29,male,0.009528
1816,30,male,0.009457
1816,31,male,0.009422
1816,32,male,0.009541
1816,33,male,0.009683
1816,34,male,0.009842
1816,35,male,0.009945
1816,36,male,0.010151
1816,37,male,0.010377
1816,38,male,0.010654
1816,39,male,0.010992
1816,40,male,0.011382
1816,41,male,0.011905
1816,42,male,0.012534
1816,43,male,0.013245
1816,44,male,0.014073
1816,45,male,0.015035
1816,46,male,0.015896
1816,47,male,0.016632
1816,48,male,0.017431
1816,49,male,0.018275
1816,50,male,0.019113
1816,51,male,0.020009
1816,52,male,0.020938
1816,53,male,0.021805
1816,54,male,0.022643
1816,55,male,0.023281
1816,56,male,0.024484
1816,57,male,0.026085
1816,58,male,0.028318
1816,59,male,0.031381
1816,60,male,0.034519
1816,61,male,0.038015
1816,62,male,0.040926
1816,63,male,0.043424
1816,64,male,0.045379
1816,65,male,0.046341
1816,66,male,0.048574
1816,67,male,0.052012
1816,68,male,0.056869
1816,69,male,0.063401
1816,70,male,0.070814
1816,71,male,0.07913
1816,72,male,0.087276
1816,73,male,0.095552
1816,74,male,0.102569
1816,75,male,0.108725
1816,76,male,0.115656
1816,77,male,0.124745
1816,78,male,0.136486
1816,79,male,0.138582
1816,80,male,0.16529
1816,81,male,0.182733
1816,82,male,0.199912
1816,83,male,0.215589
1816,84,male,0.226804
1816,85,male,0.229218
1816,86,male,0.227298
1816,87,male,0.2239
1816,88,male,0.220459
1816,89,male,0.221824
1816,90,male,0.23527
1816,91,male,0.251406
1816,92,male,0.268228
1816,93,male,0.286521
1816,94,male,0.305111
1816,95,male,0.327172
1816,96,male,0.353281
1816,97,male,0.377493
1816,98,male,0.407527
1816,99,male,0.451876
1816,100,male,0.387128
1816,101,male,0.394589
1816,102,male,0.399568
1816,103,male,0.403888
1816,104,male,0.402167
1816,105,male,0.399847
1816,106,male,0.404951
1816,107,male,0.411449
1816,108,male,0.404676
1816,109,male,0.389819
1816,110,male,0.324181
1817,0,male,0.217954
1817,1,male,0.053905
1817,2,male,0.038601
1817,3,male,0.02709
1817,4,male,0.018917
1817,5,male,0.015382
1817,6,male,0.012879
1817,7,male,0.010688
1817,8,male,0.008897
1817,9,male,0.007446
1817,10,male,0.006373
1817,11,male,0.005692
1817,12,male,0.005258
1817,13,male,0.005087
1817,14,male,0.005261
1817,15,male,0.005733
1817,16,male,0.006286
1817,17,male,0.006908
1817,18,male,0.007678
1817,19,male,0.008618
1817,20,male,0.009665
1817,21,male,0.010502
1817,22,male,0.011103
1817,23,male,0.011395
1817,24,male,0.011161
1817,25,male,0.010488
1817,26,male,0.009896
1817,27,male,0.009451
1817,28,male,0.009142
1817,29,male,0.009127
1817,30,male,0.009306
1817,31,male,0.009375
1817,32,male,0.009505
1817,33,male,0.009712
1817,34,male,0.009892
1817,35,male,0.010084
1817,36,male,0.010321
1817,37,male,0.010576
1817,38,male,0.010929
1817,39,male,0.011388
1817,40,male,0.011959
1817,41,male,0.01264
1817,42,male,0.013386
1817,43,male,0.014102
1817,44,male,0.014701
1817,45,male,0.015227
1817,46,male,0.015971
1817,47,male,0.016843
1817,48,male,0.017796
1817,49,male,0.019084
1817,50,male,0.020619
1817,51,male,0.021935
1817,52,male,0.023063
1817,53,male,0.024036
1817,54,male,0.02469
1817,55,male,0.025205
1817,56,male,0.026283
1817,57,male,0.027886
1817,58,male,0.030124
1817,59,male,0.03323
1817,60,male,0.03711
1817,61,male,0.041062
1817,62,male,0.044322
1817,63,male,0.046853
1817,64,male,0.048804
1817,65,male,0.050327
1817,66,male,0.052432
1817,67,male,0.055483
1817,68,male,0.059821
1817,69,male,0.065711
1817,70,male,0.073133
1817,71,male,0.080646
1817,72,male,0.087856
1817,73,male,0.094663
1817,74,male,0.101263
1817,75,male,0.108151
1817,76,male,0.115704
1817,77,male,0.124366
1817,78,male,0.134492
1817,79,male,0.147163
1817,80,male,0.163505
1817,81,male,0.18004
1817,82,male,0.196198
1817,83,male,0.210375
1817,84,male,0.219654
1817,85,male,0.221096
1817,86,male,0.219055
1817,87,male,0.216069
1817,88,male,0.214438
1817,89,male,0.218591
1817,90,male,0.233842
1817,91,male,0.251616
1817,92,male,0.269161
1817,93,male,0.289174
1817,94,male,0.314726
1817,95,male,0.347859
1817,96,male,0.391148
1817,97,male,0.450635
1817,98,male,0.51708
1817,99,male,0.610657
1817,100,male,0.502182
1817,101,male,0.534706
1817,102,male,0.568588
1817,103,male,0.600892
1817,104,male,0.636882
1817,105,male,0.659466
1817,106,male,0.684494
1817,107,male,0.735471
1817,108,male,0.803828
1817,109,male,0.834276
1817,110,male,0.919556
1818,0,male,0.216629
1818,1,male,0.06126
1818,2,male,0.041421
1818,3,male,0.028248
1818,4,male,0.020125
1818,5,male,0.01626
1818,6,male,0.013648
1818,7,male,0.011254
1818,8,male,0.009242
1818,9,male,0.00768
1818,10,male,0.006525
1818,11,male,0.005736
1818,12,male,0.005332
1818,13,male,0.005205
1818,14,male,0.005386
1818,15,male,0.005885
1818,16,male,0.006484
1818,17,male,0.007099
1818,18,male,0.007791
1818,19,male,0.008655
1818,20,male,0.009626
1818,21,male,0.010399
1818,22,male,0.010839
1818,23,male,0.010983
1818,24,male,0.010738
1818,25,male,0.010031
1818,26,male,0.009403
1818,27,male,0.009071
1818,28,male,0.00896
1818,29,male,0.009026
1818,30,male,0.009357
1818,31,male,0.009603
1818,32,male,0.009674
1818,33,male,0.0098
1818,34,male,0.009963
1818,35,male,0.010098
1818,36,male,0.010304
1818,37,male,0.010557
1818,38,male,0.010848
1818,39,male,0.011285
1818,40,male,0.011832
1818,41,male,0.012431
1818,42,male,0.013076
1818,43,male,0.013705
1818,44,male,0.014215
1818,45,male,0.014585
1818,46,male,0.01509
1818,47,male,0.015917
1818,48,male,0.016907
1818,49,male,0.018004
1818,50,male,0.019379
1818,51,male,0.020642
1818,52,male,0.021626
1818,53,male,0.022464
1818,54,male,0.02318
1818,55,male,0.023741
1818,56,male,0.02471
1818,57,male,0.026294
1818,58,male,0.02833
1818,59,male,0.031001
1818,60,male,0.034306
1818,61,male,0.037592
1818,62,male,0.040726
1818,63,male,0.043209
1818,64,male,0.045196
1818,65,male,0.04693
1818,66,male,0.049218
1818,67,male,0.052254
1818,68,male,0.056182
1818,69,male,0.0614
1818,70,male,0.067917
1818,71,male,0.074838
1818,72,male,0.081504
1818,73,male,0.087995
1818,74,male,0.094096
1818,75,male,0.100274
1818,76,male,0.108162
1818,77,male,0.117673
1818,78,male,0.128078
1818,79,male,0.138847
1818,80,male,0.150629
1818,81,male,0.164823
1818,82,male,0.178994
1818,83,male,0.191957
1818,84,male,0.201226
1818,85,male,0.20459
1818,86,male,0.205642
1818,87,male,0.205993
1818,88,male,0.206558
1818,89,male,0.210513
1818,90,male,0.22097
1818,91,male,0.231247
1818,92,male,0.239328
1818,93,male,0.246441
1818,94,male,0.258131
1818,95,male,0.281391
1818,96,male,0.311865
1818,97,male,0.357256
1818,98,male,0.433014
1818,99,male,0.545001
1818,100,male,0.582325
1818,101,male,0.633889
1818,102,male,0.709056
1818,103,male,0.797523
1818,104,male,0.895087
1818,105,male,1.017998
1818,106,male,1.110141
1818,107,male,1.225773
1818,108,male,1.502752
1818,109,male,2.010582
1818,110,male,2.571429
1819,0,male,0.234458
1819,1,male,0.066978
1819,2,male,0.04621
1819,3,male,0.03009
1819,4,male,0.021382
1819,5,male,0.018137
1819,6,male,0.01582
1819,7,male,0.013597
1819,8,male,0.011432
1819,9,male,0.009419
1819,10,male,0.007647
1819,11,male,0.006274
1819,12,male,0.005403
1819,13,male,0.005052
1819,14,male,0.005134
1819,15,male,0.005627
1819,16,male,0.006282
1819,17,male,0.007003
1819,18,male,0.007753
1819,19,male,0.008623
1819,20,male,0.009647
1819,21,male,0.010465
1819,22,male,0.010943
1819,23,male,0.010998
1819,24,male,0.010653
1819,25,male,0.009942
1819,26,male,0.009271
1819,27,male,0.008854
1819,28,male,0.008795
1819,29,male,0.008998
1819,30,male,0.009307
1819,31,male,0.009585
1819,32,male,0.009697
1819,33,male,0.009678
1819,34,male,0.009741
1819,35,male,0.009854
1819,36,male,0.010056
1819,37,male,0.010389
1819,38,male,0.010789
1819,39,male,0.011272
1819,40,male,0.011945
1819,41,male,0.012613
1819,42,male,0.01325
1819,43,male,0.013851
1819,44,male,0.014322
1819,45,male,0.014628
1819,46,male,0.015039
1819,47,male,0.015714
1819,48,male,0.016803
1819,49,male,0.018107
1819,50,male,0.019446
1819,51,male,0.020683
1819,52,male,0.021684
1819,53,male,0.022377
1819,54,male,0.022905
1819,55,male,0.023406
1819,56,male,0.02424
1819,57,male,0.02566
1819,58,male,0.027697
1819,59,male,0.030202
1819,60,male,0.03327
1819,61,male,0.03628
