year,age,sex,value
1841,0,male,0.169189
1841,1,male,0.063208
1841,2,male,0.036976
1841,3,male,0.026055
1841,4,male,0.019089
1841,5,male,0.014279
1841,6,male,0.01121
1841,7,male,0.008985
1841,8,male,0.007246
1841,9,male,0.00605
1841,10,male,0.005382
1841,11,male,0.005002
1841,12,male,0.004856
1841,13,male,0.004955
1841,14,male,0.005341
1841,15,male,0.005992
1841,16,male,0.006661
1841,17,male,0.007249
1841,18,male,0.007782
1841,19,male,0.008259
1841,20,male,0.008672
1841,21,male,0.009032
1841,22,male,0.009316
1841,23,male,0.009508
1841,24,male,0.009679
1841,25,male,0.009831
1841,26,male,0.009909
1841,27,male,0.009892
1841,28,male,0.009845
1841,29,male,0.009734
1841,30,male,0.00957
1841,31,male,0.009512
1841,32,male,0.009602
1841,33,male,0.00979
1841,34,male,0.010282
1841,35,male,0.011185
1841,36,male,0.011932
1841,37,male,0.012277
1841,38,male,0.012537
1841,39,male,0.012456
1841,40,male,0.012011
1841,41,male,0.011885
1841,42,male,0.012171
1841,43,male,0.012591
1841,44,male,0.013506
1841,45,male,0.015157
1841,46,male,0.016646
1841,47,male,0.017382
1841,48,male,0.017909
1841,49,male,0.017987
1841,50,male,0.017556
1841,51,male,0.01753
1841,52,male,0.018136
1841,53,male,0.018981
1841,54,male,0.021051
1841,55,male,0.025512
1841,56,male,0.029715
1841,57,male,0.031453
1841,58,male,0.032979
1841,59,male,0.032595
1841,60,male,0.030069
1841,61,male,0.029516
1841,62,male,0.031227
1841,63,male,0.033285
1841,64,male,0.037533
1841,65,male,0.046343
1841,66,male,0.054821
1841,67,male,0.058897
1841,68,male,0.063048
1841,69,male,0.065157
1841,70,male,0.064278
1841,71,male,0.065868
1841,72,male,0.070988
1841,73,male,0.076652
1841,74,male,0.085351
1841,75,male,0.10004
1841,76,male,0.114295
1841,77,male,0.124276
1841,78,male,0.135812
1841,79,male,0.136846
1841,80,male,0.1373
1841,81,male,0.150926
1841,82,male,0.166114
1841,83,male,0.182608
1841,84,male,0.201489
1841,85,male,0.202559
1841,86,male,0.217986
1841,87,male,0.234232
1841,88,male,0.251293
1841,89,male,0.269194
1841,90,male,0.287917
1841,91,male,0.307488
1841,92,male,0.327873
1841,93,male,0.349042
1841,94,male,0.371035
1841,95,male,0.393954
1841,96,male,0.417644
1841,97,male,0.442191
1841,98,male,0.468861
1841,99,male,0.496786
1841,100,male,0.526291
1841,101,male,0.56626
1841,102,male,0.62117
1841,103,male,0.689155
1841,104,male,0.905983
1841,105,male,1.727848
1841,106,male,6.0
1841,107,male,0.0
1841,108,male,0.0
1841,109,male,0.0
1841,110,male,0.0
1842,0,male,0.184007
1842,1,male,0.066596
1842,2,male,0.035854
1842,3,male,0.024521
1842,4,male,0.018043
1842,5,male,0.013864
1842,6,male,0.010738
1842,7,male,0.00846
1842,8,male,0.006914
1842,9,male,0.00586
1842,10,male,0.005278
1842,11,male,0.004939
1842,12,male,0.004801
1842,13,male,0.004876
1842,14,male,0.005179
1842,15,male,0.005713
1842,16,male,0.00634
1842,17,male,0.006948
1842,18,male,0.007491
1842,19,male,0.008001
1842,20,male,0.008457
1842,21,male,0.00879
1842,22,male,0.009035
1842,23,male,0.009172
1842,24,male,0.009195
1842,25,male,0.009198
1842,26,male,0.009281
1842,27,male,0.009331
1842,28,male,0.00931
1842,29,male,0.009277
1842,30,male,0.0092
1842,31,male,0.009095
1842,32,male,0.00911
1842,33,male,0.009284
1842,34,male,0.009573
1842,35,male,0.010179
1842,36,male,0.011157
1842,37,male,0.011954
1842,38,male,0.012367
1842,39,male,0.012682
1842,40,male,0.012635
1842,41,male,0.01223
1842,42,male,0.012142
1842,43,male,0.012435
1842,44,male,0.012855
1842,45,male,0.013781
1842,46,male,0.015447
1842,47,male,0.01691
1842,48,male,0.017621
1842,49,male,0.01813
1842,50,male,0.018175
1842,51,male,0.017724
1842,52,male,0.017706
1842,53,male,0.018322
1842,54,male,0.019181
1842,55,male,0.021327
1842,56,male,0.025885
1842,57,male,0.030086
1842,58,male,0.031958
1842,59,male,0.033693
1842,60,male,0.033463
1842,61,male,0.031162
1842,62,male,0.030994
1842,63,male,0.033109
1842,64,male,0.035659
1842,65,male,0.040723
1842,66,male,0.050687
1842,67,male,0.060028
1842,68,male,0.064821
1842,69,male,0.069724
1842,70,male,0.072203
1842,71,male,0.071417
1842,72,male,0.073581
1842,73,male,0.079502
1842,74,male,0.086027
1842,75,male,0.096147
1842,76,male,0.113061
1842,77,male,0.129111
1842,78,male,0.140685
1842,79,male,0.154186
1842,80,male,0.14073
1842,81,male,0.154466
1842,82,male,0.169936
1842,83,male,0.187015
1842,84,male,0.205025
1842,85,male,0.205264
1842,86,male,0.219974
1842,87,male,0.23519
1842,88,male,0.250889
1842,89,male,0.266959
1842,90,male,0.283391
1842,91,male,0.300092
1842,92,male,0.316985
1842,93,male,0.334059
1842,94,male,0.351075
1842,95,male,0.368133
1842,96,male,0.385307
1842,97,male,0.402336
1842,98,male,0.419428
1842,99,male,0.438463
1842,100,male,0.457483
1842,101,male,0.478862
1842,102,male,0.514905
1842,103,male,0.574333
1842,104,male,0.662732
1842,105,male,1.174935
1842,106,male,0.0
