year,age,sex,value
1922,0,male,0.089119
1922,1,male,0.021781
1922,2,male,0.010505
1922,3,male,0.004752
1922,4,male,0.00433
1922,5,male,0.00369
1922,6,male,0.002869
1922,7,male,0.002254
1922,8,male,0.001861
1922,9,male,0.00164
1922,10,male,0.001548
1922,11,male,0.001615
1922,12,male,0.001891
1922,13,male,0.002331
1922,14,male,0.002887
1922,15,male,0.003599
1922,16,male,0.004339
1922,17,male,0.005011
1922,18,male,0.005655
1922,19,male,0.006348
1922,20,male,0.006904
1922,21,male,0.006982
1922,22,male,0.007013
1922,23,male,0.007294
1922,24,male,0.007356
1922,25,male,0.007121
1922,26,male,0.006829
1922,27,male,0.007111
1922,28,male,0.007425
1922,29,male,0.007459
1922,30,male,0.007589
1922,31,male,0.00726
1922,32,male,0.00734
1922,33,male,0.007723
1922,34,male,0.007525
1922,35,male,0.007203
1922,36,male,0.006949
1922,37,male,0.007742
1922,38,male,0.008673
1922,39,male,0.008624
1922,40,male,0.008624
1922,41,male,0.007903
1922,42,male,0.008143
1922,43,male,0.009013
1922,44,male,0.008967
1922,45,male,0.008614
1922,46,male,0.008325
1922,47,male,0.010145
1922,48,male,0.012831
1922,49,male,0.013604
1922,50,male,0.014973
1922,51,male,0.01559
1922,52,male,0.016818
1922,53,male,0.019133
1922,54,male,0.019544
1922,55,male,0.017968
1922,56,male,0.016617
1922,57,male,0.018965
1922,58,male,0.023246
1922,59,male,0.024479
1922,60,male,0.026694
1922,61,male,0.026706
1922,62,male,0.029584
1922,63,male,0.035063
1922,64,male,0.035283
1922,65,male,0.034423
1922,66,male,0.036446
1922,67,male,0.042683
1922,68,male,0.049237
1922,69,male,0.055334
1922,70,male,0.065252
1922,71,male,0.071715
1922,72,male,0.080845
1922,73,male,0.096041
1922,74,male,0.103865
1922,75,male,0.10268
1922,76,male,0.098294
1922,77,male,0.102913
1922,78,male,0.115958
1922,79,male,0.123835
1922,80,male,0.145639
1922,81,male,0.162504
1922,82,male,0.178653
1922,83,male,0.192343
1922,84,male,0.200744
1922,85,male,0.202875
1922,86,male,0.205629
1922,87,male,0.211299
1922,88,male,0.223424
1922,89,male,0.24542
1922,90,male,0.277613
1922,91,male,0.308922
1922,92,male,0.319596
1922,93,male,0.319193
1922,94,male,0.36132
1922,95,male,0.376642
1922,96,male,0.40937
1922,97,male,0.439488
1922,98,male,0.481055
1922,99,male,0.535042
1922,100,male,0.564485
1922,101,male,0.662234
1922,102,male,0.79671
1922,103,male,0.912
1922,104,male,1.459459
1922,105,male,0.0
1922,106,male,0.0
1922,107,male,0.0
1922,108,male,0.0
1922,109,male,0.0
1922,110,male,0.0
1923,0,male,0.0907
1923,1,male,0.024454
1923,2,male,0.008789
1923,3,male,0.007032
1923,4,male,0.003854
1923,5,male,0.00283
1923,6,male,0.002797
1923,7,male,0.002565
1923,8,male,0.002297
1923,9,male,0.002045
1923,10,male,0.001814
1923,11,male,0.001686
1923,12,male,0.001703
1923,13,male,0.001912
1923,14,male,0.002261
1923,15,male,0.002677
1923,16,male,0.003122
1923,17,male,0.003596
1923,18,male,0.004058
1923,19,male,0.004543
1923,20,male,0.005099
1923,21,male,0.005513
1923,22,male,0.005499
1923,23,male,0.005407
1923,24,male,0.005453
1923,25,male,0.005308
1923,26,male,0.005076
1923,27,male,0.004879
1923,28,male,0.005153
1923,29,male,0.005519
1923,30,male,0.00572
1923,31,male,0.00595
1923,32,male,0.005786
1923,33,male,0.005932
1923,34,male,0.006311
1923,35,male,0.006208
1923,36,male,0.006024
1923,37,male,0.005896
1923,38,male,0.006675
1923,39,male,0.007596
1923,40,male,0.007662
1923,41,male,0.007756
1923,42,male,0.007188
1923,43,male,0.007501
1923,44,male,0.008416
1923,45,male,0.008509
1923,46,male,0.008384
1923,47,male,0.008233
1923,48,male,0.010082
1923,49,male,0.01269
1923,50,male,0.013181
1923,51,male,0.013938
1923,52,male,0.014137
1923,53,male,0.015143
1923,54,male,0.017411
1923,55,male,0.018361
1923,56,male,0.018101
1923,57,male,0.017926
1923,58,male,0.021588
1923,59,male,0.027404
1923,60,male,0.02902
1923,61,male,0.030773
1923,62,male,0.029757
1923,63,male,0.032046
1923,64,male,0.037062
1923,65,male,0.03643
1923,66,male,0.035647
1923,67,male,0.038268
1923,68,male,0.045667
1923,69,male,0.053699
1923,70,male,0.060858
1923,71,male,0.07036
1923,72,male,0.075669
1923,73,male,0.084431
1923,74,male,0.100566
1923,75,male,0.109611
1923,76,male,0.11209
1923,77,male,0.110017
1923,78,male,0.116352
1923,79,male,0.129432
1923,80,male,0.137726
1923,81,male,0.142325
1923,82,male,0.149015
1923,83,male,0.15855
1923,84,male,0.171008
1923,85,male,0.186691
1923,86,male,0.206256
1923,87,male,0.230831
1923,88,male,0.258879
1923,89,male,0.291713
1923,90,male,0.326855
1923,91,male,0.357763
1923,92,male,0.379708
1923,93,male,0.367088
1923,94,male,0.346162
1923,95,male,0.425106
1923,96,male,0.472724
1923,97,male,0.537392
1923,98,male,0.600113
1923,99,male,0.696461
1923,100,male,0.844985
1923,101,male,0.944578
1923,102,male,1.361345
1923,103,male,2.348936
1923,104,male,4.133333
1923,105,male,0.0
1923,106,male,0.0
1923,107,male,0.0
1923,108,male,0.0
1923,109,male,0.0
1923,110,male,0.0
1924,0,male,0.100984
1924,1,male,0.027801
1924,2,male,0.012551
1924,3,male,0.009166
1924,4,male,0.004184
1924,5,male,0.002859
1924,6,male,0.002988
1924,7,male,0.002817
1924,8,male,0.002503
1924,9,male,0.002206
1924,10,male,0.001997
1924,11,male,0.001931
1924,12,male,0.001986
1924,13,male,0.002173
1924,14,male,0.002554
1924,15,male,0.003026
1924,16,male,0.003373
1924,17,male,0.003657
1924,18,male,0.003907
1924,19,male,0.004062
1924,20,male,0.004169
1924,21,male,0.004355
1924,22,male,0.004517
1924,23,male,0.004454
1924,24,male,0.00446
1924,25,male,0.004723
1924,26,male,0.004936
1924,27,male,0.005018
1924,28,male,0.005022
1924,29,male,0.005395
1924,30,male,0.005745
1924,31,male,0.005855
1924,32,male,0.00604
1924,33,male,0.005898
1924,34,male,0.00615
1924,35,male,0.006716
1924,36,male,0.006778
1924,37,male,0.006691
1924,38,male,0.006607
1924,39,male,0.007487
1924,40,male,0.008473
1924,41,male,0.008484
1924,42,male,0.008544
1924,43,male,0.007896
1924,44,male,0.008246
1924,45,male,0.009326
1924,46,male,0.00967
1924,47,male,0.009839
1924,48,male,0.009985
1924,49,male,0.012653
1924,50,male,0.016324
1924,51,male,0.016798
1924,52,male,0.017407
1924,53,male,0.017191
1924,54,male,0.017832
1924,55,male,0.019879
1924,56,male,0.020879
1924,57,male,0.020707
1924,58,male,0.020726
1924,59,male,0.025418
1924,60,male,0.03277
1924,61,male,0.034253
1924,62,male,0.035693
1924,63,male,0.033829
1924,64,male,0.03582
1924,65,male,0.04111
1924,66,male,0.04107
1924,67,male,0.041166
1924,68,male,0.045398
1924,69,male,0.055833
1924,70,male,0.066812
1924,71,male,0.074057
1924,72,male,0.083373
1924,73,male,0.086812
1924,74,male,0.093689
1924,75,male,0.108699
1924,76,male,0.118004
1924,77,male,0.121371
1924,78,male,0.120812
1924,79,male,0.132904
1924,80,male,0.163411
1924,81,male,0.1756
1924,82,male,0.187715
1924,83,male,0.201223
1924,84,male,0.216413
1924,85,male,0.232305
1924,86,male,0.248839
