year,age,sex,value
1922,0,male,0.092574
1922,1,male,0.027255
1922,2,male,0.012979
1922,3,male,0.006324
1922,4,male,0.004305
1922,5,male,0.003781
1922,6,male,0.003157
1922,7,male,0.002526
1922,8,male,0.002168
1922,9,male,0.00188
1922,10,male,0.001751
1922,11,male,0.001732
1922,12,male,0.001642
1922,13,male,0.001723
1922,14,male,0.001995
1922,15,male,0.002072
1922,16,male,0.002501
1922,17,male,0.002849
1922,18,male,0.003087
1922,19,male,0.003414
1922,20,male,0.00363
1922,21,male,0.00356
1922,22,male,0.00389
1922,23,male,0.003818
1922,24,male,0.004179
1922,25,male,0.003858
1922,26,male,0.004028
1922,27,male,0.004125
1922,28,male,0.00432
1922,29,male,0.004478
1922,30,male,0.004221
1922,31,male,0.004487
1922,32,male,0.005014
1922,33,male,0.00499
1922,34,male,0.005471
1922,35,male,0.00559
1922,36,male,0.005847
1922,37,male,0.006079
1922,38,male,0.006714
1922,39,male,0.00697
1922,40,male,0.006877
1922,41,male,0.006781
1922,42,male,0.008368
1922,43,male,0.00801
1922,44,male,0.008376
1922,45,male,0.009392
1922,46,male,0.009307
1922,47,male,0.009975
1922,48,male,0.010934
1922,49,male,0.011719
1922,50,male,0.012008
1922,51,male,0.012219
1922,52,male,0.015132
1922,53,male,0.015968
1922,54,male,0.016656
1922,55,male,0.016862
1922,56,male,0.019898
1922,57,male,0.021246
1922,58,male,0.02385
1922,59,male,0.025468
1922,60,male,0.025308
1922,61,male,0.027314
1922,62,male,0.034938
1922,63,male,0.036539
1922,64,male,0.039681
1922,65,male,0.043524
1922,66,male,0.042572
1922,67,male,0.048773
1922,68,male,0.056832
1922,69,male,0.060995
1922,70,male,0.062688
1922,71,male,0.067489
1922,72,male,0.085712
1922,73,male,0.090086
1922,74,male,0.09969
1922,75,male,0.108121
1922,76,male,0.112747
1922,77,male,0.12376
1922,78,male,0.139734
1922,79,male,0.149106
1922,80,male,0.157577
1922,81,male,0.162886
1922,82,male,0.192714
1922,83,male,0.198228
1922,84,male,0.227775
1922,85,male,0.228838
1922,86,male,0.253541
1922,87,male,0.275568
1922,88,male,0.280806
1922,89,male,0.306828
1922,90,male,0.319209
1922,91,male,0.354652
1922,92,male,0.399296
1922,93,male,0.39844
1922,94,male,0.42413
1922,95,male,0.431536
1922,96,male,0.507885
1922,97,male,0.498133
1922,98,male,0.543377
1922,99,male,0.567325
1922,100,male,0.574211
1922,101,male,0.385496
1922,102,male,0.424887
1922,103,male,1.189009
1922,104,male,0.190141
1922,105,male,0.0
1922,106,male,4.109589
1922,107,male,0.0
1922,108,male,0.0
1922,109,male,0.0
1922,110,male,0.0
1923,0,male,0.082999
1923,1,male,0.021038
1923,2,male,0.008384
1923,3,male,0.005696
1923,4,male,0.003501
1923,5,male,0.003235
1923,6,male,0.002682
1923,7,male,0.0024
1923,8,male,0.001956
1923,9,male,0.001893
1923,10,male,0.00167
1923,11,male,0.001533
1923,12,male,0.001604
1923,13,male,0.001663
1923,14,male,0.001831
1923,15,male,0.002215
1923,16,male,0.002224
1923,17,male,0.002636
1923,18,male,0.002928
