year,age,sex,value
1855,0,male,0.137766
1855,1,male,0.064501
1855,2,male,0.032487
1855,3,male,0.022937
1855,4,male,0.016272
1855,5,male,0.012386
1855,6,male,0.010159
1855,7,male,0.008269
1855,8,male,0.006838
1855,9,male,0.005857
1855,10,male,0.005362
1855,11,male,0.005154
1855,12,male,0.005138
1855,13,male,0.005401
1855,14,male,0.006047
1855,15,male,0.006924
1855,16,male,0.007712
1855,17,male,0.008489
1855,18,male,0.009353
1855,19,male,0.01044
1855,20,male,0.011384
1855,21,male,0.011803
1855,22,male,0.011897
1855,23,male,0.011718
1855,24,male,0.011431
1855,25,male,0.010964
1855,26,male,0.010514
1855,27,male,0.010297
1855,28,male,0.010282
1855,29,male,0.010429
1855,30,male,0.010666
1855,31,male,0.010855
1855,32,male,0.010965
1855,33,male,0.010999
1855,34,male,0.010966
1855,35,male,0.011029
1855,36,male,0.011271
1855,37,male,0.011639
1855,38,male,0.012141
1855,39,male,0.012728
1855,40,male,0.013305
1855,41,male,0.013792
1855,42,male,0.014168
1855,43,male,0.014472
1855,44,male,0.014789
1855,45,male,0.015155
1855,46,male,0.015556
1855,47,male,0.016054
1855,48,male,0.016786
1855,49,male,0.017921
1855,50,male,0.018881
1855,51,male,0.019376
1855,52,male,0.019825
1855,53,male,0.020085
1855,54,male,0.019872
1855,55,male,0.020192
1855,56,male,0.021535
1855,57,male,0.0234
1855,58,male,0.026277
1855,59,male,0.031358
1855,60,male,0.036838
1855,61,male,0.039978
1855,62,male,0.042337
1855,63,male,0.044164
1855,64,male,0.045783
1855,65,male,0.04709
1855,66,male,0.048767
1855,67,male,0.051512
1855,68,male,0.055475
1855,69,male,0.060859
1855,70,male,0.067371
1855,71,male,0.074153
1855,72,male,0.081183
1855,73,male,0.088284
1855,74,male,0.094834
1855,75,male,0.102525
1855,76,male,0.112217
1855,77,male,0.122579
1855,78,male,0.134476
1855,79,male,0.149845
1855,80,male,0.153838
1855,81,male,0.166926
1855,82,male,0.180495
1855,83,male,0.193537
1855,84,male,0.205135
1855,85,male,0.215849
1855,86,male,0.228
1855,87,male,0.243039
1855,88,male,0.260956
1855,89,male,0.280338
1855,90,male,0.297209
1855,91,male,0.307491
1855,92,male,0.313916
1855,93,male,0.313273
1855,94,male,0.305444
1855,95,male,0.322875
1855,96,male,0.357188
1855,97,male,0.372073
1855,98,male,0.366105
1855,99,male,0.381999
1855,100,male,0.381234
1855,101,male,0.430419
1855,102,male,0.537622
1855,103,male,0.632549
1855,104,male,0.88196
1855,105,male,0.0
1855,106,male,0.0
1855,107,male,0.0
1855,108,male,0.0
1855,109,male,0.0
1855,110,male,0.0
1856,0,male,0.138646
1856,1,male,0.061754
1856,2,male,0.036198
1856,3,male,0.024581
1856,4,male,0.019693
1856,5,male,0.015109
1856,6,male,0.011236
1856,7,male,0.008261
1856,8,male,0.006168
1856,9,male,0.005098
1856,10,male,0.004909
1856,11,male,0.004971
1856,12,male,0.00512
1856,13,male,0.00531
1856,14,male,0.005622
1856,15,male,0.006139
1856,16,male,0.006695
1856,17,male,0.007188
1856,18,male,0.007757
1856,19,male,0.008499
1856,20,male,0.009521
1856,21,male,0.010377
1856,22,male,0.010742
1856,23,male,0.010808
1856,24,male,0.010626
1856,25,male,0.010396
1856,26,male,0.01019
1856,27,male,0.010017
1856,28,male,0.010022
1856,29,male,0.010175
1856,30,male,0.010411
1856,31,male,0.010572
1856,32,male,0.010586
1856,33,male,0.01045
1856,34,male,0.010165
1856,35,male,0.009786
1856,36,male,0.009599
1856,37,male,0.009706
1856,38,male,0.010065
1856,39,male,0.010701
1856,40,male,0.011539
1856,41,male,0.012317
1856,42,male,0.012896
1856,43,male,0.013243
1856,44,male,0.013388
1856,45,male,0.013435
1856,46,male,0.01356
1856,47,male,0.013847
1856,48,male,0.01438
1856,49,male,0.015301
1856,50,male,0.016803
1856,51,male,0.0183
1856,52,male,0.019283
1856,53,male,0.020071
1856,54,male,0.020498
1856,55,male,0.020252
1856,56,male,0.0204
1856,57,male,0.021478
1856,58,male,0.022949
1856,59,male,0.025267
1856,60,male,0.029503
1856,61,male,0.033776
1856,62,male,0.035907
1856,63,male,0.037591
1856,64,male,0.039095
1856,65,male,0.040832
1856,66,male,0.042898
1856,67,male,0.045325
1856,68,male,0.048589
1856,69,male,0.052829
1856,70,male,0.058163
1856,71,male,0.064223
1856,72,male,0.070706
1856,73,male,0.077826
1856,74,male,0.085487
1856,75,male,0.092739
1856,76,male,0.100021
1856,77,male,0.10819
1856,78,male,0.115538
1856,79,male,0.122286
1856,80,male,0.121733
1856,81,male,0.127613
1856,82,male,0.135443
1856,83,male,0.145887
1856,84,male,0.159545
1856,85,male,0.176969
1856,86,male,0.19555
1856,87,male,0.214702
1856,88,male,0.233134
1856,89,male,0.245874
1856,90,male,0.245855
1856,91,male,0.234838
1856,92,male,0.213919
1856,93,male,0.191344
1856,94,male,0.177611
1856,95,male,0.184924
1856,96,male,0.212892
1856,97,male,0.260838
1856,98,male,0.29972
1856,99,male,0.32505
1856,100,male,0.410574
1856,101,male,0.462183
1856,102,male,0.613183
1856,103,male,1.021277
1856,104,male,1.669421
1856,105,male,4.135922
1856,106,male,0.0
1856,107,male,0.0
1856,108,male,0.0
1856,109,male,0.0
1856,110,male,0.0
1857,0,male,0.139748
1857,1,male,0.070225
1857,2,male,0.033104
1857,3,male,0.023577
1857,4,male,0.017127
1857,5,male,0.012914
1857,6,male,0.01023
1857,7,male,0.008034
1857,8,male,0.006425
1857,9,male,0.005372
1857,10,male,0.004893
1857,11,male,0.00468
1857,12,male,0.004711
1857,13,male,0.005004
1857,14,male,0.005525
1857,15,male,0.006301
1857,16,male,0.007214
1857,17,male,0.008056
1857,18,male,0.0087
1857,19,male,0.009302
1857,20,male,0.009966
1857,21,male,0.010819
1857,22,male,0.011471
1857,23,male,0.011609
1857,24,male,0.01147
1857,25,male,0.011149
1857,26,male,0.010937
1857,27,male,0.010756
1857,28,male,0.010559
1857,29,male,0.010498
1857,30,male,0.010537
1857,31,male,0.010632
1857,32,male,0.010723
1857,33,male,0.01077
1857,34,male,0.010776
1857,35,male,0.010738
1857,36,male,0.010646
1857,37,male,0.010652
1857,38,male,0.010837
1857,39,male,0.011147
1857,40,male,0.011601
1857,41,male,0.012196
1857,42,male,0.01286
1857,43,male,0.013517
1857,44,male,0.01415
1857,45,male,0.014756
1857,46,male,0.01527
1857,47,male,0.015709
1857,48,male,0.016133
1857,49,male,0.016629
1857,50,male,0.017379
1857,51,male,0.018739
1857,52,male,0.020131
1857,53,male,0.021018
1857,54,male,0.021783
1857,55,male,0.022241
1857,56,male,0.022007
1857,57,male,0.022252
1857,58,male,0.023575
1857,59,male,0.025399
1857,60,male,0.028219
1857,61,male,0.03315
1857,62,male,0.038091
1857,63,male,0.040503
1857,64,male,0.042333
1857,65,male,0.044003
1857,66,male,0.0464
1857,67,male,0.049487
1857,68,male,0.053263
1857,69,male,0.058373
1857,70,male,0.064873
1857,71,male,0.072168
1857,72,male,0.079592
1857,73,male,0.086588
1857,74,male,0.09321
1857,75,male,0.099151
1857,76,male,0.103884
1857,77,male,0.109782
1857,78,male,0.118661
1857,79,male,0.129076
1857,80,male,0.135119
1857,81,male,0.149177
1857,82,male,0.164425
1857,83,male,0.179947
1857,84,male,0.194579
1857,85,male,0.206648
1857,86,male,0.217169
1857,87,male,0.227665
1857,88,male,0.239272
1857,89,male,0.251851
1857,90,male,0.26347
1857,91,male,0.272243
1857,92,male,0.274699
1857,93,male,0.267939
1857,94,male,0.262315
1857,95,male,0.262153
1857,96,male,0.252113
1857,97,male,0.258451
1857,98,male,0.287018
1857,99,male,0.303191
1857,100,male,0.371351
1857,101,male,0.396881
1857,102,male,0.439541
1857,103,male,0.644101
1857,104,male,2.15534
1857,105,male,0.0
1857,106,male,0.0
1857,107,male,0.0
1857,108,male,0.0
1857,109,male,0.0
1857,110,male,0.0
1858,0,male,0.143621
1858,1,male,0.067887
1858,2,male,0.034449
1858,3,male,0.024705
1858,4,male,0.019032
1858,5,male,0.014779
1858,6,male,0.011735
1858,7,male,0.009057
1858,8,male,0.007009
1858,9,male,0.005686
1858,10,male,0.004981
1858,11,male,0.004634
1858,12,male,0.004539
1858,13,male,0.004749
1858,14,male,0.005288
1858,15,male,0.006051
1858,16,male,0.006859
1858,17,male,0.007764
1858,18,male,0.008605
1858,19,male,0.009249
1858,20,male,0.009855
1858,21,male,0.010478
1858,22,male,0.01123
1858,23,male,0.011679
1858,24,male,0.011503
1858,25,male,0.011014
1858,26,male,0.010515
1858,27,male,0.010238
1858,28,male,0.010077
1858,29,male,0.009996
1858,30,male,0.010127
1858,31,male,0.010367
1858,32,male,0.010649
1858,33,male,0.010905
1858,34,male,0.011089
1858,35,male,0.011202
1858,36,male,0.011272
1858,37,male,0.011315
1858,38,male,0.011504
1858,39,male,0.011932
1858,40,male,0.012522
1858,41,male,0.01318
1858,42,male,0.013805
1858,43,male,0.014277
1858,44,male,0.014495
1858,45,male,0.014477
1858,46,male,0.014459
1858,47,male,0.014585
1858,48,male,0.014918
1858,49,male,0.015527
1858,50,male,0.016476
1858,51,male,0.017768
1858,52,male,0.019593
1858,53,male,0.021272
1858,54,male,0.022177
1858,55,male,0.022753
1858,56,male,0.023071
1858,57,male,0.022838
1858,58,male,0.023298
1858,59,male,0.025114
1858,60,male,0.027613
1858,61,male,0.031019
1858,62,male,0.03666
1858,63,male,0.042165
1858,64,male,0.044523
1858,65,male,0.046069
1858,66,male,0.047725
1858,67,male,0.050165
1858,68,male,0.053213
1858,69,male,0.056857
1858,70,male,0.061701
1858,71,male,0.067611
1858,72,male,0.074663
1858,73,male,0.082466
1858,74,male,0.090575
1858,75,male,0.099086
1858,76,male,0.107226
1858,77,male,0.11359
1858,78,male,0.120785
1858,79,male,0.130911
1858,80,male,0.134188
1858,81,male,0.147249
1858,82,male,0.162597
1858,83,male,0.179897
1858,84,male,0.198176
1858,85,male,0.216761
1858,86,male,0.234692
1858,87,male,0.251221
1858,88,male,0.266571
1858,89,male,0.280953
1858,90,male,0.293523
1858,91,male,0.304447
1858,92,male,0.313023
1858,93,male,0.314948
1858,94,male,0.309916
1858,95,male,0.316212
1858,96,male,0.315072
1858,97,male,0.291433
1858,98,male,0.288663
1858,99,male,0.309004
1858,100,male,0.252742
1858,101,male,0.244148
1858,102,male,0.236678
1858,103,male,0.132353
1858,104,male,0.0
1858,105,male,0.0
1858,106,male,0.0
1858,107,male,0.0
1858,108,male,0.0
1858,109,male,0.0
1858,110,male,0.0
1859,0,male,0.134244
1859,1,male,0.063939
1859,2,male,0.035689
1859,3,male,0.023977
1859,4,male,0.017868
1859,5,male,0.01427
1859,6,male,0.011728
1859,7,male,0.009511
1859,8,male,0.007568
1859,9,male,0.006099
1859,10,male,0.005143
1859,11,male,0.00454
1859,12,male,0.004317
1859,13,male,0.004461
1859,14,male,0.005028
1859,15,male,0.005954
1859,16,male,0.006811
1859,17,male,0.007591
1859,18,male,0.008418
1859,19,male,0.009103
1859,20,male,0.009505
1859,21,male,0.009811
1859,22,male,0.01012
1859,23,male,0.010533
1859,24,male,0.010627
1859,25,male,0.010185
1859,26,male,0.009718
1859,27,male,0.00937
1859,28,male,0.009299
1859,29,male,0.009419
1859,30,male,0.009654
1859,31,male,0.009975
1859,32,male,0.010306
1859,33,male,0.010587
1859,34,male,0.010743
1859,35,male,0.010752
1859,36,male,0.010744
1859,37,male,0.010758
1859,38,male,0.010811
1859,39,male,0.011067
1859,40,male,0.011594
1859,41,male,0.012232
1859,42,male,0.012965
1859,43,male,0.013731
1859,44,male,0.014416
1859,45,male,0.014922
1859,46,male,0.015234
1859,47,male,0.015398
1859,48,male,0.015511
1859,49,male,0.015631
1859,50,male,0.015849
1859,51,male,0.01637
1859,52,male,0.017396
1859,53,male,0.019184
1859,54,male,0.021109
1859,55,male,0.022542
1859,56,male,0.023726
1859,57,male,0.024402
1859,58,male,0.024161
1859,59,male,0.024361
1859,60,male,0.025697
1859,61,male,0.027532
1859,62,male,0.03047
1859,63,male,0.036017
1859,64,male,0.041925
1859,65,male,0.045171
1859,66,male,0.048023
1859,67,male,0.050884
1859,68,male,0.054337
1859,69,male,0.058152
1859,70,male,0.06223
1859,71,male,0.067222
1859,72,male,0.073262
1859,73,male,0.080523
1859,74,male,0.088537
1859,75,male,0.096677
1859,76,male,0.104879
1859,77,male,0.112567
1859,78,male,0.118239
1859,79,male,0.124951
1859,80,male,0.12603
1859,81,male,0.137608
1859,82,male,0.151128
1859,83,male,0.166655
1859,84,male,0.183328
1859,85,male,0.199869
1859,86,male,0.216459
1859,87,male,0.231454
1859,88,male,0.242936
1859,89,male,0.25016
1859,90,male,0.2539
1859,91,male,0.257603
1859,92,male,0.262965
1859,93,male,0.272666
1859,94,male,0.291559
1859,95,male,0.327323
1859,96,male,0.37515
1859,97,male,0.41417
1859,98,male,0.414063
1859,99,male,0.452692
1859,100,male,0.387939
1859,101,male,0.408941
1859,102,male,0.445191
1859,103,male,0.498507
1859,104,male,0.531583
1859,105,male,0.893878
1859,106,male,0.0
1859,107,male,0.0
1859,108,male,0.0
1859,109,male,0.0
1859,110,male,0.0
1860,0,male,0.155891
1860,1,male,0.074145
1860,2,male,0.036463
1860,3,male,0.024554
1860,4,male,0.017829
1860,5,male,0.013799
1860,6,male,0.011243
1860,7,male,0.009107
1860,8,male,0.007442
1860,9,male,0.006219
1860,10,male,0.005538
1860,11,male,0.005203
1860,12,male,0.005107
1860,13,male,0.005303
1860,14,male,0.005764
1860,15,male,0.006485
1860,16,male,0.007238
1860,17,male,0.007882
1860,18,male,0.008525
1860,19,male,0.009305
1860,20,male,0.010002
1860,21,male,0.010392
1860,22,male,0.010653
1860,23,male,0.010883
1860,24,male,0.011182
1860,25,male,0.011151
1860,26,male,0.010785
1860,27,male,0.010452
1860,28,male,0.010236
1860,29,male,0.010308
1860,30,male,0.01054
1860,31,male,0.010757
1860,32,male,0.011079
1860,33,male,0.011473
1860,34,male,0.01188
1860,35,male,0.012224
1860,36,male,0.012482
1860,37,male,0.012652
1860,38,male,0.012736
1860,39,male,0.012748
1860,40,male,0.012872
1860,41,male,0.013162
1860,42,male,0.013531
1860,43,male,0.013986
1860,44,male,0.014448
1860,45,male,0.014833
1860,46,male,0.015221
1860,47,male,0.015644
1860,48,male,0.016161
1860,49,male,0.016876
1860,50,male,0.017783
1860,51,male,0.018624
1860,52,male,0.019422
1860,53,male,0.020342
1860,54,male,0.021583
1860,55,male,0.022461
1860,56,male,0.023107
1860,57,male,0.024262
1860,58,male,0.02575
1860,59,male,0.027069
1860,60,male,0.029392
1860,61,male,0.032632
1860,62,male,0.03573
1860,63,male,0.039372
1860,64,male,0.045251
1860,65,male,0.050176
1860,66,male,0.051764
1860,67,male,0.053637
1860,68,male,0.056468
1860,69,male,0.061103
1860,70,male,0.067185
1860,71,male,0.073516
1860,72,male,0.080638
1860,73,male,0.088698
1860,74,male,0.097817
1860,75,male,0.10729
1860,76,male,0.116614
1860,77,male,0.126051
1860,78,male,0.134955
1860,79,male,0.141323
1860,80,male,0.137591
1860,81,male,0.149783
1860,82,male,0.164678
1860,83,male,0.182479
1860,84,male,0.203356
1860,85,male,0.226762
1860,86,male,0.251631
1860,87,male,0.27677
1860,88,male,0.297028
1860,89,male,0.306249
1860,90,male,0.302236
1860,91,male,0.292877
1860,92,male,0.284586
1860,93,male,0.280786
