year,age,sex,value
1981,0,male,0.015273
1981,1,male,0.000645
1981,2,male,0.000543
1981,3,male,0.000506
1981,4,male,0.000485
1981,5,male,0.000231
1981,6,male,0.00031
1981,7,male,0.000223
1981,8,male,0.000314
1981,9,male,0.000276
1981,10,male,0.000365
1981,11,male,0.000227
1981,12,male,0.000296
1981,13,male,0.000434
1981,14,male,0.000348
1981,15,male,0.000636
1981,16,male,0.000667
1981,17,male,0.000819
1981,18,male,0.001044
1981,19,male,0.000844
1981,20,male,0.001078
1981,21,male,0.001269
1981,22,male,0.001073
1981,23,male,0.001186
1981,24,male,0.001288
1981,25,male,0.001114
1981,26,male,0.001151
1981,27,male,0.001134
1981,28,male,0.001007
1981,29,male,0.000991
1981,30,male,0.000944
1981,31,male,0.001226
1981,32,male,0.001053
1981,33,male,0.001048
1981,34,male,0.001075
1981,35,male,0.001452
1981,36,male,0.0015
1981,37,male,0.001565
1981,38,male,0.001218
1981,39,male,0.001373
1981,40,male,0.001821
1981,41,male,0.002073
1981,42,male,0.001777
1981,43,male,0.002395
1981,44,male,0.002167
1981,45,male,0.0026
1981,46,male,0.002907
1981,47,male,0.003286
1981,48,male,0.003426
1981,49,male,0.003962
1981,50,male,0.004675
1981,51,male,0.005347
1981,52,male,0.005591
1981,53,male,0.005893
1981,54,male,0.007022
1981,55,male,0.00843
1981,56,male,0.008984
1981,57,male,0.010034
1981,58,male,0.011289
1981,59,male,0.01121
1981,60,male,0.013965
1981,61,male,0.015943
1981,62,male,0.015724
1981,63,male,0.017841
1981,64,male,0.020257
1981,65,male,0.021688
1981,66,male,0.024026
1981,67,male,0.026005
1981,68,male,0.030188
1981,69,male,0.031495
1981,70,male,0.034603
1981,71,male,0.036993
1981,72,male,0.043776
1981,73,male,0.046859
1981,74,male,0.05055
1981,75,male,0.053725
1981,76,male,0.063289
1981,77,male,0.068758
1981,78,male,0.074833
1981,79,male,0.082548
1981,80,male,0.095218
1981,81,male,0.107046
1981,82,male,0.104954
1981,83,male,0.124014
1981,84,male,0.12958
1981,85,male,0.146253
1981,86,male,0.161494
1981,87,male,0.170581
1981,88,male,0.181053
1981,89,male,0.205465
1981,90,male,0.218022
1981,91,male,0.230308
1981,92,male,0.247331
1981,93,male,0.252454
1981,94,male,0.274727
1981,95,male,0.281157
1981,96,male,0.326496
1981,97,male,0.338748
1981,98,male,0.303479
1981,99,male,0.435985
1981,100,male,0.402584
1981,101,male,0.424444
1981,102,male,0.448154
1981,103,male,0.471593
1981,104,male,0.501635
1981,105,male,0.542178
1981,106,male,0.567927
1981,107,male,0.596859
1981,108,male,0.654344
1981,109,male,0.957164
1981,110,male,4.173913
1982,0,male,0.015907
1982,1,male,0.000625
1982,2,male,0.000421
1982,3,male,0.000344
1982,4,male,0.000239
1982,5,male,0.00017
1982,6,male,0.000372
1982,7,male,0.000232
1982,8,male,0.000261
1982,9,male,0.000327
1982,10,male,0.000315
1982,11,male,0.000221
1982,12,male,0.000455
1982,13,male,0.000296
1982,14,male,0.000471
1982,15,male,0.000485
1982,16,male,0.00065
1982,17,male,0.001061
1982,18,male,0.000988
1982,19,male,0.00103
1982,20,male,0.001067
1982,21,male,0.001244
1982,22,male,0.00097
1982,23,male,0.001014
1982,24,male,0.001111
1982,25,male,0.001183
1982,26,male,0.001066
