year,age,sex,value
1986,0,male,0.007381
1986,1,male,0.000479
1986,2,male,0.0003
1986,3,male,0.000399
1986,4,male,0.000198
1986,5,male,0.000249
1986,6,male,0.000253
1986,7,male,0.000161
1986,8,male,0.000116
1986,9,male,0.000158
1986,10,male,0.000227
1986,11,male,0.000131
1986,12,male,0.000218
1986,13,male,0.000301
1986,14,male,0.000262
1986,15,male,0.000423
1986,16,male,0.000219
1986,17,male,0.000368
1986,18,male,0.000459
1986,19,male,0.000318
1986,20,male,0.000604
1986,21,male,0.000612
1986,22,male,0.000516
1986,23,male,0.000529
1986,24,male,0.000597
1986,25,male,0.000682
1986,26,male,0.000626
1986,27,male,0.000563
1986,28,male,0.00054
1986,29,male,0.000624
1986,30,male,0.000892
1986,31,male,0.000991
1986,32,male,0.000961
1986,33,male,0.000899
1986,34,male,0.000884
1986,35,male,0.001005
1986,36,male,0.001343
1986,37,male,0.001528
1986,38,male,0.001102
1986,39,male,0.001688
1986,40,male,0.001795
1986,41,male,0.001674
1986,42,male,0.002409
1986,43,male,0.002694
1986,44,male,0.00324
1986,45,male,0.00313
1986,46,male,0.003364
1986,47,male,0.003503
1986,48,male,0.003955
1986,49,male,0.004018
1986,50,male,0.006168
1986,51,male,0.005776
1986,52,male,0.005961
1986,53,male,0.007672
1986,54,male,0.007866
1986,55,male,0.008027
1986,56,male,0.011054
1986,57,male,0.009214
1986,58,male,0.012035
1986,59,male,0.011101
1986,60,male,0.016456
1986,61,male,0.014273
1986,62,male,0.016595
1986,63,male,0.018916
1986,64,male,0.020486
1986,65,male,0.025907
1986,66,male,0.025287
1986,67,male,0.025175
1986,68,male,0.029486
1986,69,male,0.032161
1986,70,male,0.036714
1986,71,male,0.038563
1986,72,male,0.041104
1986,73,male,0.048402
1986,74,male,0.050852
1986,75,male,0.063851
1986,76,male,0.064135
1986,77,male,0.067304
1986,78,male,0.068588
1986,79,male,0.065052
1986,80,male,0.108423
1986,81,male,0.096132
1986,82,male,0.123922
1986,83,male,0.13031
1986,84,male,0.145426
1986,85,male,0.154065
1986,86,male,0.163
1986,87,male,0.166212
1986,88,male,0.139042
1986,89,male,0.206075
1986,90,male,0.258623
1986,91,male,0.263038
1986,92,male,0.288268
1986,93,male,0.331031
1986,94,male,0.397487
1986,95,male,0.233706
1986,96,male,0.225173
1986,97,male,0.0
1986,98,male,0.327869
1986,99,male,0.415463
1986,100,male,0.44622
1986,101,male,0.497098
1986,102,male,0.558271
1986,103,male,0.675241
1986,104,male,0.0
1986,105,male,0.0
1986,106,male,0.0
1986,107,male,0.0
1986,108,male,0.0
1986,109,male,0.0
1986,110,male,0.0
1987,0,male,0.007427
1987,1,male,0.000698
1987,2,male,0.000334
1987,3,male,0.000415
1987,4,male,0.000245
1987,5,male,0.000176
1987,6,male,0.000135
1987,7,male,0.000206
1987,8,male,0.000206
1987,9,male,0.000186
1987,10,male,0.000136
1987,11,male,0.000205
1987,12,male,0.000285
1987,13,male,0.000218
1987,14,male,0.000216
1987,15,male,0.00024
1987,16,male,0.000268
1987,17,male,0.000375
1987,18,male,0.000545
1987,19,male,0.00038
1987,20,male,0.000521
1987,21,male,0.000285
1987,22,male,0.000289
