year,age,sex,value
1950,0,male,0.099714
1950,1,male,0.007557
1950,2,male,0.00348
1950,3,male,0.002776
1950,4,male,0.001978
1950,5,male,0.001492
1950,6,male,0.001719
1950,7,male,0.001177
1950,8,male,0.001326
1950,9,male,0.00118
1950,10,male,0.001152
1950,11,male,0.001163
1950,12,male,0.001275
1950,13,male,0.001317
1950,14,male,0.001139
1950,15,male,0.001445
1950,16,male,0.001596
1950,17,male,0.001764
1950,18,male,0.002371
1950,19,male,0.002654
1950,20,male,0.003203
1950,21,male,0.003201
1950,22,male,0.003289
1950,23,male,0.003197
1950,24,male,0.003074
1950,25,male,0.003261
1950,26,male,0.003042
1950,27,male,0.003227
1950,28,male,0.003413
1950,29,male,0.003351
1950,30,male,0.003744
1950,31,male,0.002898
1950,32,male,0.003141
1950,33,male,0.003956
1950,34,male,0.003317
1950,35,male,0.003764
1950,36,male,0.003411
1950,37,male,0.003864
1950,38,male,0.004111
1950,39,male,0.00466
1950,40,male,0.004906
1950,41,male,0.005492
1950,42,male,0.005588
1950,43,male,0.006148
1950,44,male,0.006545
1950,45,male,0.006946
1950,46,male,0.006835
1950,47,male,0.007837
1950,48,male,0.00871
1950,49,male,0.009239
1950,50,male,0.010178
1950,51,male,0.010623
1950,52,male,0.011923
1950,53,male,0.013057
1950,54,male,0.014651
1950,55,male,0.01477
1950,56,male,0.015007
1950,57,male,0.017173
1950,58,male,0.020456
1950,59,male,0.021901
1950,60,male,0.023158
1950,61,male,0.024867
1950,62,male,0.027166
1950,63,male,0.0291
1950,64,male,0.030629
1950,65,male,0.035983
1950,66,male,0.034306
1950,67,male,0.038192
1950,68,male,0.044127
1950,69,male,0.046051
1950,70,male,0.050578
1950,71,male,0.054876
1950,72,male,0.058735
1950,73,male,0.063744
1950,74,male,0.07609
1950,75,male,0.086312
1950,76,male,0.094013
1950,77,male,0.088708
1950,78,male,0.118707
1950,79,male,0.118009
1950,80,male,0.130416
1950,81,male,0.133289
1950,82,male,0.15058
1950,83,male,0.166993
1950,84,male,0.194045
1950,85,male,0.211887
1950,86,male,0.238203
1950,87,male,0.226823
1950,88,male,0.266985
1950,89,male,0.28986
1950,90,male,0.303268
1950,91,male,0.338882
1950,92,male,0.326623
1950,93,male,0.340844
1950,94,male,0.457903
1950,95,male,0.471315
1950,96,male,0.428482
1950,97,male,0.641088
1950,98,male,0.47445
1950,99,male,0.871758
1950,100,male,0.926999
1950,101,male,1.076809
1950,102,male,1.22708
1950,103,male,1.758621
1950,104,male,6.0
1950,105,male,0.0
1950,106,male,0.0
1950,107,male,0.0
1950,108,male,0.0
1950,109,male,0.0
1950,110,male,0.0
1951,0,male,0.096083
1951,1,male,0.008354
1951,2,male,0.003458
1951,3,male,0.002088
1951,4,male,0.001756
1951,5,male,0.001397
1951,6,male,0.001212
1951,7,male,0.001146
1951,8,male,0.000999
1951,9,male,0.00095
1951,10,male,0.001023
1951,11,male,0.000927
1951,12,male,0.001029
1951,13,male,0.001211
1951,14,male,0.000976
1951,15,male,0.001264
1951,16,male,0.001774
1951,17,male,0.002081
1951,18,male,0.002333
1951,19,male,0.002471
1951,20,male,0.002844
1951,21,male,0.003035
1951,22,male,0.002795
1951,23,male,0.003403
1951,24,male,0.002701
1951,25,male,0.003106
1951,26,male,0.002767
1951,27,male,0.003181
1951,28,male,0.002958
1951,29,male,0.002981
1951,30,male,0.002978
1951,31,male,0.003516
1951,32,male,0.002744
1951,33,male,0.003232
1951,34,male,0.003277
1951,35,male,0.003138
1951,36,male,0.003807
1951,37,male,0.003963
1951,38,male,0.003791
1951,39,male,0.004069
1951,40,male,0.004051
1951,41,male,0.00477
1951,42,male,0.005705
1951,43,male,0.005183
1951,44,male,0.005841
1951,45,male,0.006291
1951,46,male,0.007138
1951,47,male,0.007613
1951,48,male,0.00801
1951,49,male,0.00978
1951,50,male,0.010155
1951,51,male,0.011974
1951,52,male,0.011659
1951,53,male,0.012235
1951,54,male,0.014308
1951,55,male,0.014465
1951,56,male,0.015865
1951,57,male,0.017234
1951,58,male,0.019033
1951,59,male,0.018944
1951,60,male,0.023033
1951,61,male,0.026482
1951,62,male,0.028076
1951,63,male,0.030444
1951,64,male,0.030271
1951,65,male,0.037294
1951,66,male,0.037663
1951,67,male,0.042746
1951,68,male,0.048492
1951,69,male,0.048144
1951,70,male,0.054193
1951,71,male,0.060817
1951,72,male,0.066448
1951,73,male,0.069465
1951,74,male,0.084032
1951,75,male,0.086617
1951,76,male,0.099025
1951,77,male,0.105254
1951,78,male,0.11839
1951,79,male,0.129425
1951,80,male,0.143908
1951,81,male,0.162717
1951,82,male,0.177918
1951,83,male,0.192704
1951,84,male,0.218401
1951,85,male,0.228424
1951,86,male,0.260038
1951,87,male,0.305649
1951,88,male,0.312301
1951,89,male,0.33454
1951,90,male,0.413794
1951,91,male,0.381769
1951,92,male,0.444311
1951,93,male,0.525588
1951,94,male,0.606923
1951,95,male,0.495961
1951,96,male,0.529916
1951,97,male,0.556578
1951,98,male,0.529101
1951,99,male,1.075992
1951,100,male,1.186255
1951,101,male,1.667954
1951,102,male,2.529617
1951,103,male,4.212766
1951,104,male,0.0
1951,105,male,0.0
1951,106,male,0.0
1951,107,male,0.0
1951,108,male,0.0
1951,109,male,0.0
1951,110,male,0.0
1952,0,male,0.082423
1952,1,male,0.005396
1952,2,male,0.002024
1952,3,male,0.001659
1952,4,male,0.001203
1952,5,male,0.001062
1952,6,male,0.000827
1952,7,male,0.001058
1952,8,male,0.000972
1952,9,male,0.000832
1952,10,male,0.001028
1952,11,male,0.000773
1952,12,male,0.000888
1952,13,male,0.0008
1952,14,male,0.001297
1952,15,male,0.00131
1952,16,male,0.001349
1952,17,male,0.00182
1952,18,male,0.001819
1952,19,male,0.002079
1952,20,male,0.002455
1952,21,male,0.002712
1952,22,male,0.002661
1952,23,male,0.002659
1952,24,male,0.00283
1952,25,male,0.002771
1952,26,male,0.002466
1952,27,male,0.002243
1952,28,male,0.002454
1952,29,male,0.002752
1952,30,male,0.002746
1952,31,male,0.002685
1952,32,male,0.003124
1952,33,male,0.002543
1952,34,male,0.003492
1952,35,male,0.00298
1952,36,male,0.002864
1952,37,male,0.003477
1952,38,male,0.003944
1952,39,male,0.00355
1952,40,male,0.003659
1952,41,male,0.004178
1952,42,male,0.004861
1952,43,male,0.004984
1952,44,male,0.005447
1952,45,male,0.006151
1952,46,male,0.007284
1952,47,male,0.007832
1952,48,male,0.00777
1952,49,male,0.00838
