year,age,sex,value
1950,0,male,0.051421
1950,1,male,0.004448
1950,2,male,0.002293
1950,3,male,0.001868
1950,4,male,0.001454
1950,5,male,0.001009
1950,6,male,0.00063
1950,7,male,0.00123
1950,8,male,0.001135
1950,9,male,0.000658
1950,10,male,0.000691
1950,11,male,0.000732
1950,12,male,0.000704
1950,13,male,0.000664
1950,14,male,0.000664
1950,15,male,0.000714
1950,16,male,0.001132
1950,17,male,0.000994
1950,18,male,0.001206
1950,19,male,0.001779
1950,20,male,0.002303
1950,21,male,0.002428
1950,22,male,0.001913
1950,23,male,0.002924
1950,24,male,0.003287
1950,25,male,0.002549
1950,26,male,0.002545
1950,27,male,0.002735
1950,28,male,0.002652
1950,29,male,0.002546
1950,30,male,0.003094
1950,31,male,0.002375
1950,32,male,0.003444
1950,33,male,0.002848
1950,34,male,0.002368
1950,35,male,0.003717
1950,36,male,0.002832
1950,37,male,0.002955
1950,38,male,0.00374
1950,39,male,0.002929
1950,40,male,0.005493
1950,41,male,0.003104
1950,42,male,0.004952
1950,43,male,0.004443
1950,44,male,0.005555
1950,45,male,0.007206
1950,46,male,0.005516
1950,47,male,0.00598
1950,48,male,0.0082
1950,49,male,0.006704
1950,50,male,0.011004
1950,51,male,0.008189
1950,52,male,0.011976
1950,53,male,0.012931
1950,54,male,0.011889
1950,55,male,0.014432
1950,56,male,0.016231
1950,57,male,0.017557
1950,58,male,0.01923
1950,59,male,0.017019
1950,60,male,0.026459
1950,61,male,0.018092
1950,62,male,0.024616
1950,63,male,0.024457
1950,64,male,0.029406
1950,65,male,0.039462
1950,66,male,0.03157
1950,67,male,0.030281
1950,68,male,0.042502
1950,69,male,0.045644
1950,70,male,0.057161
1950,71,male,0.045399
1950,72,male,0.0699
1950,73,male,0.070141
1950,74,male,0.074637
1950,75,male,0.088607
1950,76,male,0.095377
1950,77,male,0.104523
1950,78,male,0.124406
1950,79,male,0.10734
1950,80,male,0.158229
1950,81,male,0.119837
1950,82,male,0.167062
1950,83,male,0.15599
1950,84,male,0.213818
1950,85,male,0.18211
1950,86,male,0.25259
1950,87,male,0.271395
1950,88,male,0.207911
1950,89,male,0.245298
1950,90,male,0.348425
1950,91,male,0.224593
1950,92,male,0.305592
1950,93,male,0.222677
1950,94,male,0.242242
1950,95,male,0.267191
1950,96,male,0.400849
1950,97,male,0.463112
1950,98,male,0.392884
1950,99,male,0.566483
1950,100,male,0.73692
1950,101,male,0.283822
1950,102,male,0.374065
1950,103,male,1.650619
1950,104,male,0.0
1950,105,male,4.109589
1950,106,male,0.0
1950,107,male,0.0
1950,108,male,0.0
1950,109,male,0.0
1950,110,male,0.0
1951,0,male,0.052531
