year,age,sex,value
1838,0,male,0.41464
1838,1,male,0.045203
1838,2,male,0.029026
1838,3,male,0.02336
1838,4,male,0.018589
1838,5,male,0.012895
1838,6,male,0.008935
1838,7,male,0.006734
1838,8,male,0.005463
1838,9,male,0.004865
1838,10,male,0.005204
1838,11,male,0.005923
1838,12,male,0.005943
1838,13,male,0.005197
1838,14,male,0.004659
1838,15,male,0.004737
1838,16,male,0.005262
1838,17,male,0.006317
1838,18,male,0.00785
1838,19,male,0.009221
1838,20,male,0.011168
1838,21,male,0.013328
1838,22,male,0.015026
1838,23,male,0.016594
1838,24,male,0.016883
1838,25,male,0.014518
1838,26,male,0.012263
1838,27,male,0.010717
1838,28,male,0.009872
1838,29,male,0.009157
1838,30,male,0.009043
1838,31,male,0.010509
1838,32,male,0.012415
1838,33,male,0.015365
1838,34,male,0.01768
1838,35,male,0.016988
1838,36,male,0.014563
1838,37,male,0.013656
1838,38,male,0.014653
1838,39,male,0.014691
1838,40,male,0.013645
1838,41,male,0.013446
1838,42,male,0.013651
1838,43,male,0.014772
1838,44,male,0.017527
1838,45,male,0.022815
1838,46,male,0.025604
1838,47,male,0.023599
1838,48,male,0.023636
1838,49,male,0.024747
1838,50,male,0.024777
1838,51,male,0.025413
1838,52,male,0.031013
1838,53,male,0.04443
1838,54,male,0.047919
1838,55,male,0.048747
1838,56,male,0.05312
1838,57,male,0.055637
1838,58,male,0.059024
1838,59,male,0.059563
1838,60,male,0.060624
1838,61,male,0.062586
1838,62,male,0.06319
1838,63,male,0.066703
1838,64,male,0.066797
1838,65,male,0.068026
1838,66,male,0.069577
1838,67,male,0.068832
1838,68,male,0.070386
1838,69,male,0.076201
1838,70,male,0.089619
1838,71,male,0.099653
1838,72,male,0.107162
1838,73,male,0.115531
1838,74,male,0.131159
1838,75,male,0.164949
1838,76,male,0.169765
1838,77,male,0.167049
1838,78,male,0.183416
1838,79,male,0.185679
1838,80,male,0.177828
1838,81,male,0.168658
1838,82,male,0.163253
1838,83,male,0.161192
1838,84,male,0.161002
1838,85,male,0.175009
1838,86,male,0.179358
1838,87,male,0.166308
1838,88,male,0.158611
1838,89,male,0.154168
1838,90,male,0.157625
1838,91,male,0.171213
1838,92,male,0.19726
1838,93,male,0.238504
1838,94,male,0.265705
1838,95,male,0.230508
1838,96,male,0.230088
1838,97,male,0.270142
1838,98,male,0.21547
1838,99,male,0.242424
1838,100,male,0.0
1838,101,male,0.0
1838,102,male,0.0
1838,103,male,0.0
1838,104,male,0.0
1838,105,male,0.0
1838,106,male,0.0
1838,107,male,0.0
1838,108,male,0.0
1838,109,male,0.0
1838,110,male,0.0
1839,0,male,0.409554
1839,1,male,0.088842
1839,2,male,0.061564
1839,3,male,0.026319
1839,4,male,0.007908
1839,5,male,0.008399
1839,6,male,0.010442
1839,7,male,0.011041
1839,8,male,0.011329
1839,9,male,0.010913
1839,10,male,0.009463
1839,11,male,0.008398
1839,12,male,0.007739
1839,13,male,0.006414
1839,14,male,0.005045
1839,15,male,0.00457
1839,16,male,0.005065
1839,17,male,0.00615
1839,18,male,0.007974
1839,19,male,0.010472
1839,20,male,0.012584
1839,21,male,0.014647
1839,22,male,0.016939
1839,23,male,0.01872
1839,24,male,0.020385
1839,25,male,0.020676
1839,26,male,0.018667
1839,27,male,0.016876
1839,28,male,0.015871
1839,29,male,0.015764
1839,30,male,0.015585
1839,31,male,0.016043
1839,32,male,0.018654
1839,33,male,0.021343
1839,34,male,0.024839
1839,35,male,0.02627
1839,36,male,0.02313
1839,37,male,0.018891
1839,38,male,0.017801
1839,39,male,0.020122
1839,40,male,0.022231
1839,41,male,0.023796
1839,42,male,0.026021
1839,43,male,0.027208
1839,44,male,0.028134
1839,45,male,0.02961
1839,46,male,0.032909
1839,47,male,0.032753
1839,48,male,0.027789
1839,49,male,0.026602
1839,50,male,0.027929
1839,51,male,0.02965
1839,52,male,0.031715
1839,53,male,0.038325
1839,54,male,0.051592
1839,55,male,0.049077
1839,56,male,0.044301
1839,57,male,0.046243
1839,58,male,0.049769
1839,59,male,0.057344
1839,60,male,0.063998
1839,61,male,0.069527
1839,62,male,0.072772
1839,63,male,0.070974
1839,64,male,0.068837
1839,65,male,0.060513
1839,66,male,0.057381
1839,67,male,0.059897
1839,68,male,0.065806
1839,69,male,0.079293
1839,70,male,0.102967
1839,71,male,0.136622
1839,72,male,0.159522
1839,73,male,0.168352
1839,74,male,0.167484
1839,75,male,0.166785
1839,76,male,0.184835
1839,77,male,0.166565
1839,78,male,0.148681
1839,79,male,0.157949
1839,80,male,0.16297
1839,81,male,0.170911
1839,82,male,0.182935
1839,83,male,0.20399
1839,84,male,0.230269
1839,85,male,0.251357
1839,86,male,0.275254
1839,87,male,0.28022
1839,88,male,0.260715
1839,89,male,0.2643
1839,90,male,0.283919
1839,91,male,0.307824
1839,92,male,0.340357
1839,93,male,0.376917
1839,94,male,0.390456
1839,95,male,0.0
1839,96,male,0.0
1839,97,male,0.0
1839,98,male,0.0
1839,99,male,0.0
1839,100,male,0.0
1839,101,male,0.0
1839,102,male,0.0
1839,103,male,0.0
1839,104,male,0.0
1839,105,male,0.0
1839,106,male,0.0
1839,107,male,0.0
1839,108,male,0.0
1839,109,male,0.0
1839,110,male,0.0
1840,0,male,0.395825
1840,1,male,0.071351
1840,2,male,0.050865
1840,3,male,0.021781
1840,4,male,0.007548
1840,5,male,0.006992
1840,6,male,0.00821
1840,7,male,0.007971
1840,8,male,0.007309
1840,9,male,0.006744
1840,10,male,0.006023
1840,11,male,0.005424
1840,12,male,0.005345
1840,13,male,0.005719
1840,14,male,0.005692
1840,15,male,0.005331
1840,16,male,0.005315
1840,17,male,0.006228
1840,18,male,0.007757
1840,19,male,0.010081
1840,20,male,0.012834
1840,21,male,0.014037
1840,22,male,0.014714
1840,23,male,0.0151
1840,24,male,0.014324
1840,25,male,0.012764
1840,26,male,0.011015
1840,27,male,0.008843
1840,28,male,0.007685
1840,29,male,0.007635
1840,30,male,0.008509
1840,31,male,0.009204
1840,32,male,0.010136
1840,33,male,0.012454
1840,34,male,0.014802
1840,35,male,0.017766
