year,age,sex,value
1983,0,male,0.014713
1983,1,male,0.000768
1983,2,male,0.000717
1983,3,male,0.000603
1983,4,male,0.000429
1983,5,male,0.00032
1983,6,male,0.000311
1983,7,male,0.00033
1983,8,male,0.000213
1983,9,male,0.000132
1983,10,male,0.000205
1983,11,male,0.000347
1983,12,male,0.00021
1983,13,male,0.000414
1983,14,male,0.000384
1983,15,male,0.000561
1983,16,male,0.000407
1983,17,male,0.00066
1983,18,male,0.001088
1983,19,male,0.001077
1983,20,male,0.001499
1983,21,male,0.001042
1983,22,male,0.000918
1983,23,male,0.001043
1983,24,male,0.00092
1983,25,male,0.00102
1983,26,male,0.001057
1983,27,male,0.000899
1983,28,male,0.00097
1983,29,male,0.000689
1983,30,male,0.000887
1983,31,male,0.001342
1983,32,male,0.001116
1983,33,male,0.001046
1983,34,male,0.000904
1983,35,male,0.001292
1983,36,male,0.001239
1983,37,male,0.00135
1983,38,male,0.001648
1983,39,male,0.001551
1983,40,male,0.001648
1983,41,male,0.002038
1983,42,male,0.001647
1983,43,male,0.00244
1983,44,male,0.002729
1983,45,male,0.003472
1983,46,male,0.002641
1983,47,male,0.003841
1983,48,male,0.004481
1983,49,male,0.004462
1983,50,male,0.004845
1983,51,male,0.005768
1983,52,male,0.006713
1983,53,male,0.007991
1983,54,male,0.007802
1983,55,male,0.009891
1983,56,male,0.011102
1983,57,male,0.011048
1983,58,male,0.011915
1983,59,male,0.01361
1983,60,male,0.014465
1983,61,male,0.016631
1983,62,male,0.014685
1983,63,male,0.019468
1983,64,male,0.019489
1983,65,male,0.022197
1983,66,male,0.022809
1983,67,male,0.025369
1983,68,male,0.030367
1983,69,male,0.03472
1983,70,male,0.036629
1983,71,male,0.040261
1983,72,male,0.04252
1983,73,male,0.050623
1983,74,male,0.056641
1983,75,male,0.05786
1983,76,male,0.064161
1983,77,male,0.072183
1983,78,male,0.079568
1983,79,male,0.090892
1983,80,male,0.096965
1983,81,male,0.088898
1983,82,male,0.092545
1983,83,male,0.144578
1983,84,male,0.110888
1983,85,male,0.132547
1983,86,male,0.134117
1983,87,male,0.150508
1983,88,male,0.190573
1983,89,male,0.17396
1983,90,male,0.228302
1983,91,male,0.200238
1983,92,male,0.218409
1983,93,male,0.277454
1983,94,male,0.195384
1983,95,male,0.287456
1983,96,male,0.308936
1983,97,male,0.331789
1983,98,male,0.356476
1983,99,male,0.38369
1983,100,male,0.413641
1983,101,male,0.445225
1983,102,male,0.484271
1983,103,male,0.543654
1983,104,male,0.616099
1983,105,male,0.868778
1983,106,male,1.684932
1983,107,male,6.0
1983,108,male,0.0
1983,109,male,0.0
1983,110,male,0.0
1984,0,male,0.013011
1984,1,male,0.001166
1984,2,male,0.000726
1984,3,male,0.000505
1984,4,male,0.000538
1984,5,male,0.0003
1984,6,male,0.000319
1984,7,male,0.000372
1984,8,male,0.000247
1984,9,male,0.000234
1984,10,male,0.000242
1984,11,male,0.000273
1984,12,male,0.000231
1984,13,male,0.000302
1984,14,male,0.000438
1984,15,male,0.000383
1984,16,male,0.000453
1984,17,male,0.000596
1984,18,male,0.000897
1984,19,male,0.0013
1984,20,male,0.000937
1984,21,male,0.001066
1984,22,male,0.00116
1984,23,male,0.001039
1984,24,male,0.001136
1984,25,male,0.000858
1984,26,male,0.000711
1984,27,male,0.000652
1984,28,male,0.001053
1984,29,male,0.001094
1984,30,male,0.001095
1984,31,male,0.000949
1984,32,male,0.000732
1984,33,male,0.00093
1984,34,male,0.001214
1984,35,male,0.001303
1984,36,male,0.001188
1984,37,male,0.001063
1984,38,male,0.001391
1984,39,male,0.00151
1984,40,male,0.001656
1984,41,male,0.001535
1984,42,male,0.00144
1984,43,male,0.002241
1984,44,male,0.002562
