year,age,sex,value
1872,0,male,0.293463
1872,1,male,0.138152
1872,2,male,0.093273
1872,3,male,0.054161
1872,4,male,0.035531
1872,5,male,0.024173
1872,6,male,0.016137
1872,7,male,0.010563
1872,8,male,0.006932
1872,9,male,0.005649
1872,10,male,0.005798
1872,11,male,0.006382
1872,12,male,0.006354
1872,13,male,0.006275
1872,14,male,0.006454
1872,15,male,0.006241
1872,16,male,0.006482
1872,17,male,0.007224
1872,18,male,0.007915
1872,19,male,0.009413
1872,20,male,0.010443
1872,21,male,0.010632
1872,22,male,0.011609
1872,23,male,0.012346
1872,24,male,0.012655
1872,25,male,0.011934
1872,26,male,0.010757
1872,27,male,0.010468
1872,28,male,0.010185
1872,29,male,0.011113
1872,30,male,0.009396
1872,31,male,0.009652
1872,32,male,0.011905
1872,33,male,0.011834
1872,34,male,0.012352
1872,35,male,0.01167
1872,36,male,0.011409
1872,37,male,0.012824
1872,38,male,0.013643
1872,39,male,0.015714
1872,40,male,0.010806
1872,41,male,0.011259
1872,42,male,0.01646
1872,43,male,0.016932
1872,44,male,0.018174
1872,45,male,0.015235
1872,46,male,0.015452
1872,47,male,0.018761
1872,48,male,0.019083
1872,49,male,0.021162
1872,50,male,0.013944
1872,51,male,0.014798
1872,52,male,0.023047
1872,53,male,0.024612
1872,54,male,0.027527
1872,55,male,0.025328
1872,56,male,0.02558
1872,57,male,0.030676
1872,58,male,0.033571
1872,59,male,0.039676
1872,60,male,0.024129
1872,61,male,0.026045
1872,62,male,0.046022
1872,63,male,0.049412
1872,64,male,0.05417
1872,65,male,0.049379
1872,66,male,0.052136
1872,67,male,0.063966
1872,68,male,0.071955
1872,69,male,0.085793
1872,70,male,0.05431
1872,71,male,0.054448
1872,72,male,0.086815
1872,73,male,0.100182
1872,74,male,0.117356
1872,75,male,0.109297
1872,76,male,0.113218
1872,77,male,0.143735
1872,78,male,0.147038
1872,79,male,0.165122
1872,80,male,0.147115
1872,81,male,0.158272
1872,82,male,0.1697
1872,83,male,0.181797
1872,84,male,0.194955
1872,85,male,0.209573
1872,86,male,0.225606
1872,87,male,0.243154
1872,88,male,0.262145
1872,89,male,0.281982
1872,90,male,0.303425
1872,91,male,0.327248
1872,92,male,0.35263
1872,93,male,0.379376
1872,94,male,0.407993
1872,95,male,0.439457
1872,96,male,0.47282
1872,97,male,0.507505
1872,98,male,0.543683
1872,99,male,0.583059
1872,100,male,0.640316
1872,101,male,0.711262
1872,102,male,0.792378
1872,103,male,0.930643
1872,104,male,1.154833
1872,105,male,1.567251
1872,106,male,2.463158
1872,107,male,6.0
1872,108,male,0.0
1872,109,male,0.0
1872,110,male,0.0
1873,0,male,0.252831
1873,1,male,0.10541
1873,2,male,0.094941
1873,3,male,0.059419
1873,4,male,0.03347
1873,5,male,0.023126
1873,6,male,0.015361
1873,7,male,0.009614
1873,8,male,0.006174
1873,9,male,0.004732
1873,10,male,0.005231
1873,11,male,0.005719
1873,12,male,0.006205
1873,13,male,0.006107
1873,14,male,0.005939
1873,15,male,0.006025
1873,16,male,0.006101
1873,17,male,0.006683
1873,18,male,0.007764
1873,19,male,0.008798
1873,20,male,0.010508
1873,21,male,0.011146
1873,22,male,0.010874
1873,23,male,0.011303
1873,24,male,0.011402
1873,25,male,0.011132
1873,26,male,0.010434
1873,27,male,0.009523
1873,28,male,0.009417
1873,29,male,0.009408
1873,30,male,0.01047
1873,31,male,0.009098
1873,32,male,0.009448
1873,33,male,0.01147
1873,34,male,0.011442
1873,35,male,0.011939
1873,36,male,0.011437
1873,37,male,0.011261
1873,38,male,0.0126
1873,39,male,0.013429
1873,40,male,0.015336
1873,41,male,0.010877
1873,42,male,0.011403
1873,43,male,0.01614
1873,44,male,0.016658
1873,45,male,0.017956
1873,46,male,0.015651
1873,47,male,0.016204
1873,48,male,0.019772
1873,49,male,0.020576
1873,50,male,0.023002
1873,51,male,0.015625
1873,52,male,0.016515
1873,53,male,0.024433
1873,54,male,0.025494
1873,55,male,0.027938
1873,56,male,0.026396
1873,57,male,0.027122
1873,58,male,0.032803
1873,59,male,0.036688
1873,60,male,0.043948
1873,61,male,0.027814
1873,62,male,0.030213
1873,63,male,0.051568
1873,64,male,0.055548
1873,65,male,0.061247
1873,66,male,0.056994
1873,67,male,0.060511
1873,68,male,0.073859
1873,69,male,0.082932
1873,70,male,0.09827
1873,71,male,0.06257
1873,72,male,0.06249
1873,73,male,0.09912
1873,74,male,0.116455
1873,75,male,0.151596
1873,76,male,0.131005
1873,77,male,0.135409
1873,78,male,0.172292
1873,79,male,0.175436
1873,80,male,0.160509
1873,81,male,0.172734
1873,82,male,0.18494
1873,83,male,0.196978
1873,84,male,0.209307
1873,85,male,0.222374
1873,86,male,0.236641
1873,87,male,0.251927
1873,88,male,0.268256
1873,89,male,0.285394
1873,90,male,0.302329
1873,91,male,0.320003
1873,92,male,0.339394
1873,93,male,0.359126
1873,94,male,0.378793
1873,95,male,0.39895
1873,96,male,0.420979
1873,97,male,0.44331
1873,98,male,0.464955
1873,99,male,0.486065
1873,100,male,0.50898
1873,101,male,0.557783
1873,102,male,0.629925
1873,103,male,0.721264
1873,104,male,0.961581
1873,105,male,1.69697
1873,106,male,6.0
1873,107,male,0.0
1873,108,male,0.0
1873,109,male,0.0
1873,110,male,0.0
1874,0,male,0.263471
1874,1,male,0.097104
1874,2,male,0.077207
1874,3,male,0.063633
1874,4,male,0.038466
1874,5,male,0.023377
1874,6,male,0.016025
1874,7,male,0.01027
1874,8,male,0.006539
1874,9,male,0.00499
1874,10,male,0.005071
1874,11,male,0.005631
1874,12,male,0.005821
1874,13,male,0.006019
1874,14,male,0.005711
1874,15,male,0.005445
1874,16,male,0.005728
1874,17,male,0.006176
1874,18,male,0.007134
1874,19,male,0.008624
1874,20,male,0.009948
1874,21,male,0.011365
1874,22,male,0.011521
1874,23,male,0.01082
1874,24,male,0.010661
1874,25,male,0.010187
1874,26,male,0.009851
1874,27,male,0.009387
1874,28,male,0.008819
1874,29,male,0.009017
1874,30,male,0.00934
1874,31,male,0.010448
1874,32,male,0.009242
1874,33,male,0.009657
1874,34,male,0.011521
1874,35,male,0.011566
1874,36,male,0.01218
1874,37,male,0.011937
1874,38,male,0.011883
1874,39,male,0.013201
1874,40,male,0.013979
1874,41,male,0.01564
1874,42,male,0.011366
1874,43,male,0.011968
1874,44,male,0.016433
1874,45,male,0.017153
1874,46,male,0.018807
1874,47,male,0.01713
1874,48,male,0.018045
1874,49,male,0.021887
1874,50,male,0.022847
1874,51,male,0.024918
1874,52,male,0.017137
1874,53,male,0.017933
1874,54,male,0.025283
1874,55,male,0.02631
1874,56,male,0.029683
1874,57,male,0.029776
1874,58,male,0.031617
1874,59,male,0.038608
1874,60,male,0.043436
1874,61,male,0.050849
1874,62,male,0.032849
1874,63,male,0.035526
1874,64,male,0.058015
1874,65,male,0.062367
1874,66,male,0.068976
1874,67,male,0.065353
1874,68,male,0.069554
1874,69,male,0.08416
1874,70,male,0.094015
1874,71,male,0.110371
1874,72,male,0.070368
1874,73,male,0.06976
1874,74,male,0.109802
1874,75,male,0.146993
1874,76,male,0.176144
1874,77,male,0.150671
1874,78,male,0.154914
1874,79,male,0.197447
1874,80,male,0.168245
1874,81,male,0.179542
1874,82,male,0.192625
1874,83,male,0.205368
1874,84,male,0.21752
1874,85,male,0.229652
1874,86,male,0.242334
1874,87,male,0.256175
1874,88,male,0.270901
1874,89,male,0.286526
1874,90,male,0.302696
1874,91,male,0.317952
1874,92,male,0.333571
1874,93,male,0.350948
1874,94,male,0.368141
1874,95,male,0.38443
1874,96,male,0.400708
1874,97,male,0.419084
1874,98,male,0.437112
1874,99,male,0.453275
1874,100,male,0.468553
1874,101,male,0.485955
1874,102,male,0.544689
1874,103,male,0.65026
1874,104,male,0.812308
1874,105,male,1.672862
1874,106,male,0.0
1874,107,male,0.0
1874,108,male,0.0
1874,109,male,0.0
1874,110,male,0.0
1875,0,male,0.270553
1875,1,male,0.102054
1875,2,male,0.07253
1875,3,male,0.053751
1875,4,male,0.042656
1875,5,male,0.028947
1875,6,male,0.019005
1875,7,male,0.013702
1875,8,male,0.009807
1875,9,male,0.007552
1875,10,male,0.006851
1875,11,male,0.006461
1875,12,male,0.006409
1875,13,male,0.006168
1875,14,male,0.006147
1875,15,male,0.005908
1875,16,male,0.006024
1875,17,male,0.006722
1875,18,male,0.007563
1875,19,male,0.008852
1875,20,male,0.010477
1875,21,male,0.011303
1875,22,male,0.012097
1875,23,male,0.011665
1875,24,male,0.010508
1875,25,male,0.009902
1875,26,male,0.009464
1875,27,male,0.009331
1875,28,male,0.009149
1875,29,male,0.008875
1875,30,male,0.00925
1875,31,male,0.009559
1875,32,male,0.01051
1875,33,male,0.009359
1875,34,male,0.009788
1875,35,male,0.011481
1875,36,male,0.011659
1875,37,male,0.012419
1875,38,male,0.012476
1875,39,male,0.01258
1875,40,male,0.013891
1875,41,male,0.014653
1875,42,male,0.016123
1875,43,male,0.012036
1875,44,male,0.01271
1875,45,male,0.016851
1875,46,male,0.017698
1875,47,male,0.019536
1875,48,male,0.018429
1875,49,male,0.01962
1875,50,male,0.023458
1875,51,male,0.024221
1875,52,male,0.025704
1875,53,male,0.017901
1875,54,male,0.018491
1875,55,male,0.024807
1875,56,male,0.026097
1875,57,male,0.030027
1875,58,male,0.031444
1875,59,male,0.033912
1875,60,male,0.04095
1875,61,male,0.045153
1875,62,male,0.051444
1875,63,male,0.034074
1875,64,male,0.036845
1875,65,male,0.057576
1875,66,male,0.06191
1875,67,male,0.068709
1875,68,male,0.066419
1875,69,male,0.070875
1875,70,male,0.084839
1875,71,male,0.094145
1875,72,male,0.109148
1875,73,male,0.06967
1875,74,male,0.068345
1875,75,male,0.116182
1875,76,male,0.149117
1875,77,male,0.177579
1875,78,male,0.150054
1875,79,male,0.15311
1875,80,male,0.153361
1875,81,male,0.161996
1875,82,male,0.171908
1875,83,male,0.183605
1875,84,male,0.194642
1875,85,male,0.204688
1875,86,male,0.214384
1875,87,male,0.22437
1875,88,male,0.235348
1875,89,male,0.24701
1875,90,male,0.259358
1875,91,male,0.271981
1875,92,male,0.283121
1875,93,male,0.294301
1875,94,male,0.307254
1875,95,male,0.319561
1875,96,male,0.33051
1875,97,male,0.341035
1875,98,male,0.353862
1875,99,male,0.36582
1875,100,male,0.37526
1875,101,male,0.383096
1875,102,male,0.39404
1875,103,male,0.45814
1875,104,male,0.60746
1875,105,male,0.955882
1875,106,male,0.0
1875,107,male,0.0
1875,108,male,0.0
1875,109,male,0.0
1875,110,male,0.0
1876,0,male,0.250589
1876,1,male,0.093763
1876,2,male,0.07026
1876,3,male,0.047052
1876,4,male,0.033918
1876,5,male,0.028266
1876,6,male,0.019085
1876,7,male,0.012127
1876,8,male,0.008615
1876,9,male,0.00673
1876,10,male,0.006252
1876,11,male,0.006149
1876,12,male,0.006001
1876,13,male,0.006053
1876,14,male,0.005864
1876,15,male,0.005823
1876,16,male,0.00572
1876,17,male,0.005997
1876,18,male,0.006818
1876,19,male,0.007838
1876,20,male,0.009158
1876,21,male,0.01031
1876,22,male,0.010641
1876,23,male,0.01094
1876,24,male,0.010216
1876,25,male,0.009049
1876,26,male,0.008653
1876,27,male,0.008491
1876,28,male,0.008609
1876,29,male,0.008706
1876,30,male,0.008643
1876,31,male,0.008988
1876,32,male,0.009268
1876,33,male,0.010089
1876,34,male,0.009128
1876,35,male,0.009634
1876,36,male,0.011138
1876,37,male,0.011386
1876,38,male,0.012168
1876,39,male,0.012404
1876,40,male,0.012526
1876,41,male,0.013607
1876,42,male,0.014172
1876,43,male,0.015203
1876,44,male,0.011573
1876,45,male,0.012174
1876,46,male,0.015538
1876,47,male,0.016409
1876,48,male,0.018276
1876,49,male,0.017972
1876,50,male,0.019447
1876,51,male,0.022855
1876,52,male,0.023571
1876,53,male,0.024668
1876,54,male,0.017695
1876,55,male,0.018424
1876,56,male,0.024202
1876,57,male,0.025884
1876,58,male,0.03016
1876,59,male,0.032589
1876,60,male,0.035051
1876,61,male,0.040925
1876,62,male,0.044145
1876,63,male,0.049136
1876,64,male,0.033723
1876,65,male,0.036743
1876,66,male,0.054784
1876,67,male,0.058974
1876,68,male,0.065741
1876,69,male,0.065088
1876,70,male,0.069729
1876,71,male,0.082427
1876,72,male,0.090753
1876,73,male,0.103587
1876,74,male,0.066564
1876,75,male,0.06905
1876,76,male,0.109895
1876,77,male,0.147463
1876,78,male,0.174738
1876,79,male,0.14739
1876,80,male,0.138941
1876,81,male,0.14843
1876,82,male,0.157297
1876,83,male,0.167789
1876,84,male,0.180608
1876,85,male,0.192975
1876,86,male,0.204483
1876,87,male,0.215912
1876,88,male,0.228115
1876,89,male,0.242082
1876,90,male,0.257558
1876,91,male,0.274728
1876,92,male,0.293185
1876,93,male,0.310495
1876,94,male,0.328894
1876,95,male,0.351274
1876,96,male,0.374155
1876,97,male,0.396277
1876,98,male,0.419349
1876,99,male,0.448651
1876,100,male,0.47839
1876,101,male,0.506381
1876,102,male,0.532634
1876,103,male,0.566109
1876,104,male,0.751049
1876,105,male,1.390728
1876,106,male,4.186047
1876,107,male,0.0
1876,108,male,0.0
1876,109,male,0.0
1876,110,male,0.0
1877,0,male,0.244431
1877,1,male,0.086216
1877,2,male,0.067028
1877,3,male,0.047056
1877,4,male,0.030521
1877,5,male,0.022668
1877,6,male,0.017168
1877,7,male,0.010271
1877,8,male,0.005985
1877,9,male,0.00453
1877,10,male,0.004738
1877,11,male,0.005116
1877,12,male,0.005391
1877,13,male,0.005473
1877,14,male,0.005563
1877,15,male,0.005371
1877,16,male,0.005465
1877,17,male,0.005597
1877,18,male,0.006111
1877,19,male,0.007148
1877,20,male,0.008354
1877,21,male,0.0094
1877,22,male,0.010131
1877,23,male,0.010117
1877,24,male,0.010044
1877,25,male,0.009178
1877,26,male,0.0083
1877,27,male,0.008083
1877,28,male,0.008049
1877,29,male,0.008271
1877,30,male,0.008468
1877,31,male,0.008428
1877,32,male,0.008723
1877,33,male,0.008987
1877,34,male,0.009678
1877,35,male,0.008864
1877,36,male,0.00934
1877,37,male,0.010545
1877,38,male,0.010806
1877,39,male,0.011595
