year,age,sex,value
1947,0,male,0.095519
1947,1,male,0.037045
1947,2,male,0.017216
1947,3,male,0.011339
1947,4,male,0.007474
1947,5,male,0.005114
1947,6,male,0.003935
1947,7,male,0.00333
1947,8,male,0.002499
1947,9,male,0.002218
1947,10,male,0.002006
1947,11,male,0.00174
1947,12,male,0.001732
1947,13,male,0.001813
1947,14,male,0.00205
1947,15,male,0.002724
1947,16,male,0.003173
1947,17,male,0.004241
1947,18,male,0.005416
1947,19,male,0.006851
1947,20,male,0.007571
1947,21,male,0.008349
1947,22,male,0.008773
1947,23,male,0.009209
1947,24,male,0.009186
1947,25,male,0.009032
1947,26,male,0.008958
1947,27,male,0.008656
1947,28,male,0.008349
1947,29,male,0.00847
1947,30,male,0.008086
1947,31,male,0.008002
1947,32,male,0.008501
1947,33,male,0.008472
1947,34,male,0.008348
1947,35,male,0.00843
1947,36,male,0.008442
1947,37,male,0.008809
1947,38,male,0.008757
1947,39,male,0.00883
1947,40,male,0.009059
1947,41,male,0.009408
1947,42,male,0.009714
1947,43,male,0.010249
1947,44,male,0.010807
1947,45,male,0.01106
1947,46,male,0.011554
1947,47,male,0.01233
1947,48,male,0.012981
1947,49,male,0.014405
1947,50,male,0.014593
1947,51,male,0.016244
1947,52,male,0.017468
1947,53,male,0.01918
1947,54,male,0.020384
1947,55,male,0.021349
1947,56,male,0.022926
1947,57,male,0.026416
1947,58,male,0.029396
1947,59,male,0.029832
1947,60,male,0.035658
1947,61,male,0.03692
1947,62,male,0.041022
1947,63,male,0.044458
1947,64,male,0.048722
1947,65,male,0.05357
1947,66,male,0.056986
1947,67,male,0.062047
1947,68,male,0.068109
1947,69,male,0.071971
1947,70,male,0.080949
1947,71,male,0.084123
1947,72,male,0.092371
1947,73,male,0.101302
1947,74,male,0.105721
1947,75,male,0.117546
1947,76,male,0.122614
1947,77,male,0.137456
1947,78,male,0.160239
1947,79,male,0.170746
1947,80,male,0.176541
1947,81,male,0.197285
1947,82,male,0.212511
1947,83,male,0.233745
1947,84,male,0.229492
1947,85,male,0.266993
1947,86,male,0.292055
1947,87,male,0.313035
1947,88,male,0.320956
1947,89,male,0.342501
1947,90,male,0.353812
1947,91,male,0.4227
1947,92,male,0.43183
1947,93,male,0.45464
1947,94,male,0.479521
1947,95,male,0.573834
1947,96,male,0.499353
1947,97,male,0.500472
1947,98,male,0.664836
1947,99,male,1.021337
1947,100,male,1.356867
1947,101,male,0.5
1947,102,male,0.751873
1947,103,male,1.5
1947,104,male,0.0
1947,105,male,1.0
1947,106,male,1.5
1947,107,male,0.75
1947,108,male,0.0
1947,109,male,0.0
1947,110,male,1.714286
1948,0,male,0.068986
1948,1,male,0.019426
1948,2,male,0.010408
1948,3,male,0.007255
1948,4,male,0.005061
1948,5,male,0.003592
1948,6,male,0.00286
1948,7,male,0.002501
1948,8,male,0.00208
1948,9,male,0.001765
1948,10,male,0.001697
1948,11,male,0.001446
1948,12,male,0.001435
1948,13,male,0.001463
1948,14,male,0.001667
1948,15,male,0.002037
1948,16,male,0.00267
1948,17,male,0.00334
1948,18,male,0.00428
1948,19,male,0.005341
1948,20,male,0.006381
1948,21,male,0.006909
1948,22,male,0.007389
1948,23,male,0.007991
1948,24,male,0.00823
1948,25,male,0.008168
1948,26,male,0.007712
1948,27,male,0.008029
1948,28,male,0.007505
1948,29,male,0.007671
1948,30,male,0.007178
1948,31,male,0.007237
1948,32,male,0.007144
1948,33,male,0.007379
1948,34,male,0.007248
1948,35,male,0.007162
1948,36,male,0.007511
1948,37,male,0.007357
1948,38,male,0.007581
1948,39,male,0.007735
1948,40,male,0.007947
1948,41,male,0.008143
1948,42,male,0.008486
1948,43,male,0.00885
1948,44,male,0.009272
1948,45,male,0.009786
1948,46,male,0.010002
1948,47,male,0.010361
1948,48,male,0.011164
1948,49,male,0.012054
1948,50,male,0.013622
1948,51,male,0.013552
1948,52,male,0.015221
1948,53,male,0.016401
1948,54,male,0.017746
1948,55,male,0.019015
