year,age,sex,value
2003,0,male,0.005998
2003,1,male,0.000418
2003,2,male,0.000409
2003,3,male,0.00031
2003,4,male,0.000347
2003,5,male,0.000259
2003,6,male,0.000258
2003,7,male,0.000253
2003,8,male,0.00018
2003,9,male,0.000173
2003,10,male,0.000179
2003,11,male,0.000184
2003,12,male,0.00015
2003,13,male,0.000155
2003,14,male,0.000241
2003,15,male,0.000295
2003,16,male,0.000417
2003,17,male,0.000486
2003,18,male,0.000612
2003,19,male,0.000692
2003,20,male,0.000629
2003,21,male,0.000553
2003,22,male,0.000687
2003,23,male,0.000756
2003,24,male,0.000853
2003,25,male,0.00082
2003,26,male,0.00085
2003,27,male,0.000863
2003,28,male,0.000896
2003,29,male,0.000999
2003,30,male,0.001034
2003,31,male,0.001042
2003,32,male,0.001117
2003,33,male,0.001164
2003,34,male,0.001508
2003,35,male,0.001384
2003,36,male,0.001686
2003,37,male,0.001761
2003,38,male,0.002188
2003,39,male,0.002244
2003,40,male,0.002492
2003,41,male,0.002768
2003,42,male,0.003137
2003,43,male,0.00348
2003,44,male,0.003804
2003,45,male,0.003989
2003,46,male,0.004444
2003,47,male,0.004947
2003,48,male,0.005251
2003,49,male,0.005609
2003,50,male,0.005878
2003,51,male,0.007075
2003,52,male,0.007212
2003,53,male,0.007991
2003,54,male,0.008283
2003,55,male,0.008308
2003,56,male,0.009552
2003,57,male,0.009461
2003,58,male,0.01118
2003,59,male,0.011553
2003,60,male,0.01358
2003,61,male,0.014922
2003,62,male,0.016582
2003,63,male,0.017207
2003,64,male,0.019101
2003,65,male,0.020923
2003,66,male,0.023818
2003,67,male,0.025207
2003,68,male,0.028724
2003,69,male,0.031934
2003,70,male,0.034574
2003,71,male,0.037519
2003,72,male,0.041919
2003,73,male,0.046056
2003,74,male,0.051234
2003,75,male,0.056331
2003,76,male,0.063114
2003,77,male,0.06769
2003,78,male,0.075928
2003,79,male,0.082518
2003,80,male,0.097728
2003,81,male,0.102775
2003,82,male,0.108225
2003,83,male,0.124557
2003,84,male,0.133644
2003,85,male,0.153441
2003,86,male,0.172565
2003,87,male,0.182321
2003,88,male,0.193132
2003,89,male,0.214876
2003,90,male,0.233665
2003,91,male,0.24721
2003,92,male,0.253394
2003,93,male,0.298316
2003,94,male,0.327182
2003,95,male,0.30106
2003,96,male,0.311837
2003,97,male,0.334198
2003,98,male,0.289942
2003,99,male,0.419536
2003,100,male,0.530764
2003,101,male,0.580636
2003,102,male,0.647296
2003,103,male,0.736107
2003,104,male,0.849761
2003,105,male,1.141573
2003,106,male,2.0
2003,107,male,4.216216
2003,108,male,0.0
2003,109,male,0.0
2003,110,male,0.0
2004,0,male,0.005094
2004,1,male,0.000443
2004,2,male,0.000403
2004,3,male,0.000336
2004,4,male,0.00027
2004,5,male,0.000268
2004,6,male,0.000224
2004,7,male,0.000253
2004,8,male,0.000234
2004,9,male,0.000165
2004,10,male,0.000186
2004,11,male,0.000171
2004,12,male,0.000145
2004,13,male,0.000182
2004,14,male,0.0002
2004,15,male,0.000317
2004,16,male,0.000327
2004,17,male,0.000415
2004,18,male,0.000535
2004,19,male,0.000571
2004,20,male,0.000624
2004,21,male,0.000521
2004,22,male,0.000577
2004,23,male,0.000569
2004,24,male,0.000667
2004,25,male,0.000595
2004,26,male,0.000801
2004,27,male,0.000707
2004,28,male,0.000787
2004,29,male,0.000837
2004,30,male,0.000788
2004,31,male,0.000856
2004,32,male,0.000926
2004,33,male,0.001069
2004,34,male,0.001146
2004,35,male,0.001384
2004,36,male,0.00156
2004,37,male,0.001647
2004,38,male,0.001885
2004,39,male,0.002034
2004,40,male,0.002269
2004,41,male,0.002627
2004,42,male,0.002752
2004,43,male,0.003326
2004,44,male,0.003515
2004,45,male,0.003828
2004,46,male,0.004306
2004,47,male,0.004729
2004,48,male,0.005033
2004,49,male,0.00549
2004,50,male,0.005888
2004,51,male,0.006353
2004,52,male,0.007264
2004,53,male,0.007305
2004,54,male,0.00826
2004,55,male,0.008596
2004,56,male,0.009041
2004,57,male,0.010214
2004,58,male,0.010199
2004,59,male,0.011596
2004,60,male,0.012182
2004,61,male,0.014081
2004,62,male,0.01603
2004,63,male,0.016621
2004,64,male,0.019124
2004,65,male,0.020027
2004,66,male,0.02249
2004,67,male,0.026149
2004,68,male,0.027811
2004,69,male,0.029877
2004,70,male,0.033188
2004,71,male,0.036715
2004,72,male,0.041956
2004,73,male,0.043688
2004,74,male,0.051385
2004,75,male,0.054728
2004,76,male,0.059931
2004,77,male,0.068968
2004,78,male,0.073464
2004,79,male,0.081376
2004,80,male,0.089356
2004,81,male,0.105241
2004,82,male,0.111231
2004,83,male,0.121662
2004,84,male,0.1316
2004,85,male,0.141263
2004,86,male,0.162898
2004,87,male,0.184779
2004,88,male,0.189485
2004,89,male,0.202608
2004,90,male,0.230925
2004,91,male,0.253437
2004,92,male,0.251519
2004,93,male,0.270673
2004,94,male,0.277751
2004,95,male,0.341612
2004,96,male,0.331543
2004,97,male,0.379882
2004,98,male,0.327706
2004,99,male,0.451754
2004,100,male,0.354241
2004,101,male,0.365136
2004,102,male,0.381137
2004,103,male,0.410582
2004,104,male,0.460289
2004,105,male,0.535082
2004,106,male,0.968182
2004,107,male,0.0
2004,108,male,0.0
2004,109,male,0.0
2004,110,male,0.0
2005,0,male,0.004391
2005,1,male,0.000442
2005,2,male,0.000312
2005,3,male,0.000329
2005,4,male,0.000263
2005,5,male,0.000221
2005,6,male,0.000231
2005,7,male,0.000198
2005,8,male,0.000208
2005,9,male,0.000165
2005,10,male,0.000143
2005,11,male,0.000131
2005,12,male,0.000171
2005,13,male,0.000169
2005,14,male,0.000211
2005,15,male,0.0003
2005,16,male,0.000357
2005,17,male,0.000393
2005,18,male,0.000477
2005,19,male,0.000506
2005,20,male,0.000548
2005,21,male,0.000559
2005,22,male,0.000581
2005,23,male,0.000566
2005,24,male,0.000654
2005,25,male,0.000748
2005,26,male,0.000651
2005,27,male,0.000754
2005,28,male,0.000779
2005,29,male,0.00075
2005,30,male,0.000909
2005,31,male,0.001008
2005,32,male,0.000919
2005,33,male,0.00097
2005,34,male,0.001189
2005,35,male,0.001135
2005,36,male,0.00142
2005,37,male,0.00148
2005,38,male,0.001738
2005,39,male,0.001874
2005,40,male,0.00217
2005,41,male,0.002211
2005,42,male,0.00272
2005,43,male,0.002779
2005,44,male,0.003297
2005,45,male,0.003758
2005,46,male,0.00398
2005,47,male,0.004383
2005,48,male,0.004563
2005,49,male,0.005126
2005,50,male,0.005617
2005,51,male,0.00591
2005,52,male,0.006315
2005,53,male,0.007276
2005,54,male,0.007373
2005,55,male,0.008213
2005,56,male,0.008529
2005,57,male,0.009084
2005,58,male,0.009908
2005,59,male,0.009766
2005,60,male,0.01223
2005,61,male,0.01214
2005,62,male,0.015099
2005,63,male,0.016041
2005,64,male,0.017514
2005,65,male,0.01957
2005,66,male,0.02151
2005,67,male,0.023005
2005,68,male,0.026329
2005,69,male,0.029194
2005,70,male,0.032588
2005,71,male,0.035945
2005,72,male,0.037975
2005,73,male,0.043405
2005,74,male,0.045966
2005,75,male,0.052801
2005,76,male,0.060045
2005,77,male,0.064777
2005,78,male,0.071986
2005,79,male,0.080174
2005,80,male,0.091987
2005,81,male,0.093715
2005,82,male,0.112041
2005,83,male,0.118304
2005,84,male,0.12583
2005,85,male,0.143528
2005,86,male,0.158837
2005,87,male,0.172964
2005,88,male,0.20721
2005,89,male,0.220639
2005,90,male,0.224809
2005,91,male,0.236163
2005,92,male,0.275992
2005,93,male,0.272001
2005,94,male,0.287903
2005,95,male,0.283791
2005,96,male,0.331153
2005,97,male,0.324326
2005,98,male,0.368583
2005,99,male,0.364004
2005,100,male,0.428203
2005,101,male,0.44917
2005,102,male,0.47072
2005,103,male,0.502716
2005,104,male,0.567919
2005,105,male,0.693291
2005,106,male,0.931727
2005,107,male,1.8
2005,108,male,0.0
2005,109,male,0.0
2005,110,male,0.0
2006,0,male,0.004421
2006,1,male,0.000433
2006,2,male,0.000306
2006,3,male,0.000264
2006,4,male,0.000179
2006,5,male,0.000206
2006,6,male,0.0002
2006,7,male,0.000167
2006,8,male,0.000145
2006,9,male,0.000152
2006,10,male,0.000143
2006,11,male,0.00012
2006,12,male,0.000168
2006,13,male,0.000221
2006,14,male,0.000217
2006,15,male,0.000276
2006,16,male,0.000306
2006,17,male,0.000403
2006,18,male,0.000434
2006,19,male,0.00054
2006,20,male,0.000464
2006,21,male,0.000464
2006,22,male,0.000515
2006,23,male,0.000534
2006,24,male,0.00056
2006,25,male,0.000611
2006,26,male,0.000579
2006,27,male,0.000699
2006,28,male,0.000763
2006,29,male,0.000792
2006,30,male,0.000755
2006,31,male,0.00079
2006,32,male,0.000855
2006,33,male,0.000909
2006,34,male,0.000905
2006,35,male,0.001073
2006,36,male,0.001196
2006,37,male,0.001413
2006,38,male,0.001534
2006,39,male,0.001707
2006,40,male,0.001973
2006,41,male,0.00221
2006,42,male,0.002279
2006,43,male,0.002996
2006,44,male,0.0027
2006,45,male,0.003446
2006,46,male,0.00394
2006,47,male,0.003959
2006,48,male,0.004378
2006,49,male,0.004787
2006,50,male,0.005289
2006,51,male,0.005695
2006,52,male,0.006046
2006,53,male,0.006455
2006,54,male,0.007537
2006,55,male,0.007819
2006,56,male,0.008414
2006,57,male,0.008788
2006,58,male,0.009194
2006,59,male,0.010354
2006,60,male,0.009966
2006,61,male,0.012297
2006,62,male,0.012976
2006,63,male,0.014625
2006,64,male,0.016353
2006,65,male,0.018004
2006,66,male,0.020327
2006,67,male,0.022694
2006,68,male,0.024619
2006,69,male,0.028324
2006,70,male,0.030706
2006,71,male,0.033864
2006,72,male,0.036364
2006,73,male,0.040086
2006,74,male,0.046961
2006,75,male,0.049248
2006,76,male,0.055978
2006,77,male,0.064378
2006,78,male,0.071558
2006,79,male,0.079236
2006,80,male,0.082946
2006,81,male,0.096916
2006,82,male,0.103331
2006,83,male,0.119748
2006,84,male,0.130385
2006,85,male,0.13914
2006,86,male,0.154938
2006,87,male,0.165144
2006,88,male,0.187595
2006,89,male,0.209471
2006,90,male,0.228337
2006,91,male,0.222872
2006,92,male,0.243167
2006,93,male,0.269083
2006,94,male,0.283628
2006,95,male,0.308688
2006,96,male,0.316567
2006,97,male,0.394516
2006,98,male,0.338831
2006,99,male,0.412776
2006,100,male,0.405467
2006,101,male,0.426742
2006,102,male,0.44889
2006,103,male,0.471257
2006,104,male,0.511945
2006,105,male,0.619878
2006,106,male,0.889919
2006,107,male,1.980296
2006,108,male,0.0
2006,109,male,0.0
2006,110,male,0.0
2007,0,male,0.004078
2007,1,male,0.000454
2007,2,male,0.0003
2007,3,male,0.000234
2007,4,male,0.000217
2007,5,male,0.00019
2007,6,male,0.000168
2007,7,male,0.000206
2007,8,male,0.000143
2007,9,male,0.000105
2007,10,male,0.00013
2007,11,male,0.000143
2007,12,male,0.00016
2007,13,male,0.000144
2007,14,male,0.000215
2007,15,male,0.000291
2007,16,male,0.000388
2007,17,male,0.000516
2007,18,male,0.000546
2007,19,male,0.000469
2007,20,male,0.000531
2007,21,male,0.000438
2007,22,male,0.000572
2007,23,male,0.000587
2007,24,male,0.000594
2007,25,male,0.000702
2007,26,male,0.000701
2007,27,male,0.000832
2007,28,male,0.000725
2007,29,male,0.000719
2007,30,male,0.000767
2007,31,male,0.000793
2007,32,male,0.000871
2007,33,male,0.000928
2007,34,male,0.000971
2007,35,male,0.00099
2007,36,male,0.001145
2007,37,male,0.001257
2007,38,male,0.001485
2007,39,male,0.001567
2007,40,male,0.001893
2007,41,male,0.002067
2007,42,male,0.002455
2007,43,male,0.002579
2007,44,male,0.002965
2007,45,male,0.00293
2007,46,male,0.003659
2007,47,male,0.003756
2007,48,male,0.004264
2007,49,male,0.004681
2007,50,male,0.004958
2007,51,male,0.005236
2007,52,male,0.005841
2007,53,male,0.005977
2007,54,male,0.006627
2007,55,male,0.007606
2007,56,male,0.007767
2007,57,male,0.0084
2007,58,male,0.009185
2007,59,male,0.009836
2007,60,male,0.010748
2007,61,male,0.010267
2007,62,male,0.013013
2007,63,male,0.013085
2007,64,male,0.015698
2007,65,male,0.017051
2007,66,male,0.018983
2007,67,male,0.021853
2007,68,male,0.023414
2007,69,male,0.026016
2007,70,male,0.029231
2007,71,male,0.031467
2007,72,male,0.035617
2007,73,male,0.038248
2007,74,male,0.042658
2007,75,male,0.05092
2007,76,male,0.054956
2007,77,male,0.060673
2007,78,male,0.067822
2007,79,male,0.07311
2007,80,male,0.082778
2007,81,male,0.092642
2007,82,male,0.105495
2007,83,male,0.110558
2007,84,male,0.129738
2007,85,male,0.137443
2007,86,male,0.153413
2007,87,male,0.169037
2007,88,male,0.184142
2007,89,male,0.193926
2007,90,male,0.214468
2007,91,male,0.239197
2007,92,male,0.27826
2007,93,male,0.267554
2007,94,male,0.31506
2007,95,male,0.311901
2007,96,male,0.324989
2007,97,male,0.374086
2007,98,male,0.317858
2007,99,male,0.388432
2007,100,male,0.446312
2007,101,male,0.471288
2007,102,male,0.498551
2007,103,male,0.527638
2007,104,male,0.559492
2007,105,male,0.631354
2007,106,male,0.882834
2007,107,male,2.334842
2007,108,male,0.0
2007,109,male,0.0
2007,110,male,0.0
2008,0,male,0.003529
2008,1,male,0.000429
2008,2,male,0.000299
2008,3,male,0.000223
2008,4,male,0.000175
2008,5,male,0.000169
2008,6,male,0.000146
2008,7,male,0.000136
2008,8,male,0.000164
2008,9,male,0.00011
2008,10,male,0.000128
2008,11,male,0.000101
2008,12,male,0.000162
2008,13,male,0.000125
2008,14,male,0.000166
2008,15,male,0.000262
2008,16,male,0.00032
2008,17,male,0.000448
2008,18,male,0.000481
2008,19,male,0.000449
2008,20,male,0.000472
2008,21,male,0.000448
2008,22,male,0.000597
2008,23,male,0.000648
2008,24,male,0.000684
2008,25,male,0.000677
2008,26,male,0.000703
2008,27,male,0.000756
2008,28,male,0.000802
2008,29,male,0.000786
2008,30,male,0.000679
2008,31,male,0.000708
2008,32,male,0.000796
2008,33,male,0.000828
2008,34,male,0.001022
2008,35,male,0.001112
2008,36,male,0.001222
2008,37,male,0.001307
2008,38,male,0.001441
