year,age,sex,value
1959,0,male,0.060565
1959,1,male,0.003916
1959,2,male,0.002366
1959,3,male,0.001304
1959,4,male,0.001268
1959,5,male,0.001083
1959,6,male,0.001226
1959,7,male,0.000849
1959,8,male,0.000999
1959,9,male,0.000806
1959,10,male,0.00128
1959,11,male,0.000873
1959,12,male,0.000549
1959,13,male,0.000672
1959,14,male,0.001658
1959,15,male,0.001294
1959,16,male,0.001253
1959,17,male,0.001364
1959,18,male,0.002285
1959,19,male,0.002539
1959,20,male,0.002022
1959,21,male,0.002274
1959,22,male,0.002368
1959,23,male,0.002316
1959,24,male,0.002439
1959,25,male,0.002343
1959,26,male,0.002508
1959,27,male,0.003065
1959,28,male,0.002879
1959,29,male,0.003087
1959,30,male,0.00343
1959,31,male,0.002368
1959,32,male,0.003449
1959,33,male,0.003335
1959,34,male,0.003054
1959,35,male,0.003922
1959,36,male,0.003968
1959,37,male,0.003881
1959,38,male,0.004068
1959,39,male,0.004088
1959,40,male,0.005272
1959,41,male,0.003259
1959,42,male,0.004393
1959,43,male,0.005237
1959,44,male,0.005525
1959,45,male,0.005684
1959,46,male,0.006524
1959,47,male,0.006212
1959,48,male,0.007074
1959,49,male,0.006401
1959,50,male,0.008474
1959,51,male,0.007382
1959,52,male,0.010691
1959,53,male,0.010551
1959,54,male,0.013699
1959,55,male,0.011986
1959,56,male,0.013694
1959,57,male,0.016042
1959,58,male,0.019665
1959,59,male,0.018916
1959,60,male,0.022373
1959,61,male,0.021919
1959,62,male,0.023554
1959,63,male,0.028975
1959,64,male,0.02863
1959,65,male,0.031966
1959,66,male,0.0288
1959,67,male,0.036834
1959,68,male,0.037329
1959,69,male,0.041844
1959,70,male,0.053271
1959,71,male,0.045225
1959,72,male,0.058892
1959,73,male,0.056799
1959,74,male,0.066669
1959,75,male,0.071334
1959,76,male,0.073942
1959,77,male,0.0988
1959,78,male,0.0907
1959,79,male,0.119026
1959,80,male,0.116971
1959,81,male,0.119612
1959,82,male,0.125639
1959,83,male,0.130395
1959,84,male,0.170496
1959,85,male,0.183589
1959,86,male,0.220581
1959,87,male,0.181897
1959,88,male,0.237036
1959,89,male,0.267871
1959,90,male,0.30875
1959,91,male,0.133407
1959,92,male,0.21832
1959,93,male,0.236924
1959,94,male,0.150522
1959,95,male,0.210881
1959,96,male,0.32081
1959,97,male,0.236556
1959,98,male,0.358584
1959,99,male,0.372626
1959,100,male,0.401748
1959,101,male,0.432012
1959,102,male,0.476385
1959,103,male,0.53271
1959,104,male,0.585777
1959,105,male,0.713535
1959,106,male,1.062087
1959,107,male,1.709302
1959,108,male,2.295082
1959,109,male,6.0
1959,110,male,0.0
1960,0,male,0.04339
1960,1,male,0.003067
1960,2,male,0.001794
1960,3,male,0.001199
1960,4,male,0.000883
1960,5,male,0.000845
1960,6,male,0.000683
1960,7,male,0.000654
1960,8,male,0.000527
1960,9,male,0.00064
1960,10,male,0.001011
1960,11,male,0.000579
1960,12,male,0.000879
1960,13,male,0.000413
1960,14,male,0.00063
1960,15,male,0.001155
1960,16,male,0.001021
1960,17,male,0.001046
1960,18,male,0.002295
1960,19,male,0.002328
1960,20,male,0.001866
1960,21,male,0.001915
1960,22,male,0.002365
1960,23,male,0.002986
1960,24,male,0.002055
1960,25,male,0.002799
1960,26,male,0.002344
1960,27,male,0.003039
1960,28,male,0.002886
1960,29,male,0.00288
1960,30,male,0.002743
1960,31,male,0.0032
1960,32,male,0.003279
1960,33,male,0.002488
1960,34,male,0.00412
1960,35,male,0.003868
1960,36,male,0.003862
1960,37,male,0.004104
1960,38,male,0.00457
1960,39,male,0.003791
1960,40,male,0.004903
1960,41,male,0.004879
1960,42,male,0.005038
1960,43,male,0.004619
1960,44,male,0.004643
1960,45,male,0.006599
1960,46,male,0.005973
1960,47,male,0.006305
1960,48,male,0.00782
1960,49,male,0.007454
1960,50,male,0.008449
1960,51,male,0.006804
1960,52,male,0.008378
1960,53,male,0.009137
1960,54,male,0.012377
1960,55,male,0.011605
1960,56,male,0.013182
1960,57,male,0.013156
1960,58,male,0.019344
1960,59,male,0.016246
1960,60,male,0.019818
1960,61,male,0.020601
1960,62,male,0.024172
1960,63,male,0.021689
1960,64,male,0.026039
1960,65,male,0.028446
1960,66,male,0.024737
1960,67,male,0.028324
1960,68,male,0.027277
1960,69,male,0.031278
1960,70,male,0.052112
1960,71,male,0.032536
1960,72,male,0.053674
1960,73,male,0.048714
1960,74,male,0.052654
1960,75,male,0.065374
1960,76,male,0.061377
1960,77,male,0.065823
1960,78,male,0.102423
1960,79,male,0.075586
1960,80,male,0.112626
1960,81,male,0.09709
1960,82,male,0.103715
1960,83,male,0.118665
1960,84,male,0.114525
1960,85,male,0.147501
1960,86,male,0.150341
1960,87,male,0.173551
1960,88,male,0.163527
1960,89,male,0.182009
1960,90,male,0.250687
1960,91,male,0.157311
1960,92,male,0.257969
1960,93,male,0.19878
1960,94,male,0.26294
1960,95,male,0.121487
1960,96,male,0.262103
1960,97,male,0.22071
1960,98,male,0.383775
1960,99,male,0.317124
1960,100,male,0.336897
1960,101,male,0.361722
1960,102,male,0.388235
1960,103,male,0.432735
1960,104,male,0.493987
1960,105,male,0.554044
1960,106,male,0.764543
1960,107,male,2.169492
1960,108,male,0.0
1960,109,male,0.0
1960,110,male,0.0
1961,0,male,0.041412
1961,1,male,0.003442
1961,2,male,0.001694
1961,3,male,0.001356
1961,4,male,0.000672
1961,5,male,0.000614
1961,6,male,0.001
1961,7,male,0.000764
1961,8,male,0.000738
1961,9,male,0.000691
1961,10,male,0.001205
1961,11,male,0.000691
1961,12,male,0.000957
1961,13,male,0.000531
1961,14,male,0.000508
1961,15,male,0.001088
1961,16,male,0.00158
1961,17,male,0.00098
1961,18,male,0.001973
1961,19,male,0.001816
1961,20,male,0.002165
1961,21,male,0.001766
1961,22,male,0.002409
1961,23,male,0.002445
1961,24,male,0.001864
1961,25,male,0.002574
1961,26,male,0.003199
1961,27,male,0.002704
1961,28,male,0.002817
1961,29,male,0.002521
1961,30,male,0.002882
1961,31,male,0.003177
1961,32,male,0.003331
1961,33,male,0.003642
1961,34,male,0.004174
1961,35,male,0.003586
1961,36,male,0.004296
1961,37,male,0.003736
1961,38,male,0.004424
1961,39,male,0.003543
1961,40,male,0.005985
1961,41,male,0.004356
1961,42,male,0.00604
1961,43,male,0.004517
1961,44,male,0.004515
1961,45,male,0.005488
1961,46,male,0.005948
1961,47,male,0.006798
1961,48,male,0.005986
1961,49,male,0.006692
1961,50,male,0.008997
1961,51,male,0.008216
1961,52,male,0.008413
1961,53,male,0.008655
1961,54,male,0.011242
1961,55,male,0.01191
1961,56,male,0.015003
1961,57,male,0.013504
1961,58,male,0.015829
1961,59,male,0.016689
1961,60,male,0.022156
1961,61,male,0.021529
1961,62,male,0.02179
1961,63,male,0.022761
1961,64,male,0.029305
1961,65,male,0.02833
1961,66,male,0.026102
1961,67,male,0.031699
1961,68,male,0.035038
1961,69,male,0.029686
1961,70,male,0.049583
1961,71,male,0.043244
1961,72,male,0.045326
1961,73,male,0.054991
1961,74,male,0.064364
1961,75,male,0.080413
1961,76,male,0.066911
1961,77,male,0.078874
1961,78,male,0.079434
1961,79,male,0.079537
1961,80,male,0.098518
1961,81,male,0.089033
1961,82,male,0.101872
1961,83,male,0.135051
1961,84,male,0.124204
1961,85,male,0.138329
1961,86,male,0.168163
1961,87,male,0.161625
1961,88,male,0.169494
1961,89,male,0.168945
1961,90,male,0.263747
1961,91,male,0.160454
1961,92,male,0.162097
1961,93,male,0.18151
1961,94,male,0.247474
1961,95,male,0.191912
1961,96,male,0.221255
1961,97,male,0.338983
1961,98,male,0.269852
1961,99,male,0.312105
1961,100,male,0.333234
1961,101,male,0.355199
1961,102,male,0.386174
1961,103,male,0.419383
1961,104,male,0.478664
1961,105,male,0.588608
1961,106,male,0.702128
1961,107,male,1.360595
1961,108,male,0.0
1961,109,male,0.0
1961,110,male,0.0
1962,0,male,0.040886
1962,1,male,0.002564
1962,2,male,0.001669
1962,3,male,0.001091
1962,4,male,0.000816
1962,5,male,0.001227
1962,6,male,0.001188
1962,7,male,0.00077
1962,8,male,0.000967
1962,9,male,0.000658
1962,10,male,0.000611
1962,11,male,0.000605
1962,12,male,0.000653
1962,13,male,0.000587
1962,14,male,0.000803
1962,15,male,0.000604
1962,16,male,0.001051
1962,17,male,0.001684
1962,18,male,0.00136
1962,19,male,0.001686
1962,20,male,0.001901
1962,21,male,0.00338
1962,22,male,0.002076
1962,23,male,0.002298
1962,24,male,0.002433
1962,25,male,0.002519
1962,26,male,0.002743
1962,27,male,0.002699
1962,28,male,0.002703
1962,29,male,0.002463
1962,30,male,0.003911
1962,31,male,0.002885
1962,32,male,0.003832
1962,33,male,0.00285
1962,34,male,0.003601
1962,35,male,0.003903
1962,36,male,0.00407
1962,37,male,0.004414
1962,38,male,0.004732
1962,39,male,0.003858
1962,40,male,0.004289
1962,41,male,0.004734
1962,42,male,0.004758
1962,43,male,0.006151
1962,44,male,0.00643
1962,45,male,0.006293
1962,46,male,0.007804
1962,47,male,0.006933
1962,48,male,0.007636
1962,49,male,0.007233
1962,50,male,0.01034
1962,51,male,0.011288
1962,52,male,0.011995
1962,53,male,0.007901
1962,54,male,0.010766
1962,55,male,0.011799
1962,56,male,0.014262
1962,57,male,0.015702
1962,58,male,0.016564
1962,59,male,0.016871
1962,60,male,0.023101
1962,61,male,0.022807
1962,62,male,0.029007
1962,63,male,0.026359
1962,64,male,0.027255
1962,65,male,0.031934
1962,66,male,0.035995
1962,67,male,0.034759
1962,68,male,0.0333
1962,69,male,0.036037
1962,70,male,0.049013
1962,71,male,0.038902
1962,72,male,0.06256
1962,73,male,0.048974
1962,74,male,0.062301
1962,75,male,0.078748
1962,76,male,0.068507
1962,77,male,0.090679
1962,78,male,0.090826
1962,79,male,0.086653
1962,80,male,0.121363
1962,81,male,0.109923
1962,82,male,0.120774
1962,83,male,0.12917
1962,84,male,0.19401
1962,85,male,0.1804
1962,86,male,0.164131
1962,87,male,0.20356
1962,88,male,0.214684
1962,89,male,0.211991
1962,90,male,0.266997
1962,91,male,0.208661
1962,92,male,0.264837
1962,93,male,0.239079
1962,94,male,0.228843
1962,95,male,0.330761
1962,96,male,0.37836
1962,97,male,0.364803
1962,98,male,0.518408
1962,99,male,0.373791
1962,100,male,0.402245
1962,101,male,0.435287
1962,102,male,0.470612
1962,103,male,0.526939
1962,104,male,0.590164
1962,105,male,0.73183
1962,106,male,1.067358
1962,107,male,1.582418
1962,108,male,6.0
1962,109,male,0.0
1962,110,male,0.0
1963,0,male,0.03989
1963,1,male,0.003057
1963,2,male,0.001979
1963,3,male,0.00075
1963,4,male,0.00102
1963,5,male,0.000775
1963,6,male,0.001111
1963,7,male,0.000728
1963,8,male,0.000578
1963,9,male,0.000606
1963,10,male,0.000701
1963,11,male,0.000858
1963,12,male,0.000688
1963,13,male,0.000532
1963,14,male,0.000802
1963,15,male,0.001035
1963,16,male,0.001544
1963,17,male,0.001565
1963,18,male,0.002214
1963,19,male,0.001651
1963,20,male,0.002243
1963,21,male,0.001703
1963,22,male,0.002132
1963,23,male,0.002381
1963,24,male,0.002736
1963,25,male,0.003275
1963,26,male,0.002553
1963,27,male,0.002825
1963,28,male,0.003099
