year,age,sex,value
1960,0,male,0.039607
1960,1,male,0.003528
1960,2,male,0.002354
1960,3,male,0.002029
1960,4,male,0.001255
1960,5,male,0.001701
1960,6,male,0.00043
1960,7,male,0.001298
1960,8,male,0.0
1960,9,male,0.0
1960,10,male,0.000489
1960,11,male,0.000487
1960,12,male,0.0
1960,13,male,0.000476
1960,14,male,0.001509
1960,15,male,0.00055
1960,16,male,0.000981
1960,17,male,0.000482
1960,18,male,0.001393
1960,19,male,0.001521
1960,20,male,0.000445
1960,21,male,0.003046
1960,22,male,0.000445
1960,23,male,0.001761
1960,24,male,0.003531
1960,25,male,0.001744
1960,26,male,0.00174
1960,27,male,0.001673
1960,28,male,0.001196
1960,29,male,0.001125
1960,30,male,0.001483
1960,31,male,0.001872
1960,32,male,0.002258
1960,33,male,0.001628
1960,34,male,0.002675
1960,35,male,0.002931
1960,36,male,0.000514
1960,37,male,0.004212
1960,38,male,0.00103
1960,39,male,0.001011
1960,40,male,0.001477
1960,41,male,0.004127
1960,42,male,0.00508
1960,43,male,0.001759
1960,44,male,0.007055
1960,45,male,0.002765
1960,46,male,0.006158
1960,47,male,0.011619
1960,48,male,0.007738
1960,49,male,0.00738
1960,50,male,0.011167
1960,51,male,0.010354
1960,52,male,0.0153
1960,53,male,0.006499
1960,54,male,0.016954
1960,55,male,0.010994
1960,56,male,0.018928
1960,57,male,0.014156
1960,58,male,0.017695
1960,59,male,0.018009
1960,60,male,0.023681
1960,61,male,0.02025
1960,62,male,0.029103
1960,63,male,0.025484
1960,64,male,0.027378
1960,65,male,0.029337
1960,66,male,0.036279
1960,67,male,0.037568
1960,68,male,0.048668
1960,69,male,0.046587
1960,70,male,0.062589
1960,71,male,0.054664
1960,72,male,0.054147
1960,73,male,0.092763
1960,74,male,0.083244
1960,75,male,0.07983
1960,76,male,0.079846
1960,77,male,0.121965
1960,78,male,0.101969
1960,79,male,0.112252
1960,80,male,0.124525
1960,81,male,0.135667
1960,82,male,0.203466
1960,83,male,0.213725
1960,84,male,0.232144
1960,85,male,0.249533
1960,86,male,0.183532
1960,87,male,0.299359
1960,88,male,0.301611
1960,89,male,0.157328
1960,90,male,0.523345
1960,91,male,0.299103
1960,92,male,0.572472
1960,93,male,0.641087
1960,94,male,0.25
1960,95,male,0.402955
1960,96,male,0.0
1960,97,male,1.013514
1960,98,male,4.054054
1960,99,male,0.0
1960,100,male,0.0
1960,101,male,0.0
1960,102,male,0.0
1960,103,male,0.0
1960,104,male,0.0
1960,105,male,0.0
1960,106,male,0.0
1960,107,male,0.0
1960,108,male,0.0
1960,109,male,0.0
1960,110,male,0.0
1961,0,male,0.029018
1961,1,male,0.001596
1961,2,male,0.001175
1961,3,male,0.001566
1961,4,male,0.000811
1961,5,male,0.000839
1961,6,male,0.002122
1961,7,male,0.0
1961,8,male,0.00086
1961,9,male,0.000449
1961,10,male,0.0
1961,11,male,0.0
1961,12,male,0.000483
1961,13,male,0.000482
1961,14,male,0.000941
1961,15,male,0.000497
1961,16,male,0.001081
1961,17,male,0.001461
1961,18,male,0.002364
1961,19,male,0.000921
1961,20,male,0.003518
1961,21,male,0.00399
1961,22,male,0.000865
1961,23,male,0.003984
1961,24,male,0.002191
1961,25,male,0.003075
1961,26,male,0.003049
1961,27,male,0.001744
1961,28,male,0.001252
1961,29,male,0.003189
1961,30,male,0.000753
1961,31,male,0.002228
1961,32,male,0.002247
1961,33,male,0.00301
1961,34,male,0.001225
1961,35,male,0.002672
1961,36,male,0.001467
1961,37,male,0.002575
1961,38,male,0.00316
1961,39,male,0.002584
1961,40,male,0.002534
1961,41,male,0.00148
1961,42,male,0.001768
1961,43,male,0.003182
1961,44,male,0.003535
1961,45,male,0.003807
1961,46,male,0.004616
1961,47,male,0.009302
1961,48,male,0.005199
1961,49,male,0.009964
1961,50,male,0.009205
1961,51,male,0.014335
1961,52,male,0.014854
1961,53,male,0.006877
1961,54,male,0.010062
1961,55,male,0.015826
1961,56,male,0.013971
1961,57,male,0.018246
1961,58,male,0.015385
1961,59,male,0.020041
1961,60,male,0.027075
1961,61,male,0.0345
1961,62,male,0.023235
1961,63,male,0.024622
1961,64,male,0.03238
1961,65,male,0.037212
1961,66,male,0.038154
1961,67,male,0.035181
1961,68,male,0.047137
1961,69,male,0.050003
1961,70,male,0.043829
1961,71,male,0.055998
1961,72,male,0.057859
1961,73,male,0.072945
1961,74,male,0.07469
1961,75,male,0.075088
1961,76,male,0.069454
1961,77,male,0.096677
1961,78,male,0.096863
1961,79,male,0.108844
1961,80,male,0.131258
1961,81,male,0.154668
1961,82,male,0.174338
1961,83,male,0.200516
1961,84,male,0.190834
1961,85,male,0.178127
1961,86,male,0.178311
1961,87,male,0.228998
1961,88,male,0.280552
1961,89,male,0.338031
1961,90,male,0.212521
1961,91,male,0.457868
1961,92,male,0.373777
1961,93,male,0.480256
1961,94,male,0.24948
1961,95,male,0.730371
1961,96,male,0.0
1961,97,male,1.008403
1961,98,male,0.0
1961,99,male,0.0
1961,100,male,0.0
1961,101,male,0.0
1961,102,male,0.0
1961,103,male,0.0
1961,104,male,0.0
1961,105,male,0.0
1961,106,male,0.0
1961,107,male,0.0
1961,108,male,0.0
1961,109,male,0.0
1961,110,male,0.0
1962,0,male,0.037564
1962,1,male,0.001994
1962,2,male,0.0004
1962,3,male,0.001168
1962,4,male,0.00078
1962,5,male,0.001617
1962,6,male,0.000831
1962,7,male,0.000421
1962,8,male,0.001711
1962,9,male,0.000428
1962,10,male,0.0
1962,11,male,0.000929
1962,12,male,0.0
1962,13,male,0.00095
1962,14,male,0.000477
1962,15,male,0.000465
1962,16,male,0.00049
1962,17,male,0.001051
1962,18,male,0.001429
1962,19,male,0.001851
1962,20,male,0.002257
1962,21,male,0.0
1962,22,male,0.000437
1962,23,male,0.00214
1962,24,male,0.001312
1962,25,male,0.002598
1962,26,male,0.002612
1962,27,male,0.001303
1962,28,male,0.002605
1962,29,male,0.00083
1962,30,male,0.0004
1962,31,male,0.001874
1962,32,male,0.001858
1962,33,male,0.002995
1962,34,male,0.002255
1962,35,male,0.001217
1962,36,male,0.00222
1962,37,male,0.000973
1962,38,male,0.001539
1962,39,male,0.00105
1962,40,male,0.001031
1962,41,male,0.005073
1962,42,male,0.003958
1962,43,male,0.005315
1962,44,male,0.003187
1962,45,male,0.007086
1962,46,male,0.005449
1962,47,male,0.006962
1962,48,male,0.009805
1962,49,male,0.008727
1962,50,male,0.01138
1962,51,male,0.01199
1962,52,male,0.014535
1962,53,male,0.013272
1962,54,male,0.011745
1962,55,male,0.015078
1962,56,male,0.01842
1962,57,male,0.018997
1962,58,male,0.020618
1962,59,male,0.025915
1962,60,male,0.026734
1962,61,male,0.030503
1962,62,male,0.023858
1962,63,male,0.028788
1962,64,male,0.039384
1962,65,male,0.036479
1962,66,male,0.051212
1962,67,male,0.042999
1962,68,male,0.053586
1962,69,male,0.045905
1962,70,male,0.055476
1962,71,male,0.065127
1962,72,male,0.063193
1962,73,male,0.06928
1962,74,male,0.075557
1962,75,male,0.094232
1962,76,male,0.096392
1962,77,male,0.116296
1962,78,male,0.149471
1962,79,male,0.106587
1962,80,male,0.174496
1962,81,male,0.150192
1962,82,male,0.208323
1962,83,male,0.132205
1962,84,male,0.182308
1962,85,male,0.258944
1962,86,male,0.303741
1962,87,male,0.261854
1962,88,male,0.409486
1962,89,male,0.314058
1962,90,male,0.535734
1962,91,male,0.410311
1962,92,male,0.386773
1962,93,male,0.27688
1962,94,male,0.470773
1962,95,male,0.401338
1962,96,male,2.416107
1962,97,male,1.954397
1962,98,male,0.0
1962,99,male,0.0
1962,100,male,0.0
1962,101,male,0.0
1962,102,male,0.0
1962,103,male,0.0
1962,104,male,0.0
1962,105,male,0.0
1962,106,male,0.0
1962,107,male,0.0
1962,108,male,0.0
1962,109,male,0.0
1962,110,male,0.0
1963,0,male,0.034832
1963,1,male,0.00157
1963,2,male,0.001976
1963,3,male,0.001182
1963,4,male,0.000386
1963,5,male,0.001555
1963,6,male,0.001606
1963,7,male,0.000414
1963,8,male,0.000419
1963,9,male,0.0
1963,10,male,0.000855
1963,11,male,0.0
1963,12,male,0.0
1963,13,male,0.000481
1963,14,male,0.0
1963,15,male,0.001387
1963,16,male,0.001806
1963,17,male,0.000948
1963,18,male,0.002059
1963,19,male,0.004649
1963,20,male,0.003168
1963,21,male,0.003548
1963,22,male,0.003412
1963,23,male,0.000862
1963,24,male,0.002532
1963,25,male,0.000432
1963,26,male,0.002136
1963,27,male,0.002582
1963,28,male,0.001297
1963,29,male,0.001727
1963,30,male,0.001239
1963,31,male,0.000789
1963,32,male,0.001116
1963,33,male,0.000739
1963,34,male,0.001865
1963,35,male,0.001498
1963,36,male,0.003646
1963,37,male,0.001767
1963,38,male,0.002914
1963,39,male,0.003584
1963,40,male,0.002622
1963,41,male,0.003097
1963,42,male,0.002536
1963,43,male,0.005438
1963,44,male,0.005316
1963,45,male,0.003194
1963,46,male,0.005906
1963,47,male,0.004903
1963,48,male,0.006978
1963,49,male,0.008503
1963,50,male,0.007462
1963,51,male,0.011921
1963,52,male,0.00897
1963,53,male,0.012454
1963,54,male,0.013414
1963,55,male,0.017176
1963,56,male,0.016656
1963,57,male,0.014992
1963,58,male,0.019343
1963,59,male,0.023106
1963,60,male,0.030799
1963,61,male,0.025341
1963,62,male,0.033988
1963,63,male,0.035324
1963,64,male,0.030932
1963,65,male,0.039308
1963,66,male,0.039447
1963,67,male,0.038831
1963,68,male,0.050806
1963,69,male,0.045684
1963,70,male,0.056918
1963,71,male,0.079269
1963,72,male,0.052983
1963,73,male,0.07113
1963,74,male,0.07971
1963,75,male,0.095024
1963,76,male,0.090473
1963,77,male,0.089852
1963,78,male,0.122372
1963,79,male,0.094487
1963,80,male,0.142237
1963,81,male,0.159989
1963,82,male,0.174586
1963,83,male,0.198448
1963,84,male,0.219555
1963,85,male,0.186964
1963,86,male,0.233211
1963,87,male,0.194346
1963,88,male,0.154349
1963,89,male,0.273375
1963,90,male,0.133387
1963,91,male,0.274259
1963,92,male,0.467342
1963,93,male,0.223256
1963,94,male,0.602813
1963,95,male,0.0
1963,96,male,0.825309
1963,97,male,0.0
1963,98,male,0.0
1963,99,male,0.0
1963,100,male,0.0
1963,101,male,0.0
1963,102,male,0.0
1963,103,male,0.0
1963,104,male,0.0
1963,105,male,0.0
1963,106,male,0.0
1963,107,male,0.0
1963,108,male,0.0
1963,109,male,0.0
1963,110,male,0.0
1964,0,male,0.037387
1964,1,male,0.001174
1964,2,male,0.002736
1964,3,male,0.000785
1964,4,male,0.001957
1964,5,male,0.000384
1964,6,male,0.000391
1964,7,male,0.000799
1964,8,male,0.000411
1964,9,male,0.001251
1964,10,male,0.000848
1964,11,male,0.000423
1964,12,male,0.000878
1964,13,male,0.0
1964,14,male,0.000471
1964,15,male,0.0
1964,16,male,0.001813
1964,17,male,0.001329
1964,18,male,0.001396
1964,19,male,0.001513
1964,20,male,0.002279
1964,21,male,0.002219
1964,22,male,0.002616
1964,23,male,0.00337
1964,24,male,0.002128
1964,25,male,0.000834
1964,26,male,0.000427
1964,27,male,0.000844
1964,28,male,0.002135
1964,29,male,0.002149
1964,30,male,0.001725
1964,31,male,0.002053
1964,32,male,0.001574
1964,33,male,0.0026
1964,34,male,0.004062
1964,35,male,0.000372
1964,36,male,0.001498
1964,37,male,0.00283
1964,38,male,0.003525
1964,39,male,0.004376
1964,40,male,0.005124
1964,41,male,0.003151
1964,42,male,0.004134
1964,43,male,0.004067
1964,44,male,0.005457
1964,45,male,0.005323
1964,46,male,0.008323
1964,47,male,0.007713
1964,48,male,0.00656
1964,49,male,0.010763
1964,50,male,0.007659
1964,51,male,0.013278
1964,52,male,0.012964
1964,53,male,0.010438
1964,54,male,0.015769
1964,55,male,0.021374
1964,56,male,0.016148
1964,57,male,0.017391
1964,58,male,0.017191
1964,59,male,0.027724
1964,60,male,0.023743
1964,61,male,0.027963
1964,62,male,0.043107
1964,63,male,0.031854
1964,64,male,0.038405
1964,65,male,0.034657
1964,66,male,0.042215
1964,67,male,0.05054
1964,68,male,0.035542
1964,69,male,0.052224
1964,70,male,0.045301
1964,71,male,0.05944
1964,72,male,0.075476
1964,73,male,0.078351
1964,74,male,0.088142
1964,75,male,0.074817
1964,76,male,0.09549
1964,77,male,0.114099
1964,78,male,0.095758
1964,79,male,0.108742
1964,80,male,0.141453
1964,81,male,0.153292
1964,82,male,0.090762
1964,83,male,0.141946
1964,84,male,0.125472
1964,85,male,0.145153
1964,86,male,0.252802
1964,87,male,0.23337
1964,88,male,0.160174
1964,89,male,0.222292
1964,90,male,0.380799
1964,91,male,0.393448
1964,92,male,0.162483
1964,93,male,0.364243
1964,94,male,0.321888
1964,95,male,0.0
1964,96,male,0.448096
1964,97,male,0.0
1964,98,male,0.0
1964,99,male,0.0
1964,100,male,4.081633
1964,101,male,0.0
1964,102,male,0.0
1964,103,male,0.0
1964,104,male,0.0
1964,105,male,0.0
1964,106,male,0.0
1964,107,male,0.0
1964,108,male,0.0
1964,109,male,0.0
1964,110,male,0.0
1965,0,male,0.029504
1965,1,male,0.001871
1965,2,male,0.001555
1965,3,male,0.000392
1965,4,male,0.0
1965,5,male,0.000389
1965,6,male,0.001149
1965,7,male,0.000386
1965,8,male,0.000398
1965,9,male,0.000823
1965,10,male,0.000415
1965,11,male,0.0
1965,12,male,0.0
1965,13,male,0.000876
1965,14,male,0.000453
1965,15,male,0.000466
1965,16,male,0.001359
1965,17,male,0.000444
1965,18,male,0.002167
1965,19,male,0.002274
1965,20,male,0.001482
1965,21,male,0.003135
1965,22,male,0.000435
1965,23,male,0.002149
1965,24,male,0.000953
1965,25,male,0.002529
1965,26,male,0.001652
1965,27,male,0.001265
1965,28,male,0.000838
1965,29,male,0.002962
1965,30,male,0.002144
1965,31,male,0.002582
1965,32,male,0.00123
1965,33,male,0.002354
1965,34,male,0.001484
1965,35,male,0.001477
1965,36,male,0.00149
1965,37,male,0.003366
1965,38,male,0.002426
1965,39,male,0.002647
1965,40,male,0.003897
1965,41,male,0.00513
1965,42,male,0.005259
1965,43,male,0.007799
1965,44,male,0.007679
1965,45,male,0.005482
1965,46,male,0.008316
1965,47,male,0.004513
1965,48,male,0.007754
1965,49,male,0.009901
1965,50,male,0.009426
1965,51,male,0.009084
1965,52,male,0.01209
1965,53,male,0.016322
1965,54,male,0.010128
1965,55,male,0.015567
1965,56,male,0.019002
1965,57,male,0.01737
1965,58,male,0.0224
1965,59,male,0.016627
1965,60,male,0.032064
1965,61,male,0.024984
1965,62,male,0.035693
1965,63,male,0.039718
1965,64,male,0.031841
1965,65,male,0.026266
1965,66,male,0.056073
1965,67,male,0.038208
1965,68,male,0.046335
1965,69,male,0.055996
1965,70,male,0.045551
1965,71,male,0.062521
1965,72,male,0.076966
1965,73,male,0.058978
1965,74,male,0.087593
1965,75,male,0.097932
1965,76,male,0.068534
1965,77,male,0.102846
1965,78,male,0.119531
1965,79,male,0.118042
1965,80,male,0.14754
1965,81,male,0.149136
1965,82,male,0.166383
1965,83,male,0.206895
1965,84,male,0.238223
1965,85,male,0.249878
1965,86,male,0.321875
1965,87,male,0.260512
1965,88,male,0.242214
1965,89,male,0.35869
1965,90,male,0.256631
1965,91,male,0.209841
1965,92,male,0.280152
1965,93,male,0.206446
1965,94,male,0.24408
1965,95,male,0.954762
1965,96,male,0.444115
1965,97,male,0.0
1965,98,male,0.0
1965,99,male,0.0
1965,100,male,0.0
1965,101,male,0.0
1965,102,male,0.0
1965,103,male,0.0
1965,104,male,0.0
1965,105,male,0.0
1965,106,male,0.0
1965,107,male,0.0
1965,108,male,0.0
1965,109,male,0.0
1965,110,male,0.0
1966,0,male,0.02954
1966,1,male,0.002253
1966,2,male,0.001108
1966,3,male,0.000767
1966,4,male,0.0
1966,5,male,0.000773
1966,6,male,0.000386
1966,7,male,0.00038
1966,8,male,0.000384
1966,9,male,0.000396
