year,age,sex,value
1959,0,male,0.035823
1959,1,male,0.002737
1959,2,male,0.001843
1959,3,male,0.001246
1959,4,male,0.000984
1959,5,male,0.001056
1959,6,male,0.001146
1959,7,male,0.001157
1959,8,male,0.001136
1959,9,male,0.001072
1959,10,male,0.000979
1959,11,male,0.00095
1959,12,male,0.001012
1959,13,male,0.001127
1959,14,male,0.001221
1959,15,male,0.001287
1959,16,male,0.001382
1959,17,male,0.001469
1959,18,male,0.001646
1959,19,male,0.001918
1959,20,male,0.002166
1959,21,male,0.002468
1959,22,male,0.002797
1959,23,male,0.003113
1959,24,male,0.00346
1959,25,male,0.003633
1959,26,male,0.003478
1959,27,male,0.003357
1959,28,male,0.003213
1959,29,male,0.003139
1959,30,male,0.003042
1959,31,male,0.002973
1959,32,male,0.003287
1959,33,male,0.003714
1959,34,male,0.004078
1959,35,male,0.00424
1959,36,male,0.004269
1959,37,male,0.00436
1959,38,male,0.004351
1959,39,male,0.004488
1959,40,male,0.004406
1959,41,male,0.004767
1959,42,male,0.005409
1959,43,male,0.005413
1959,44,male,0.005539
1959,45,male,0.005878
1959,46,male,0.006427
1959,47,male,0.007198
1959,48,male,0.007844
1959,49,male,0.00866
1959,50,male,0.009604
1959,51,male,0.009955
1959,52,male,0.010292
1959,53,male,0.01106
1959,54,male,0.012032
1959,55,male,0.013192
1959,56,male,0.014656
1959,57,male,0.016843
1959,58,male,0.018266
1959,59,male,0.019908
1959,60,male,0.022218
1959,61,male,0.023901
1959,62,male,0.026318
1959,63,male,0.027272
1959,64,male,0.029607
1959,65,male,0.033038
1959,66,male,0.036467
1959,67,male,0.040061
1959,68,male,0.042028
1959,69,male,0.045371
1959,70,male,0.044822
1959,71,male,0.047998
1959,72,male,0.054739
1959,73,male,0.055636
1959,74,male,0.057804
1959,75,male,0.058263
1959,76,male,0.062764
1959,77,male,0.073574
1959,78,male,0.079142
1959,79,male,0.087394
1959,80,male,0.098299
1959,81,male,0.11029
1959,82,male,0.12266
1959,83,male,0.136574
1959,84,male,0.153467
1959,85,male,0.172494
1959,86,male,0.196513
1959,87,male,0.236681
1959,88,male,0.295729
1959,89,male,0.37325
1959,90,male,0.460995
1959,91,male,0.531185
1959,92,male,0.615057
1959,93,male,0.71904
1959,94,male,0.810244
1959,95,male,0.880471
1959,96,male,1.003523
1959,97,male,1.244275
1959,98,male,1.451308
1959,99,male,1.594433
1959,100,male,1.733986
1959,101,male,1.912077
1959,102,male,2.114556
1959,103,male,2.213501
1959,104,male,2.224473
1959,105,male,2.235669
1959,106,male,2.251058
1959,107,male,2.262857
1959,108,male,2.276402
1959,109,male,2.297641
1959,110,male,2.432802
1960,0,male,0.030602
1960,1,male,0.00253
1960,2,male,0.00172
1960,3,male,0.001157
1960,4,male,0.00084
1960,5,male,0.000742
1960,6,male,0.000731
1960,7,male,0.000727
1960,8,male,0.000715
1960,9,male,0.000724
1960,10,male,0.000752
1960,11,male,0.000786
1960,12,male,0.000864
1960,13,male,0.000993
1960,14,male,0.001143
1960,15,male,0.001243
1960,16,male,0.00132
1960,17,male,0.001451
1960,18,male,0.001591
1960,19,male,0.001839
1960,20,male,0.002193
1960,21,male,0.002434
1960,22,male,0.002688
1960,23,male,0.002914
1960,24,male,0.003085
1960,25,male,0.003231
1960,26,male,0.003246
1960,27,male,0.003042
1960,28,male,0.002942
1960,29,male,0.00289
1960,30,male,0.00297
1960,31,male,0.003035
1960,32,male,0.003101
1960,33,male,0.003476
1960,34,male,0.00394
1960,35,male,0.004206
1960,36,male,0.004189
1960,37,male,0.004064
1960,38,male,0.004022
1960,39,male,0.003917
1960,40,male,0.004045
1960,41,male,0.00417
1960,42,male,0.004817
1960,43,male,0.005708
1960,44,male,0.005882
1960,45,male,0.005997
1960,46,male,0.006119
1960,47,male,0.006461
1960,48,male,0.007021
1960,49,male,0.007467
1960,50,male,0.008131
1960,51,male,0.00901
1960,52,male,0.009574
1960,53,male,0.010196
1960,54,male,0.011467
1960,55,male,0.013004
1960,56,male,0.014542
1960,57,male,0.016221
1960,58,male,0.01851
1960,59,male,0.01967
1960,60,male,0.021121
1960,61,male,0.023357
1960,62,male,0.025203
1960,63,male,0.027568
1960,64,male,0.028546
1960,65,male,0.030704
1960,66,male,0.033711
1960,67,male,0.037211
1960,68,male,0.041555
1960,69,male,0.044945
1960,70,male,0.050983
1960,71,male,0.054394
1960,72,male,0.059784
1960,73,male,0.068733
1960,74,male,0.070515
1960,75,male,0.073319
1960,76,male,0.073691
1960,77,male,0.079685
1960,78,male,0.093703
1960,79,male,0.100421
1960,80,male,0.111055
1960,81,male,0.124423
1960,82,male,0.137839
1960,83,male,0.149545
1960,84,male,0.160061
1960,85,male,0.162002
1960,86,male,0.17006
1960,87,male,0.180212
1960,88,male,0.20233
1960,89,male,0.236632
1960,90,male,0.280083
1960,91,male,0.32223
1960,92,male,0.332871
1960,93,male,0.34405
1960,94,male,0.360549
1960,95,male,0.352373
1960,96,male,0.318724
1960,97,male,0.31711
1960,98,male,0.40225
1960,99,male,0.481084
1960,100,male,0.496494
1960,101,male,0.531148
1960,102,male,0.768
1960,103,male,0.0
1960,104,male,0.0
1960,105,male,0.0
1960,106,male,0.0
1960,107,male,0.0
1960,108,male,0.0
1960,109,male,0.0
1960,110,male,0.0
1961,0,male,0.028982
1961,1,male,0.002113
1961,2,male,0.001374
1961,3,male,0.000947
1961,4,male,0.00082
1961,5,male,0.000932
1961,6,male,0.00102
1961,7,male,0.001067
1961,8,male,0.001022
1961,9,male,0.000862
1961,10,male,0.000667
1961,11,male,0.000541
1961,12,male,0.000504
1961,13,male,0.00058
1961,14,male,0.000782
1961,15,male,0.0011
1961,16,male,0.001405
1961,17,male,0.001636
1961,18,male,0.001866
1961,19,male,0.002046
1961,20,male,0.002301
1961,21,male,0.002571
1961,22,male,0.002681
1961,23,male,0.002799
1961,24,male,0.002869
1961,25,male,0.002895
1961,26,male,0.003015
1961,27,male,0.003119
1961,28,male,0.003085
1961,29,male,0.003215
1961,30,male,0.003429
1961,31,male,0.003676
1961,32,male,0.003796
1961,33,male,0.003804
1961,34,male,0.004066
1961,35,male,0.0043
1961,36,male,0.004286
1961,37,male,0.004058
1961,38,male,0.003818
1961,39,male,0.003747
1961,40,male,0.003755
1961,41,male,0.004165
1961,42,male,0.004605
1961,43,male,0.005602
1961,44,male,0.00683
