year,age,sex,value
1850,0,male,0.24315
1850,1,male,0.067497
1850,2,male,0.033367
1850,3,male,0.020285
1850,4,male,0.015508
1850,5,male,0.011918
1850,6,male,0.009483
1850,7,male,0.008106
1850,8,male,0.007176
1850,9,male,0.006047
1850,10,male,0.005357
1850,11,male,0.00477
1850,12,male,0.004166
1850,13,male,0.00367
1850,14,male,0.004189
1850,15,male,0.004149
1850,16,male,0.003975
1850,17,male,0.005253
1850,18,male,0.007206
1850,19,male,0.007521
1850,20,male,0.008264
1850,21,male,0.009019
1850,22,male,0.00953
1850,23,male,0.009175
1850,24,male,0.008191
1850,25,male,0.009223
1850,26,male,0.008935
1850,27,male,0.009374
1850,28,male,0.009039
1850,29,male,0.009223
1850,30,male,0.008878
1850,31,male,0.008227
1850,32,male,0.00991
1850,33,male,0.010496
1850,34,male,0.009647
1850,35,male,0.009782
1850,36,male,0.010171
1850,37,male,0.010108
1850,38,male,0.011823
1850,39,male,0.012175
1850,40,male,0.011914
1850,41,male,0.013014
1850,42,male,0.014421
1850,43,male,0.013737
1850,44,male,0.013943
1850,45,male,0.015531
1850,46,male,0.015329
1850,47,male,0.015137
1850,48,male,0.017326
1850,49,male,0.015625
1850,50,male,0.018107
1850,51,male,0.019265
1850,52,male,0.023255
1850,53,male,0.020869
1850,54,male,0.023529
1850,55,male,0.023407
1850,56,male,0.024708
1850,57,male,0.025659
1850,58,male,0.029368
1850,59,male,0.029192
1850,60,male,0.033625
1850,61,male,0.035299
1850,62,male,0.035348
1850,63,male,0.037977
1850,64,male,0.042448
1850,65,male,0.049604
1850,66,male,0.051472
1850,67,male,0.049359
1850,68,male,0.055334
1850,69,male,0.060647
1850,70,male,0.060814
1850,71,male,0.066501
1850,72,male,0.075505
1850,73,male,0.088735
1850,74,male,0.096549
1850,75,male,0.103775
1850,76,male,0.107384
1850,77,male,0.117041
1850,78,male,0.126288
1850,79,male,0.137091
1850,80,male,0.164324
1850,81,male,0.159163
1850,82,male,0.178506
1850,83,male,0.189053
1850,84,male,0.205209
1850,85,male,0.220946
1850,86,male,0.245658
1850,87,male,0.271114
1850,88,male,0.254464
1850,89,male,0.314312
1850,90,male,0.264352
1850,91,male,0.196721
1850,92,male,0.412607
1850,93,male,0.526074
1850,94,male,0.434211
1850,95,male,0.366844
1850,96,male,0.461538
1850,97,male,0.382979
1850,98,male,0.461538
1850,99,male,2.0
1850,100,male,0.0
1850,101,male,0.0
