year,age,sex,value
1846,0,male,0.130214
1846,1,male,0.052406
1846,2,male,0.027557
1846,3,male,0.019277
1846,4,male,0.013436
1846,5,male,0.00986
1846,6,male,0.008418
1846,7,male,0.006971
1846,8,male,0.006066
1846,9,male,0.004777
1846,10,male,0.003757
1846,11,male,0.003604
1846,12,male,0.003752
1846,13,male,0.003662
1846,14,male,0.003514
1846,15,male,0.003746
1846,16,male,0.004288
1846,17,male,0.005041
1846,18,male,0.005791
1846,19,male,0.006868
1846,20,male,0.007589
1846,21,male,0.007704
1846,22,male,0.007772
1846,23,male,0.007553
1846,24,male,0.007341
1846,25,male,0.007433
1846,26,male,0.007259
1846,27,male,0.007247
1846,28,male,0.006937
1846,29,male,0.007043
1846,30,male,0.0076
1846,31,male,0.00796
1846,32,male,0.008925
1846,33,male,0.008286
1846,34,male,0.008093
1846,35,male,0.009039
1846,36,male,0.010504
1846,37,male,0.010228
1846,38,male,0.008445
1846,39,male,0.009438
1846,40,male,0.009738
1846,41,male,0.010306
1846,42,male,0.011503
1846,43,male,0.011898
1846,44,male,0.013324
1846,45,male,0.012348
1846,46,male,0.012258
1846,47,male,0.014425
1846,48,male,0.015185
1846,49,male,0.017491
1846,50,male,0.017106
1846,51,male,0.015492
1846,52,male,0.016641
1846,53,male,0.016518
1846,54,male,0.018611
1846,55,male,0.020952
1846,56,male,0.022256
1846,57,male,0.023286
1846,58,male,0.024428
1846,59,male,0.028265
1846,60,male,0.028594
1846,61,male,0.027649
1846,62,male,0.032073
1846,63,male,0.035766
1846,64,male,0.036684
1846,65,male,0.037387
1846,66,male,0.04015
1846,67,male,0.042441
1846,68,male,0.044189
1846,69,male,0.052782
1846,70,male,0.050277
1846,71,male,0.049696
1846,72,male,0.069143
1846,73,male,0.07551
1846,74,male,0.078646
1846,75,male,0.086254
1846,76,male,0.095529
1846,77,male,0.111991
1846,78,male,0.116934
1846,79,male,0.132603
1846,80,male,0.122565
1846,81,male,0.106398
1846,82,male,0.121968
1846,83,male,0.151073
1846,84,male,0.169309
1846,85,male,0.175115
1846,86,male,0.198347
1846,87,male,0.213424
1846,88,male,0.22549
1846,89,male,0.280957
1846,90,male,0.344227
1846,91,male,0.275428
1846,92,male,0.323024
1846,93,male,0.35514
1846,94,male,0.347305
1846,95,male,0.366197
1846,96,male,0.380282
1846,97,male,0.34555
1846,98,male,0.367347
1846,99,male,0.40678
1846,100,male,0.736842
1846,101,male,0.8
1846,102,male,0.857143
1846,103,male,0.545455
1846,104,male,6.0
1846,105,male,0.0
1846,106,male,0.0
1846,107,male,0.0
1846,108,male,0.0
1846,109,male,0.0
1846,110,male,0.0
1847,0,male,0.134912
1847,1,male,0.061889
1847,2,male,0.033169
1847,3,male,0.02284
1847,4,male,0.016252
1847,5,male,0.012244
1847,6,male,0.010375
1847,7,male,0.009245
1847,8,male,0.00834
1847,9,male,0.006519
1847,10,male,0.005354
1847,11,male,0.004998
1847,12,male,0.004827
1847,13,male,0.004784
1847,14,male,0.004727
1847,15,male,0.005112
1847,16,male,0.005925
1847,17,male,0.00661
1847,18,male,0.007473
1847,19,male,0.008626
1847,20,male,0.008573
1847,21,male,0.008155
1847,22,male,0.008588
1847,23,male,0.008508
1847,24,male,0.008213
1847,25,male,0.008225
1847,26,male,0.007657
1847,27,male,0.007669
1847,28,male,0.007682
1847,29,male,0.007967
1847,30,male,0.007684
1847,31,male,0.006953
1847,32,male,0.008573
1847,33,male,0.009612
1847,34,male,0.008795
1847,35,male,0.00911
1847,36,male,0.009997
1847,37,male,0.010972
1847,38,male,0.010369
1847,39,male,0.010525
1847,40,male,0.010237
1847,41,male,0.010122
1847,42,male,0.011677
1847,43,male,0.012235
1847,44,male,0.01426
1847,45,male,0.013809
1847,46,male,0.01295
1847,47,male,0.014976
1847,48,male,0.015787
1847,49,male,0.018626
1847,50,male,0.018898
1847,51,male,0.017759
1847,52,male,0.018828
1847,53,male,0.018622
1847,54,male,0.020286
1847,55,male,0.022247
1847,56,male,0.023878
1847,57,male,0.025363
1847,58,male,0.026214
1847,59,male,0.030991
1847,60,male,0.0316
1847,61,male,0.030649
1847,62,male,0.03502
1847,63,male,0.040254
1847,64,male,0.043683
1847,65,male,0.042969
1847,66,male,0.044244
1847,67,male,0.046571
1847,68,male,0.050524
1847,69,male,0.059343
1847,70,male,0.064094
1847,71,male,0.06018
1847,72,male,0.071342
1847,73,male,0.090969
1847,74,male,0.10549
1847,75,male,0.10852
1847,76,male,0.115472
1847,77,male,0.133201
1847,78,male,0.142787
1847,79,male,0.155239
1847,80,male,0.137931
1847,81,male,0.121103
1847,82,male,0.137834
1847,83,male,0.168194
1847,84,male,0.187649
1847,85,male,0.190566
1847,86,male,0.214085
1847,87,male,0.229803
1847,88,male,0.239812
1847,89,male,0.257143
1847,90,male,0.277457
1847,91,male,0.230122
1847,92,male,0.270784
1847,93,male,0.292913
1847,94,male,0.296774
1847,95,male,0.333333
1847,96,male,0.285714
1847,97,male,0.244344
1847,98,male,0.375
1847,99,male,0.514286
1847,100,male,0.947368
1847,101,male,1.2
1847,102,male,1.5
1847,103,male,0.545455
1847,104,male,6.0
1847,105,male,0.0
1847,106,male,0.0
1847,107,male,0.0
1847,108,male,0.0
1847,109,male,0.0
1847,110,male,0.0
1848,0,male,0.134804
1848,1,male,0.058753
1848,2,male,0.032051
1848,3,male,0.024257
1848,4,male,0.017026
1848,5,male,0.011496
1848,6,male,0.009066
1848,7,male,0.00799
1848,8,male,0.007735
1848,9,male,0.005951
1848,10,male,0.004513
1848,11,male,0.004335
1848,12,male,0.00409
1848,13,male,0.003793
1848,14,male,0.003765
1848,15,male,0.004233
1848,16,male,0.004994
1848,17,male,0.005623
1848,18,male,0.006063
1848,19,male,0.007717
1848,20,male,0.009103
1848,21,male,0.008501
1848,22,male,0.008428
1848,23,male,0.008713
1848,24,male,0.008512
1848,25,male,0.008477
1848,26,male,0.007867
1848,27,male,0.007539
1848,28,male,0.007544
1848,29,male,0.008566
1848,30,male,0.008997
1848,31,male,0.007468
1848,32,male,0.007988
1848,33,male,0.009783
1848,34,male,0.010746
1848,35,male,0.010438
1848,36,male,0.010689
1848,37,male,0.011136
1848,38,male,0.011769
1848,39,male,0.012783
1848,40,male,0.010901
1848,41,male,0.010238
1848,42,male,0.011085
1848,43,male,0.012036
1848,44,male,0.014252
1848,45,male,0.014367
1848,46,male,0.014128
1848,47,male,0.015441
1848,48,male,0.016018
1848,49,male,0.019702
1848,50,male,0.020332
1848,51,male,0.019273
1848,52,male,0.021272
1848,53,male,0.020745
1848,54,male,0.022338
1848,55,male,0.023771
1848,56,male,0.024985
1848,57,male,0.026597
1848,58,male,0.02792
1848,59,male,0.033685
1848,60,male,0.035393
1848,61,male,0.034259
1848,62,male,0.03939
1848,63,male,0.044605
1848,64,male,0.050042
1848,65,male,0.052436
1848,66,male,0.052153
1848,67,male,0.052837
1848,68,male,0.057058
1848,69,male,0.064727
1848,70,male,0.062396
1848,71,male,0.064978
1848,72,male,0.073209
1848,73,male,0.079191
1848,74,male,0.107373
1848,75,male,0.122805
1848,76,male,0.12274
1848,77,male,0.136568
1848,78,male,0.14432
1848,79,male,0.167043
1848,80,male,0.153364
1848,81,male,0.135417
1848,82,male,0.155863
1848,83,male,0.189404
1848,84,male,0.209518
1848,85,male,0.212929
1848,86,male,0.233037
1848,87,male,0.246479
1848,88,male,0.259459
1848,89,male,0.295964
1848,90,male,0.340909
1848,91,male,0.283071
1848,92,male,0.36
1848,93,male,0.4
1848,94,male,0.396476
1848,95,male,0.481481
1848,96,male,0.469565
1848,97,male,0.310345
1848,98,male,0.38961
1848,99,male,0.47191
1848,100,male,0.72
1848,101,male,0.72
1848,102,male,0.857143
1848,103,male,1.2
1848,104,male,6.0
1848,105,male,0.0
1848,106,male,0.0
1848,107,male,0.0
1848,108,male,0.0
1848,109,male,0.0
1848,110,male,0.0
1849,0,male,0.113275
1849,1,male,0.047566
1849,2,male,0.024628
1849,3,male,0.018026
1849,4,male,0.013411
1849,5,male,0.009567
1849,6,male,0.007291
1849,7,male,0.005982
1849,8,male,0.005701
