year,age,sex,value
1948,0,male,0.090654
1948,1,male,0.019869
1948,2,male,0.009001
1948,3,male,0.008078
1948,4,male,0.002554
1948,5,male,0.006914
1948,6,male,0.00246
1948,7,male,0.001819
1948,8,male,0.002438
1948,9,male,0.000627
1948,10,male,0.004597
1948,11,male,0.006129
1948,12,male,0.00421
1948,13,male,0.006447
1948,14,male,0.005126
1948,15,male,0.003024
1948,16,male,0.003156
1948,17,male,0.002488
1948,18,male,0.007835
1948,19,male,0.005526
1948,20,male,0.000988
1948,21,male,0.005358
1948,22,male,0.013934
1948,23,male,0.002417
1948,24,male,0.004802
1948,25,male,0.005988
1948,26,male,0.009858
1948,27,male,0.003809
1948,28,male,0.005382
1948,29,male,0.004285
1948,30,male,0.009003
1948,31,male,0.004578
1948,32,male,0.004613
1948,33,male,0.004777
1948,34,male,0.0
1948,35,male,0.00842
1948,36,male,0.011882
1948,37,male,0.005063
1948,38,male,0.008601
1948,39,male,0.005357
1948,40,male,0.005505
1948,41,male,0.007566
1948,42,male,0.02213
1948,43,male,0.011298
1948,44,male,0.007547
1948,45,male,0.010553
1948,46,male,0.005264
1948,47,male,0.010026
1948,48,male,0.018089
1948,49,male,0.020465
1948,50,male,0.039434
1948,51,male,0.005715
1948,52,male,0.011793
1948,53,male,0.014067
1948,54,male,0.038382
1948,55,male,0.032188
1948,56,male,0.018438
1948,57,male,0.028285
1948,58,male,0.042912
1948,59,male,0.033739
1948,60,male,0.044502
1948,61,male,0.020002
1948,62,male,0.04108
1948,63,male,0.076594
1948,64,male,0.054312
1948,65,male,0.085894
1948,66,male,0.020695
1948,67,male,0.077581
1948,68,male,0.070256
1948,69,male,0.066759
1948,70,male,0.076314
1948,71,male,0.029274
1948,72,male,0.040111
1948,73,male,0.054056
1948,74,male,0.193504
1948,75,male,0.069771
1948,76,male,0.260782
1948,77,male,0.200717
1948,78,male,0.141304
1948,79,male,0.312157
1948,80,male,0.051184
1948,81,male,0.053326
1948,82,male,0.145631
1948,83,male,0.0
1948,84,male,0.168605
1948,85,male,0.171282
1948,86,male,0.135517
1948,87,male,0.148057
1948,88,male,0.288774
1948,89,male,0.217391
1948,90,male,0.261628
1948,91,male,0.0
1948,92,male,0.0
1948,93,male,0.0
1948,94,male,0.426945
1948,95,male,0.850461
1948,96,male,0.0
1948,97,male,0.499168
1948,98,male,1.591512
1948,99,male,0.0
1948,100,male,0.691123
1948,101,male,0.456747
1948,102,male,0.563929
1948,103,male,0.0
1948,104,male,0.0
1948,105,male,0.0
1948,106,male,0.0
1948,107,male,0.0
1948,108,male,0.0
1948,109,male,0.0
1948,110,male,0.0
1949,0,male,0.098243
1949,1,male,0.017832
1949,2,male,0.008676
1949,3,male,0.005314
1949,4,male,0.004693
1949,5,male,0.003241
1949,6,male,0.003205
1949,7,male,0.002499
1949,8,male,0.003683
1949,9,male,0.001853
1949,10,male,0.003188
1949,11,male,0.003993
1949,12,male,0.002774
1949,13,male,0.003555
1949,14,male,0.00291
1949,15,male,0.002972
1949,16,male,0.006133
1949,17,male,0.005621
1949,18,male,0.006736
1949,19,male,0.004422
1949,20,male,0.003766
1949,21,male,0.006054
1949,22,male,0.009793
1949,23,male,0.008233
1949,24,male,0.007233
1949,25,male,0.009583
1949,26,male,0.00606
1949,27,male,0.003728
1949,28,male,0.002569
1949,29,male,0.004067
1949,30,male,0.002913
1949,31,male,0.006129
1949,32,male,0.009292
1949,33,male,0.003128
1949,34,male,0.004832
1949,35,male,0.008383
1949,36,male,0.006889
1949,37,male,0.003466
1949,38,male,0.005145
1949,39,male,0.008786
1949,40,male,0.010982
1949,41,male,0.007533
1949,42,male,0.015481
1949,43,male,0.010317
1949,44,male,0.002335
1949,45,male,0.033757
1949,46,male,0.0
1949,47,male,0.008001
1949,48,male,0.030981
1949,49,male,0.023999
1949,50,male,0.015126
1949,51,male,0.009439
1949,52,male,0.023681
1949,53,male,0.015241
1949,54,male,0.032902
1949,55,male,0.022108
1949,56,male,0.033576
1949,57,male,0.004762
1949,58,male,0.034819
1949,59,male,0.029781
1949,60,male,0.045308
1949,61,male,0.01569
1949,62,male,0.030536
1949,63,male,0.059845
1949,64,male,0.037686
1949,65,male,0.09516
1949,66,male,0.046475
1949,67,male,0.086265
1949,68,male,0.069407
1949,69,male,0.068388
1949,70,male,0.128153
1949,71,male,0.020202
1949,72,male,0.116594
1949,73,male,0.07425
1949,74,male,0.094732
1949,75,male,0.13421
1949,76,male,0.221688
1949,77,male,0.201235
1949,78,male,0.18959
1949,79,male,0.302029
1949,80,male,0.185104
1949,81,male,0.028044
1949,82,male,0.028628
1949,83,male,0.159345
1949,84,male,0.150354
1949,85,male,0.0
1949,86,male,0.127444
1949,87,male,0.157626
1949,88,male,0.088797
1949,89,male,0.0
1949,90,male,0.45541
1949,91,male,0.0
1949,92,male,0.206295
1949,93,male,0.243538
1949,94,male,0.169085
1949,95,male,0.0
1949,96,male,0.289157
1949,97,male,0.0
1949,98,male,1.006711
1949,99,male,0.0
1949,100,male,0.0
1949,101,male,0.0
1949,102,male,0.500826
1949,103,male,0.0
1949,104,male,0.0
1949,105,male,0.0
1949,106,male,0.0
1949,107,male,0.0
1949,108,male,0.0
1949,109,male,0.0
1949,110,male,0.0
1950,0,male,0.079809
1950,1,male,0.018709
1950,2,male,0.006185
1950,3,male,0.004404
1950,4,male,0.002932
1950,5,male,0.003094
1950,6,male,0.003903
1950,7,male,0.001262
1950,8,male,0.004951
1950,9,male,0.00307
1950,10,male,0.003704
1950,11,male,0.001911
1950,12,male,0.001331
1950,13,male,0.002083
1950,14,male,0.000709
1950,15,male,0.002193
1950,16,male,0.002993
1950,17,male,0.006213
1950,18,male,0.003273
1950,19,male,0.007702
1950,20,male,0.002687
1950,21,male,0.003801
1950,22,male,0.009167
1950,23,male,0.005531
1950,24,male,0.00352
