year,age,sex,value
1901,0,male,0.081749
1901,1,male,0.011322
1901,2,male,0.006254
1901,3,male,0.004615
1901,4,male,0.003692
1901,5,male,0.002927
1901,6,male,0.002367
1901,7,male,0.001958
1901,8,male,0.00166
1901,9,male,0.001506
1901,10,male,0.001522
1901,11,male,0.001609
1901,12,male,0.001705
1901,13,male,0.001849
1901,14,male,0.002072
1901,15,male,0.002446
1901,16,male,0.002825
1901,17,male,0.003094
1901,18,male,0.003326
1901,19,male,0.0035
1901,20,male,0.003631
1901,21,male,0.003753
1901,22,male,0.003879
1901,23,male,0.003968
1901,24,male,0.003984
1901,25,male,0.003842
1901,26,male,0.003704
1901,27,male,0.003642
1901,28,male,0.003583
1901,29,male,0.003557
1901,30,male,0.003599
1901,31,male,0.003773
1901,32,male,0.004098
1901,33,male,0.004555
1901,34,male,0.005137
1901,35,male,0.005721
1901,36,male,0.006176
1901,37,male,0.006506
1901,38,male,0.006586
1901,39,male,0.006351
1901,40,male,0.005858
1901,41,male,0.005585
1901,42,male,0.005687
1901,43,male,0.006124
1901,44,male,0.006907
1901,45,male,0.007938
1901,46,male,0.008977
1901,47,male,0.010007
1901,48,male,0.011013
1901,49,male,0.012009
1901,50,male,0.012924
1901,51,male,0.013805
1901,52,male,0.014661
1901,53,male,0.015434
1901,54,male,0.016209
1901,55,male,0.017168
1901,56,male,0.018138
1901,57,male,0.018996
1901,58,male,0.020066
1901,59,male,0.02149
1901,60,male,0.023376
1901,61,male,0.025507
1901,62,male,0.027602
1901,63,male,0.029657
1901,64,male,0.032094
1901,65,male,0.03488
1901,66,male,0.038036
1901,67,male,0.040951
1901,68,male,0.042974
1901,69,male,0.046344
1901,70,male,0.054522
1901,71,male,0.065937
1901,72,male,0.074211
1901,73,male,0.078809
1901,74,male,0.079474
1901,75,male,0.077669
1901,76,male,0.093194
1901,77,male,0.133165
1901,78,male,0.149892
1901,79,male,0.127667
1901,80,male,0.130183
1901,81,male,0.136285
