year,age,sex,value
1948,0,male,0.032135
1948,1,male,0.004807
1948,2,male,0.002316
1948,3,male,0.001654
1948,4,male,0.001455
1948,5,male,0.001598
1948,6,male,0.000899
1948,7,male,0.000736
1948,8,male,0.00072
1948,9,male,0.000519
1948,10,male,0.001172
1948,11,male,0.001222
1948,12,male,0.00111
1948,13,male,0.000976
1948,14,male,0.001358
1948,15,male,0.001274
1948,16,male,0.001025
1948,17,male,0.001361
1948,18,male,0.002139
1948,19,male,0.001706
1948,20,male,0.002409
1948,21,male,0.001701
1948,22,male,0.002832
1948,23,male,0.001566
1948,24,male,0.0018
1948,25,male,0.001515
1948,26,male,0.0018
1948,27,male,0.001958
1948,28,male,0.002172
1948,29,male,0.001316
1948,30,male,0.001843
1948,31,male,0.00149
1948,32,male,0.002118
1948,33,male,0.001953
1948,34,male,0.001812
1948,35,male,0.001684
1948,36,male,0.002886
1948,37,male,0.002301
1948,38,male,0.002168
1948,39,male,0.002434
1948,40,male,0.002176
1948,41,male,0.00269
1948,42,male,0.005251
1948,43,male,0.0036
1948,44,male,0.003666
1948,45,male,0.004332
1948,46,male,0.005482
1948,47,male,0.005279
1948,48,male,0.007593
1948,49,male,0.008878
1948,50,male,0.008265
1948,51,male,0.006434
1948,52,male,0.009849
1948,53,male,0.009604
1948,54,male,0.01291
1948,55,male,0.012307
1948,56,male,0.014063
1948,57,male,0.012156
1948,58,male,0.018038
1948,59,male,0.017864
1948,60,male,0.020139
1948,61,male,0.01983
1948,62,male,0.02327
1948,63,male,0.031009
1948,64,male,0.033136
1948,65,male,0.036596
1948,66,male,0.031357
1948,67,male,0.035853
1948,68,male,0.041072
1948,69,male,0.043953
1948,70,male,0.046022
1948,71,male,0.04482
1948,72,male,0.054973
1948,73,male,0.069015
1948,74,male,0.079505
1948,75,male,0.069415
1948,76,male,0.092716
1948,77,male,0.086667
1948,78,male,0.120943
1948,79,male,0.114864
1948,80,male,0.122627
1948,81,male,0.103844
1948,82,male,0.142891
1948,83,male,0.137052
1948,84,male,0.164223
1948,85,male,0.161807
1948,86,male,0.246019
1948,87,male,0.214948
1948,88,male,0.260996
1948,89,male,0.255589
1948,90,male,0.231173
1948,91,male,0.246707
1948,92,male,0.312673
1948,93,male,0.421606
1948,94,male,0.278601
1948,95,male,0.371651
1948,96,male,0.362163
1948,97,male,0.21426
1948,98,male,0.444642
1948,99,male,0.39465
1948,100,male,0.615385
1948,101,male,0.584071
1948,102,male,0.673729
1948,103,male,1.184502
1948,104,male,4.135922
1948,105,male,0.0
1948,106,male,0.0
1948,107,male,0.0
1948,108,male,0.0
1948,109,male,0.0
1948,110,male,0.0
1949,0,male,0.033799
1949,1,male,0.004259
1949,2,male,0.002603
1949,3,male,0.001901
1949,4,male,0.001085
1949,5,male,0.001174
1949,6,male,0.000914
1949,7,male,0.000618
1949,8,male,0.000906
1949,9,male,0.00054
1949,10,male,0.000713
1949,11,male,0.001033
1949,12,male,0.000719
1949,13,male,0.000739
1949,14,male,0.000973
1949,15,male,0.000905
1949,16,male,0.001797
1949,17,male,0.001827
1949,18,male,0.001431
1949,19,male,0.002423
1949,20,male,0.001632
1949,21,male,0.002106
1949,22,male,0.002076
1949,23,male,0.001583
1949,24,male,0.00209
1949,25,male,0.001559
1949,26,male,0.001783
1949,27,male,0.001708
1949,28,male,0.001292
1949,29,male,0.001263
1949,30,male,0.001769
1949,31,male,0.001908
1949,32,male,0.001929
1949,33,male,0.002471
1949,34,male,0.00144
1949,35,male,0.002816
1949,36,male,0.002264
1949,37,male,0.001623
1949,38,male,0.002739
1949,39,male,0.003434
1949,40,male,0.0035
1949,41,male,0.00272
1949,42,male,0.003719
1949,43,male,0.003153
1949,44,male,0.003017
1949,45,male,0.006207
1949,46,male,0.003253
1949,47,male,0.00357
1949,48,male,0.008043
1949,49,male,0.006699
1949,50,male,0.009859
1949,51,male,0.006819
1949,52,male,0.010396
1949,53,male,0.009242
1949,54,male,0.013344
1949,55,male,0.008417
1949,56,male,0.012719
1949,57,male,0.015513
1949,58,male,0.017102
1949,59,male,0.017248
1949,60,male,0.022388
1949,61,male,0.018686
1949,62,male,0.021256
1949,63,male,0.026165
1949,64,male,0.0275
1949,65,male,0.038091
1949,66,male,0.033939
1949,67,male,0.032883
1949,68,male,0.039803
1949,69,male,0.040995
1949,70,male,0.050222
1949,71,male,0.044913
1949,72,male,0.061067
1949,73,male,0.075101
1949,74,male,0.081586
1949,75,male,0.068216
1949,76,male,0.087331
1949,77,male,0.074529
1949,78,male,0.100526
1949,79,male,0.116739
1949,80,male,0.099935
1949,81,male,0.114842
1949,82,male,0.118583
1949,83,male,0.160462
1949,84,male,0.161606
1949,85,male,0.16716
1949,86,male,0.213417
1949,87,male,0.194656
1949,88,male,0.244158
1949,89,male,0.210506
1949,90,male,0.208475
1949,91,male,0.180016
1949,92,male,0.34219
1949,93,male,0.391219
1949,94,male,0.226291
1949,95,male,0.316288
1949,96,male,0.447928
1949,97,male,0.465236
1949,98,male,0.801448
1949,99,male,0.995575
1949,100,male,0.237647
1949,101,male,0.291066
1949,102,male,0.408907
1949,103,male,0.0
1949,104,male,0.0
1949,105,male,0.0
1949,106,male,0.0
1949,107,male,0.0
1949,108,male,0.0
1949,109,male,0.0
1949,110,male,0.0
1950,0,male,0.030812
1950,1,male,0.003639
1950,2,male,0.0017
1950,3,male,0.001323
1950,4,male,0.001206
1950,5,male,0.000829
1950,6,male,0.000781
1950,7,male,0.000626
1950,8,male,0.001281
1950,9,male,0.00068
1950,10,male,0.000776
1950,11,male,0.000774
1950,12,male,0.000892
1950,13,male,0.000572
1950,14,male,0.001103
1950,15,male,0.00112
1950,16,male,0.001427
1950,17,male,0.00164
1950,18,male,0.001672
1950,19,male,0.002426
1950,20,male,0.001921
1950,21,male,0.001761
1950,22,male,0.002424
1950,23,male,0.001368
1950,24,male,0.001428
1950,25,male,0.001859
1950,26,male,0.001406
1950,27,male,0.001122
1950,28,male,0.001681
1950,29,male,0.000993
1950,30,male,0.001397
1950,31,male,0.001533
1950,32,male,0.002335
1950,33,male,0.001688
1950,34,male,0.001955
1950,35,male,0.002087
1950,36,male,0.003242
1950,37,male,0.00204
1950,38,male,0.002936
1950,39,male,0.002874
1950,40,male,0.003274
1950,41,male,0.001597
1950,42,male,0.003336
1950,43,male,0.003322
1950,44,male,0.003883
1950,45,male,0.004115
1950,46,male,0.004476
1950,47,male,0.004598
1950,48,male,0.006772
1950,49,male,0.00777
1950,50,male,0.008702
1950,51,male,0.008388
1950,52,male,0.008049
1950,53,male,0.010203
1950,54,male,0.01143
1950,55,male,0.013897
1950,56,male,0.013809
1950,57,male,0.014157
1950,58,male,0.019287
1950,59,male,0.01761
1950,60,male,0.019985
1950,61,male,0.018385
1950,62,male,0.026501
1950,63,male,0.024612
1950,64,male,0.029417
1950,65,male,0.037619
1950,66,male,0.033716
1950,67,male,0.036145
1950,68,male,0.037257
1950,69,male,0.045691
1950,70,male,0.047873
1950,71,male,0.046766
1950,72,male,0.065715
1950,73,male,0.066395
1950,74,male,0.075895
1950,75,male,0.076491
1950,76,male,0.096632
1950,77,male,0.08503
1950,78,male,0.119749
1950,79,male,0.125699
1950,80,male,0.119147
1950,81,male,0.1168
1950,82,male,0.13265
1950,83,male,0.137615
1950,84,male,0.175815
1950,85,male,0.185475
1950,86,male,0.221612
1950,87,male,0.239504
1950,88,male,0.242101
1950,89,male,0.270128
1950,90,male,0.261484
1950,91,male,0.209917
1950,92,male,0.293619
1950,93,male,0.339716
1950,94,male,0.226836
1950,95,male,0.413641
1950,96,male,0.626492
1950,97,male,0.619915
1950,98,male,0.279005
1950,99,male,0.7109
1950,100,male,1.080432
1950,101,male,0.358209
1950,102,male,0.405405
1950,103,male,0.0
1950,104,male,0.0
1950,105,male,0.0
1950,106,male,0.0
1950,107,male,0.0
1950,108,male,0.0
1950,109,male,0.0
1950,110,male,0.0
1951,0,male,0.032786
1951,1,male,0.003307
1951,2,male,0.002036
1951,3,male,0.001203
1951,4,male,0.0009
1951,5,male,0.001031
1951,6,male,0.000929
1951,7,male,0.000994
1951,8,male,0.000445
1951,9,male,0.000731
1951,10,male,0.000674
1951,11,male,0.000769
1951,12,male,0.000448
1951,13,male,0.00075
1951,14,male,0.000498
1951,15,male,0.001759
1951,16,male,0.00089
1951,17,male,0.001346
1951,18,male,0.001698
1951,19,male,0.002094
1951,20,male,0.002226
1951,21,male,0.001563
1951,22,male,0.002091
1951,23,male,0.002335
1951,24,male,0.002096
1951,25,male,0.001882
1951,26,male,0.001848
1951,27,male,0.00157
1951,28,male,0.001906
1951,29,male,0.002266
1951,30,male,0.001885
1951,31,male,0.001994
1951,32,male,0.001637
1951,33,male,0.002511
1951,34,male,0.00206
1951,35,male,0.001969
1951,36,male,0.00238
1951,37,male,0.002237
1951,38,male,0.003474
