year,age,sex,value
1958,0,male,0.08371
1958,1,male,0.005034
1958,2,male,0.002034
1958,3,male,0.001463
1958,4,male,0.001073
1958,5,male,0.000943
1958,6,male,0.00085
1958,7,male,0.000788
1958,8,male,0.000692
1958,9,male,0.000668
1958,10,male,0.000642
1958,11,male,0.000615
1958,12,male,0.000575
1958,13,male,0.000666
1958,14,male,0.000843
1958,15,male,0.000858
1958,16,male,0.001006
1958,17,male,0.001174
1958,18,male,0.001458
1958,19,male,0.001748
1958,20,male,0.002092
1958,21,male,0.002069
1958,22,male,0.001977
1958,23,male,0.001841
1958,24,male,0.002124
1958,25,male,0.002111
1958,26,male,0.0021
1958,27,male,0.002056
1958,28,male,0.002135
1958,29,male,0.002422
1958,30,male,0.002458
1958,31,male,0.00255
1958,32,male,0.002486
1958,33,male,0.00274
1958,34,male,0.002829
1958,35,male,0.002748
1958,36,male,0.002755
1958,37,male,0.00286
1958,38,male,0.003378
1958,39,male,0.003222
1958,40,male,0.003584
1958,41,male,0.003576
1958,42,male,0.004216
1958,43,male,0.004599
1958,44,male,0.004833
1958,45,male,0.004818
1958,46,male,0.005731
1958,47,male,0.00607
1958,48,male,0.006736
1958,49,male,0.007859
1958,50,male,0.007866
1958,51,male,0.009007
1958,52,male,0.009994
1958,53,male,0.01098
1958,54,male,0.012131
1958,55,male,0.012603
1958,56,male,0.014998
1958,57,male,0.015762
1958,58,male,0.018463
1958,59,male,0.019817
1958,60,male,0.022728
1958,61,male,0.024373
1958,62,male,0.026746
1958,63,male,0.028026
1958,64,male,0.031304
1958,65,male,0.032858
1958,66,male,0.036036
1958,67,male,0.041644
1958,68,male,0.044578
1958,69,male,0.047892
1958,70,male,0.051211
1958,71,male,0.058717
1958,72,male,0.065099
1958,73,male,0.067299
1958,74,male,0.076089
1958,75,male,0.080144
1958,76,male,0.093531
1958,77,male,0.091106
1958,78,male,0.110732
1958,79,male,0.122574
1958,80,male,0.130599
1958,81,male,0.134353
1958,82,male,0.156063
1958,83,male,0.16876
1958,84,male,0.178831
1958,85,male,0.198095
1958,86,male,0.205889
1958,87,male,0.239929
1958,88,male,0.23892
1958,89,male,0.282206
1958,90,male,0.256917
1958,91,male,0.317514
1958,92,male,0.33718
1958,93,male,0.37007
1958,94,male,0.368916
1958,95,male,0.389569
1958,96,male,0.451989
1958,97,male,0.239669
1958,98,male,0.468952
1958,99,male,0.901249
1958,100,male,0.989877
1958,101,male,1.422222
1958,102,male,2.086505
1958,103,male,2.535849
1958,104,male,6.0
1958,105,male,0.0
1958,106,male,0.0
1958,107,male,0.0
1958,108,male,0.0
1958,109,male,0.0
1958,110,male,0.0
1959,0,male,0.082573
1959,1,male,0.00519
1959,2,male,0.00197
1959,3,male,0.001448
1959,4,male,0.001081
1959,5,male,0.000901
1959,6,male,0.000789
1959,7,male,0.00083
1959,8,male,0.000745
1959,9,male,0.000611
1959,10,male,0.00067
1959,11,male,0.000694
1959,12,male,0.000671
1959,13,male,0.000685
1959,14,male,0.000797
1959,15,male,0.000885
1959,16,male,0.001047
1959,17,male,0.001389
1959,18,male,0.001365
1959,19,male,0.001886
1959,20,male,0.001932
1959,21,male,0.002068
1959,22,male,0.001996
1959,23,male,0.00204
1959,24,male,0.002124
1959,25,male,0.002197
1959,26,male,0.002122
1959,27,male,0.002118
1959,28,male,0.002223
1959,29,male,0.002324
1959,30,male,0.002468
1959,31,male,0.002457
1959,32,male,0.002544
1959,33,male,0.002571
1959,34,male,0.002667
1959,35,male,0.002864
1959,36,male,0.002938
1959,37,male,0.003108
1959,38,male,0.003395
1959,39,male,0.003702
1959,40,male,0.003676
1959,41,male,0.003822
1959,42,male,0.004234
1959,43,male,0.004264
1959,44,male,0.005196
1959,45,male,0.005323
1959,46,male,0.005666
1959,47,male,0.006303
1959,48,male,0.006647
1959,49,male,0.006841
1959,50,male,0.008576
1959,51,male,0.00898
1959,52,male,0.01065
1959,53,male,0.010911
1959,54,male,0.011961
1959,55,male,0.013323
1959,56,male,0.01533
1959,57,male,0.017303
1959,58,male,0.018379
1959,59,male,0.020834
1959,60,male,0.023318
1959,61,male,0.025702
1959,62,male,0.028051
1959,63,male,0.029645
1959,64,male,0.031595
1959,65,male,0.036025
1959,66,male,0.038472
1959,67,male,0.043528
1959,68,male,0.049177
1959,69,male,0.051755
1959,70,male,0.055466
1959,71,male,0.061985
1959,72,male,0.06829
1959,73,male,0.07409
1959,74,male,0.076225
1959,75,male,0.090061
1959,76,male,0.096096
1959,77,male,0.108894
1959,78,male,0.124
1959,79,male,0.113952
1959,80,male,0.13885
1959,81,male,0.154509
1959,82,male,0.158917
1959,83,male,0.184636
1959,84,male,0.194779
1959,85,male,0.235537
1959,86,male,0.225117
1959,87,male,0.243656
1959,88,male,0.277201
1959,89,male,0.308497
1959,90,male,0.309266
1959,91,male,0.351565
1959,92,male,0.376175
1959,93,male,0.369883
1959,94,male,0.374842
1959,95,male,0.328839
1959,96,male,0.463286
1959,97,male,0.271887
1959,98,male,0.332057
1959,99,male,0.745609
1959,100,male,0.440502
1959,101,male,0.580278
1959,102,male,1.485893
1959,103,male,0.0
1959,104,male,0.0
1959,105,male,0.0
1959,106,male,0.0
1959,107,male,0.0
1959,108,male,0.0
1959,109,male,0.0
1959,110,male,0.0
1960,0,male,0.064723
1960,1,male,0.00349
1960,2,male,0.001676
1960,3,male,0.001115
1960,4,male,0.000875
1960,5,male,0.000809
1960,6,male,0.000676
1960,7,male,0.000574
1960,8,male,0.000634
1960,9,male,0.000615
1960,10,male,0.000557
1960,11,male,0.000577
1960,12,male,0.000587
1960,13,male,0.000562
1960,14,male,0.000728
1960,15,male,0.000828
1960,16,male,0.000937
1960,17,male,0.001022
1960,18,male,0.001366
1960,19,male,0.001644
1960,20,male,0.001664
1960,21,male,0.001855
1960,22,male,0.001764
1960,23,male,0.001797
1960,24,male,0.001921
1960,25,male,0.001965
1960,26,male,0.00201
1960,27,male,0.00194
1960,28,male,0.002002
1960,29,male,0.002115
1960,30,male,0.00215
1960,31,male,0.002321
1960,32,male,0.002414
1960,33,male,0.002541
1960,34,male,0.002673
1960,35,male,0.002825
1960,36,male,0.002816
1960,37,male,0.002895
1960,38,male,0.003113
1960,39,male,0.002917
1960,40,male,0.003906
1960,41,male,0.003755
1960,42,male,0.004059
1960,43,male,0.004064
1960,44,male,0.004628
1960,45,male,0.005105
1960,46,male,0.005527
1960,47,male,0.005737
1960,48,male,0.006238
1960,49,male,0.00716
1960,50,male,0.007961
1960,51,male,0.00862
1960,52,male,0.009422
1960,53,male,0.010761
1960,54,male,0.011855
1960,55,male,0.012447
1960,56,male,0.014236
1960,57,male,0.015503
1960,58,male,0.018138
1960,59,male,0.018252
1960,60,male,0.022078
1960,61,male,0.022052
1960,62,male,0.025229
1960,63,male,0.028603
1960,64,male,0.030877
1960,65,male,0.033599
1960,66,male,0.037706
1960,67,male,0.03751
1960,68,male,0.045641
1960,69,male,0.048095
1960,70,male,0.050535
1960,71,male,0.0525
1960,72,male,0.061847
1960,73,male,0.067341
1960,74,male,0.073527
1960,75,male,0.078684
1960,76,male,0.087495
1960,77,male,0.092699
1960,78,male,0.109182
1960,79,male,0.110772
1960,80,male,0.127856
1960,81,male,0.132423
1960,82,male,0.149807
1960,83,male,0.170896
1960,84,male,0.178322
1960,85,male,0.186643
1960,86,male,0.21221
1960,87,male,0.21733
1960,88,male,0.228963
1960,89,male,0.25525
1960,90,male,0.259664
1960,91,male,0.317663
1960,92,male,0.306695
1960,93,male,0.33095
1960,94,male,0.363507
1960,95,male,0.327623
1960,96,male,0.491391
1960,97,male,0.503265
1960,98,male,0.441
1960,99,male,0.698767
1960,100,male,0.349486
1960,101,male,0.380874
1960,102,male,0.601367
1960,103,male,0.0
1960,104,male,0.0
1960,105,male,0.0
1960,106,male,0.0
1960,107,male,0.0
1960,108,male,0.0
1960,109,male,0.0
1960,110,male,0.0
1961,0,male,0.061334
1961,1,male,0.003763
1961,2,male,0.001628
1961,3,male,0.001115
1961,4,male,0.000859
1961,5,male,0.000806
1961,6,male,0.000656
1961,7,male,0.000646
1961,8,male,0.000658
1961,9,male,0.000575
1961,10,male,0.000607
1961,11,male,0.00054
1961,12,male,0.000599
1961,13,male,0.000657
1961,14,male,0.000729
1961,15,male,0.000729
1961,16,male,0.000819
1961,17,male,0.001115
1961,18,male,0.001551
1961,19,male,0.001547
1961,20,male,0.001928
1961,21,male,0.001863
1961,22,male,0.00192
1961,23,male,0.002006
1961,24,male,0.00208
1961,25,male,0.002367
1961,26,male,0.002247
1961,27,male,0.002219
1961,28,male,0.002191
1961,29,male,0.002367
1961,30,male,0.00231
1961,31,male,0.00249
1961,32,male,0.002561
1961,33,male,0.002496
1961,34,male,0.002935
1961,35,male,0.002785
1961,36,male,0.002574
1961,37,male,0.002716
1961,38,male,0.003164
1961,39,male,0.003382
1961,40,male,0.003302
1961,41,male,0.003864
1961,42,male,0.00388
1961,43,male,0.004149
1961,44,male,0.004337
1961,45,male,0.004731
1961,46,male,0.00598
1961,47,male,0.005524
1961,48,male,0.006228
1961,49,male,0.007255
1961,50,male,0.007856
1961,51,male,0.008585
1961,52,male,0.009655
1961,53,male,0.010375
1961,54,male,0.01175
1961,55,male,0.012548
1961,56,male,0.014012
1961,57,male,0.015684
1961,58,male,0.017429
1961,59,male,0.019423
1961,60,male,0.020442
1961,61,male,0.023865
1961,62,male,0.025849
