year,age,sex,value
1940,0,male,0.152282
1940,1,male,0.051148
1940,2,male,0.019906
1940,3,male,0.009989
1940,4,male,0.00683
1940,5,male,0.004691
1940,6,male,0.003835
1940,7,male,0.003401
1940,8,male,0.002938
1940,9,male,0.002163
1940,10,male,0.002528
1940,11,male,0.002207
1940,12,male,0.0018
1940,13,male,0.002607
1940,14,male,0.002152
1940,15,male,0.002374
1940,16,male,0.002686
1940,17,male,0.003337
1940,18,male,0.004293
1940,19,male,0.004769
1940,20,male,0.004685
1940,21,male,0.004287
1940,22,male,0.004587
1940,23,male,0.00544
1940,24,male,0.004892
1940,25,male,0.004644
1940,26,male,0.0051
1940,27,male,0.005701
1940,28,male,0.005801
1940,29,male,0.005075
1940,30,male,0.006384
1940,31,male,0.005731
1940,32,male,0.006887
1940,33,male,0.007105
1940,34,male,0.006221
1940,35,male,0.006944
1940,36,male,0.007156
1940,37,male,0.006998
1940,38,male,0.007827
1940,39,male,0.006664
1940,40,male,0.008506
1940,41,male,0.008094
1940,42,male,0.010822
1940,43,male,0.009108
1940,44,male,0.009067
1940,45,male,0.010921
1940,46,male,0.011701
1940,47,male,0.011614
1940,48,male,0.013082
1940,49,male,0.010862
1940,50,male,0.015471
1940,51,male,0.013783
1940,52,male,0.014585
1940,53,male,0.014773
1940,54,male,0.017532
1940,55,male,0.019135
1940,56,male,0.020823
1940,57,male,0.02042
1940,58,male,0.024363
1940,59,male,0.020041
1940,60,male,0.02927
1940,61,male,0.026242
1940,62,male,0.031178
1940,63,male,0.035002
1940,64,male,0.03749
1940,65,male,0.041887
1940,66,male,0.041215
1940,67,male,0.045247
1940,68,male,0.060786
1940,69,male,0.043801
1940,70,male,0.079199
1940,71,male,0.06977
1940,72,male,0.085036
1940,73,male,0.097589
1940,74,male,0.095363
1940,75,male,0.118123
1940,76,male,0.11259
1940,77,male,0.114705
1940,78,male,0.158408
1940,79,male,0.128054
1940,80,male,0.203301
1940,81,male,0.128138
1940,82,male,0.18931
1940,83,male,0.160033
1940,84,male,0.215935
1940,85,male,0.279216
1940,86,male,0.248148
1940,87,male,0.233726
1940,88,male,0.29457
1940,89,male,0.29657
1940,90,male,0.365861
1940,91,male,0.202504
1940,92,male,0.287398
1940,93,male,0.278861
1940,94,male,0.321309
1940,95,male,0.258646
1940,96,male,0.327662
1940,97,male,0.406867
1940,98,male,0.530375
1940,99,male,0.438425
1940,100,male,0.366835
1940,101,male,0.210551
1940,102,male,0.374942
1940,103,male,0.55425
1940,104,male,1.059197
1940,105,male,0.30722
1940,106,male,0.0
1940,107,male,0.0
1940,108,male,0.0
1940,109,male,0.692042
1940,110,male,0.803213
1941,0,male,0.175945
1941,1,male,0.070968
1941,2,male,0.026727
1941,3,male,0.013088
1941,4,male,0.00735
1941,5,male,0.004961
1941,6,male,0.004455
1941,7,male,0.003476
1941,8,male,0.003218
1941,9,male,0.002843
1941,10,male,0.002255
1941,11,male,0.002578
1941,12,male,0.002183
1941,13,male,0.002093
1941,14,male,0.002615
1941,15,male,0.002674
1941,16,male,0.003693
1941,17,male,0.003718
1941,18,male,0.003783
1941,19,male,0.004401
1941,20,male,0.00571
1941,21,male,0.005183
1941,22,male,0.00545
1941,23,male,0.004469
1941,24,male,0.005536
1941,25,male,0.005319
1941,26,male,0.005325
1941,27,male,0.005392
1941,28,male,0.005612
1941,29,male,0.005737
1941,30,male,0.005809
1941,31,male,0.00633
1941,32,male,0.006661
1941,33,male,0.006717
1941,34,male,0.006842
1941,35,male,0.007703
1941,36,male,0.007244
1941,37,male,0.007225
1941,38,male,0.008543
1941,39,male,0.007568
1941,40,male,0.008246
1941,41,male,0.007675
1941,42,male,0.011287
1941,43,male,0.008938
1941,44,male,0.011305
1941,45,male,0.012143
1941,46,male,0.010146
1941,47,male,0.010748
1941,48,male,0.014097
1941,49,male,0.012853
1941,50,male,0.015281
1941,51,male,0.011425
1941,52,male,0.018193
1941,53,male,0.016338
1941,54,male,0.017956
1941,55,male,0.021762
1941,56,male,0.018428
1941,57,male,0.020108
1941,58,male,0.024908
1941,59,male,0.023956
1941,60,male,0.032884
1941,61,male,0.023793
1941,62,male,0.040704
1941,63,male,0.037664
1941,64,male,0.039681
1941,65,male,0.047453
1941,66,male,0.047067
1941,67,male,0.050685
1941,68,male,0.062999
1941,69,male,0.057432
1941,70,male,0.081662
1941,71,male,0.060134
1941,72,male,0.107141
1941,73,male,0.096704
1941,74,male,0.109462
1941,75,male,0.12344
1941,76,male,0.110862
1941,77,male,0.142697
1941,78,male,0.170292
1941,79,male,0.145817
1941,80,male,0.214214
1941,81,male,0.139663
1941,82,male,0.197438
1941,83,male,0.197113
1941,84,male,0.231308
1941,85,male,0.284859
1941,86,male,0.269568
1941,87,male,0.265193
1941,88,male,0.356715
1941,89,male,0.264349
1941,90,male,0.393706
1941,91,male,0.241083
1941,92,male,0.343315
1941,93,male,0.287936
1941,94,male,0.339932
1941,95,male,0.381986
1941,96,male,0.421155
1941,97,male,0.296775
1941,98,male,0.770199
1941,99,male,0.317736
1941,100,male,0.39462
1941,101,male,0.215436
1941,102,male,0.590003
1941,103,male,0.299033
1941,104,male,0.238379
1941,105,male,0.363636
1941,106,male,0.888725
1941,107,male,0.819672
1941,108,male,0.0
1941,109,male,0.0
1941,110,male,0.0
1942,0,male,0.157007
1942,1,male,0.058932
1942,2,male,0.025969
1942,3,male,0.012827
1942,4,male,0.008105
1942,5,male,0.006017
1942,6,male,0.004736
1942,7,male,0.003633
1942,8,male,0.003104
1942,9,male,0.002838
1942,10,male,0.00285
1942,11,male,0.002628
1942,12,male,0.002425
1942,13,male,0.002482
1942,14,male,0.002601
1942,15,male,0.00297
1942,16,male,0.003632
1942,17,male,0.003936
1942,18,male,0.004605
1942,19,male,0.004575
1942,20,male,0.005183
1942,21,male,0.00595
1942,22,male,0.00506
1942,23,male,0.005559
1942,24,male,0.005042
1942,25,male,0.005078
1942,26,male,0.00484
1942,27,male,0.005166
1942,28,male,0.005717
1942,29,male,0.004994
1942,30,male,0.005773
1942,31,male,0.005632
1942,32,male,0.006167
1942,33,male,0.006637
1942,34,male,0.006003
1942,35,male,0.007201
1942,36,male,0.006789
1942,37,male,0.006876
1942,38,male,0.008556
1942,39,male,0.007877
1942,40,male,0.008056
1942,41,male,0.006849
1942,42,male,0.009617
1942,43,male,0.009517
1942,44,male,0.010644
1942,45,male,0.012637
1942,46,male,0.00888
1942,47,male,0.009872
1942,48,male,0.012654
1942,49,male,0.012838
1942,50,male,0.01436
1942,51,male,0.010543
1942,52,male,0.01501
1942,53,male,0.017056
1942,54,male,0.01646
1942,55,male,0.019225
1942,56,male,0.021239
1942,57,male,0.019013
1942,58,male,0.021838
1942,59,male,0.023327
1942,60,male,0.035671
1942,61,male,0.021473
1942,62,male,0.032827
1942,63,male,0.036831
1942,64,male,0.040155
1942,65,male,0.046003
1942,66,male,0.048046
1942,67,male,0.04381
1942,68,male,0.060188
1942,69,male,0.047573
1942,70,male,0.094241
1942,71,male,0.049505
1942,72,male,0.079059
1942,73,male,0.099273
1942,74,male,0.103155
1942,75,male,0.132348
1942,76,male,0.111581
1942,77,male,0.119696
1942,78,male,0.168782
1942,79,male,0.116351
1942,80,male,0.204864
1942,81,male,0.127377
1942,82,male,0.173872
1942,83,male,0.173676
1942,84,male,0.227928
1942,85,male,0.268405
1942,86,male,0.259133
1942,87,male,0.226908
1942,88,male,0.253235
1942,89,male,0.235938
1942,90,male,0.393368
1942,91,male,0.208112
1942,92,male,0.314892
1942,93,male,0.296953
1942,94,male,0.279959
1942,95,male,0.396868
1942,96,male,0.341088
1942,97,male,0.506898
1942,98,male,0.585832
1942,99,male,0.307712
1942,100,male,0.514726
1942,101,male,0.136719
1942,102,male,0.506829
1942,103,male,0.481087
1942,104,male,0.423455
1942,105,male,0.337838
1942,106,male,0.0
1942,107,male,0.8
1942,108,male,0.0
1942,109,male,0.0
1942,110,male,2.021904
1943,0,male,0.155571
1943,1,male,0.052663
1943,2,male,0.022447
1943,3,male,0.012249
1943,4,male,0.008407
1943,5,male,0.005239
1943,6,male,0.004029
1943,7,male,0.003613
1943,8,male,0.00277
1943,9,male,0.002761
1943,10,male,0.002397
1943,11,male,0.002296
1943,12,male,0.00221
1943,13,male,0.002433
1943,14,male,0.002526
1943,15,male,0.002603
1943,16,male,0.003053
1943,17,male,0.003745
1943,18,male,0.00518
1943,19,male,0.004803
1943,20,male,0.004876
1943,21,male,0.005391
1943,22,male,0.005813
1943,23,male,0.004827
1943,24,male,0.004898
1943,25,male,0.005334
1943,26,male,0.005025
1943,27,male,0.005095
1943,28,male,0.005856
1943,29,male,0.005916
1943,30,male,0.005662
1943,31,male,0.005032
1943,32,male,0.005455
1943,33,male,0.006204
1943,34,male,0.006373
1943,35,male,0.00675
1943,36,male,0.007012
1943,37,male,0.007021
1943,38,male,0.007724
1943,39,male,0.008201
1943,40,male,0.008634
1943,41,male,0.007116
1943,42,male,0.008115
1943,43,male,0.009609
1943,44,male,0.010746
1943,45,male,0.011442
1943,46,male,0.010516
1943,47,male,0.01012
1943,48,male,0.010825
1943,49,male,0.012596
1943,50,male,0.015216
1943,51,male,0.010878
1943,52,male,0.014249
1943,53,male,0.015597
1943,54,male,0.016017
1943,55,male,0.018278
1943,56,male,0.019291
1943,57,male,0.01842
1943,58,male,0.021463
1943,59,male,0.019818
1943,60,male,0.031438
1943,61,male,0.023501
1943,62,male,0.026957
1943,63,male,0.030413
1943,64,male,0.037232
1943,65,male,0.043288
1943,66,male,0.044448
1943,67,male,0.041401
1943,68,male,0.049515
1943,69,male,0.048561
1943,70,male,0.075221
1943,71,male,0.055558
1943,72,male,0.074921
1943,73,male,0.075153
1943,74,male,0.098759
1943,75,male,0.115235
1943,76,male,0.11379
1943,77,male,0.117982
1943,78,male,0.136882
1943,79,male,0.129459
1943,80,male,0.18857
1943,81,male,0.123949
1943,82,male,0.172865
1943,83,male,0.183579
1943,84,male,0.203752
1943,85,male,0.225522
1943,86,male,0.240768
1943,87,male,0.247954
1943,88,male,0.282774
1943,89,male,0.237235
1943,90,male,0.32816
1943,91,male,0.172223
1943,92,male,0.281068
1943,93,male,0.254057
1943,94,male,0.302656
1943,95,male,0.359971
1943,96,male,0.372886
1943,97,male,0.281063
1943,98,male,0.744314
1943,99,male,0.308481
1943,100,male,0.73608
1943,101,male,0.317205
1943,102,male,0.690981
1943,103,male,0.35222
1943,104,male,0.502291
1943,105,male,0.668514
1943,106,male,0.0
1943,107,male,0.0
1943,108,male,1.333333
1943,109,male,0.0
1943,110,male,1.342282
1944,0,male,0.143693
1944,1,male,0.04986
1944,2,male,0.019999
1944,3,male,0.010872
1944,4,male,0.007149
1944,5,male,0.005382
1944,6,male,0.003268
1944,7,male,0.003126
1944,8,male,0.002448
1944,9,male,0.002597
1944,10,male,0.002128
1944,11,male,0.002274
1944,12,male,0.001763
1944,13,male,0.002052
1944,14,male,0.002228
1944,15,male,0.002645
1944,16,male,0.00296
1944,17,male,0.003626
1944,18,male,0.004005
1944,19,male,0.004555
1944,20,male,0.004572
1944,21,male,0.004692
1944,22,male,0.005016
1944,23,male,0.005612
1944,24,male,0.005648
1944,25,male,0.004947
1944,26,male,0.004778
1944,27,male,0.00554
1944,28,male,0.005091
1944,29,male,0.004744
1944,30,male,0.005428
1944,31,male,0.004663
1944,32,male,0.005816
1944,33,male,0.006167
1944,34,male,0.006723
1944,35,male,0.006796
1944,36,male,0.006514
1944,37,male,0.007884
1944,38,male,0.007886
1944,39,male,0.006768
1944,40,male,0.009151
1944,41,male,0.007628
1944,42,male,0.009531
1944,43,male,0.007896
1944,44,male,0.009678
1944,45,male,0.011921
1944,46,male,0.011567
1944,47,male,0.011216
1944,48,male,0.013254
1944,49,male,0.011762
1944,50,male,0.015377
1944,51,male,0.01232
1944,52,male,0.015515
1944,53,male,0.015171
1944,54,male,0.017775
1944,55,male,0.021318
1944,56,male,0.020703
1944,57,male,0.020004
1944,58,male,0.023853
1944,59,male,0.020575
1944,60,male,0.030523
1944,61,male,0.02333
1944,62,male,0.032212
1944,63,male,0.030094
1944,64,male,0.035994
1944,65,male,0.05106
1944,66,male,0.044239
1944,67,male,0.045776
1944,68,male,0.053263
1944,69,male,0.044902
1944,70,male,0.078784
1944,71,male,0.053223
1944,72,male,0.087778
1944,73,male,0.073495
1944,74,male,0.086717
1944,75,male,0.132634
1944,76,male,0.116128
1944,77,male,0.12953
1944,78,male,0.151558
1944,79,male,0.116487
1944,80,male,0.189803
1944,81,male,0.127845
1944,82,male,0.178974
1944,83,male,0.166519
1944,84,male,0.20522
1944,85,male,0.249647
1944,86,male,0.233129
1944,87,male,0.247113
1944,88,male,0.306188
1944,89,male,0.274969
1944,90,male,0.330862
1944,91,male,0.199087
1944,92,male,0.289166
1944,93,male,0.256652
1944,94,male,0.264859
1944,95,male,0.310468
1944,96,male,0.401444
1944,97,male,0.373936
1944,98,male,0.518591
1944,99,male,0.310638
1944,100,male,0.689519
1944,101,male,0.217376
1944,102,male,0.773116
1944,103,male,0.52607
1944,104,male,0.268817
1944,105,male,0.402414
1944,106,male,0.0
1944,107,male,1.160731
1944,108,male,2.083333
1944,109,male,0.0
1944,110,male,0.0
1945,0,male,0.134655
1945,1,male,0.043097
1945,2,male,0.017514
1945,3,male,0.008902
1945,4,male,0.006157
1945,5,male,0.004553
1945,6,male,0.003277
1945,7,male,0.003015
1945,8,male,0.002588
1945,9,male,0.002169
1945,10,male,0.002193
1945,11,male,0.00182
1945,12,male,0.002018
1945,13,male,0.001865
1945,14,male,0.002325
1945,15,male,0.002083
1945,16,male,0.002666
1945,17,male,0.003232
1945,18,male,0.003677
1945,19,male,0.004308
1945,20,male,0.004528
1945,21,male,0.004333
1945,22,male,0.005405
1945,23,male,0.005391
1945,24,male,0.005923
1945,25,male,0.005036
1945,26,male,0.005356
1945,27,male,0.005565
1945,28,male,0.005319
1945,29,male,0.004892
1945,30,male,0.005342
1945,31,male,0.004506
1945,32,male,0.005766
1945,33,male,0.00575
1945,34,male,0.006527
1945,35,male,0.006788
1945,36,male,0.007346
1945,37,male,0.007204
1945,38,male,0.007472
1945,39,male,0.007587
1945,40,male,0.009225
1945,41,male,0.007517
1945,42,male,0.00919
1945,43,male,0.00855
1945,44,male,0.009798
1945,45,male,0.011006
1945,46,male,0.010735
1945,47,male,0.011408
1945,48,male,0.013317
1945,49,male,0.01305
1945,50,male,0.014348
1945,51,male,0.011528
1945,52,male,0.016259
1945,53,male,0.015863
1945,54,male,0.01598
1945,55,male,0.019975
1945,56,male,0.020362
1945,57,male,0.017859
1945,58,male,0.023031
1945,59,male,0.021748
1945,60,male,0.028867
1945,61,male,0.02192
1945,62,male,0.028271
1945,63,male,0.037629
1945,64,male,0.03115
1945,65,male,0.039257
1945,66,male,0.045775
1945,67,male,0.04397
1945,68,male,0.05147
1945,69,male,0.042702
1945,70,male,0.06299
1945,71,male,0.052878
1945,72,male,0.075945
1945,73,male,0.081852
1945,74,male,0.075607
1945,75,male,0.103138
1945,76,male,0.123272
1945,77,male,0.11816
1945,78,male,0.150994
1945,79,male,0.110195
1945,80,male,0.172959
1945,81,male,0.128074
1945,82,male,0.169344
1945,83,male,0.181029
1945,84,male,0.197743
1945,85,male,0.23049
1945,86,male,0.227368
1945,87,male,0.274147
1945,88,male,0.332305
1945,89,male,0.227533
1945,90,male,0.386327
1945,91,male,0.226515
1945,92,male,0.364366
1945,93,male,0.253248
1945,94,male,0.319524
1945,95,male,0.385542
1945,96,male,0.394747
1945,97,male,0.389585
1945,98,male,0.705928
1945,99,male,0.370411
1945,100,male,0.931183
1945,101,male,0.473715
1945,102,male,0.169558
1945,103,male,0.942421
1945,104,male,0.0
1945,105,male,1.233607
1945,106,male,0.0
1945,107,male,1.631935
1945,108,male,4.094595
1945,109,male,0.0
1945,110,male,0.0
1946,0,male,0.133717
1946,1,male,0.041841
1946,2,male,0.017497
1946,3,male,0.008473
1946,4,male,0.005456
1946,5,male,0.003599
1946,6,male,0.003247
1946,7,male,0.002739
1946,8,male,0.002049
1946,9,male,0.001847
1946,10,male,0.001673
1946,11,male,0.001562
1946,12,male,0.001674
1946,13,male,0.001438
1946,14,male,0.002101
1946,15,male,0.002226
1946,16,male,0.002111
1946,17,male,0.002946
1946,18,male,0.003787
1946,19,male,0.004014
1946,20,male,0.004498
1946,21,male,0.005158
1946,22,male,0.005116
1946,23,male,0.00529
1946,24,male,0.005274
1946,25,male,0.005541
1946,26,male,0.005384
1946,27,male,0.00516
1946,28,male,0.004951
1946,29,male,0.004958
1946,30,male,0.005546
1946,31,male,0.005155
1946,32,male,0.005609
1946,33,male,0.006025
1946,34,male,0.006004
1946,35,male,0.006594
1946,36,male,0.006926
1946,37,male,0.006816
1946,38,male,0.008133
1946,39,male,0.006857
1946,40,male,0.008676
1946,41,male,0.007111
1946,42,male,0.009719
1946,43,male,0.008787
1946,44,male,0.00883
1946,45,male,0.011302
1946,46,male,0.010797
1946,47,male,0.01076
1946,48,male,0.01394
1946,49,male,0.012993
1946,50,male,0.015391
1946,51,male,0.012164
1946,52,male,0.015883
1946,53,male,0.01616
1946,54,male,0.017685
1946,55,male,0.017554
1946,56,male,0.019998
1946,57,male,0.020857
1946,58,male,0.02366
1946,59,male,0.022892
1946,60,male,0.031887
1946,61,male,0.021511
1946,62,male,0.031014
1946,63,male,0.033335
1946,64,male,0.038598
1946,65,male,0.040239
1946,66,male,0.046551
1946,67,male,0.052794
1946,68,male,0.057913
1946,69,male,0.050544
1946,70,male,0.074646
1946,71,male,0.053495
1946,72,male,0.081416
1946,73,male,0.079929
1946,74,male,0.09415
1946,75,male,0.102251
1946,76,male,0.114333
1946,77,male,0.150089
1946,78,male,0.174119
1946,79,male,0.135782
1946,80,male,0.189437
1946,81,male,0.133586
1946,82,male,0.19369
1946,83,male,0.197085
1946,84,male,0.214408
1946,85,male,0.271917
1946,86,male,0.257352
1946,87,male,0.267844
1946,88,male,0.34048
1946,89,male,0.25612
1946,90,male,0.443873
1946,91,male,0.267133
1946,92,male,0.346918
1946,93,male,0.290359
1946,94,male,0.303129
1946,95,male,0.45032
1946,96,male,0.522393
1946,97,male,0.456747
1946,98,male,0.606592
1946,99,male,0.563451
1946,100,male,0.781051
1946,101,male,0.126461
1946,102,male,0.881217
1946,103,male,0.314478
1946,104,male,0.795515
1946,105,male,2.700337
1946,106,male,0.0
1946,107,male,0.0
1946,108,male,0.0
1946,109,male,0.0
1946,110,male,0.0
1947,0,male,0.123471
1947,1,male,0.034238
1947,2,male,0.015366
1947,3,male,0.006825
1947,4,male,0.004465
1947,5,male,0.003205
1947,6,male,0.002965
1947,7,male,0.002476
1947,8,male,0.002128
1947,9,male,0.001854
1947,10,male,0.001544
1947,11,male,0.001503
1947,12,male,0.00149
1947,13,male,0.001417
1947,14,male,0.001976
1947,15,male,0.002129
1947,16,male,0.002798
1947,17,male,0.002666
1947,18,male,0.003091
1947,19,male,0.004324
1947,20,male,0.003597
1947,21,male,0.004825
1947,22,male,0.00504
1947,23,male,0.005411
1947,24,male,0.005029
1947,25,male,0.004862
1947,26,male,0.005136
1947,27,male,0.004739
1947,28,male,0.004811
1947,29,male,0.004603
1947,30,male,0.005148
1947,31,male,0.004538
1947,32,male,0.005085
1947,33,male,0.005703
1947,34,male,0.005312
1947,35,male,0.005413
1947,36,male,0.006382
1947,37,male,0.006819
1947,38,male,0.006711
1947,39,male,0.006757
1947,40,male,0.00783
1947,41,male,0.006651
1947,42,male,0.008235
1947,43,male,0.008799
1947,44,male,0.008119
1947,45,male,0.009308
