year,age,sex,value
1959,0,male,0.046387
1959,1,male,0.006817
1959,2,male,0.002726
1959,3,male,0.001761
1959,4,male,0.001567
1959,5,male,0.001362
1959,6,male,0.001374
1959,7,male,0.001324
1959,8,male,0.001267
1959,9,male,0.000982
1959,10,male,0.001132
1959,11,male,0.000811
1959,12,male,0.000975
1959,13,male,0.000887
1959,14,male,0.001059
1959,15,male,0.001122
1959,16,male,0.001228
1959,17,male,0.001689
1959,18,male,0.002123
1959,19,male,0.001934
1959,20,male,0.002272
1959,21,male,0.001972
1959,22,male,0.002526
1959,23,male,0.002772
1959,24,male,0.002863
1959,25,male,0.002985
1959,26,male,0.002871
1959,27,male,0.003092
1959,28,male,0.003369
1959,29,male,0.003267
1959,30,male,0.003999
1959,31,male,0.00339
1959,32,male,0.004302
1959,33,male,0.00395
1959,34,male,0.004296
1959,35,male,0.004824
1959,36,male,0.004464
1959,37,male,0.005006
1959,38,male,0.00562
1959,39,male,0.004659
1959,40,male,0.006358
1959,41,male,0.005725
1959,42,male,0.006341
1959,43,male,0.006296
1959,44,male,0.006944
1959,45,male,0.0081
1959,46,male,0.007796
1959,47,male,0.008561
1959,48,male,0.01003
1959,49,male,0.009695
1959,50,male,0.012516
1959,51,male,0.010786
1959,52,male,0.01478
1959,53,male,0.014234
1959,54,male,0.016404
1959,55,male,0.018246
1959,56,male,0.01885
1959,57,male,0.021225
1959,58,male,0.023654
1959,59,male,0.023552
1959,60,male,0.028312
1959,61,male,0.02492
1959,62,male,0.032843
1959,63,male,0.032089
1959,64,male,0.036189
1959,65,male,0.039488
1959,66,male,0.037362
1959,67,male,0.04504
1959,68,male,0.048011
1959,69,male,0.04702
1959,70,male,0.055844
1959,71,male,0.051894
1959,72,male,0.071109
1959,73,male,0.068365
1959,74,male,0.071416
1959,75,male,0.084525
1959,76,male,0.079682
1959,77,male,0.086031
1959,78,male,0.110244
1959,79,male,0.101472
1959,80,male,0.13139
1959,81,male,0.099299
1959,82,male,0.144011
1959,83,male,0.13899
1959,84,male,0.156043
1959,85,male,0.171124
1959,86,male,0.181716
1959,87,male,0.184033
1959,88,male,0.183044
1959,89,male,0.202428
1959,90,male,0.236708
1959,91,male,0.147357
1959,92,male,0.197212
1959,93,male,0.192119
1959,94,male,0.171437
1959,95,male,0.219799
1959,96,male,0.286063
1959,97,male,0.292668
1959,98,male,0.32614
1959,99,male,0.289931
1959,100,male,0.306705
1959,101,male,0.3246
1959,102,male,0.343589
1959,103,male,0.364323
1959,104,male,0.387141
1959,105,male,0.411032
1959,106,male,0.435926
1959,107,male,0.463938
1959,108,male,0.494912
1959,109,male,0.525392
1959,110,male,0.67903
1960,0,male,0.041527
1960,1,male,0.005547
1960,2,male,0.002364
1960,3,male,0.001674
1960,4,male,0.001304
1960,5,male,0.001332
1960,6,male,0.001241
1960,7,male,0.001222
1960,8,male,0.001126
1960,9,male,0.000981
1960,10,male,0.000915
1960,11,male,0.000866
1960,12,male,0.000823
1960,13,male,0.000821
1960,14,male,0.000958
1960,15,male,0.001158
1960,16,male,0.001264
1960,17,male,0.001393
1960,18,male,0.002036
1960,19,male,0.002255
1960,20,male,0.002317
1960,21,male,0.002167
1960,22,male,0.002628
1960,23,male,0.00282
1960,24,male,0.002946
1960,25,male,0.003325
1960,26,male,0.003123
1960,27,male,0.003183
1960,28,male,0.003543
1960,29,male,0.003315
1960,30,male,0.004156
1960,31,male,0.003382
1960,32,male,0.004366
1960,33,male,0.004185
1960,34,male,0.004243
1960,35,male,0.004905
1960,36,male,0.005052
1960,37,male,0.00493
1960,38,male,0.005343
1960,39,male,0.005175
1960,40,male,0.006213
1960,41,male,0.004942
1960,42,male,0.007366
1960,43,male,0.006245
1960,44,male,0.006426
1960,45,male,0.00802
1960,46,male,0.008165
1960,47,male,0.008056
1960,48,male,0.009666
1960,49,male,0.009576
1960,50,male,0.011887
1960,51,male,0.010337
1960,52,male,0.013374
1960,53,male,0.013827
1960,54,male,0.014844
1960,55,male,0.017575
1960,56,male,0.018701
1960,57,male,0.019848
1960,58,male,0.023577
1960,59,male,0.022551
1960,60,male,0.02962
1960,61,male,0.022199
1960,62,male,0.031372
1960,63,male,0.031788
1960,64,male,0.032191
1960,65,male,0.038687
1960,66,male,0.034736
1960,67,male,0.042684
1960,68,male,0.045903
1960,69,male,0.042932
1960,70,male,0.060346
1960,71,male,0.039291
1960,72,male,0.067073
1960,73,male,0.0686
1960,74,male,0.065385
1960,75,male,0.079516
1960,76,male,0.079782
1960,77,male,0.072651
1960,78,male,0.10778
1960,79,male,0.082997
1960,80,male,0.129554
1960,81,male,0.091675
1960,82,male,0.134859
1960,83,male,0.139539
