year,age,sex,value
1950,0,male,0.130882
1950,1,male,0.008888
1950,2,male,0.003547
1950,3,male,0.002594
1950,4,male,0.001561
1950,5,male,0.001371
1950,6,male,0.00151
1950,7,male,0.001112
1950,8,male,0.001153
1950,9,male,0.000801
1950,10,male,0.001236
1950,11,male,0.001009
1950,12,male,0.001004
1950,13,male,0.001468
1950,14,male,0.001103
1950,15,male,0.001362
1950,16,male,0.001503
1950,17,male,0.002452
1950,18,male,0.002669
1950,19,male,0.003094
1950,20,male,0.002678
1950,21,male,0.003409
1950,22,male,0.003687
1950,23,male,0.003263
1950,24,male,0.002911
1950,25,male,0.003083
1950,26,male,0.003125
1950,27,male,0.002665
1950,28,male,0.002874
1950,29,male,0.003107
1950,30,male,0.00363
1950,31,male,0.002488
1950,32,male,0.002501
1950,33,male,0.002632
1950,34,male,0.002631
1950,35,male,0.003213
1950,36,male,0.003895
1950,37,male,0.003046
1950,38,male,0.004309
1950,39,male,0.003567
1950,40,male,0.003783
1950,41,male,0.005183
1950,42,male,0.004738
1950,43,male,0.005051
1950,44,male,0.005347
1950,45,male,0.006362
1950,46,male,0.006023
1950,47,male,0.007129
1950,48,male,0.007134
1950,49,male,0.009314
1950,50,male,0.009036
1950,51,male,0.008082
1950,52,male,0.012147
1950,53,male,0.011267
1950,54,male,0.013034
1950,55,male,0.013826
1950,56,male,0.015095
1950,57,male,0.016146
1950,58,male,0.019565
1950,59,male,0.018806
1950,60,male,0.020329
1950,61,male,0.023523
1950,62,male,0.021758
1950,63,male,0.026593
1950,64,male,0.028
1950,65,male,0.030038
1950,66,male,0.035429
1950,67,male,0.037589
1950,68,male,0.038437
1950,69,male,0.036528
1950,70,male,0.04665
1950,71,male,0.053061
1950,72,male,0.057242
1950,73,male,0.058367
1950,74,male,0.068904
1950,75,male,0.070312
1950,76,male,0.084542
1950,77,male,0.098221
1950,78,male,0.109666
1950,79,male,0.132527
1950,80,male,0.130475
1950,81,male,0.138527
1950,82,male,0.140438
1950,83,male,0.146754
1950,84,male,0.214614
1950,85,male,0.215018
1950,86,male,0.24157
1950,87,male,0.246036
1950,88,male,0.262607
1950,89,male,0.26853
1950,90,male,0.275754
1950,91,male,0.309643
1950,92,male,0.227954
1950,93,male,0.259501
1950,94,male,0.537444
1950,95,male,0.124732
1950,96,male,0.267132
1950,97,male,0.245192
1950,98,male,0.096272
1950,99,male,1.415546
1950,100,male,0.84142
1950,101,male,1.097955
1950,102,male,1.841432
1950,103,male,4.112903
1950,104,male,0.0
1950,105,male,0.0
1950,106,male,0.0
1950,107,male,0.0
1950,108,male,0.0
1950,109,male,0.0
1950,110,male,0.0
1951,0,male,0.12753
1951,1,male,0.011095
1951,2,male,0.004214
1951,3,male,0.00194
1951,4,male,0.001428
1951,5,male,0.001178
1951,6,male,0.001348
1951,7,male,0.001105
1951,8,male,0.001151
1951,9,male,0.000966
1951,10,male,0.000837
1951,11,male,0.00124
1951,12,male,0.000948
1951,13,male,0.000907
1951,14,male,0.000879
1951,15,male,0.001703
1951,16,male,0.002059
1951,17,male,0.00217
1951,18,male,0.002093
1951,19,male,0.002517
1951,20,male,0.002984
1951,21,male,0.002932
1951,22,male,0.002462
1951,23,male,0.00266
1951,24,male,0.00297
1951,25,male,0.002895
1951,26,male,0.002759
1951,27,male,0.002577
1951,28,male,0.002615
1951,29,male,0.00333
1951,30,male,0.002626
1951,31,male,0.004201
1951,32,male,0.00297
1951,33,male,0.003664
1951,34,male,0.004605
1951,35,male,0.003302
1951,36,male,0.00354
1951,37,male,0.004115
1951,38,male,0.003651
1951,39,male,0.00395
1951,40,male,0.003633
1951,41,male,0.003975
1951,42,male,0.00509
1951,43,male,0.00498
1951,44,male,0.00603
1951,45,male,0.005903
1951,46,male,0.007037
1951,47,male,0.007137
1951,48,male,0.007494
1951,49,male,0.009112
1951,50,male,0.008644
1951,51,male,0.010019
1951,52,male,0.009833
1951,53,male,0.012318
1951,54,male,0.013212
1951,55,male,0.013906
1951,56,male,0.015138
1951,57,male,0.014889
1951,58,male,0.017393
1951,59,male,0.019574
1951,60,male,0.020101
1951,61,male,0.020683
1951,62,male,0.025059
1951,63,male,0.028661
1951,64,male,0.030511
1951,65,male,0.032249
1951,66,male,0.0308
1951,67,male,0.036857
1951,68,male,0.038004
1951,69,male,0.042763
1951,70,male,0.038909
1951,71,male,0.049401
1951,72,male,0.057383
1951,73,male,0.063559
1951,74,male,0.06712
1951,75,male,0.087692
1951,76,male,0.086936
1951,77,male,0.100684
1951,78,male,0.105069
1951,79,male,0.120627
1951,80,male,0.132877
1951,81,male,0.141205
1951,82,male,0.172051
1951,83,male,0.195523
1951,84,male,0.193904
1951,85,male,0.243925
1951,86,male,0.217859
1951,87,male,0.287587
1951,88,male,0.298449
1951,89,male,0.285827
1951,90,male,0.276087
1951,91,male,0.386321
1951,92,male,0.384794
1951,93,male,0.253887
1951,94,male,0.432061
1951,95,male,0.305464
1951,96,male,0.639074
1951,97,male,1.198664
1951,98,male,0.809321
1951,99,male,0.352032
1951,100,male,0.703375
1951,101,male,0.654402
1951,102,male,0.516923
1951,103,male,0.0
1951,104,male,0.0
1951,105,male,0.0
1951,106,male,0.0
1951,107,male,0.0
1951,108,male,0.0
1951,109,male,0.0
1951,110,male,0.0
1952,0,male,0.087694
1952,1,male,0.006274
1952,2,male,0.003092
1952,3,male,0.001925
1952,4,male,0.001431
1952,5,male,0.000874
1952,6,male,0.000739
1952,7,male,0.000796
1952,8,male,0.001079
1952,9,male,0.000781
1952,10,male,0.000755
1952,11,male,0.001194
1952,12,male,0.000606
1952,13,male,0.000829
1952,14,male,0.001368
1952,15,male,0.001036
1952,16,male,0.001298
1952,17,male,0.00172
1952,18,male,0.002063
1952,19,male,0.001983
1952,20,male,0.002135
1952,21,male,0.002598
1952,22,male,0.002276
1952,23,male,0.002576
1952,24,male,0.002942
1952,25,male,0.002769
1952,26,male,0.00191
1952,27,male,0.002159
1952,28,male,0.003009
1952,29,male,0.00256
1952,30,male,0.002932
1952,31,male,0.003094
1952,32,male,0.002932
1952,33,male,0.001742
1952,34,male,0.003405
1952,35,male,0.001917
1952,36,male,0.002475
1952,37,male,0.004128
1952,38,male,0.003449
1952,39,male,0.003229
1952,40,male,0.003894
1952,41,male,0.003839
1952,42,male,0.003481
1952,43,male,0.005324
1952,44,male,0.005951
1952,45,male,0.00621
1952,46,male,0.0056
1952,47,male,0.006701
1952,48,male,0.006659
1952,49,male,0.007342
1952,50,male,0.009377
1952,51,male,0.009898
1952,52,male,0.01082
1952,53,male,0.010856
1952,54,male,0.013822
1952,55,male,0.015158
1952,56,male,0.015163
1952,57,male,0.016238
1952,58,male,0.018409
1952,59,male,0.01823
1952,60,male,0.020956
1952,61,male,0.020617
1952,62,male,0.025802
1952,63,male,0.024359
1952,64,male,0.026181
1952,65,male,0.03404
1952,66,male,0.030826
1952,67,male,0.037792
1952,68,male,0.035788
1952,69,male,0.041616
1952,70,male,0.048255
1952,71,male,0.046997
1952,72,male,0.061397
1952,73,male,0.065818
1952,74,male,0.082022
1952,75,male,0.080245
1952,76,male,0.092829
1952,77,male,0.097928
1952,78,male,0.101085
1952,79,male,0.138198
1952,80,male,0.130501
1952,81,male,0.157992
1952,82,male,0.151167
1952,83,male,0.145335
1952,84,male,0.191482
1952,85,male,0.230884
1952,86,male,0.203177
1952,87,male,0.276169
1952,88,male,0.274391
1952,89,male,0.343151
1952,90,male,0.302451
1952,91,male,0.317104
1952,92,male,0.397896
1952,93,male,0.289001
1952,94,male,0.344974
1952,95,male,0.481761
1952,96,male,0.57781
1952,97,male,0.806841
1952,98,male,0.0
1952,99,male,2.220443
1952,100,male,1.747642
1952,101,male,2.921615
1952,102,male,2.41048
1952,103,male,4.142857
1952,104,male,0.0
1952,105,male,0.0
1952,106,male,0.0
1952,107,male,0.0
1952,108,male,0.0
1952,109,male,0.0
1952,110,male,0.0
1953,0,male,0.069914
1953,1,male,0.006335
1953,2,male,0.003342
1953,3,male,0.001857
1953,4,male,0.001797
1953,5,male,0.000864
1953,6,male,0.00079
1953,7,male,0.000798
1953,8,male,0.000794
1953,9,male,0.000829
1953,10,male,0.000873
1953,11,male,0.000596
1953,12,male,0.000751
1953,13,male,0.000668
1953,14,male,0.000929
1953,15,male,0.001096
1953,16,male,0.00097
1953,17,male,0.001303
1953,18,male,0.001962
1953,19,male,0.002136
1953,20,male,0.002083
1953,21,male,0.00233
1953,22,male,0.002143
1953,23,male,0.002009
1953,24,male,0.002639
1953,25,male,0.00222
1953,26,male,0.002319
1953,27,male,0.002008
1953,28,male,0.002156
1953,29,male,0.002023
1953,30,male,0.002461
1953,31,male,0.002538
1953,32,male,0.003058
1953,33,male,0.002759
1953,34,male,0.003162
1953,35,male,0.002694
1953,36,male,0.002611
1953,37,male,0.002984
1953,38,male,0.00312
1953,39,male,0.003209
1953,40,male,0.003985
1953,41,male,0.003634
1953,42,male,0.004201
1953,43,male,0.00427
1953,44,male,0.005146
1953,45,male,0.004818
1953,46,male,0.005815
1953,47,male,0.005962
1953,48,male,0.007816
1953,49,male,0.006987
1953,50,male,0.009897
1953,51,male,0.008199
1953,52,male,0.01018
1953,53,male,0.010462
1953,54,male,0.011877
1953,55,male,0.014469
1953,56,male,0.014893
1953,57,male,0.016285
1953,58,male,0.015219
1953,59,male,0.018352
1953,60,male,0.01929
1953,61,male,0.020544
1953,62,male,0.025976
1953,63,male,0.024932
1953,64,male,0.029546
1953,65,male,0.03162
1953,66,male,0.035445
1953,67,male,0.034416
1953,68,male,0.044629
1953,69,male,0.046781
1953,70,male,0.045472
1953,71,male,0.047937
1953,72,male,0.053668
1953,73,male,0.062317
1953,74,male,0.076482
1953,75,male,0.084678
1953,76,male,0.087308
1953,77,male,0.106325
1953,78,male,0.097846
1953,79,male,0.116857
1953,80,male,0.127365
1953,81,male,0.144312
1953,82,male,0.157246
1953,83,male,0.187148
1953,84,male,0.192177
1953,85,male,0.213045
1953,86,male,0.242316
1953,87,male,0.277393
1953,88,male,0.265299
1953,89,male,0.366571
1953,90,male,0.325508
1953,91,male,0.293939
1953,92,male,0.470502
1953,93,male,0.485433
1953,94,male,0.454239
1953,95,male,0.38055
1953,96,male,0.353392
1953,97,male,0.519593
1953,98,male,0.337079
1953,99,male,0.0
1953,100,male,0.0
1953,101,male,0.0
1953,102,male,0.0
1953,103,male,0.0
1953,104,male,0.0
1953,105,male,0.0
1953,106,male,0.0
1953,107,male,0.0
1953,108,male,0.0
1953,109,male,0.0
1953,110,male,0.0
1954,0,male,0.056522
1954,1,male,0.00474
1954,2,male,0.002408
1954,3,male,0.001711
1954,4,male,0.001195
1954,5,male,0.000884
1954,6,male,0.000988
1954,7,male,0.000625
1954,8,male,0.000769
1954,9,male,0.000579
1954,10,male,0.000766
1954,11,male,0.000748
1954,12,male,0.000564
1954,13,male,0.000874
1954,14,male,0.000763
1954,15,male,0.000831
1954,16,male,0.00127
1954,17,male,0.001321
1954,18,male,0.001413
1954,19,male,0.001563
1954,20,male,0.001804
1954,21,male,0.001716
1954,22,male,0.002166
1954,23,male,0.00182
1954,24,male,0.002405
1954,25,male,0.00186
1954,26,male,0.001842
1954,27,male,0.002113
1954,28,male,0.002007
1954,29,male,0.001987
1954,30,male,0.002118
1954,31,male,0.002303
1954,32,male,0.00244
1954,33,male,0.002156
1954,34,male,0.00251
1954,35,male,0.003057
1954,36,male,0.002954
1954,37,male,0.003084
1954,38,male,0.002099
1954,39,male,0.003872
1954,40,male,0.004013
1954,41,male,0.003241
1954,42,male,0.003869
1954,43,male,0.003467
1954,44,male,0.004983
1954,45,male,0.005492
1954,46,male,0.005231
1954,47,male,0.005733
1954,48,male,0.006749
1954,49,male,0.007502
1954,50,male,0.009229
1954,51,male,0.009495
1954,52,male,0.009931
1954,53,male,0.010778
1954,54,male,0.011553
1954,55,male,0.012769
