year,age,sex,value
1983,0,male,0.014288
1983,1,male,0.00109
1983,2,male,0.000328
1983,3,male,0.000701
1983,4,male,0.000505
1983,5,male,0.000128
1983,6,male,0.000512
1983,7,male,0.000385
1983,8,male,0.00053
1983,9,male,0.000265
1983,10,male,0.000134
1983,11,male,0.000203
1983,12,male,0.000142
1983,13,male,0.000423
1983,14,male,0.000418
1983,15,male,0.000482
1983,16,male,0.000667
1983,17,male,0.001312
1983,18,male,0.001561
1983,19,male,0.00117
1983,20,male,0.001632
1983,21,male,0.002023
1983,22,male,0.001701
1983,23,male,0.001345
1983,24,male,0.001057
1983,25,male,0.002127
1983,26,male,0.001531
1983,27,male,0.00201
1983,28,male,0.001598
1983,29,male,0.002224
1983,30,male,0.002022
1983,31,male,0.002123
1983,32,male,0.002486
1983,33,male,0.002073
1983,34,male,0.002681
1983,35,male,0.00319
1983,36,male,0.002827
1983,37,male,0.003406
1983,38,male,0.002834
1983,39,male,0.005245
1983,40,male,0.00401
1983,41,male,0.004379
1983,42,male,0.004907
1983,43,male,0.005662
1983,44,male,0.007501
1983,45,male,0.006731
1983,46,male,0.007405
1983,47,male,0.008093
1983,48,male,0.009967
1983,49,male,0.012277
1983,50,male,0.010175
1983,51,male,0.013282
1983,52,male,0.014817
1983,53,male,0.017601
1983,54,male,0.014411
1983,55,male,0.018462
1983,56,male,0.01832
1983,57,male,0.022158
1983,58,male,0.020704
1983,59,male,0.024838
1983,60,male,0.025892
1983,61,male,0.025615
1983,62,male,0.026819
1983,63,male,0.031845
1983,64,male,0.030454
1983,65,male,0.03986
1983,66,male,0.039295
1983,67,male,0.038843
1983,68,male,0.050451
1983,69,male,0.044141
1983,70,male,0.053977
1983,71,male,0.064512
1983,72,male,0.06327
1983,73,male,0.073325
1983,74,male,0.082095
1983,75,male,0.088955
1983,76,male,0.113886
1983,77,male,0.111064
1983,78,male,0.115017
1983,79,male,0.137573
1983,80,male,0.141341
1983,81,male,0.161386
1983,82,male,0.168967
1983,83,male,0.207425
1983,84,male,0.193481
1983,85,male,0.229008
1983,86,male,0.262073
1983,87,male,0.250731
1983,88,male,0.259567
1983,89,male,0.316272
1983,90,male,0.38488
1983,91,male,0.304279
1983,92,male,0.382979
1983,93,male,0.521739
1983,94,male,0.426036
1983,95,male,0.545455
1983,96,male,0.47619
1983,97,male,0.461538
1983,98,male,1.111111
1983,99,male,0.6
1983,100,male,0.0
1983,101,male,0.0
1983,102,male,1.2
1983,103,male,0.0
1983,104,male,0.0
1983,105,male,0.0
1983,106,male,0.0
1983,107,male,0.0
1983,108,male,0.0
1983,109,male,0.0
1983,110,male,0.0
1984,0,male,0.015316
1984,1,male,0.001327
1984,2,male,0.00034
1984,3,male,0.000393
1984,4,male,0.000573
1984,5,male,0.000189
1984,6,male,0.000511
1984,7,male,0.00032
1984,8,male,0.000514
1984,9,male,0.000331
1984,10,male,0.000265
1984,11,male,0.000401
1984,12,male,0.000271
1984,13,male,0.000142
1984,14,male,0.000494
1984,15,male,0.000278
1984,16,male,0.00055
1984,17,male,0.001198
1984,18,male,0.001372
1984,19,male,0.000879
1984,20,male,0.00137
1984,21,male,0.001478
1984,22,male,0.002199
1984,23,male,0.001611
1984,24,male,0.002132
1984,25,male,0.002359
1984,26,male,0.001731
1984,27,male,0.001832
1984,28,male,0.001772
1984,29,male,0.001836
1984,30,male,0.002053
1984,31,male,0.002143
1984,32,male,0.002659
1984,33,male,0.002852
1984,34,male,0.002324
1984,35,male,0.003218
1984,36,male,0.002658
1984,37,male,0.002693
1984,38,male,0.003771
1984,39,male,0.003861
1984,40,male,0.004312
1984,41,male,0.00395
1984,42,male,0.004788
1984,43,male,0.004231
1984,44,male,0.007283
1984,45,male,0.007482
1984,46,male,0.008119
1984,47,male,0.007135
1984,48,male,0.008896
1984,49,male,0.009233
1984,50,male,0.011898
1984,51,male,0.012428
1984,52,male,0.014576
1984,53,male,0.013951
1984,54,male,0.017536
1984,55,male,0.018051
1984,56,male,0.020404
1984,57,male,0.017674
1984,58,male,0.020826
1984,59,male,0.021791
1984,60,male,0.025877
1984,61,male,0.023913
1984,62,male,0.027185
1984,63,male,0.028072
1984,64,male,0.031865
1984,65,male,0.0332
