year,age,sex,value
1751,0,male,0.241105
1751,1,male,0.052949
1751,2,male,0.034587
1751,3,male,0.027883
1751,4,male,0.025692
1751,5,male,0.020801
1751,6,male,0.014635
1751,7,male,0.010147
1751,8,male,0.007238
1751,9,male,0.005895
1751,10,male,0.006013
1751,11,male,0.006496
1751,12,male,0.006858
1751,13,male,0.007054
1751,14,male,0.00704
1751,15,male,0.006743
1751,16,male,0.006413
1751,17,male,0.006323
1751,18,male,0.006552
1751,19,male,0.007048
1751,20,male,0.007683
1751,21,male,0.00828
1751,22,male,0.008732
1751,23,male,0.008916
1751,24,male,0.008989
1751,25,male,0.009018
1751,26,male,0.009055
1751,27,male,0.009244
1751,28,male,0.009533
1751,29,male,0.009883
1751,30,male,0.010544
1751,31,male,0.011391
1751,32,male,0.01208
1751,33,male,0.012474
1751,34,male,0.012494
1751,35,male,0.011815
1751,36,male,0.010955
1751,37,male,0.010521
1751,38,male,0.010562
1751,39,male,0.011123
1751,40,male,0.012622
1751,41,male,0.014649
1751,42,male,0.016413
1751,43,male,0.017884
1751,44,male,0.019202
1751,45,male,0.019381
1751,46,male,0.018543
1751,47,male,0.017946
1751,48,male,0.017612
1751,49,male,0.017671
1751,50,male,0.01931
1751,51,male,0.022299
1751,52,male,0.025471
1751,53,male,0.028557
1751,54,male,0.031066
1751,55,male,0.030671
1751,56,male,0.028848
1751,57,male,0.028405
1751,58,male,0.029318
1751,59,male,0.03161
1751,60,male,0.03626
1751,61,male,0.041454
1751,62,male,0.045751
1751,63,male,0.049388
1751,64,male,0.051701
1751,65,male,0.052251
1751,66,male,0.052625
1751,67,male,0.053984
1751,68,male,0.056786
1751,69,male,0.061702
1751,70,male,0.070142
1751,71,male,0.080625
1751,72,male,0.091409
1751,73,male,0.102861
1751,74,male,0.114314
1751,75,male,0.119204
1751,76,male,0.118118
1751,77,male,0.117652
1751,78,male,0.118496
1751,79,male,0.122111
1751,80,male,0.134586
1751,81,male,0.154148
1751,82,male,0.174797
1751,83,male,0.195466
1751,84,male,0.213194
1751,85,male,0.225474
1751,86,male,0.235252
1751,87,male,0.241707
1751,88,male,0.248792
1751,89,male,0.261923
1751,90,male,0.298171
1751,91,male,0.318449
1751,92,male,0.339948
1751,93,male,0.361591
1751,94,male,0.381381
1751,95,male,0.400472
1751,96,male,0.422915
1751,97,male,0.453301
1751,98,male,0.483089
1751,99,male,0.50825
1751,100,male,0.546605
1751,101,male,0.606272
1751,102,male,0.672464
1751,103,male,0.703887
1751,104,male,0.886108
1751,105,male,1.662162
1751,106,male,4.148148
1751,107,male,0.0
1751,108,male,0.0
1751,109,male,0.0
1751,110,male,0.0
1752,0,male,0.274426
1752,1,male,0.077993
1752,2,male,0.051176
1752,3,male,0.038111
1752,4,male,0.035509
1752,5,male,0.03216
1752,6,male,0.023093
1752,7,male,0.016157
1752,8,male,0.01139
1752,9,male,0.008621
1752,10,male,0.007487
1752,11,male,0.007333
1752,12,male,0.007186
1752,13,male,0.007104
1752,14,male,0.007072
1752,15,male,0.007079
1752,16,male,0.006906
1752,17,male,0.006837
1752,18,male,0.006966
1752,19,male,0.007391
1752,20,male,0.008016
1752,21,male,0.00856
1752,22,male,0.008958
1752,23,male,0.00914
1752,24,male,0.008986
1752,25,male,0.00871
