year,age,sex,value
1970,0,male,0.017778
1970,1,male,0.005076
1970,2,male,0.003464
1970,3,male,0.00217
1970,4,male,0.001372
1970,5,male,0.00103
1970,6,male,0.000798
1970,7,male,0.000629
1970,8,male,0.000526
1970,9,male,0.000469
1970,10,male,0.000459
1970,11,male,0.000498
1970,12,male,0.00058
1970,13,male,0.00068
1970,14,male,0.000801
1970,15,male,0.000985
1970,16,male,0.001169
1970,17,male,0.00129
1970,18,male,0.00133
1970,19,male,0.001424
1970,20,male,0.00157
1970,21,male,0.001676
1970,22,male,0.001814
1970,23,male,0.002057
1970,24,male,0.002351
1970,25,male,0.002247
1970,26,male,0.00204
1970,27,male,0.002041
1970,28,male,0.002109
1970,29,male,0.002156
1970,30,male,0.002272
1970,31,male,0.002472
1970,32,male,0.0027
1970,33,male,0.002867
1970,34,male,0.002967
1970,35,male,0.003057
1970,36,male,0.003158
1970,37,male,0.003271
1970,38,male,0.003322
1970,39,male,0.003374
1970,40,male,0.003604
1970,41,male,0.003938
1970,42,male,0.004228
1970,43,male,0.004578
1970,44,male,0.004976
1970,45,male,0.005526
1970,46,male,0.006324
1970,47,male,0.006893
1970,48,male,0.007099
1970,49,male,0.007695
1970,50,male,0.008937
1970,51,male,0.010063
1970,52,male,0.010848
1970,53,male,0.011624
1970,54,male,0.012716
1970,55,male,0.013546
1970,56,male,0.014347
1970,57,male,0.014882
1970,58,male,0.017031
1970,59,male,0.021301
1970,60,male,0.023471
1970,61,male,0.026975
1970,62,male,0.0301
1970,63,male,0.032007
1970,64,male,0.035106
1970,65,male,0.038632
1970,66,male,0.044446
1970,67,male,0.047452
1970,68,male,0.050633
1970,69,male,0.055972
1970,70,male,0.063014
1970,71,male,0.067636
1970,72,male,0.070785
1970,73,male,0.081522
1970,74,male,0.087847
1970,75,male,0.095932
1970,76,male,0.10666
1970,77,male,0.111632
1970,78,male,0.123724
1970,79,male,0.129838
1970,80,male,0.136873
1970,81,male,0.142727
1970,82,male,0.147542
1970,83,male,0.158404
1970,84,male,0.171322
1970,85,male,0.179809
1970,86,male,0.18802
1970,87,male,0.199798
1970,88,male,0.215902
1970,89,male,0.232288
1970,90,male,0.247153
1970,91,male,0.261979
1970,92,male,0.277403
1970,93,male,0.29377
1970,94,male,0.31094
1970,95,male,0.329686
1970,96,male,0.354526
1970,97,male,0.386755
1970,98,male,0.41651
1970,99,male,0.432951
1970,100,male,0.446091
1970,101,male,0.479722
1970,102,male,0.579134
1970,103,male,0.954792
1970,104,male,6.0
1970,105,male,0.0
1970,106,male,0.0
1970,107,male,0.0
1970,108,male,0.0
1970,109,male,0.0
1970,110,male,0.0
1971,0,male,0.016282
1971,1,male,0.005652
1971,2,male,0.002978
1971,3,male,0.001567
1971,4,male,0.00105
1971,5,male,0.00087
1971,6,male,0.000786
1971,7,male,0.000697
1971,8,male,0.000622
1971,9,male,0.000564
1971,10,male,0.00051
1971,11,male,0.000489
1971,12,male,0.000518
1971,13,male,0.000594
1971,14,male,0.000694
1971,15,male,0.000809
1971,16,male,0.000955
1971,17,male,0.001103
1971,18,male,0.001212
1971,19,male,0.001266
1971,20,male,0.001398
1971,21,male,0.001609
1971,22,male,0.001768
1971,23,male,0.001938
1971,24,male,0.002179
1971,25,male,0.002413
1971,26,male,0.002257
1971,27,male,0.002021
1971,28,male,0.002023
1971,29,male,0.002104
1971,30,male,0.002177
1971,31,male,0.002301
1971,32,male,0.002494
1971,33,male,0.002698
1971,34,male,0.002812
1971,35,male,0.00289
1971,36,male,0.002995
1971,37,male,0.00315
1971,38,male,0.003343
1971,39,male,0.003483
1971,40,male,0.003627
1971,41,male,0.003892
1971,42,male,0.004227
1971,43,male,0.004478
1971,44,male,0.004775
