year,age,sex,value
1959,0,male,0.043116
1959,1,male,0.004916
1959,2,male,0.001881
1959,3,male,0.001311
1959,4,male,0.000944
1959,5,male,0.000865
1959,6,male,0.000939
1959,7,male,0.000889
1959,8,male,0.000943
1959,9,male,0.000796
1959,10,male,0.000858
1959,11,male,0.000754
1959,12,male,0.000965
1959,13,male,0.00068
1959,14,male,0.000862
1959,15,male,0.001042
1959,16,male,0.001215
1959,17,male,0.001325
1959,18,male,0.001699
1959,19,male,0.001628
1959,20,male,0.001771
1959,21,male,0.001407
1959,22,male,0.001944
1959,23,male,0.00225
1959,24,male,0.002291
1959,25,male,0.00243
1959,26,male,0.002068
1959,27,male,0.002322
1959,28,male,0.002637
1959,29,male,0.002525
1959,30,male,0.003077
1959,31,male,0.002584
1959,32,male,0.003277
1959,33,male,0.003086
1959,34,male,0.003203
1959,35,male,0.003911
1959,36,male,0.003391
1959,37,male,0.003921
1959,38,male,0.004572
1959,39,male,0.003543
1959,40,male,0.00515
1959,41,male,0.004638
1959,42,male,0.005444
1959,43,male,0.004863
1959,44,male,0.005128
1959,45,male,0.006283
1959,46,male,0.005981
1959,47,male,0.006726
1959,48,male,0.007625
1959,49,male,0.007589
1959,50,male,0.01015
1959,51,male,0.008047
1959,52,male,0.011406
1959,53,male,0.011227
1959,54,male,0.012337
1959,55,male,0.01407
1959,56,male,0.014463
1959,57,male,0.016702
1959,58,male,0.018098
1959,59,male,0.019444
1959,60,male,0.023581
1959,61,male,0.019495
1959,62,male,0.026167
1959,63,male,0.026519
1959,64,male,0.029362
1959,65,male,0.030959
1959,66,male,0.028948
1959,67,male,0.038313
1959,68,male,0.038956
1959,69,male,0.03978
1959,70,male,0.049189
1959,71,male,0.044284
1959,72,male,0.062448
1959,73,male,0.058476
1959,74,male,0.064659
1959,75,male,0.073202
1959,76,male,0.075338
1959,77,male,0.080161
1959,78,male,0.100755
1959,79,male,0.098373
1959,80,male,0.115836
1959,81,male,0.093409
1959,82,male,0.134601
1959,83,male,0.139443
1959,84,male,0.154284
1959,85,male,0.16198
1959,86,male,0.192493
1959,87,male,0.190934
1959,88,male,0.190512
1959,89,male,0.225491
1959,90,male,0.226988
1959,91,male,0.188962
1959,92,male,0.193801
1959,93,male,0.21657
1959,94,male,0.247667
1959,95,male,0.236137
1959,96,male,0.302693
1959,97,male,0.331142
1959,98,male,0.397901
1959,99,male,0.334301
1959,100,male,0.354024
1959,101,male,0.375264
1959,102,male,0.397222
1959,103,male,0.419141
1959,104,male,0.43937
1959,105,male,0.466
1959,106,male,0.494447
1959,107,male,0.525157
1959,108,male,0.57799
1959,109,male,0.643579
1959,110,male,0.998578
1960,0,male,0.033801
1960,1,male,0.004584
1960,2,male,0.001736
1960,3,male,0.001151
1960,4,male,0.001088
1960,5,male,0.00095
1960,6,male,0.000916
1960,7,male,0.000916
1960,8,male,0.00085
1960,9,male,0.000785
1960,10,male,0.000819
1960,11,male,0.000699
1960,12,male,0.00067
1960,13,male,0.000726
1960,14,male,0.000874
1960,15,male,0.000965
1960,16,male,0.001251
1960,17,male,0.001141
1960,18,male,0.001492
1960,19,male,0.001672
1960,20,male,0.001723
1960,21,male,0.001522
1960,22,male,0.001843
1960,23,male,0.002101
1960,24,male,0.002097
1960,25,male,0.002374
1960,26,male,0.002132
1960,27,male,0.002229
1960,28,male,0.00254
1960,29,male,0.00235
1960,30,male,0.003285
1960,31,male,0.002336
1960,32,male,0.002929
1960,33,male,0.003246
1960,34,male,0.003168
1960,35,male,0.003751
1960,36,male,0.003857
1960,37,male,0.003739
1960,38,male,0.004147
1960,39,male,0.003911
1960,40,male,0.004729
1960,41,male,0.003768
1960,42,male,0.005658
1960,43,male,0.004871
1960,44,male,0.004828
1960,45,male,0.006065
1960,46,male,0.006345
1960,47,male,0.005879
1960,48,male,0.007686
1960,49,male,0.0068
1960,50,male,0.009207
1960,51,male,0.007768
1960,52,male,0.00948
1960,53,male,0.010206
1960,54,male,0.010799
1960,55,male,0.012953
1960,56,male,0.013663
1960,57,male,0.014564
1960,58,male,0.01745
1960,59,male,0.015571
1960,60,male,0.025206
1960,61,male,0.0161
1960,62,male,0.022502
1960,63,male,0.024258
1960,64,male,0.023918
1960,65,male,0.029924
1960,66,male,0.026367
1960,67,male,0.032587
1960,68,male,0.037808
1960,69,male,0.031113
1960,70,male,0.050073
1960,71,male,0.030456
1960,72,male,0.057979
1960,73,male,0.0564
1960,74,male,0.056705
1960,75,male,0.067623
1960,76,male,0.071682
1960,77,male,0.067236
1960,78,male,0.10168
1960,79,male,0.071076
1960,80,male,0.11668
1960,81,male,0.085157
1960,82,male,0.121891
1960,83,male,0.127214
1960,84,male,0.140223
1960,85,male,0.161763
1960,86,male,0.175569
1960,87,male,0.175612
1960,88,male,0.205843
1960,89,male,0.15605
1960,90,male,0.250438
1960,91,male,0.135183
1960,92,male,0.227526
1960,93,male,0.192883
1960,94,male,0.207841
1960,95,male,0.179317
1960,96,male,0.311046
1960,97,male,0.323186
1960,98,male,0.442625
1960,99,male,0.330268
1960,100,male,0.353732
1960,101,male,0.379874
1960,102,male,0.408973
1960,103,male,0.440071
1960,104,male,0.471519
1960,105,male,0.501611
1960,106,male,0.542937
1960,107,male,0.591312
1960,108,male,0.648594
1960,109,male,0.753873
1960,110,male,1.250163
1961,0,male,0.028542
1961,1,male,0.003631
1961,2,male,0.001536
1961,3,male,0.001164
1961,4,male,0.000907
1961,5,male,0.000871
1961,6,male,0.000911
1961,7,male,0.000843
1961,8,male,0.000733
1961,9,male,0.000766
1961,10,male,0.000852
1961,11,male,0.000732
1961,12,male,0.000708
1961,13,male,0.000747
1961,14,male,0.00093
1961,15,male,0.000915
1961,16,male,0.001244
1961,17,male,0.001468
1961,18,male,0.001453
1961,19,male,0.00154
1961,20,male,0.001865
1961,21,male,0.00156
1961,22,male,0.001634
1961,23,male,0.002152
1961,24,male,0.002103
1961,25,male,0.002363
1961,26,male,0.002303
1961,27,male,0.0022
1961,28,male,0.002273
1961,29,male,0.002214
1961,30,male,0.003216
1961,31,male,0.002762
1961,32,male,0.002925
1961,33,male,0.002985
1961,34,male,0.003018
1961,35,male,0.00351
1961,36,male,0.00386
1961,37,male,0.003915
1961,38,male,0.00393
1961,39,male,0.003703
1961,40,male,0.004957
1961,41,male,0.00428
1961,42,male,0.005177
1961,43,male,0.005122
1961,44,male,0.004943
1961,45,male,0.006214
1961,46,male,0.006115
1961,47,male,0.006616
1961,48,male,0.006673
1961,49,male,0.006781
