year,age,sex,value
1933,0,male,0.068175
1933,1,male,0.010039
1933,2,male,0.004671
1933,3,male,0.003333
1933,4,male,0.002537
1933,5,male,0.002092
1933,6,male,0.001898
1933,7,male,0.001744
1933,8,male,0.001614
1933,9,male,0.00151
1933,10,male,0.001436
1933,11,male,0.001408
1933,12,male,0.001457
1933,13,male,0.001584
1933,14,male,0.001774
1933,15,male,0.002013
1933,16,male,0.002254
1933,17,male,0.002484
1933,18,male,0.002708
1933,19,male,0.002932
1933,20,male,0.003151
1933,21,male,0.003343
1933,22,male,0.003501
1933,23,male,0.003619
1933,24,male,0.003694
1933,25,male,0.003735
1933,26,male,0.003786
1933,27,male,0.003858
1933,28,male,0.003952
1933,29,male,0.004066
1933,30,male,0.004206
1933,31,male,0.004385
1933,32,male,0.004609
1933,33,male,0.004882
1933,34,male,0.005202
1933,35,male,0.005539
1933,36,male,0.005837
1933,37,male,0.006093
1933,38,male,0.006329
1933,39,male,0.006568
1933,40,male,0.006855
1933,41,male,0.007243
1933,42,male,0.007737
1933,43,male,0.00831
1933,44,male,0.008943
1933,45,male,0.009625
1933,46,male,0.010329
1933,47,male,0.011059
1933,48,male,0.011841
1933,49,male,0.012689
1933,50,male,0.013588
1933,51,male,0.014482
1933,52,male,0.015357
1933,53,male,0.016215
1933,54,male,0.017064
1933,55,male,0.017975
1933,56,male,0.019144
1933,57,male,0.020642
1933,58,male,0.022491
1933,59,male,0.024717
1933,60,male,0.027227
1933,61,male,0.029643
1933,62,male,0.031856
1933,63,male,0.033899
1933,64,male,0.035787
1933,65,male,0.03769
1933,66,male,0.040198
1933,67,male,0.043549
1933,68,male,0.047832
1933,69,male,0.053174
1933,70,male,0.059406
1933,71,male,0.065483
1933,72,male,0.071014
1933,73,male,0.076026
1933,74,male,0.080226
1933,75,male,0.083403
1933,76,male,0.089717
1933,77,male,0.097288
1933,78,male,0.106202
1933,79,male,0.11639
1933,80,male,0.127462
1933,81,male,0.139466
1933,82,male,0.151866
1933,83,male,0.164638
1933,84,male,0.177681
1933,85,male,0.190778
1933,86,male,0.204811
1933,87,male,0.220046
1933,88,male,0.235905
1933,89,male,0.251016
1933,90,male,0.263537
1933,91,male,0.272149
1933,92,male,0.276243
1933,93,male,0.275742
1933,94,male,0.275514
1933,95,male,0.28505
1933,96,male,0.293819
1933,97,male,0.293261
1933,98,male,0.277355
1933,99,male,0.275198
1933,100,male,0.396464
1933,101,male,0.417452
1933,102,male,0.438501
1933,103,male,0.465373
1933,104,male,0.495692
1933,105,male,0.526545
1933,106,male,0.557859
1933,107,male,0.584613
1933,108,male,0.641279
1933,109,male,0.729327
1933,110,male,1.021311
1934,0,male,0.076478
1934,1,male,0.011208
1934,2,male,0.005157
1934,3,male,0.003475
1934,4,male,0.002662
1934,5,male,0.002192
1934,6,male,0.001972
1934,7,male,0.001793
1934,8,male,0.001655
1934,9,male,0.001542
1934,10,male,0.001464
1934,11,male,0.00144
1934,12,male,0.001473
1934,13,male,0.001586
1934,14,male,0.001778
1934,15,male,0.002028
1934,16,male,0.002285
