age,year,sex,value
0,1816,female,0.000496105826040911
0,1816,male,0.000586451681281523
0,1817,female,0.000482552720000151
0,1817,male,0.000573795225030898
0,1818,female,0.000492825978204193
0,1818,male,0.000570421035516382
0,1819,female,0.000521360633740089
0,1819,male,0.00061564150607009
0,1820,female,0.00048046352828671
0,1820,male,0.000561297831072434
0,1821,female,0.000482846640479713
0,1821,male,0.000563348744039886
0,1822,female,0.000548288520531673
0,1822,male,0.000632491768292922
0,1823,female,0.000509396557739161
0,1823,male,0.000583637839925232
0,1824,female,0.000525835792756323
0,1824,male,0.000615744356063575
0,1825,female,0.000515107674427349
0,1825,male,0.000588589420814795
0,1826,female,0.000512399185991807
0,1826,male,0.000586248174065213
0,1827,female,0.000491547901758893
0,1827,male,0.000581876423658903
0,1828,female,0.000510781976994187
0,1828,male,0.000605922493510126
0,1829,female,0.000470984286557356
0,1829,male,0.000565434854001408
0,1830,female,0.000464326119233982
0,1830,male,0.000551334129212572
0,1831,female,0.000450251217620671
0,1831,male,0.00053710576656154
0,1832,female,0.00048824078202778
0,1832,male,0.000576835555056715
0,1833,female,0.000472285331179461
0,1833,male,0.000562508020138187
0,1834,female,0.000568196346198629
0,1834,male,0.000671155673119461
0,1835,female,0.000463320682302314
0,1835,male,0.000546315703914829
0,1836,female,0.000438046964362959
0,1836,male,0.000518281996080945
0,1837,female,0.00045406209092127
0,1837,male,0.000530085672780141
0,1838,female,0.000468254103597633
0,1838,male,0.000531681080066154
0,1839,female,0.000433520443895162
0,1839,male,0.000501723485732799
0,1840,female,0.000416189968147087
0,1840,male,0.000485133766376004
0,1841,female,0.000409790765614244
0,1841,male,0.000475345221826171
0,1842,female,0.000454223685803673
0,1842,male,0.000524111161569049
0,1843,female,0.000428232937070258
0,1843,male,0.00049213770906065
0,1844,female,0.000410776732340802
0,1844,male,0.000484741551937662
0,1845,female,0.000377577173614236
0,1845,male,0.000439428883022276
0,1846,female,0.000445189028148924
0,1846,male,0.000515669525799359
0,1847,female,0.000423946341746051
0,1847,male,0.000495908924332719
0,1848,female,0.000431211912349257
0,1848,male,0.000507154983260386
0,1849,female,0.000476550585440633
0,1849,male,0.000551468079884756
0,1850,female,0.00038604430354764
0,1850,male,0.000452543565038358
0,1851,female,0.000429385704324046
0,1851,male,0.000505507936762838
0,1852,female,0.000438014835017344
0,1852,male,0.000516661309571429
0,1853,female,0.000390713989510314
0,1853,male,0.000478767233072565
0,1854,female,0.000479810982671695
0,1854,male,0.000563012423499561
0,1855,female,0.000439878960584698
0,1855,male,0.000530783549079182
0,1856,female,0.000441905225704264
0,1856,male,0.000519208533569055
0,1857,female,0.00050096722284297
0,1857,male,0.000585027448322086
0,1858,female,0.000480006730026554
0,1858,male,0.000570454756836101
0,1859,female,0.000598553598123449
0,1859,male,0.000690394836244294
0,1860,female,0.000389829924334731
0,1860,male,0.000459011218790021
0,1861,female,0.00049289153667105
0,1861,male,0.000571534058417531
0,1862,female,0.000440361268661277
0,1862,male,0.000525968501701685
0,1863,female,0.000483957291578187
0,1863,male,0.00057312005437997
0,1864,female,0.000466662753217909
0,1864,male,0.00055418199196504
0,1865,female,0.000493842310886074
0,1865,male,0.000571905166622371
0,1866,female,0.00042356279475187
0,1866,male,0.000490696182127093
0,1867,female,0.000461278511923098
0,1867,male,0.000539872165624008
0,1868,female,0.000511540956139315
0,1868,male,0.000606093304872859
0,1869,female,0.000479191208359635
0,1869,male,0.000570589646268385
0,1870,female,0.000515438161270799
0,1870,male,0.00061074346562015
0,1871,female,0.000568904005830451
0,1871,male,0.000653684103091832
0,1872,female,0.000457457587944571
0,1872,male,0.000547151469610323
0,1873,female,0.000481475281447167
0,1873,male,0.000556999263609163
0,1874,female,0.000433103481677152
0,1874,male,0.000511838005260633
0,1875,female,0.000428905325649029
0,1875,male,0.000503828969448008
0,1876,female,0.000426696668679266
0,1876,male,0.000494891824363703
0,1877,female,0.000421390376100374
0,1877,male,0.000505442075507362
0,1878,female,0.000450541690667643
0,1878,male,0.000540672609497926
0,1879,female,0.00042196526036773
0,1879,male,0.000508506301123881
0,1880,female,0.000457004611631586
0,1880,male,0.000534974546564617
0,1881,female,0.000430538957140944
0,1881,male,0.000513786125831045
0,1882,female,0.000438593220932885
0,1882,male,0.000531182415416522
0,1883,female,0.000437918449242655
0,1883,male,0.000533776463950056
0,1884,female,0.000475996703828778
0,1884,male,0.000565737808570221
0,1885,female,0.000406231519054864
0,1885,male,0.000488928072119739
0,1886,female,0.000435092641711878
0,1886,male,0.000522752121748645
0,1887,female,0.00043044283418374
0,1887,male,0.000514942445963992
0,1888,female,0.000431820919145068
0,1888,male,0.000527362334128389
0,1889,female,0.000414405602210163
0,1889,male,0.000499882514743822
0,1890,female,0.000432686582949357
0,1890,male,0.000520002958194762
0,1891,female,0.000412431409747158
0,1891,male,0.000504322676495352
0,1892,female,0.000482062922640889
0,1892,male,0.000582282803768184
0,1893,female,0.000468319076325154
0,1893,male,0.000570522200721541
0,1894,female,0.000411731231874449
0,1894,male,0.00050797887821272
0,1895,female,0.000435349412822225
0,1895,male,0.000522023158879433
0,1896,female,0.000377891468639576
0,1896,male,0.000458493243878992
0,1897,female,0.000398968501207165
0,1897,male,0.000489942958635545
0,1898,female,0.000452543565038358
0,1898,male,0.000543542789918586
0,1899,female,0.000466273175710703
0,1899,male,0.000569611848415735
0,1900,female,0.000442838455175819
0,1900,male,0.000540172304653914
0,1901,female,0.000401440204521946
0,1901,male,0.00049085995378813
0,1902,female,0.000374750140761946
0,1902,male,0.000454967145130431
0,1903,female,0.000374844328176354
0,1903,male,0.000458331396813546
0,1904,female,0.00039966542240089
0,1904,male,0.000484708869937157
0,1905,female,0.000368008465785139
0,1905,male,0.000453706615748433
0,1906,female,0.000392609376682896
0,1906,male,0.000477691282880497
0,1907,female,0.000354325406407129
0,1907,male,0.00043018652279512
0,1908,female,0.000356694737904341
0,1908,male,0.000431981206608669
0,1909,female,0.000316846012761271
0,1909,male,0.00039197743515576
0,1910,female,0.000298922923651427
0,1910,male,0.000367820563907964
0,1911,female,0.000415074603165
0,1911,male,0.000492825978204193
0,1912,female,0.000292822186362832
0,1912,male,0.000362439519620711
0,1913,female,0.000308007675006766
0,1913,male,0.000371643772415973
0,1914,female,0.000299564290392336
0,1914,male,0.000363752519949048
0,1915,female,0.000283969822204167
0,1915,male,0.000352674322103751
0,1916,female,0.000345396508060654
0,1916,male,0.000415743767627884
0,1917,female,0.000358441874056125
0,1917,male,0.000442902827555795
0,1918,female,0.000411349392128876
0,1918,male,0.000498009939628434
0,1919,female,0.000366067434629486
0,1919,male,0.000445865594307469
0,1920,female,0.000315678207987227
0,1920,male,0.00038878835672165
0,1921,female,0.000308927005112634
0,1921,male,0.000379809449979824
0,1922,female,0.000223445444205291
0,1922,male,0.000286613407223375
0,1923,female,0.000257222239139747
0,1923,male,0.000323000576903114
0,1924,female,0.000224307092847875
0,1924,male,0.000288742284294917
0,1925,female,0.000233534802013149
0,1925,male,0.000300633568945439
0,1926,female,0.000254907357778355
0,1926,male,0.000322014916465419
0,1927,female,0.000220505995292096
0,1927,male,0.000276963009248541
0,1928,female,0.000241806599979703
0,1928,male,0.000304853655545469
0,1929,female,0.00024965353129199
0,1929,male,0.000315739658979862
0,1930,female,0.000210730561893677
0,1930,male,0.000264932568995456
0,1931,female,0.000193809943904741
0,1931,male,0.000250433462432028
0,1932,female,0.000199605415974858
0,1932,male,0.000259960533758577
0,1933,female,0.000192517198000842
0,1933,male,0.000245966865729709
0,1934,female,0.000181846010907088
0,1934,male,0.000239295543529421
0,1935,female,0.000173082234535314
0,1935,male,0.000228411071443588
0,1936,female,0.000173723959195755
0,1936,male,0.000228500356724278
0,1937,female,0.000171274546576812
0,1937,male,0.000222465277213109
0,1938,female,0.000172265711533409
0,1938,male,0.000223653403534148
0,1939,female,0.000167575424019774
0,1939,male,0.000218992964444293
0,1940,female,0.0002230295729284
0,1940,male,0.000286826220456791
0,1941,female,0.000199163704640729
0,1941,male,0.00025163379049134
0,1942,female,0.000192252847880633
0,1942,male,0.000244290026991555
0,1943,female,0.000204291942527783
0,1943,male,0.000261526504027238
0,1944,female,0.000203407078016584
0,1944,male,0.000267135202253152
0,1945,female,0.000291695038511343
0,1945,male,0.000361533291498852
0,1946,female,0.000201608734954687
0,1946,male,0.00025776366259601
0,1947,female,0.000176438367393793
0,1947,male,0.000225525748638329
0,1948,female,0.000135628100183988
0,1948,male,0.000178687818871368
0,1949,female,0.000146957970072041
0,1949,male,0.000188407971723765
0,1950,female,0.000124803380841597
0,1950,male,0.000163212809299064
0,1951,female,0.00012122370968789
0,1951,male,0.000156710885349942
0,1952,female,0.000110541199203577
0,1952,male,0.000140465667213544
0,1953,female,9.87645768284723e-5
0,1953,male,0.00013122988316632
0,1954,female,9.83104567629542e-5
0,1954,male,0.000128473820605363
0,1955,female,9.23004659540857e-5
0,1955,male,0.000120193631848611
0,1956,female,8.6218872173088e-5
0,1956,male,0.000113222189413385
0,1957,female,8.13915099153437e-5
0,1957,male,0.000104788789378773
0,1958,female,7.54466469291395e-5
0,1958,male,9.74024425349841e-5
0,1959,female,7.0722509341836e-5
0,1959,male,9.19040437517909e-5
0,1960,female,6.50530678766586e-5
0,1960,male,8.54560909995514e-5
0,1961,female,6.18306520906966e-5
0,1961,male,8.03481120554125e-5
0,1962,female,5.99549916389894e-5
0,1962,male,8.07428644841588e-5
0,1963,female,6.15226196603572e-5
0,1963,male,8.01507571822311e-5
0,1964,female,5.55927547574458e-5
0,1964,male,7.29710821003844e-5
0,1965,female,5.2241910992446e-5
0,1965,male,6.70725126708125e-5
0,1966,female,5.10979786784997e-5
0,1966,male,6.79705220269788e-5
0,1967,female,4.8923035865314e-5
0,1967,male,6.38196955862676e-5
0,1968,female,4.90624034622368e-5
0,1968,male,6.27549573694311e-5
0,1969,female,4.70004871356449e-5
0,1969,male,6.11866238015656e-5
0,1970,female,4.3882699579722e-5
0,1970,male,5.69342413822801e-5
0,1971,female,4.13521088194322e-5
0,1971,male,5.39447440891587e-5
0,1972,female,3.85461670775172e-5
0,1972,male,4.97593478796474e-5
0,1973,female,3.67141337087947e-5
0,1973,male,4.70004871356449e-5
0,1974,female,3.41069885427768e-5
0,1974,male,4.49679548960005e-5
0,1975,female,3.22502184483554e-5
0,1975,male,4.14632944457479e-5
0,1976,female,2.99794658492795e-5
0,1976,male,3.98237641503441e-5
0,1977,female,2.75999664412006e-5
0,1977,male,3.74912102748663e-5
0,1978,female,2.56646901106589e-5
0,1978,male,3.33863013755466e-5
0,1979,female,2.48909624378981e-5
0,1979,male,3.21948118258454e-5
0,1980,female,2.42555639518143e-5
0,1980,male,3.3220015888888e-5
0,1981,female,2.28747714050548e-5
0,1981,male,3.13915417745491e-5
0,1982,female,2.25158793782028e-5
0,1982,male,2.97857083337824e-5
0,1983,female,2.13015168586285e-5
0,1983,male,2.78765461904293e-5
0,1984,female,2.05841920945324e-5
0,1984,male,2.61345600398953e-5
0,1985,female,1.97015887641377e-5
0,1985,male,2.6493926755704e-5
0,1986,female,1.95085572063066e-5
0,1986,male,2.52777989426322e-5
0,1987,female,1.80199138802993e-5
0,1987,male,2.5084373858319e-5
0,1988,female,1.86538667160759e-5
0,1988,male,2.4973851373644e-5
0,1989,female,1.77167709274471e-5
0,1989,male,2.38964908940222e-5
0,1990,female,1.72758956306623e-5
0,1990,male,2.33165492601864e-5
0,1991,female,1.70003846165798e-5
0,1991,male,2.30404297473374e-5
0,1992,female,1.56232452542873e-5
0,1992,male,2.16602497291818e-5
0,1993,female,1.47147125800635e-5
0,1993,male,2.04462665678852e-5
0,1994,female,1.40541508531301e-5
0,1994,male,1.87365670393192e-5
0,1995,female,1.22109257232713e-5
0,1995,male,1.5127644604078e-5
0,1996,female,1.14959784014748e-5
0,1996,male,1.49349352426584e-5
0,1997,female,1.13860030742961e-5
0,1997,male,1.46321336481287e-5
0,1998,female,1.16334537727553e-5
0,1998,male,1.42192763445347e-5
0,1999,female,1.06437851369165e-5
0,1999,male,1.35863493688139e-5
0,2000,female,1.07537306544993e-5
0,2000,male,1.43018428249439e-5
0,2001,female,1.09736349356694e-5
0,2001,male,1.38339990216091e-5
0,2002,female,1.02040472116608e-5
0,2002,male,1.25684694061664e-5
0,2003,female,9.79185704002399e-6
