age,sex,year,value
0,female,1977,3.0173237077615657e-5
0,female,1978,2.765528015592308e-5
0,female,1979,2.580287877823493e-5
0,female,1980,2.4614684107569172e-5
0,female,1981,2.3592696622543064e-5
0,female,1982,2.301281932755895e-5
0,female,1983,2.235025276995505e-5
0,female,1984,2.1494674871424225e-5
0,female,1985,2.0556606433345985e-5
0,female,1986,1.9756743137565582e-5
0,female,1987,1.8984682998156326e-5
0,female,1988,1.8598734554997463e-5
0,female,1989,1.807503438705533e-5
0,female,1990,1.782700084507858e-5
0,female,1991,1.7275895630662316e-5
0,female,1992,1.655962465205239e-5
0,female,1993,1.5705854085210995e-5
0,female,1994,1.4714712580063481e-5
0,female,1995,1.3586349368813927e-5
0,female,1996,1.2568469406166417e-5
0,female,1997,1.1770936047246605e-5
0,female,1998,1.1550967721646123e-5
0,female,1999,1.1111084081070203e-5
0,female,2000,1.0836192690152882e-5
0,female,2001,1.0671271102404863e-5
0,female,2002,1.0506359448296268e-5
0,female,2003,1.0259010590088947e-5
0,female,2004,9.819334454292783e-6
0,female,2005,9.434675746424437e-6
0,female,2006,9.077541043637172e-6
0,female,2007,8.720452919508843e-6
0,female,2008,8.83032122816081e-6
0,female,2009,8.85778899421882e-6
0,female,2010,8.995131958156974e-6
0,female,2011,8.775386522729748e-6
0,female,2012,8.55565872266512e-6
0,female,2013,8.55565872266512e-6
0,female,2014,8.583123733335939e-6
0,female,2015,8.720452919508843e-6
0,female,2016,8.692986531213533e-6
0,female,2017,9.022601377712993e-6
0,female,2018,9.132481812014815e-6
0,female,2019,9.15995260963736e-6
0,male,1977,3.982376415034408e-5
0,male,1978,3.671413370879467e-5
0,male,1979,3.399610124572093e-5
0,male,1980,3.2554974916146145e-5
0,male,1981,3.1779297893042165e-5
0,male,1982,3.1225377390376585e-5
0,male,1983,2.9841066224768173e-5
0,male,1984,2.7959525563714627e-5
0,male,1985,2.685334064654751e-5
0,male,1986,2.574760247424015e-5
0,male,1987,2.552650841741232e-5
0,male,1988,2.5001481576550142e-5
0,male,1989,2.4614684107569172e-5
0,male,1990,2.3951729837860223e-5
0,male,1991,2.3344162743101414e-5
0,male,1992,2.2598696439736006e-5
0,male,1993,2.174304091312226e-5
0,male,1994,2.0253182502716614e-5
0,male,1995,1.8047473994964554e-5
0,male,1996,1.6201559419773857e-5
0,male,1997,1.4934935242658447e-5
0,male,1998,1.460460789095932e-5
0,male,1999,1.397159184183413e-5
0,male,2000,1.3723929743769967e-5
0,male,2001,1.3668896764175154e-5
0,male,2002,1.3421262044051953e-5
0,male,2003,1.2926059786650412e-5
0,male,2004,1.234843699882001e-5
0,male,2005,1.1853428725770901e-5
0,male,2006,1.152347292350717e-5
0,male,2007,1.1358509932711786e-5
0,male,2008,1.127603216437384e-5
0,male,2009,1.122104836577325e-5
0,male,2010,1.0891168760417761e-5
0,male,2011,1.0533844034195665e-5
0,male,2012,1.0204047211660778e-5
0,male,2013,1.0204047211660778e-5
0,male,2014,1.03689406572056e-5
0,male,2015,1.0533844034195665e-5
0,male,2016,1.0533844034195665e-5
0,male,2017,1.075373065449934e-5
0,male,2018,1.0891168760417761e-5
0,male,2019,1.1111084081070203e-5
1,female,1977,2.4378322399363173e-6
1,female,1978,2.3008178098639077e-6
1,female,1979,2.1638102361008962e-6
1,female,1980,2.1364095440451603e-6
1,female,1981,2.1912112023818662e-6
1,female,1982,2.1638102361008962e-6
1,female,1983,2.1364095440451603e-6
1,female,1984,1.972011150126293e-6
1,female,1985,1.88981565475855e-6
1,female,1986,1.7254320664668582e-6
1,female,1987,1.7254320664668582e-6
1,female,1988,1.6980357612633297e-6
1,female,1989,1.643243973246324e-6
1,female,1990,1.6158484904212665e-6
1,female,1991,1.5610583471115277e-6
1,female,1992,1.5062693002189524e-6
1,female,1993,1.4788751879149707e-6
1,female,1994,1.3693014795224054e-6
1,female,1995,1.287124075938465e-6
1,female,1996,1.122776667955555e-6
1,female,1997,1.013217209702639e-6
1,female,1998,9.310504929750003e-7
1,female,1999,1.013217209702639e-6
1,female,2000,9.858280301396262e-7
1,female,2001,1.013217209702639e-6
1,female,2002,1.013217209702639e-6
1,female,2003,9.58439124565371e-7
1,female,2004,9.310504929750003e-7
1,female,2005,8.214987063390814e-7
1,female,2006,8.214987063390814e-7
1,female,2007,7.393377429213077e-7
1,female,2008,7.667244567800912e-7
1,female,2009,8.214987063390814e-7
1,female,2010,7.667244567800912e-7
1,female,2011,7.393377429213077e-7
1,female,2012,7.11951303002257e-7
1,female,2013,6.845651370171546e-7
1,female,2014,6.845651370171546e-7
1,female,2015,6.845651370171546e-7
1,female,2016,7.11951303002257e-7
1,female,2017,6.845651370171546e-7
1,female,2018,6.571792449611286e-7
1,female,2019,6.297936268280911e-7
1,male,1977,2.766694849959296e-6
1,male,1978,2.73928812368692e-6
1,male,1979,2.629663961944198e-6
1,male,1980,2.5748535270046885e-6
1,male,1981,2.4652359487684983e-6
1,male,1982,2.4104288053842663e-6
1,male,1983,2.355622759097376e-6
1,male,1984,2.2734157466286334e-6
1,male,1985,2.1912112023818662e-6
1,male,1986,2.081608982586217e-6
1,male,1987,1.999410196947711e-6
1,male,1988,1.999410196947711e-6
1,male,1989,1.972011150126293e-6
1,male,1990,2.026809517961128e-6
1,male,1991,1.972011150126293e-6
1,male,1992,1.9172138790371997e-6
1,male,1993,1.8350200287062148e-6
1,male,1994,1.6980357612633297e-6
1,male,1995,1.5062693002189524e-6
1,male,1996,1.3693014795224054e-6
1,male,1997,1.2597321561833066e-6
1,male,1998,1.2323405104717315e-6
1,male,1999,1.2597321561833066e-6
1,male,2000,1.2323405104717315e-6
1,male,2001,1.2049491387988648e-6
1,male,2002,1.1501672175461076e-6
1,male,2003,1.122776667955555e-6
1,male,2004,1.0679963908180814e-6
1,male,2005,1.0406066632604994e-6
1,male,2006,9.858280301396262e-7
1,male,2007,9.858280301396262e-7
1,male,2008,9.58439124565371e-7
1,male,2009,9.036621353627278e-7
1,male,2010,8.488862420502496e-7
1,male,2011,8.214987063390814e-7
1,male,2012,7.941114445843916e-7
1,male,2013,8.214987063390814e-7
1,male,2014,7.667244567800912e-7
1,male,2015,7.667244567800912e-7
1,male,2016,7.667244567800912e-7
1,male,2017,7.11951303002257e-7
1,male,2018,7.11951303002257e-7
1,male,2019,7.667244567800912e-7
2,female,1977,1.5884532817116988e-6
2,female,1978,1.4788751879149707e-6
2,female,1979,1.3966944955082544e-6
2,female,1980,1.3419087376026826e-6
2,female,1981,1.3145162697432986e-6
2,female,1982,1.3145162697432986e-6
2,female,1983,1.2597321561833066e-6
2,female,1984,1.2049491387988648e-6
2,female,1985,1.1501672175461076e-6
2,female,1986,1.0953863923811713e-6
2,female,1987,1.0406066632604994e-6
2,female,1988,9.858280301396262e-7
2,female,1989,9.310504929750003e-7
2,female,1990,9.036621353627278e-7
2,female,1991,9.310504929750003e-7
2,female,1992,8.488862420502496e-7
2,female,1993,8.488862420502496e-7
2,female,1994,7.393377429213077e-7
2,female,1995,7.393377429213077e-7
2,female,1996,6.845651370171546e-7
2,female,1997,6.845651370171546e-7
2,female,1998,6.024082826131707e-7
2,female,1999,6.024082826131707e-7
2,female,2000,5.750232123105834e-7
2,female,2001,6.024082826131707e-7
2,female,2002,5.750232123105834e-7
2,female,2003,5.750232123105834e-7
2,female,2004,5.202538934201875e-7
2,female,2005,5.202538934201875e-7
2,female,2006,4.654856701133744e-7
2,female,2007,4.928696448214205e-7
2,female,2008,4.928696448214205e-7
2,female,2009,4.928696448214205e-7
2,female,2010,4.654856701133744e-7
2,female,2011,4.654856701133744e-7
2,female,2012,4.1071854234631394e-7
2,female,2013,4.1071854234631394e-7
2,female,2014,4.1071854234631394e-7
2,female,2015,4.1071854234631394e-7
2,female,2016,3.8333538927664667e-7
2,female,2017,3.5595251007517836e-7
2,female,2018,3.5595251007517836e-7
2,female,2019,3.5595251007517836e-7
2,male,1977,1.9446123774910825e-6
2,male,1978,1.9446123774910825e-6
2,male,1979,1.9446123774910825e-6
2,male,1980,1.9172138790371997e-6
2,male,1981,1.7802254992904848e-6
2,male,1982,1.7254320664668582e-6
2,male,1983,1.6706397301917482e-6
2,male,1984,1.6706397301917482e-6
2,male,1985,1.5610583471115277e-6
2,male,1986,1.4514813496990527e-6
2,male,1987,1.3419087376026826e-6
2,male,1988,1.3145162697432986e-6
2,male,1989,1.2323405104717315e-6
2,male,1990,1.2049491387988648e-6
2,male,1991,1.1775580411589192e-6
2,male,1992,1.1775580411589192e-6
2,male,1993,1.0679963908180814e-6
2,male,1994,9.858280301396262e-7
2,male,1995,9.036621353627278e-7
2,male,1996,8.488862420502496e-7
2,male,1997,8.488862420502496e-7
2,male,1998,7.941114445843916e-7
2,male,1999,7.941114445843916e-7
2,male,2000,7.667244567800912e-7
2,male,2001,7.941114445843916e-7
2,male,2002,7.941114445843916e-7
2,male,2003,7.941114445843916e-7
2,male,2004,7.393377429213077e-7
2,male,2005,6.845651370171546e-7
2,male,2006,6.297936268280911e-7
2,male,2007,6.024082826131707e-7
2,male,2008,6.024082826131707e-7
2,male,2009,6.024082826131707e-7
2,male,2010,5.47638415914546e-7
2,male,2011,5.47638415914546e-7
2,male,2012,5.202538934201875e-7
2,male,2013,5.202538934201875e-7
2,male,2014,5.202538934201875e-7
2,male,2015,4.928696448214205e-7
2,male,2016,4.928696448214205e-7
2,male,2017,5.202538934201875e-7
2,male,2018,5.202538934201875e-7
2,male,2019,5.202538934201875e-7
3,female,1977,1.2597321561833066e-6
3,female,1978,1.2323405104717315e-6
3,female,1979,1.122776667955555e-6
3,female,1980,1.0679963908180814e-6
3,female,1981,1.0679963908180814e-6
3,female,1982,1.0406066632604994e-6
3,female,1983,1.013217209702639e-6
3,female,1984,9.310504929750003e-7
3,female,1985,9.036621353627278e-7
3,female,1986,8.488862420502496e-7
3,female,1987,8.214987063390814e-7
3,female,1988,7.941114445843916e-7
3,female,1989,7.667244567800912e-7
3,female,1990,6.845651370171546e-7
3,female,1991,6.845651370171546e-7
3,female,1992,6.297936268280911e-7
3,female,1993,6.024082826131707e-7
3,female,1994,4.928696448214205e-7
3,female,1995,4.928696448214205e-7
3,female,1996,4.654856701133744e-7
3,female,1997,5.202538934201875e-7
3,female,1998,4.928696448214205e-7
3,female,1999,5.202538934201875e-7
3,female,2000,4.381019692902664e-7
3,female,2001,4.928696448214205e-7
3,female,2002,4.654856701133744e-7
3,female,2003,4.654856701133744e-7
3,female,2004,4.1071854234631394e-7
3,female,2005,4.1071854234631394e-7
3,female,2006,3.8333538927664667e-7
3,female,2007,3.8333538927664667e-7
3,female,2008,3.8333538927664667e-7
3,female,2009,3.5595251007517836e-7
3,female,2010,3.5595251007517836e-7
3,female,2011,3.0118757325644653e-7
3,female,2012,3.0118757325644653e-7
3,female,2013,3.2856990473703895e-7
3,female,2014,3.2856990473703895e-7
3,female,2015,3.2856990473703895e-7
3,female,2016,3.0118757325644653e-7
3,female,2017,3.0118757325644653e-7
3,female,2018,3.2856990473703895e-7
3,female,2019,3.0118757325644653e-7
3,male,1977,1.5884532817116988e-6
3,male,1978,1.5884532817116988e-6
3,male,1979,1.5336636866158753e-6
3,male,1980,1.4788751879149707e-6
3,male,1981,1.4514813496990527e-6
3,male,1982,1.3693014795224054e-6
3,male,1983,1.3419087376026826e-6
3,male,1984,1.2597321561833066e-6
3,male,1985,1.1775580411589192e-6
3,male,1986,1.122776667955555e-6
3,male,1987,1.0406066632604994e-6
3,male,1988,9.858280301396262e-7
3,male,1989,9.58439124565371e-7
3,male,1990,9.858280301396262e-7
3,male,1991,9.310504929750003e-7
3,male,1992,9.310504929750003e-7
3,male,1993,9.036621353627278e-7
3,male,1994,8.488862420502496e-7
3,male,1995,7.667244567800912e-7
3,male,1996,7.11951303002257e-7
3,male,1997,7.11951303002257e-7
3,male,1998,6.571792449611286e-7
3,male,1999,6.297936268280911e-7
3,male,2000,6.024082826131707e-7
3,male,2001,6.297936268280911e-7
3,male,2002,6.024082826131707e-7
3,male,2003,6.024082826131707e-7
3,male,2004,5.750232123105834e-7
3,male,2005,5.202538934201875e-7
3,male,2006,4.928696448214205e-7
3,male,2007,4.381019692902664e-7
3,male,2008,4.654856701133744e-7
3,male,2009,4.654856701133744e-7
3,male,2010,4.654856701133744e-7
3,male,2011,4.1071854234631394e-7
3,male,2012,3.8333538927664667e-7
3,male,2013,3.8333538927664667e-7
3,male,2014,3.8333538927664667e-7
3,male,2015,3.8333538927664667e-7
3,male,2016,3.8333538927664667e-7
3,male,2017,3.5595251007517836e-7
3,male,2018,3.5595251007517836e-7
3,male,2019,3.5595251007517836e-7
4,female,1977,9.58439124565371e-7
4,female,1978,9.58439124565371e-7
4,female,1979,9.310504929750003e-7
4,female,1980,9.310504929750003e-7
4,female,1981,9.036621353627278e-7
4,female,1982,8.762740517227686e-7
4,female,1983,8.488862420502496e-7
4,female,1984,7.941114445843916e-7
4,female,1985,7.667244567800912e-7
4,female,1986,7.11951303002257e-7
4,female,1987,6.845651370171546e-7
4,female,1988,6.571792449611286e-7
4,female,1989,6.297936268280911e-7
4,female,1990,6.297936268280911e-7
4,female,1991,6.024082826131707e-7
4,female,1992,5.750232123105834e-7
4,female,1993,5.750232123105834e-7
