age,sex,year,value
0,female,1970,3.960055471819975e-5
0,female,1971,3.812400850372066e-5
0,female,1972,3.664746228924157e-5
0,female,1973,3.517091607476248e-5
0,female,1974,3.369436986028339e-5
0,female,1975,3.2217823645804304e-5
0,female,1976,3.0741277431325216e-5
0,female,1977,2.926473121684613e-5
0,female,1978,2.7788185002367035e-5
0,female,1979,2.6311638787887948e-5
0,female,1980,2.483509257340886e-5
0,female,1981,2.408464072739503e-5
0,female,1982,2.3334188881381205e-5
0,female,1983,2.2583737035367376e-5
0,female,1984,2.183328518935355e-5
0,female,1985,2.108283334333972e-5
0,female,1986,2.033238149732589e-5
0,female,1987,1.9581929651312065e-5
0,female,1988,1.8831477805298236e-5
0,female,1989,1.808102595928441e-5
0,female,1990,1.733057411327058e-5
0,female,1991,1.6938718768152482e-5
0,female,1992,1.654686342303438e-5
0,female,1993,1.6155008077916283e-5
0,female,1994,1.5763152732798185e-5
0,female,1995,1.5371297387680083e-5
0,female,1996,1.4979442042561985e-5
0,female,1997,1.4587586697443885e-5
0,female,1998,1.4195731352325785e-5
0,female,1999,1.3803876007207687e-5
0,female,2000,1.3412020662089588e-5
0,female,2001,1.3716902470897851e-5
0,female,2002,1.3469428706994722e-5
0,female,2003,1.3234729655590851e-5
0,female,2004,1.3012263761223762e-5
0,female,2005,1.2800956917059254e-5
0,female,2006,1.2599363316938659e-5
0,female,2007,1.2406180512422312e-5
0,female,2008,1.2220376349708859e-5
0,female,2009,1.204106781908595e-5
0,female,2010,1.1867412832147043e-5
0,female,2011,1.1698411313689636e-5
0,female,2012,1.1533036792861045e-5
0,female,2013,1.1370482705232134e-5
0,male,1970,5.461365587870247e-5
0,male,1971,5.23772326690104e-5
0,male,1972,5.0140809459318324e-5
0,male,1973,4.790438624962626e-5
0,male,1974,4.5667963039934184e-5
0,male,1975,4.343153983024211e-5
0,male,1976,4.119511662055004e-5
0,male,1977,3.8958693410857964e-5
0,male,1978,3.672227020116589e-5
0,male,1979,3.448584699147382e-5
0,male,1980,3.224942378178175e-5
0,male,1981,3.1287055919267454e-5
0,male,1982,3.0324688056753157e-5
0,male,1983,2.936232019423886e-5
0,male,1984,2.8399952331724565e-5
0,male,1985,2.7437584469210268e-5
0,male,1986,2.6475216606695972e-5
0,male,1987,2.5512848744181676e-5
0,male,1988,2.4550480881667376e-5
0,male,1989,2.358811301915308e-5
0,male,1990,2.2625745156638783e-5
0,male,1991,2.2146527237898432e-5
0,male,1992,2.166730931915808e-5
0,male,1993,2.1188091400417733e-5
0,male,1994,2.070887348167738e-5
0,male,1995,2.022965556293703e-5
0,male,1996,1.975043764419668e-5
0,male,1997,1.9271219725456328e-5
0,male,1998,1.8792001806715976e-5
0,male,1999,1.831278388797563e-5
0,male,2000,1.7833565969235277e-5
0,male,2001,1.7691844185990254e-5
0,male,2002,1.7306668243030867e-5
0,male,2003,1.6952081179601747e-5
0,male,2004,1.6626381476044556e-5
0,male,2005,1.6326071282805863e-5
0,male,2006,1.604571239903369e-5
0,male,2007,1.5778615802220767e-5
0,male,2008,1.5518820416338777e-5
0,male,2009,1.5263321531649493e-5
0,male,2010,1.5012619162213123e-5
0,male,2011,1.4767634827191111e-5
0,male,2012,1.4528389466298405e-5
0,male,2013,1.429404065292375e-5
1,female,1970,2.3007611162012415e-6
1,female,1971,2.2240475941946065e-6
1,female,1972,2.1473340721879715e-6
1,female,1973,2.070620550181336e-6
1,female,1974,1.993907028174701e-6
1,female,1975,1.917193506168066e-6
1,female,1976,1.8404799841614312e-6
1,female,1977,1.7637664621547962e-6
1,female,1978,1.6870529401481608e-6
1,female,1979,1.6103394181415258e-6
1,female,1980,1.5336258961348908e-6
1,female,1981,1.5226685760320341e-6
1,female,1982,1.5117112559291775e-6
1,female,1983,1.5007539358263208e-6
1,female,1984,1.4897966157234642e-6
1,female,1985,1.4788392956206076e-6
1,female,1986,1.467881975517751e-6
1,female,1987,1.4569246554148943e-6
1,female,1988,1.4459673353120376e-6
1,female,1989,1.435010015209181e-6
1,female,1990,1.4240526951063243e-6
1,female,1991,1.3618074290263277e-6
1,female,1992,1.2995621629463312e-6
1,female,1993,1.2373168968663346e-6
1,female,1994,1.175071630786338e-6
1,female,1995,1.1128263647063415e-6
1,female,1996,1.0505810986263449e-6
1,female,1997,9.883358325463484e-7
1,female,1998,9.260905664663517e-7
1,female,1999,8.638453003863551e-7
1,female,2000,8.016000343063586e-7
1,female,2001,1.0744541761855712e-6
1,female,2002,1.0480660822600456e-6
1,female,2003,1.022510336206214e-6
1,female,2004,9.977503060897327e-7
1,female,2005,9.737453373187759e-7
1,female,2006,9.50448375509345e-7
1,female,2007,9.278088729364383e-7
1,female,2008,9.05779255746269e-7
1,female,2009,8.84320705002509e-7
1,female,2010,8.634026094979516e-7
1,female,2011,8.430002892139109e-7
1,female,2012,8.23092894035379e-7
1,female,2013,8.036621667881511e-7
1,male,1970,3.3696292152271964e-6
1,male,1971,3.2572621551425274e-6
1,male,1972,3.144895095057859e-6
1,male,1973,3.03252803497319e-6
1,male,1974,2.920160974888521e-6
1,male,1975,2.8077939148038527e-6
1,male,1976,2.695426854719184e-6
1,male,1977,2.5830597946345153e-6
1,male,1978,2.4706927345498464e-6
1,male,1979,2.3583256744651775e-6
1,male,1980,2.245958614380509e-6
1,male,1981,2.174725342555947e-6
1,male,1982,2.1034920707313855e-6
1,male,1983,2.0322587989068236e-6
1,male,1984,1.9610255270822616e-6
1,male,1985,1.8897922552576999e-6
1,male,1986,1.8185589834331381e-6
1,male,1987,1.7473257116085762e-6
1,male,1988,1.6760924397840143e-6
1,male,1989,1.6048591679594527e-6
1,male,1990,1.5336258961348908e-6
1,male,1991,1.5138000078784479e-6
1,male,1992,1.4939741196220051e-6
1,male,1993,1.4741482313655622e-6
1,male,1994,1.4543223431091195e-6
1,male,1995,1.4344964548526766e-6
1,male,1996,1.4146705665962336e-6
1,male,1997,1.394844678339791e-6
1,male,1998,1.375018790083348e-6
1,male,1999,1.3551929018269053e-6
1,male,2000,1.3353670135704623e-6
1,male,2001,1.3893241794760405e-6
1,male,2002,1.3549332253365466e-6
1,male,2003,1.3215006693809456e-6
1,male,2004,1.289012914670766e-6
1,male,2005,1.2574519963583656e-6
1,male,2006,1.226774915822723e-6
1,male,2007,1.1969142890836928e-6
