age,sex,year,value
0,female,1940,0.00011610289568923598
0,female,1941,0.00011168832839113913
0,female,1942,0.00010727376109304228
0,female,1943,0.00010285919379494545
0,female,1944,9.84446264968486e-5
0,female,1945,9.403005919875176e-5
0,female,1946,8.961549190065491e-5
0,female,1947,8.520092460255807e-5
0,female,1948,8.078635730446123e-5
0,female,1949,7.637179000636438e-5
0,female,1950,7.195722270826753e-5
0,female,1951,7.100882968608699e-5
0,female,1952,7.006043666390644e-5
0,female,1953,6.911204364172589e-5
0,female,1954,6.816365061954535e-5
0,female,1955,6.72152575973648e-5
0,female,1956,6.626686457518424e-5
0,female,1957,6.531847155300369e-5
0,female,1958,6.437007853082314e-5
0,female,1959,6.34216855086426e-5
0,female,1960,6.247329248646205e-5
0,female,1961,6.104847483241063e-5
0,female,1962,5.9623657178359205e-5
0,female,1963,5.819883952430778e-5
0,female,1964,5.6774021870256354e-5
0,female,1965,5.534920421620493e-5
0,female,1966,5.392438656215351e-5
0,female,1967,5.2499568908102085e-5
0,female,1968,5.107475125405066e-5
0,female,1969,4.964993359999924e-5
0,female,1970,4.8225115945947816e-5
0,female,1971,4.648629833594187e-5
0,female,1972,4.474748072593592e-5
0,female,1973,4.300866311592997e-5
0,female,1974,4.126984550592402e-5
0,female,1975,3.953102789591808e-5
0,female,1976,3.779221028591213e-5
0,female,1977,3.6053392675906184e-5
0,female,1978,3.431457506590023e-5
0,female,1979,3.2575757455894284e-5
0,female,1980,3.083693984588834e-5
0,female,1981,3.0029623576312568e-5
0,female,1982,2.92223073067368e-5
0,female,1983,2.841499103716103e-5
0,female,1984,2.760767476758526e-5
0,female,1985,2.680035849800949e-5
0,female,1986,2.5993042228433725e-5
0,female,1987,2.5185725958857956e-5
0,female,1988,2.4378409689282187e-5
0,female,1989,2.3571093419706417e-5
0,female,1990,2.2763777150130648e-5
0,female,1991,2.220668101138273e-5
0,female,1992,2.1649584872634813e-5
0,female,1993,2.1092488733886895e-5
0,female,1994,2.0535392595138977e-5
0,female,1995,1.9978296456391056e-5
0,female,1996,1.942120031764314e-5
0,female,1997,1.886410417889522e-5
0,female,1998,1.8307008040147303e-5
0,female,1999,1.7749911901399385e-5
0,female,2000,1.7192815762651468e-5
0,female,2001,1.6859469235202213e-5
0,female,2002,1.7223122005072072e-5
0,female,2003,1.670520689391449e-5
0,female,2004,1.6727243839097013e-5
0,female,2005,1.6906300594365168e-5
0,female,2006,1.661706088689432e-5
0,female,2007,1.6760299589452952e-5
0,female,2008,1.6369165455925597e-5
0,female,2009,1.5721988740819e-5
0,female,2010,1.5245654265175058e-5
0,female,2011,1.5143790018365338e-5
0,female,2012,1.4912544715320727e-5
0,female,2013,1.4752886737568261e-5
0,female,2014,1.4584980633232403e-5
0,male,1940,0.00014730102934525853
0,male,1941,0.00014186871534532442
0,male,1942,0.0001364364013453903
0,male,1943,0.0001310040873454562
0,male,1944,0.00012557177334552208
0,male,1945,0.00012013945934558797
0,male,1946,0.00011470714534565386
0,male,1947,0.00010927483134571975
0,male,1948,0.00010384251734578564
0,male,1949,9.841020334585152e-5
0,male,1950,9.297788934591741e-5
0,male,1951,9.177392717358424e-5
0,male,1952,9.056996500125106e-5
0,male,1953,8.936600282891788e-5
0,male,1954,8.816204065658471e-5
0,male,1955,8.695807848425153e-5
0,male,1956,8.575411631191837e-5
0,male,1957,8.455015413958519e-5
0,male,1958,8.334619196725202e-5
0,male,1959,8.214222979491884e-5
0,male,1960,8.093826762258566e-5
0,male,1961,7.90609603772711e-5
0,male,1962,7.718365313195653e-5
0,male,1963,7.530634588664195e-5
0,male,1964,7.342903864132738e-5
0,male,1965,7.155173139601281e-5
0,male,1966,6.967442415069824e-5
0,male,1967,6.779711690538368e-5
0,male,1968,6.59198096600691e-5
0,male,1969,6.404250241475453e-5
0,male,1970,6.216519516943996e-5
0,male,1971,5.9789314388880096e-5
0,male,1972,5.741343360832023e-5
0,male,1973,5.5037552827760364e-5
0,male,1974,5.26616720472005e-5
0,male,1975,5.0285791266640626e-5
0,male,1976,4.790991048608077e-5
0,male,1977,4.5534029705520895e-5
0,male,1978,4.315814892496103e-5
0,male,1979,4.0782268144401164e-5
0,male,1980,3.84063873638413e-5
0,male,1981,3.742525659787419e-5
0,male,1982,3.644412583190708e-5
0,male,1983,3.546299506593997e-5
0,male,1984,3.4481864299972863e-5
0,male,1985,3.3500733534005755e-5
0,male,1986,3.2519602768038646e-5
0,male,1987,3.153847200207154e-5
0,male,1988,3.055734123610443e-5
0,male,1989,2.9576210470137323e-5
0,male,1990,2.8595079704170215e-5
0,male,1991,2.7832562114995972e-5
0,male,1992,2.707004452582173e-5
0,male,1993,2.630752693664749e-5
0,male,1994,2.554500934747325e-5
0,male,1995,2.4782491758299006e-5
0,male,1996,2.4019974169124764e-5
0,male,1997,2.325745657995052e-5
0,male,1998,2.249493899077628e-5
0,male,1999,2.173242140160204e-5
0,male,2000,2.0969903812427798e-5
0,male,2001,2.0649889975989367e-5
0,male,2002,2.0994734035852686e-5
0,male,2003,2.091748519136894e-5
0,male,2004,2.0542307518550166e-5
0,male,2005,2.0796098553520646e-5
0,male,2006,2.0180971747519836e-5
0,male,2007,2.0307847577993525e-5
0,male,2008,1.9770044745630926e-5
0,male,2009,1.920201904317703e-5
0,male,2010,1.8314370215804764e-5
0,male,2011,1.8060809115161264e-5
0,male,2012,1.7851363307996405e-5
0,male,2013,1.7892700027167422e-5
0,male,2014,1.7371902970131528e-5
1,female,1940,1.3420931335336287e-5
1,female,1941,1.2668109815257205e-5
1,female,1942,1.1915288295178124e-5
1,female,1943,1.1162466775099042e-5
1,female,1944,1.040964525501996e-5
1,female,1945,9.656823734940878e-6
1,female,1946,8.904002214861796e-6
1,female,1947,8.151180694782715e-6
1,female,1948,7.398359174703633e-6
1,female,1949,6.645537654624552e-6
1,female,1950,5.89271613454547e-6
1,female,1951,5.73636704438474e-6
1,female,1952,5.580017954224011e-6
1,female,1953,5.423668864063281e-6
1,female,1954,5.267319773902552e-6
1,female,1955,5.110970683741822e-6
1,female,1956,4.9546215935810915e-6
1,female,1957,4.798272503420362e-6
1,female,1958,4.641923413259632e-6
1,female,1959,4.485574323098902e-6
1,female,1960,4.329225232938173e-6
1,female,1961,4.21407774612671e-6
1,female,1962,4.098930259315246e-6
1,female,1963,3.983782772503782e-6
1,female,1964,3.868635285692319e-6
1,female,1965,3.753487798880855e-6
1,female,1966,3.6383403120693916e-6
1,female,1967,3.523192825257928e-6
1,female,1968,3.4080453384464645e-6
1,female,1969,3.292897851635001e-6
1,female,1970,3.1777503648235373e-6
1,female,1971,3.0955317998416586e-6
1,female,1972,3.01331323485978e-6
1,female,1973,2.9310946698779008e-6
1,female,1974,2.848876104896022e-6
1,female,1975,2.7666575399141433e-6
1,female,1976,2.6844389749322646e-6
1,female,1977,2.602220409950386e-6
1,female,1978,2.5200018449685067e-6
