age,sex,race,year,value
0,female,white,1940,0.00010575356533604301
0,female,white,1941,0.00010170298176707818
0,female,white,1942,9.765239819811334e-5
0,female,white,1943,9.360181462914851e-5
0,female,white,1944,8.955123106018368e-5
0,female,white,1945,8.550064749121884e-5
0,female,white,1946,8.1450063922254e-5
0,female,white,1947,7.739948035328918e-5
0,female,white,1948,7.334889678432433e-5
0,female,white,1949,6.92983132153595e-5
0,female,white,1950,6.524772964639468e-5
0,female,white,1951,6.415360085262762e-5
0,female,white,1952,6.305947205886055e-5
0,female,white,1953,6.19653432650935e-5
0,female,white,1954,6.0871214471326434e-5
0,female,white,1955,5.9777085677559374e-5
0,female,white,1956,5.8682956883792314e-5
0,female,white,1957,5.7588828090025253e-5
0,female,white,1958,5.649469929625819e-5
0,female,white,1959,5.540057050249113e-5
0,female,white,1960,5.430644170872407e-5
0,female,white,1961,5.310264591271583e-5
0,female,white,1962,5.189885011670759e-5
0,female,white,1963,5.069505432069935e-5
0,female,white,1964,4.949125852469111e-5
0,female,white,1965,4.8287462728682865e-5
0,female,white,1966,4.7083666932674624e-5
0,female,white,1967,4.587987113666638e-5
0,female,white,1968,4.4676075340658134e-5
0,female,white,1969,4.347227954464989e-5
0,female,white,1970,4.226848374864165e-5
0,female,white,1971,4.069649176771698e-5
0,female,white,1972,3.912449978679231e-5
0,female,white,1973,3.7552507805867636e-5
0,female,white,1974,3.5980515824942965e-5
0,female,white,1975,3.440852384401829e-5
0,female,white,1976,3.283653186309363e-5
0,female,white,1977,3.126453988216896e-5
0,female,white,1978,2.9692547901244285e-5
0,female,white,1979,2.8120555920319613e-5
0,female,white,1980,2.6548563939394942e-5
0,female,white,1981,2.5725971436249406e-5
0,female,white,1982,2.4903378933103874e-5
0,female,white,1983,2.408078642995834e-5
0,female,white,1984,2.3258193926812807e-5
0,female,white,1985,2.243560142366727e-5
0,female,white,1986,2.1613008920521736e-5
0,female,white,1987,2.0790416417376204e-5
0,female,white,1988,1.9967823914230668e-5
0,female,white,1989,1.9145231411085133e-5
0,female,white,1990,1.83226389079396e-5
0,female,white,1991,1.78985074266617e-5
0,female,white,1992,1.74743759453838e-5
0,female,white,1993,1.70502444641059e-5
0,female,white,1994,1.6626112982828e-5
0,female,white,1995,1.6201981501550102e-5
0,female,white,1996,1.5777850020272206e-5
0,female,white,1997,1.5353718538994306e-5
0,female,white,1998,1.4929587057716406e-5
0,female,white,1999,1.4505455576438506e-5
0,female,white,2000,1.4081324095160607e-5
0,female,white,2001,1.388594131160107e-5
0,female,white,2002,1.4064812334641719e-5
0,female,white,2003,1.3866678975349904e-5
0,female,white,2004,1.3905203783374373e-5
0,female,white,2005,1.4031789112343984e-5
0,female,white,2006,1.3742852906695767e-5
0,female,white,2007,1.3949232799195751e-5
0,female,white,2008,1.3737349655847901e-5
0,female,white,2009,1.306603603603511e-5
0,female,white,2010,1.2925741280043759e-5
0,female,white,2011,1.279095505056908e-5
0,female,white,2012,1.2752445918045645e-5
0,female,white,2013,1.2389386438137406e-5
0,female,white,2014,1.229037857141315e-5
0,female,black,1940,0.00018646830722704344
0,female,black,1941,0.0001792461597111982
0,female,black,1942,0.00017202401219535294
0,female,black,1943,0.0001648018646795077
0,female,black,1944,0.00015757971716366242
0,female,black,1945,0.00015035756964781717
0,female,black,1946,0.00014313542213197192
0,female,black,1947,0.00013591327461612667
0,female,black,1948,0.00012869112710028142
0,female,black,1949,0.00012146897958443616
0,female,black,1950,0.00011424683206859091
0,female,black,1951,0.00011350850915571082
0,female,black,1952,0.00011277018624283073
0,female,black,1953,0.00011203186332995065
0,female,black,1954,0.00011129354041707056
0,female,black,1955,0.00011055521750419047
0,female,black,1956,0.00010981689459131039
0,female,black,1957,0.0001090785716784303
0,female,black,1958,0.00010834024876555022
0,female,black,1959,0.00010760192585267013
0,female,black,1960,0.00010686360293979004
0,female,black,1961,0.00010385402759618632
0,female,black,1962,0.0001008444522525826
0,female,black,1963,9.783487690897889e-5
0,female,black,1964,9.482530156537517e-5
0,female,black,1965,9.181572622177144e-5
0,female,black,1966,8.880615087816774e-5
0,female,black,1967,8.579657553456401e-5
0,female,black,1968,8.278700019096029e-5
0,female,black,1969,7.977742484735657e-5
0,female,black,1970,7.676784950375286e-5
0,female,black,1971,7.441839834040644e-5
0,female,black,1972,7.206894717706001e-5
0,female,black,1973,6.97194960137136e-5
0,female,black,1974,6.737004485036717e-5
0,female,black,1975,6.502059368702075e-5
0,female,black,1976,6.267114252367434e-5
0,female,black,1977,6.032169136032791e-5
0,female,black,1978,5.797224019698149e-5
0,female,black,1979,5.5622789033635064e-5
0,female,black,1980,5.327333787028865e-5
0,female,black,1981,5.248443978614862e-5
0,female,black,1982,5.169554170200859e-5
0,female,black,1983,5.0906643617868565e-5
0,female,black,1984,5.011774553372854e-5
0,female,black,1985,4.932884744958852e-5
0,female,black,1986,4.853994936544849e-5
0,female,black,1987,4.775105128130846e-5
0,female,black,1988,4.6962153197168434e-5
0,female,black,1989,4.6173255113028406e-5
0,female,black,1990,4.538435702888838e-5
0,female,black,1991,4.437853880868904e-5
0,female,black,1992,4.33727205884897e-5
0,female,black,1993,4.236690236829036e-5
0,female,black,1994,4.136108414809102e-5
0,female,black,1995,4.0355265927891675e-5
0,female,black,1996,3.9349447707692336e-5
0,female,black,1997,3.8343629487493e-5
0,female,black,1998,3.733781126729366e-5
0,female,black,1999,3.633199304709432e-5
0,female,black,2000,3.532617482689498e-5
0,female,black,2001,3.436119966724072e-5
0,female,black,2002,3.643576198149019e-5
0,female,black,2003,3.4294662191397243e-5
0,female,black,2004,3.407011014803724e-5
0,female,black,2005,3.394813897930539e-5
0,female,black,2006,3.368203892537181e-5
0,female,black,2007,3.295871011886612e-5
0,female,black,2008,3.164556696483385e-5
0,female,black,2009,3.0618208482205645e-5
0,female,black,2010,2.88219499524029e-5
0,female,black,2011,2.8523149160448568e-5
0,female,black,2012,2.7557802829399908e-5
0,female,black,2013,2.8595079704170215e-5
0,female,black,2014,2.7715443589281353e-5
0,male,white,1940,0.00013502067777128467
0,male,white,1941,0.0001300527101484021
0,male,white,1942,0.00012508474252551956
0,male,white,1943,0.00012011677490263698
0,male,white,1944,0.00011514880727975441
0,male,white,1945,0.00011018083965687186
0,male,white,1946,0.0001052128720339893
0,male,white,1947,0.00010024490441110673
0,male,white,1948,9.527693678822416e-5
0,male,white,1949,9.030896916534161e-5
0,male,white,1950,8.534100154245904e-5
0,male,white,1951,8.399700219284705e-5
0,male,white,1952,8.265300284323506e-5
0,male,white,1953,8.130900349362306e-5
0,male,white,1954,7.996500414401107e-5
0,male,white,1955,7.862100479439908e-5
0,male,white,1956,7.727700544478708e-5
0,male,white,1957,7.593300609517508e-5
0,male,white,1958,7.458900674556309e-5
0,male,white,1959,7.32450073959511e-5
0,male,white,1960,7.190100804633911e-5
0,male,white,1961,7.02588699197643e-5
0,male,white,1962,6.861673179318952e-5
0,male,white,1963,6.697459366661471e-5
0,male,white,1964,6.533245554003992e-5
0,male,white,1965,6.369031741346512e-5
0,male,white,1966,6.204817928689032e-5
0,male,white,1967,6.040604116031553e-5
0,male,white,1968,5.876390303374073e-5
0,male,white,1969,5.712176490716593e-5
0,male,white,1970,5.5479626780591135e-5
0,male,white,1971,5.332287441082752e-5
0,male,white,1972,5.11661220410639e-5
0,male,white,1973,4.9009369671300276e-5
0,male,white,1974,4.685261730153666e-5
0,male,white,1975,4.4695864931773046e-5
0,male,white,1976,4.2539112562009424e-5
0,male,white,1977,4.038236019224581e-5
0,male,white,1978,3.8225607822482186e-5
0,male,white,1979,3.606885545271857e-5
0,male,white,1980,3.391210308295495e-5
0,male,white,1981,3.289115070516804e-5
0,male,white,1982,3.187019832738112e-5
0,male,white,1983,3.084924594959421e-5
0,male,white,1984,2.9828293571807295e-5
0,male,white,1985,2.880734119402038e-5
