Year,Age,Female,Male,Total
1959,0,0.033044,0.043116,0.038215
1959,1,0.004691,0.004916,0.004806
1959,2,0.001767,0.001881,0.001825
1959,3,0.001075,0.001311,0.001196
1959,4,0.000952,0.000944,0.000948
1959,5,0.00079,0.000865,0.000828
1959,6,0.000768,0.000939,0.000855
1959,7,0.000647,0.000889,0.000771
1959,8,0.000577,0.000943,0.000764
1959,9,0.000497,0.000796,0.000649
1959,10,0.000549,0.000858,0.000705
1959,11,0.000439,0.000754,0.000599
1959,12,0.000549,0.000965,0.00076
1959,13,0.000571,0.00068,0.000627
1959,14,0.000611,0.000862,0.000738
1959,15,0.000694,0.001042,0.000869
1959,16,0.000664,0.001215,0.000939
1959,17,0.000741,0.001325,0.001031
1959,18,0.000968,0.001699,0.001329
1959,19,0.000919,0.001628,0.001269
1959,20,0.001197,0.001771,0.001475
1959,21,0.00095,0.001407,0.001172
1959,22,0.001335,0.001944,0.001632
1959,23,0.001168,0.00225,0.001701
1959,24,0.00131,0.002291,0.001802
1959,25,0.001254,0.00243,0.001837
1959,26,0.001061,0.002068,0.001548
1959,27,0.001325,0.002322,0.001806
1959,28,0.001462,0.002637,0.002028
1959,29,0.001343,0.002525,0.001907
1959,30,0.001588,0.003077,0.002287
1959,31,0.001292,0.002584,0.001895
1959,32,0.001699,0.003277,0.00241
1959,33,0.001418,0.003086,0.002126
1959,34,0.001748,0.003203,0.00234
1959,35,0.001977,0.003911,0.002745
1959,36,0.001684,0.003391,0.002343
1959,37,0.001934,0.003921,0.002695
1959,38,0.002284,0.004572,0.003173
1959,39,0.00209,0.003543,0.002648
1959,40,0.002917,0.00515,0.003769
1959,41,0.002481,0.004638,0.003308
1959,42,0.00301,0.005444,0.003936
1959,43,0.00271,0.004863,0.003517
1959,44,0.002954,0.005128,0.003756
1959,45,0.003704,0.006283,0.004658
1959,46,0.003278,0.005981,0.004286
1959,47,0.003752,0.006726,0.004875
1959,48,0.004289,0.007625,0.005551
1959,49,0.004087,0.007589,0.005416
1959,50,0.00519,0.01015,0.00711
1959,51,0.004584,0.008047,0.005935
1959,52,0.006046,0.011406,0.008172
1959,53,0.005847,0.011227,0.007943
1959,54,0.006368,0.012337,0.008661
1959,55,0.007484,0.01407,0.00992
1959,56,0.006969,0.014463,0.009636
1959,57,0.007926,0.016702,0.011016
1959,58,0.008617,0.018098,0.011784
1959,59,0.010227,0.019444,0.013387
1959,60,0.013454,0.023581,0.017108
1959,61,0.009663,0.019495,0.013233
1959,62,0.014622,0.026167,0.018946
1959,63,0.013903,0.026519,0.018546
1959,64,0.016046,0.029362,0.020904
1959,65,0.018159,0.030959,0.02277
1959,66,0.016615,0.028948,0.021069
1959,67,0.021751,0.038313,0.027665
1959,68,0.022914,0.038956,0.028509
1959,69,0.024161,0.03978,0.029553
1959,70,0.030189,0.049189,0.036283
1959,71,0.02843,0.044284,0.033716
1959,72,0.04484,0.062448,0.051187
1959,73,0.042692,0.058476,0.048167
1959,74,0.047903,0.064659,0.053729
1959,75,0.052615,0.073202,0.059565
1959,76,0.05441,0.075338,0.061379
1959,77,0.059036,0.080161,0.066122
1959,78,0.076816,0.100755,0.084668
1959,79,0.07501,0.098373,0.082824
1959,80,0.103281,0.115836,0.107329
1959,81,0.076116,0.093409,0.081665
1959,82,0.105179,0.134601,0.114543
1959,83,0.112651,0.139443,0.120925
1959,84,0.120517,0.154284,0.130711
1959,85,0.1342,0.16198,0.142461
1959,86,0.154247,0.192493,0.165333
1959,87,0.151965,0.190934,0.162975
1959,88,0.155729,0.190512,0.165209
1959,89,0.184608,0.225491,0.195318
1959,90,0.209476,0.226988,0.213892
1959,91,0.139389,0.188962,0.151294
1959,92,0.176299,0.193801,0.180368
1959,93,0.186533,0.21657,0.193403
1959,94,0.179444,0.247667,0.194539
1959,95,0.218092,0.236137,0.221947
1959,96,0.262037,0.302693,0.2708
1959,97,0.272349,0.331142,0.285222
1959,98,0.389785,0.397901,0.391494
1959,99,0.27912,0.334301,0.290258
1959,100,0.293819,0.354024,0.305653
1959,101,0.308848,0.375264,0.321557
1959,102,0.324225,0.397222,0.337844
1959,103,0.339724,0.419141,0.35422
1959,104,0.355622,0.43937,0.370659
1959,105,0.372615,0.466,0.38902
1959,106,0.390859,0.494447,0.408688
1959,107,0.407794,0.525157,0.427518
1959,108,0.425597,0.57799,0.450007
1959,109,0.445856,0.643579,0.475788
1959,110,0.528565,0.998578,0.576055
1960,0,0.026691,0.033801,0.03034
1960,1,0.004063,0.004584,0.00433
1960,2,0.001543,0.001736,0.001642
1960,3,0.001014,0.001151,0.001084
1960,4,0.000798,0.001088,0.000946
1960,5,0.000614,0.00095,0.000785
1960,6,0.000621,0.000916,0.000772
1960,7,0.000535,0.000916,0.00073
1960,8,0.000494,0.00085,0.000676
1960,9,0.000466,0.000785,0.000628
1960,10,0.000492,0.000819,0.000657
1960,11,0.000465,0.000699,0.000583
1960,12,0.000472,0.00067,0.000572
1960,13,0.000491,0.000726,0.00061
1960,14,0.000558,0.000874,0.000718
1960,15,0.000532,0.000965,0.000751
1960,16,0.0007,0.001251,0.000976
1960,17,0.000718,0.001141,0.000929
1960,18,0.000783,0.001492,0.001134
1960,19,0.000879,0.001672,0.00127
1960,20,0.001062,0.001723,0.001388
1960,21,0.000978,0.001522,0.001241
1960,22,0.001021,0.001843,0.00142
1960,23,0.001089,0.002101,0.001582
1960,24,0.001105,0.002097,0.001593
1960,25,0.001208,0.002374,0.001792
1960,26,0.001098,0.002132,0.001611
1960,27,0.001105,0.002229,0.001648
1960,28,0.001267,0.00254,0.001881
1960,29,0.001213,0.00235,0.001761
1960,30,0.001546,0.003285,0.002375
1960,31,0.001263,0.002336,0.001767
1960,32,0.001488,0.002929,0.002161
1960,33,0.001504,0.003246,0.002289
1960,34,0.001506,0.003168,0.002212
1960,35,0.001753,0.003751,0.002567
1960,36,0.001695,0.003857,0.002554
1960,37,0.001663,0.003739,0.002464
1960,38,0.002106,0.004147,0.002887
1960,39,0.001909,0.003911,0.002687
1960,40,0.002639,0.004729,0.003442
1960,41,0.001902,0.003768,0.002614
1960,42,0.003018,0.005658,0.004029
1960,43,0.0028,0.004871,0.003588
1960,44,0.002759,0.004828,0.003535
1960,45,0.003132,0.006065,0.004212
1960,46,0.003502,0.006345,0.004551
1960,47,0.003069,0.005879,0.004114
1960,48,0.004325,0.007686,0.005589
1960,49,0.003505,0.0068,0.004748
1960,50,0.00527,0.009207,0.006759
1960,51,0.003947,0.007768,0.005421
1960,52,0.005116,0.00948,0.006811
1960,53,0.005328,0.010206,0.007252
1960,54,0.00563,0.010799,0.007632
1960,55,0.006973,0.012953,0.009255
1960,56,0.006758,0.013663,0.009305
1960,57,0.006904,0.014564,0.009626
1960,58,0.008637,0.01745,0.011737
1960,59,0.006573,0.015571,0.009571
1960,60,0.014684,0.025206,0.01827
1960,61,0.008109,0.0161,0.010983
1960,62,0.012968,0.022502,0.016415
1960,63,0.013538,0.024258,0.017518
1960,64,0.01426,0.023918,0.017787
1960,65,0.017967,0.029924,0.022296
1960,66,0.014683,0.026367,0.018867
1960,67,0.018887,0.032587,0.023806
1960,68,0.022199,0.037808,0.027739
1960,69,0.017359,0.031113,0.02213
1960,70,0.033956,0.050073,0.039461
1960,71,0.019307,0.030456,0.022857
1960,72,0.038158,0.057979,0.044716
1960,73,0.043104,0.0564,0.047828
1960,74,0.040974,0.056705,0.046367
1960,75,0.052022,0.067623,0.057376
1960,76,0.050551,0.071682,0.057594
1960,77,0.047622,0.067236,0.054078
1960,78,0.077515,0.10168,0.085514
1960,79,0.052763,0.071076,0.058689
1960,80,0.097219,0.11668,0.103526
1960,81,0.062752,0.085157,0.069884
1960,82,0.101914,0.121891,0.108227
1960,83,0.098658,0.127214,0.107591
1960,84,0.116298,0.140223,0.12354
1960,85,0.128163,0.161763,0.138092
1960,86,0.140025,0.175569,0.15035
1960,87,0.148461,0.175612,0.156134
1960,88,0.159265,0.205843,0.172083
1960,89,0.12764,0.15605,0.13517
1960,90,0.225184,0.250438,0.231664
1960,91,0.111032,0.135183,0.11699
1960,92,0.188107,0.227526,0.197324
1960,93,0.162051,0.192883,0.169051
1960,94,0.164106,0.207841,0.173786
1960,95,0.179307,0.179317,0.179309
1960,96,0.27264,0.311046,0.280685
1960,97,0.275674,0.323186,0.285541
1960,98,0.367499,0.442625,0.383417
1960,99,0.271894,0.330268,0.283707
1960,100,0.288231,0.353732,0.300832
1960,101,0.304979,0.379874,0.318925
1960,102,0.322357,0.408973,0.337942
1960,103,0.340261,0.440071,0.357627
1960,104,0.358344,0.471519,0.377455
1960,105,0.377067,0.501611,0.397618
1960,106,0.397845,0.542937,0.420989
1960,107,0.420866,0.591312,0.447114
1960,108,0.441528,0.648594,0.472052
1960,109,0.464362,0.753873,0.50311
1960,110,0.55402,1.250163,0.608531
1961,0,0.022063,0.028542,0.02539
1961,1,0.003486,0.003631,0.00356
1961,2,0.001508,0.001536,0.001523
1961,3,0.000983,0.001164,0.001076
1961,4,0.000745,0.000907,0.000827
1961,5,0.000628,0.000871,0.000752
1961,6,0.000621,0.000911,0.000769
1961,7,0.000511,0.000843,0.000681
1961,8,0.000467,0.000733,0.000603
1961,9,0.000384,0.000766,0.000579
1961,10,0.000482,0.000852,0.00067
1961,11,0.000417,0.000732,0.000576
1961,12,0.0004,0.000708,0.000555
1961,13,0.000414,0.000747,0.000582
1961,14,0.000444,0.00093,0.000689
1961,15,0.000526,0.000915,0.000722
1961,16,0.000653,0.001244,0.00095
1961,17,0.000709,0.001468,0.001088
1961,18,0.000793,0.001453,0.00112
1961,19,0.000754,0.00154,0.001142
1961,20,0.001033,0.001865,0.001443
1961,21,0.000907,0.00156,0.001228
1961,22,0.001003,0.001634,0.001308
1961,23,0.000959,0.002152,0.001537
1961,24,0.000968,0.002103,0.001521
1961,25,0.001072,0.002363,0.001707
1961,26,0.001071,0.002303,0.001688
1961,27,0.001146,0.0022,0.001668
1961,28,0.001132,0.002273,0.001683
1961,29,0.001099,0.002214,0.001637
1961,30,0.001437,0.003216,0.002295
1961,31,0.001222,0.002762,0.001956
1961,32,0.00139,0.002925,0.00211
1961,33,0.001423,0.002985,0.002152
1961,34,0.001452,0.003018,0.002157
1961,35,0.001687,0.00351,0.002461
1961,36,0.001709,0.00386,0.002585
1961,37,0.001674,0.003915,0.002564
1961,38,0.001917,0.00393,0.002693
1961,39,0.001887,0.003703,0.002582
1961,40,0.002585,0.004957,0.003506
1961,41,0.00198,0.00428,0.002863
1961,42,0.002675,0.005177,0.003629
1961,43,0.002733,0.005122,0.003648
1961,44,0.00261,0.004943,0.003497
1961,45,0.003244,0.006214,0.004358
1961,46,0.003267,0.006115,0.004313
1961,47,0.003557,0.006616,0.004682
1961,48,0.003677,0.006673,0.004787
1961,49,0.003913,0.006781,0.004988
1961,50,0.005095,0.009474,0.006741
1961,51,0.004618,0.008443,0.006059
1961,52,0.004866,0.009551,0.006667
1961,53,0.005317,0.009992,0.007125
1961,54,0.005501,0.010769,0.007567
1961,55,0.007019,0.012677,0.009197
1961,56,0.008142,0.01415,0.01042
1961,57,0.007202,0.014755,0.009979
1961,58,0.00795,0.015058,0.010472
1961,59,0.007899,0.017294,0.0112
1961,60,0.012,0.024397,0.016118
1961,61,0.01118,0.021403,0.014643
1961,62,0.012007,0.023149,0.016002
1961,63,0.014216,0.025653,0.018331
1961,64,0.015579,0.027154,0.019838
1961,65,0.0177,0.029769,0.022075
1961,66,0.016972,0.028908,0.02126
1961,67,0.019584,0.034499,0.024889
1961,68,0.021037,0.035299,0.026126
1961,69,0.018855,0.033721,0.024102
1961,70,0.031261,0.048806,0.037315
1961,71,0.027158,0.041818,0.032114
1961,72,0.03102,0.050284,0.037107
1961,73,0.039119,0.060091,0.045996
1961,74,0.045571,0.057828,0.049865
1961,75,0.050654,0.067191,0.056257
1961,76,0.056379,0.075016,0.062687
1961,77,0.050098,0.068169,0.056045
1961,78,0.067309,0.090746,0.074933
1961,79,0.060548,0.084849,0.068481
1961,80,0.092558,0.10974,0.098198
1961,81,0.076586,0.093889,0.082121
1961,82,0.095522,0.117729,0.102491
1961,83,0.106803,0.131596,0.11451
1961,84,0.112022,0.14716,0.122809
1961,85,0.129947,0.148187,0.135358
1961,86,0.14435,0.178,0.154084
1961,87,0.149488,0.17843,0.157709
1961,88,0.152461,0.195345,0.164272
1961,89,0.145222,0.182763,0.155254
1961,90,0.197956,0.221409,0.20404
1961,91,0.147319,0.178704,0.155218
1961,92,0.157561,0.18011,0.163002
1961,93,0.204822,0.228103,0.210133
1961,94,0.170929,0.260922,0.190643
1961,95,0.191204,0.218135,0.196965
1961,96,0.25774,0.297201,0.266082
1961,97,0.282873,0.274268,0.281116
1961,98,0.340503,0.347563,0.341933
1961,99,0.276728,0.346545,0.290977
1961,100,0.293624,0.370737,0.308403
1961,101,0.311237,0.396208,0.326613
1961,102,0.329332,0.425236,0.345984
1961,103,0.348102,0.458636,0.366437
1961,104,0.36759,0.495543,0.387844
1961,105,0.387303,0.531372,0.409144
1961,106,0.407897,0.563146,0.43067
1961,107,0.431429,0.618263,0.457339
1961,108,0.458918,0.689571,0.488872
1961,109,0.482297,0.780454,0.517766
1961,110,0.563579,1.350427,0.609388
1962,0,0.022073,0.028591,0.025422
1962,1,0.003381,0.003758,0.003574
1962,2,0.001332,0.001446,0.00139
1962,3,0.00089,0.001042,0.000968
1962,4,0.000757,0.000969,0.000866
1962,5,0.000665,0.000796,0.000732
1962,6,0.000635,0.000883,0.000762
1962,7,0.000543,0.000796,0.000673
1962,8,0.000401,0.000777,0.000594
1962,9,0.000451,0.00065,0.000553
1962,10,0.000406,0.000772,0.000593
1962,11,0.00037,0.000655,0.000514
1962,12,0.000465,0.000862,0.000665
1962,13,0.000403,0.000725,0.000565
1962,14,0.000442,0.000746,0.000595
1962,15,0.000559,0.000897,0.000729
1962,16,0.000493,0.001107,0.000802
1962,17,0.000649,0.001084,0.000867
1962,18,0.000845,0.001434,0.001137
1962,19,0.000661,0.001356,0.001005
1962,20,0.001007,0.001558,0.001278
1962,21,0.00085,0.001468,0.001154
1962,22,0.001045,0.001598,0.001316
1962,23,0.000945,0.001857,0.001386
1962,24,0.000987,0.001948,0.001453
1962,25,0.001182,0.002227,0.001691
1962,26,0.001059,0.002186,0.001613
1962,27,0.001105,0.002539,0.001822
1962,28,0.001109,0.002302,0.0017
1962,29,0.000991,0.002188,0.001569
1962,30,0.001474,0.002784,0.002106
1962,31,0.001118,0.002569,0.001818
1962,32,0.001629,0.0031,0.00233
1962,33,0.001215,0.002825,0.001971
1962,34,0.001327,0.003019,0.002116
1962,35,0.001477,0.00346,0.00237
1962,36,0.001736,0.003534,0.002499
1962,37,0.001741,0.003704,0.002541
1962,38,0.001992,0.004091,0.002826
1962,39,0.001711,0.003865,0.002541
1962,40,0.002572,0.00458,0.00334
1962,41,0.00211,0.004533,0.00305
1962,42,0.002856,0.005266,0.003781
1962,43,0.002533,0.00506,0.003495
1962,44,0.00297,0.006078,0.004159
1962,45,0.003035,0.006005,0.004163
1962,46,0.0031,0.005763,0.004098
1962,47,0.003132,0.006616,0.004409
1962,48,0.004171,0.007398,0.005354
1962,49,0.003573,0.006465,0.004642
1962,50,0.005205,0.009393,0.006769
1962,51,0.004153,0.008365,0.005731
1962,52,0.005824,0.010792,0.007688
1962,53,0.004887,0.009802,0.006769
1962,54,0.005543,0.011045,0.007661
1962,55,0.007174,0.013247,0.009542
1962,56,0.007296,0.014272,0.009963
1962,57,0.007685,0.014983,0.010433
1962,58,0.008034,0.016369,0.011088
1962,59,0.008121,0.017304,0.011373
1962,60,0.012582,0.024554,0.01678
1962,61,0.009318,0.020859,0.013136
1962,62,0.016745,0.03061,0.021408
1962,63,0.012386,0.023808,0.016463
1962,64,0.016208,0.028778,0.020706
1962,65,0.019649,0.032332,0.024272
1962,66,0.017227,0.030508,0.022001
